nucleus,Variable,Value,Unit,Class,Time,ID,Unnamed: 6
AB,Number of Spots per Time Point,0,,,1,,
P1,Number of Spots per Time Point,0,,,1,,
ABa,Number of Spots per Time Point,0,,,1,,
ABp,Number of Spots per Time Point,0,,,1,,
EMS,Number of Spots per Time Point,0,,,1,,
P2,Number of Spots per Time Point,0,,,1,,
ABal,Number of Spots per Time Point,0,,,1,,
ABal,Number of Spots per Time Point,0,,,2,,
ABal,Number of Spots per Time Point,0,,,3,,
ABal,Number of Spots per Time Point,0,,,4,,
ABal,Number of Spots per Time Point,0,,,5,,
ABal,Number of Spots per Time Point,0,,,6,,
ABal,Number of Spots per Time Point,0,,,7,,
ABal,Number of Spots per Time Point,0,,,8,,
ABal,Number of Spots per Time Point,0,,,9,,
ABal,Number of Spots per Time Point,0,,,10,,
ABal,Number of Spots per Time Point,0,,,11,,
ABal,Number of Spots per Time Point,0,,,12,,
ABal,Number of Spots per Time Point,0,,,13,,
ABal,Number of Spots per Time Point,0,,,14,,
ABal,Number of Spots per Time Point,0,,,15,,
ABal,Number of Spots per Time Point,0,,,16,,
ABal,Number of Spots per Time Point,0,,,17,,
ABal,Number of Spots per Time Point,0,,,18,,
ABal,Number of Spots per Time Point,0,,,19,,
ABal,Number of Spots per Time Point,0,,,20,,
ABal,Number of Spots per Time Point,0,,,21,,
ABal,Number of Spots per Time Point,0,,,22,,
ABal,Number of Spots per Time Point,0,,,23,,
ABal,Number of Spots per Time Point,0,,,24,,
ABal,Number of Spots per Time Point,0,,,25,,
ABal,Number of Spots per Time Point,0,,,26,,
ABal,Number of Spots per Time Point,0,,,27,,
ABal,Number of Spots per Time Point,0,,,28,,
ABal,Number of Spots per Time Point,0,,,29,,
ABal,Number of Spots per Time Point,0,,,30,,
ABal,Number of Spots per Time Point,0,,,31,,
ABal,Number of Spots per Time Point,0,,,32,,
ABal,Number of Spots per Time Point,0,,,33,,
ABal,Number of Spots per Time Point,0,,,34,,
ABal,Number of Spots per Time Point,0,,,35,,
ABal,Number of Spots per Time Point,1,,,36,,
ABal,Number of Spots per Time Point,1,,,37,,
ABal,Number of Spots per Time Point,1,,,38,,
ABal,Number of Spots per Time Point,1,,,39,,
ABal,Number of Spots per Time Point,1,,,40,,
ABal,Number of Spots per Time Point,0,,,41,,
ABal,Number of Spots per Time Point,0,,,42,,
ABal,Number of Spots per Time Point,0,,,43,,
ABal,Number of Spots per Time Point,0,,,44,,
ABal,Number of Spots per Time Point,0,,,45,,
ABal,Number of Spots per Time Point,0,,,46,,
ABal,Number of Spots per Time Point,0,,,47,,
ABal,Number of Spots per Time Point,0,,,48,,
ABal,Number of Spots per Time Point,0,,,49,,
ABal,Number of Spots per Time Point,0,,,50,,
ABal,Number of Spots per Time Point,0,,,51,,
ABal,Number of Spots per Time Point,0,,,52,,
ABal,Number of Spots per Time Point,0,,,53,,
ABal,Number of Spots per Time Point,0,,,54,,
ABal,Number of Spots per Time Point,0,,,55,,
ABal,Number of Spots per Time Point,0,,,56,,
ABal,Number of Spots per Time Point,0,,,57,,
ABal,Number of Spots per Time Point,1,,,58,,
ABal,Number of Spots per Time Point,1,,,59,,
ABal,Number of Spots per Time Point,1,,,60,,
ABal,Number of Spots per Time Point,1,,,61,,
ABal,Number of Spots per Time Point,1,,,62,,
ABal,Number of Spots per Time Point,2,,,63,,
ABal,Number of Spots per Time Point,2,,,64,,
ABal,Number of Spots per Time Point,2,,,65,,
ABal,Number of Spots per Time Point,1,,,66,,
ABal,Number of Spots per Time Point,2,,,67,,
ABal,Number of Spots per Time Point,2,,,68,,
ABal,Number of Spots per Time Point,2,,,69,,
ABal,Number of Spots per Time Point,2,,,70,,
ABal,Number of Spots per Time Point,2,,,71,,
ABal,Number of Spots per Time Point,2,,,72,,
ABal,Number of Spots per Time Point,2,,,73,,
ABal,Number of Spots per Time Point,2,,,74,,
ABal,Number of Spots per Time Point,2,,,75,,
ABal,Number of Spots per Time Point,2,,,76,,
ABal,Number of Spots per Time Point,2,,,77,,
ABal,Number of Spots per Time Point,2,,,78,,
ABal,Number of Spots per Time Point,2,,,79,,
ABal,Number of Spots per Time Point,2,,,80,,
ABal,Number of Spots per Time Point,2,,,81,,
ABal,Number of Spots per Time Point,2,,,82,,
ABal,Number of Spots per Time Point,2,,,83,,
ABal,Number of Spots per Time Point,2,,,84,,
ABal,Number of Spots per Time Point,2,,,85,,
ABal,Number of Spots per Time Point,2,,,86,,
ABal,Number of Spots per Time Point,2,,,87,,
ABal,Number of Spots per Time Point,2,,,88,,
ABal,Number of Spots per Time Point,2,,,89,,
ABal,Number of Spots per Time Point,2,,,90,,
ABal,Number of Spots per Time Point,2,,,91,,
ABal,Number of Spots per Time Point,2,,,92,,
ABal,Number of Spots per Time Point,2,,,93,,
ABal,Number of Spots per Time Point,2,,,94,,
ABal,Number of Spots per Time Point,2,,,95,,
ABal,Number of Spots per Time Point,2,,,96,,
ABal,Number of Spots per Time Point,2,,,97,,
ABal,Number of Spots per Time Point,2,,,98,,
ABal,Number of Spots per Time Point,2,,,99,,
ABal,Number of Spots per Time Point,2,,,100,,
ABal,Number of Spots per Time Point,2,,,101,,
ABal,Number of Spots per Time Point,2,,,102,,
ABal,Number of Spots per Time Point,2,,,103,,
ABal,Number of Spots per Time Point,2,,,104,,
ABal,Number of Spots per Time Point,2,,,105,,
ABal,Number of Spots per Time Point,2,,,106,,
ABal,Number of Spots per Time Point,2,,,107,,
ABal,Number of Spots per Time Point,2,,,108,,
ABal,Number of Spots per Time Point,2,,,109,,
ABal,Number of Spots per Time Point,2,,,110,,
ABal,Number of Spots per Time Point,2,,,111,,
ABal,Number of Spots per Time Point,2,,,112,,
ABal,Number of Spots per Time Point,2,,,113,,
ABal,Number of Spots per Time Point,2,,,114,,
ABal,Number of Spots per Time Point,2,,,115,,
ABal,Number of Spots per Time Point,2,,,116,,
ABal,Number of Spots per Time Point,2,,,117,,
ABal,Number of Spots per Time Point,2,,,118,,
ABal,Number of Spots per Time Point,2,,,119,,
ABal,Number of Spots per Time Point,2,,,120,,
ABal,Number of Spots per Time Point,2,,,121,,
ABal,Number of Spots per Time Point,2,,,122,,
ABal,Number of Spots per Time Point,2,,,123,,
ABal,Number of Spots per Time Point,2,,,124,,
ABal,Number of Spots per Time Point,2,,,125,,
