nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,Unnamed: 17,Surfaces,Unnamed: 18
ABal,Intensity Max,2427.0,2427.0,2427.0,0.0,2427.0,2427.0,2427.0,2427.0,1,,Spot,2.0,,,Image 1,36.0,,,
ABal,Intensity Max,2658.0,2658.0,2658.0,0.0,2658.0,2658.0,2658.0,2658.0,1,,Spot,2.0,,,Image 1,37.0,,,
ABal,Intensity Max,2709.0,2709.0,2709.0,0.0,2709.0,2709.0,2709.0,2709.0,1,,Spot,2.0,,,Image 1,38.0,,,
ABal,Intensity Max,2633.0,2633.0,2633.0,0.0,2633.0,2633.0,2633.0,2633.0,1,,Spot,2.0,,,Image 1,39.0,,,
ABal,Intensity Max,1791.0,1791.0,1791.0,0.0,1791.0,1791.0,1791.0,1791.0,1,,Spot,2.0,,,Image 1,40.0,,,
ABal,Intensity Max,2021.0,2021.0,2021.0,0.0,2021.0,2021.0,2021.0,2021.0,1,,Spot,2.0,,,Image 1,58.0,,,
ABal,Intensity Max,2403.0,2403.0,2403.0,0.0,2403.0,2403.0,2403.0,2403.0,1,,Spot,2.0,,,Image 1,59.0,,,
ABal,Intensity Max,2789.0,2789.0,2789.0,0.0,2789.0,2789.0,2789.0,2789.0,1,,Spot,2.0,,,Image 1,60.0,,,
ABal,Intensity Max,2335.0,2335.0,2335.0,0.0,2335.0,2335.0,2335.0,2335.0,1,,Spot,2.0,,,Image 1,61.0,,,
ABal,Intensity Max,2893.0,2893.0,2893.0,0.0,2893.0,2893.0,2893.0,2893.0,1,,Spot,2.0,,,Image 1,62.0,,,
ABal,Intensity Max,2169.0,2463.0,2316.0,147.0,2316.0,2242.625,2389.625,4632.0,2,,Spot,2.0,,,Image 1,63.0,,,
ABal,Intensity Max,2185.0,3006.0,2595.5,410.5,2595.5,2390.5,2801.0,5191.0,2,,Spot,2.0,,,Image 1,64.0,,,
ABal,Intensity Max,2711.0,3809.0,3260.0,549.0,3260.0,2986.0,3535.0,6520.0,2,,Spot,2.0,,,Image 1,65.0,,,
ABal,Intensity Max,3220.0,3220.0,3220.0,0.0,3220.0,3220.0,3220.0,3220.0,1,,Spot,2.0,,,Image 1,66.0,,,
ABal,Intensity Max,2162.0,2712.0,2437.0,275.0,2437.0,2299.75,2574.75,4874.0,2,,Spot,2.0,,,Image 1,67.0,,,
ABal,Intensity Max,2768.0,3419.0,3093.5,325.5,3093.5,2931.0,3256.5,6187.0,2,,Spot,2.0,,,Image 1,68.0,,,
ABal,Intensity Max,1678.0,2418.0,2048.0,370.0,2048.0,1863.25,2233.25,4096.0,2,,Spot,2.0,,,Image 1,69.0,,,
ABal,Intensity Max,1589.0,2143.0,1866.0,277.0,1866.0,1727.75,2004.75,3732.0,2,,Spot,2.0,,,Image 1,70.0,,,
ABal,Intensity Max,2117.0,2992.0,2554.5,437.5,2554.5,2336.0,2773.5,5109.0,2,,Spot,2.0,,,Image 1,71.0,,,
ABal,Intensity Max,2501.0,3759.0,3130.0,629.0,3130.0,2816.0,3445.0,6260.0,2,,Spot,2.0,,,Image 1,72.0,,,
ABal,Intensity Max,2638.0,4744.0,3691.0,1053.0,3691.0,3165.5,4218.5,7382.0,2,,Spot,2.0,,,Image 1,73.0,,,
ABal,Intensity Max,2627.0,3378.0,3002.5,375.5,3002.5,2815.0,3190.5,6005.0,2,,Spot,2.0,,,Image 1,74.0,,,
ABal,Intensity Max,2296.0,2428.0,2362.0,66.0,2362.0,2329.062,2395.062,4724.0,2,,Spot,2.0,,,Image 1,75.0,,,
ABal,Intensity Max,2450.0,3379.0,2914.5,464.5,2914.5,2682.5,3147.0,5829.0,2,,Spot,2.0,,,Image 1,76.0,,,
ABal,Intensity Max,2787.0,3058.0,2922.5,135.5,2922.5,2854.875,2990.375,5845.0,2,,Spot,2.0,,,Image 1,77.0,,,
ABal,Intensity Max,2042.0,4098.0,3070.0,1028.0,3070.0,2557.0,3585.0,6140.0,2,,Spot,2.0,,,Image 1,78.0,,,
ABal,Intensity Max,1991.0,2867.0,2429.0,438.0,2429.0,2210.25,2648.25,4858.0,2,,Spot,2.0,,,Image 1,79.0,,,
ABal,Intensity Max,1092.0,2206.0,1649.0,557.0,1649.0,1371.0,1928.0,3298.0,2,,Spot,2.0,,,Image 1,80.0,,,
ABal,Intensity Max,1902.0,4203.0,3052.5,1150.5,3052.5,2478.0,3628.0,6105.0,2,,Spot,2.0,,,Image 1,81.0,,,
ABal,Intensity Max,2380.0,3137.0,2758.5,378.5,2758.5,2569.5,2948.0,5517.0,2,,Spot,2.0,,,Image 1,82.0,,,
ABal,Intensity Max,2130.0,3334.0,2732.0,602.0,2732.0,2431.5,3033.5,5464.0,2,,Spot,2.0,,,Image 1,83.0,,,
ABal,Intensity Max,2353.0,3179.0,2766.0,413.0,2766.0,2559.75,2972.75,5532.0,2,,Spot,2.0,,,Image 1,84.0,,,
ABal,Intensity Max,2230.0,3834.0,3032.0,802.0,3032.0,2631.5,3433.5,6064.0,2,,Spot,2.0,,,Image 1,85.0,,,
ABal,Intensity Max,2991.0,3269.0,3130.0,139.0,3130.0,3060.625,3199.625,6260.0,2,,Spot,2.0,,,Image 1,86.0,,,
ABal,Intensity Max,2345.0,2509.0,2427.0,82.0,2427.0,2386.062,2468.062,4854.0,2,,Spot,2.0,,,Image 1,87.0,,,
ABal,Intensity Max,2268.0,3060.0,2664.0,396.0,2664.0,2466.25,2862.25,5328.0,2,,Spot,2.0,,,Image 1,88.0,,,
ABal,Intensity Max,2193.0,3381.0,2787.0,594.0,2787.0,2490.5,3084.5,5574.0,2,,Spot,2.0,,,Image 1,89.0,,,
ABal,Intensity Max,2374.0,3935.0,3154.5,780.5,3154.5,2764.75,3545.25,6309.0,2,,Spot,2.0,,,Image 1,90.0,,,
ABal,Intensity Max,2272.0,3608.0,2940.0,668.0,2940.0,2606.5,3274.5,5880.0,2,,Spot,2.0,,,Image 1,91.0,,,
ABal,Intensity Max,2745.0,3263.0,3004.0,259.0,3004.0,2874.75,3133.75,6008.0,2,,Spot,2.0,,,Image 1,92.0,,,
ABal,Intensity Max,2575.0,3120.0,2847.5,272.5,2847.5,2711.5,2984.0,5695.0,2,,Spot,2.0,,,Image 1,93.0,,,
ABal,Intensity Max,2171.0,2441.0,2306.0,135.0,2306.0,2238.625,2373.625,4612.0,2,,Spot,2.0,,,Image 1,94.0,,,
ABal,Intensity Max,2336.0,2636.0,2486.0,150.0,2486.0,2411.125,2561.125,4972.0,2,,Spot,2.0,,,Image 1,95.0,,,
ABal,Intensity Max,1981.0,2836.0,2408.5,427.5,2408.5,2195.0,2622.5,4817.0,2,,Spot,2.0,,,Image 1,96.0,,,
ABal,Intensity Max,2512.0,2739.0,2625.5,113.5,2625.5,2568.812,2682.312,5251.0,2,,Spot,2.0,,,Image 1,97.0,,,
ABal,Intensity Max,2236.0,2903.0,2569.5,333.5,2569.5,2403.0,2736.5,5139.0,2,,Spot,2.0,,,Image 1,98.0,,,
ABal,Intensity Max,1998.0,3482.0,2740.0,742.0,2740.0,2369.5,3111.5,5480.0,2,,Spot,2.0,,,Image 1,99.0,,,
ABal,Intensity Max,1332.0,2586.0,1959.0,627.0,1959.0,1646.0,2273.0,3918.0,2,,Spot,2.0,,,Image 1,100.0,,,
ABal,Intensity Max,1935.0,3438.0,2686.5,751.5,2686.5,2311.25,3062.75,5373.0,2,,Spot,2.0,,,Image 1,101.0,,,
ABal,Intensity Max,1962.0,3006.0,2484.0,522.0,2484.0,2223.5,2745.5,4968.0,2,,Spot,2.0,,,Image 1,102.0,,,
ABal,Intensity Max,2122.0,2456.0,2289.0,167.0,2289.0,2205.625,2372.625,4578.0,2,,Spot,2.0,,,Image 1,103.0,,,
ABal,Intensity Max,1729.0,2190.0,1959.5,230.5,1959.5,1844.375,2074.875,3919.0,2,,Spot,2.0,,,Image 1,104.0,,,
ABal,Intensity Max,2097.0,2401.0,2249.0,152.0,2249.0,2173.125,2325.125,4498.0,2,,Spot,2.0,,,Image 1,105.0,,,
ABal,Intensity Max,1829.0,1975.0,1902.0,73.0,1902.0,1865.562,1938.562,3804.0,2,,Spot,2.0,,,Image 1,106.0,,,
ABal,Intensity Max,1483.0,2984.0,2233.5,750.5,2233.5,1858.75,2609.25,4467.0,2,,Spot,2.0,,,Image 1,107.0,,,
ABal,Intensity Max,1486.0,2461.0,1973.5,487.5,1973.5,1730.0,2217.5,3947.0,2,,Spot,2.0,,,Image 1,108.0,,,
ABal,Intensity Max,1598.0,2891.0,2244.5,646.5,2244.5,1921.75,2568.25,4489.0,2,,Spot,2.0,,,Image 1,109.0,,,
ABal,Intensity Max,1701.0,2603.0,2152.0,451.0,2152.0,1926.75,2377.75,4304.0,2,,Spot,2.0,,,Image 1,110.0,,,
ABal,Intensity Max,1343.0,2442.0,1892.5,549.5,1892.5,1618.25,2167.75,3785.0,2,,Spot,2.0,,,Image 1,111.0,,,
ABal,Intensity Max,1972.0,2257.0,2114.5,142.5,2114.5,2043.375,2185.875,4229.0,2,,Spot,2.0,,,Image 1,112.0,,,
ABal,Intensity Max,1275.0,2155.0,1715.0,440.0,1715.0,1495.25,1935.25,3430.0,2,,Spot,2.0,,,Image 1,113.0,,,
ABal,Intensity Max,1258.0,2587.0,1922.5,664.5,1922.5,1590.75,2255.25,3845.0,2,,Spot,2.0,,,Image 1,114.0,,,
ABal,Intensity Max,1954.0,2096.0,2025.0,71.0,2025.0,1989.562,2060.562,4050.0,2,,Spot,2.0,,,Image 1,115.0,,,
ABal,Intensity Max,1721.0,2083.0,1902.0,181.0,1902.0,1811.625,1992.625,3804.0,2,,Spot,2.0,,,Image 1,116.0,,,
ABal,Intensity Max,1823.0,1847.0,1835.0,12.0,1835.0,1829.008,1841.008,3670.0,2,,Spot,2.0,,,Image 1,117.0,,,
ABal,Intensity Max,2308.0,2570.0,2439.0,131.0,2439.0,2373.625,2504.625,4878.0,2,,Spot,2.0,,,Image 1,118.0,,,
ABal,Intensity Max,2025.0,2436.0,2230.5,205.5,2230.5,2127.875,2333.375,4461.0,2,,Spot,2.0,,,Image 1,119.0,,,
