nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,Unnamed: 17,Surfaces,Unnamed: 18
ABal,Intensity Mean,1104.013,1104.013,1104.013,0.0,1104.013,1104.013,1104.013,1104.013,1,,Spot,2.0,,,Image 1,36.0,,,
ABal,Intensity Mean,1717.975,1717.975,1717.975,0.0,1717.975,1717.975,1717.975,1717.975,1,,Spot,2.0,,,Image 1,37.0,,,
ABal,Intensity Mean,1989.39,1989.39,1989.39,0.0,1989.39,1989.39,1989.39,1989.39,1,,Spot,2.0,,,Image 1,38.0,,,
ABal,Intensity Mean,1674.395,1674.395,1674.395,0.0,1674.395,1674.395,1674.395,1674.395,1,,Spot,2.0,,,Image 1,39.0,,,
ABal,Intensity Mean,1153.975,1153.975,1153.975,0.0,1153.975,1153.975,1153.975,1153.975,1,,Spot,2.0,,,Image 1,40.0,,,
ABal,Intensity Mean,546.115,546.115,546.115,0.0,546.115,546.115,546.115,546.115,1,,Spot,2.0,,,Image 1,58.0,,,
ABal,Intensity Mean,672.544,672.544,672.544,0.0,672.544,672.544,672.544,672.544,1,,Spot,2.0,,,Image 1,59.0,,,
ABal,Intensity Mean,763.593,763.593,763.593,0.0,763.593,763.593,763.593,763.593,1,,Spot,2.0,,,Image 1,60.0,,,
ABal,Intensity Mean,690.744,690.744,690.744,0.0,690.744,690.744,690.744,690.744,1,,Spot,2.0,,,Image 1,61.0,,,
ABal,Intensity Mean,778.949,778.949,778.949,0.0,778.949,778.949,778.949,778.949,1,,Spot,2.0,,,Image 1,62.0,,,
ABal,Intensity Mean,414.141,708.842,561.492,147.351,561.492,487.812,635.188,1122.983,2,,Spot,2.0,,,Image 1,63.0,,,
ABal,Intensity Mean,551.26,695.844,623.552,72.292,623.552,587.438,659.688,1247.104,2,,Spot,2.0,,,Image 1,64.0,,,
ABal,Intensity Mean,555.18,756.974,656.077,100.897,656.077,605.625,706.5,1312.154,2,,Spot,2.0,,,Image 1,65.0,,,
ABal,Intensity Mean,628.974,628.974,628.974,0.0,628.974,628.974,628.974,628.974,1,,Spot,2.0,,,Image 1,66.0,,,
ABal,Intensity Mean,661.025,778.662,719.844,58.819,719.844,690.438,749.25,1439.688,2,,Spot,2.0,,,Image 1,67.0,,,
ABal,Intensity Mean,691.076,772.077,731.576,40.5,731.576,711.344,751.844,1463.153,2,,Spot,2.0,,,Image 1,68.0,,,
ABal,Intensity Mean,618.466,967.852,793.159,174.693,793.159,705.75,880.5,1586.318,2,,Spot,2.0,,,Image 1,69.0,,,
ABal,Intensity Mean,635.671,677.779,656.725,21.054,656.725,646.195,667.242,1313.45,2,,Spot,2.0,,,Image 1,70.0,,,
