
Overall
 ==================== 
Variable,Value,Unit,Class,Time,ID,
Number of Spots per Time Point,1.000,,,53,,
Number of Spots per Time Point,2.000,,,54,,
Number of Spots per Time Point,2.000,,,55,,
Number of Spots per Time Point,2.000,,,56,,
Number of Spots per Time Point,2.000,,,57,,
Number of Spots per Time Point,2.000,,,58,,
Number of Spots per Time Point,2.000,,,59,,
Number of Spots per Time Point,2.000,,,60,,
Number of Spots per Time Point,2.000,,,61,,
Number of Spots per Time Point,2.000,,,62,,
Number of Spots per Time Point,2.000,,,63,,
Number of Spots per Time Point,2.000,,,64,,
Number of Spots per Time Point,2.000,,,65,,
Number of Spots per Time Point,2.000,,,66,,
Number of Spots per Time Point,2.000,,,67,,
Number of Spots per Time Point,2.000,,,68,,
Number of Spots per Time Point,2.000,,,69,,
Number of Spots per Time Point,2.000,,,70,,
Number of Spots per Time Point,2.000,,,71,,
Number of Spots per Time Point,2.000,,,72,,
Number of Spots per Time Point,2.000,,,73,,
Number of Spots per Time Point,2.000,,,74,,
Number of Spots per Time Point,2.000,,,75,,
Number of Spots per Time Point,2.000,,,76,,
Number of Spots per Time Point,2.000,,,77,,
Number of Spots per Time Point,2.000,,,78,,
Number of Spots per Time Point,1.000,,,80,,
Number of Spots per Time Point,1.000,,,81,,
Number of Tracks,2.000,,,,,
Number of labelled Spots per Class,50.000,,Set 1::Class B,,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,54,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,55,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,56,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,57,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,58,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,59,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,60,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,61,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,62,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,63,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,64,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,65,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,66,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,67,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,68,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,69,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,70,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,71,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,72,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,73,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,74,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,75,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,76,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,77,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,78,,
Total Number of Spots,53.000,,,,,
