
Overall
 ==================== 
Variable,Value,Unit,Class,Time,ID,
Number of Spots per Time Point,1.000,,,42,,
Number of Spots per Time Point,2.000,,,43,,
Number of Spots per Time Point,2.000,,,44,,
Number of Spots per Time Point,2.000,,,45,,
Number of Spots per Time Point,2.000,,,46,,
Number of Spots per Time Point,2.000,,,47,,
Number of Spots per Time Point,2.000,,,48,,
Number of Spots per Time Point,2.000,,,49,,
Number of Spots per Time Point,2.000,,,50,,
Number of Spots per Time Point,1.000,,,51,,
Number of Spots per Time Point,1.000,,,52,,
Number of Tracks,2.000,,,,,
Number of labelled Spots per Class,16.000,,Set 1::Class B,,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,43,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,44,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,45,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,46,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,47,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,48,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,49,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,50,,
Total Number of Spots,19.000,,,,,
