
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,346.969,346.969,346.969,0.000,346.969,346.969,346.969,346.969,1,µm^2,Surface,,,,,,1,
Area,337.910,337.910,337.910,0.000,337.910,337.910,337.910,337.910,1,µm^2,Surface,,,,,,2,
Area,400.106,400.106,400.106,0.000,400.106,400.106,400.106,400.106,1,µm^2,Surface,,,,,,3,
Area,399.309,399.309,399.309,0.000,399.309,399.309,399.309,399.309,1,µm^2,Surface,,,,,,4,
Area,215.474,215.474,215.474,0.000,215.474,215.474,215.474,215.474,1,µm^2,Surface,,,,,,5,
Area,192.056,192.056,192.056,0.000,192.056,192.056,192.056,192.056,1,µm^2,Surface,,,,,,8,
Area,196.171,196.171,196.171,0.000,196.171,196.171,196.171,196.171,1,µm^2,Surface,,,,,,9,
Area,204.103,204.103,204.103,0.000,204.103,204.103,204.103,204.103,1,µm^2,Surface,,,,,,10,
Area,219.585,219.585,219.585,0.000,219.585,219.585,219.585,219.585,1,µm^2,Surface,,,,,,11,
Area,222.562,222.562,222.562,0.000,222.562,222.562,222.562,222.562,1,µm^2,Surface,,,,,,12,
Area,245.725,245.725,245.725,0.000,245.725,245.725,245.725,245.725,1,µm^2,Surface,,,,,,13,
Area,236.881,236.881,236.881,0.000,236.881,236.881,236.881,236.881,1,µm^2,Surface,,,,,,14,
Area,261.219,261.219,261.219,0.000,261.219,261.219,261.219,261.219,1,µm^2,Surface,,,,,,15,
Area,233.357,233.357,233.357,0.000,233.357,233.357,233.357,233.357,1,µm^2,Surface,,,,,,16,
Area,234.664,234.664,234.664,0.000,234.664,234.664,234.664,234.664,1,µm^2,Surface,,,,,,17,
Class Duration,58.644,58.644,58.644,0.000,58.644,58.644,58.644,58.644,1,s,Surface,,Set 1::Class A,,,,1,
Class Duration,58.644,58.644,58.644,0.000,58.644,58.644,58.644,58.644,1,s,Surface,,Set 1::Class A,,,,2,
Class Duration,119.991,119.991,119.991,0.000,119.991,119.991,119.991,119.991,1,s,Surface,,Set 1::Class B,,,,3,
Class Duration,119.991,119.991,119.991,0.000,119.991,119.991,119.991,119.991,1,s,Surface,,Set 1::Class B,,,,4,
Class Duration,119.991,119.991,119.991,0.000,119.991,119.991,119.991,119.991,1,s,Surface,,Set 1::Class B,,,,5,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,8,
Class Duration,420.053,420.053,420.053,0.000,420.053,420.053,420.053,420.053,1,s,Surface,,Set 1::Class B,,,,9,
Class Duration,420.053,420.053,420.053,0.000,420.053,420.053,420.053,420.053,1,s,Surface,,Set 1::Class B,,,,10,
Class Duration,420.053,420.053,420.053,0.000,420.053,420.053,420.053,420.053,1,s,Surface,,Set 1::Class B,,,,11,
Class Duration,420.053,420.053,420.053,0.000,420.053,420.053,420.053,420.053,1,s,Surface,,Set 1::Class B,,,,12,
Class Duration,420.053,420.053,420.053,0.000,420.053,420.053,420.053,420.053,1,s,Surface,,Set 1::Class B,,,,13,
Class Duration,420.053,420.053,420.053,0.000,420.053,420.053,420.053,420.053,1,s,Surface,,Set 1::Class B,,,,14,
Class Duration,420.053,420.053,420.053,0.000,420.053,420.053,420.053,420.053,1,s,Surface,,Set 1::Class B,,,,15,
Class Duration,420.053,420.053,420.053,0.000,420.053,420.053,420.053,420.053,1,s,Surface,,Set 1::Class B,,,,16,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,17,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,1,
Displacement Delta Length,0.311,0.311,0.311,0.000,0.311,0.311,0.311,0.311,1,µm,Surface,,,,,,2,
Displacement Delta Length,1.370,1.370,1.370,0.000,1.370,1.370,1.370,1.370,1,µm,Surface,,,,,,3,
Displacement Delta Length,1.351,1.351,1.351,0.000,1.351,1.351,1.351,1.351,1,µm,Surface,,,,,,4,
Displacement Delta Length,1.538,1.538,1.538,0.000,1.538,1.538,1.538,1.538,1,µm,Surface,,,,,,5,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,8,
Displacement Delta Length,1.024,1.024,1.024,0.000,1.024,1.024,1.024,1.024,1,µm,Surface,,,,,,9,
Displacement Delta Length,1.647,1.647,1.647,0.000,1.647,1.647,1.647,1.647,1,µm,Surface,,,,,,10,
Displacement Delta Length,2.593,2.593,2.593,0.000,2.593,2.593,2.593,2.593,1,µm,Surface,,,,,,11,
Displacement Delta Length,1.371,1.371,1.371,0.000,1.371,1.371,1.371,1.371,1,µm,Surface,,,,,,12,
Displacement Delta Length,1.122,1.122,1.122,0.000,1.122,1.122,1.122,1.122,1,µm,Surface,,,,,,13,
Displacement Delta Length,1.074,1.074,1.074,0.000,1.074,1.074,1.074,1.074,1,µm,Surface,,,,,,14,
Displacement Delta Length,1.024,1.024,1.024,0.000,1.024,1.024,1.024,1.024,1,µm,Surface,,,,,,15,
Displacement Delta Length,1.090,1.090,1.090,0.000,1.090,1.090,1.090,1.090,1,µm,Surface,,,,,,16,
Displacement Delta Length,0.855,0.855,0.855,0.000,0.855,0.855,0.855,0.855,1,µm,Surface,,,,,,17,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,1,
Displacement Delta X,-0.014,-0.014,-0.014,0.000,-0.014,-0.014,-0.014,-0.014,1,µm,Surface,,,Displacement Delta,,,2,
Displacement Delta X,-0.211,-0.211,-0.211,0.000,-0.211,-0.211,-0.211,-0.211,1,µm,Surface,,,Displacement Delta,,,3,
Displacement Delta X,0.791,0.791,0.791,0.000,0.791,0.791,0.791,0.791,1,µm,Surface,,,Displacement Delta,,,4,
Displacement Delta X,-0.321,-0.321,-0.321,0.000,-0.321,-0.321,-0.321,-0.321,1,µm,Surface,,,Displacement Delta,,,5,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,8,
Displacement Delta X,0.537,0.537,0.537,0.000,0.537,0.537,0.537,0.537,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Delta X,1.518,1.518,1.518,0.000,1.518,1.518,1.518,1.518,1,µm,Surface,,,Displacement Delta,,,10,
Displacement Delta X,2.020,2.020,2.020,0.000,2.020,2.020,2.020,2.020,1,µm,Surface,,,Displacement Delta,,,11,
Displacement Delta X,1.151,1.151,1.151,0.000,1.151,1.151,1.151,1.151,1,µm,Surface,,,Displacement Delta,,,12,
Displacement Delta X,0.883,0.883,0.883,0.000,0.883,0.883,0.883,0.883,1,µm,Surface,,,Displacement Delta,,,13,
Displacement Delta X,0.217,0.217,0.217,0.000,0.217,0.217,0.217,0.217,1,µm,Surface,,,Displacement Delta,,,14,
Displacement Delta X,-0.657,-0.657,-0.657,0.000,-0.657,-0.657,-0.657,-0.657,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta X,-0.951,-0.951,-0.951,0.000,-0.951,-0.951,-0.951,-0.951,1,µm,Surface,,,Displacement Delta,,,16,
Displacement Delta X,-0.184,-0.184,-0.184,0.000,-0.184,-0.184,-0.184,-0.184,1,µm,Surface,,,Displacement Delta,,,17,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,1,
Displacement Delta Y,-0.303,-0.303,-0.303,0.000,-0.303,-0.303,-0.303,-0.303,1,µm,Surface,,,Displacement Delta,,,2,
Displacement Delta Y,0.503,0.503,0.503,0.000,0.503,0.503,0.503,0.503,1,µm,Surface,,,Displacement Delta,,,3,
Displacement Delta Y,-0.249,-0.249,-0.249,0.000,-0.249,-0.249,-0.249,-0.249,1,µm,Surface,,,Displacement Delta,,,4,
Displacement Delta Y,1.275,1.275,1.275,0.000,1.275,1.275,1.275,1.275,1,µm,Surface,,,Displacement Delta,,,5,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,8,
Displacement Delta Y,0.537,0.537,0.537,0.000,0.537,0.537,0.537,0.537,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Delta Y,-0.286,-0.286,-0.286,0.000,-0.286,-0.286,-0.286,-0.286,1,µm,Surface,,,Displacement Delta,,,10,
Displacement Delta Y,0.028,0.028,0.028,0.000,0.028,0.028,0.028,0.028,1,µm,Surface,,,Displacement Delta,,,11,
Displacement Delta Y,-0.632,-0.632,-0.632,0.000,-0.632,-0.632,-0.632,-0.632,1,µm,Surface,,,Displacement Delta,,,12,
Displacement Delta Y,0.500,0.500,0.500,0.000,0.500,0.500,0.500,0.500,1,µm,Surface,,,Displacement Delta,,,13,
Displacement Delta Y,-0.366,-0.366,-0.366,0.000,-0.366,-0.366,-0.366,-0.366,1,µm,Surface,,,Displacement Delta,,,14,
Displacement Delta Y,-0.720,-0.720,-0.720,0.000,-0.720,-0.720,-0.720,-0.720,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta Y,0.141,0.141,0.141,0.000,0.141,0.141,0.141,0.141,1,µm,Surface,,,Displacement Delta,,,16,
Displacement Delta Y,-0.610,-0.610,-0.610,0.000,-0.610,-0.610,-0.610,-0.610,1,µm,Surface,,,Displacement Delta,,,17,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,1,
