
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,103.791,103.791,103.791,0.000,103.791,103.791,103.791,103.791,1,µm^2,Surface,,,,,,22,
Area,125.610,125.610,125.610,0.000,125.610,125.610,125.610,125.610,1,µm^2,Surface,,,,,,23,
Area,146.226,146.226,146.226,0.000,146.226,146.226,146.226,146.226,1,µm^2,Surface,,,,,,24,
Area,154.445,154.445,154.445,0.000,154.445,154.445,154.445,154.445,1,µm^2,Surface,,,,,,25,
Area,158.592,158.592,158.592,0.000,158.592,158.592,158.592,158.592,1,µm^2,Surface,,,,,,26,
Area,162.382,162.382,162.382,0.000,162.382,162.382,162.382,162.382,1,µm^2,Surface,,,,,,27,
Area,166.728,166.728,166.728,0.000,166.728,166.728,166.728,166.728,1,µm^2,Surface,,,,,,28,
Area,175.513,175.513,175.513,0.000,175.513,175.513,175.513,175.513,1,µm^2,Surface,,,,,,29,
Area,172.057,172.057,172.057,0.000,172.057,172.057,172.057,172.057,1,µm^2,Surface,,,,,,30,
Area,215.245,215.245,215.245,0.000,215.245,215.245,215.245,215.245,1,µm^2,Surface,,,,,,31,
Area,228.979,228.979,228.979,0.000,228.979,228.979,228.979,228.979,1,µm^2,Surface,,,,,,32,
Area,236.582,236.582,236.582,0.000,236.582,236.582,236.582,236.582,1,µm^2,Surface,,,,,,33,
Area,214.852,214.852,214.852,0.000,214.852,214.852,214.852,214.852,1,µm^2,Surface,,,,,,34,
Area,23.236,23.236,23.236,0.000,23.236,23.236,23.236,23.236,1,µm^2,Surface,,,,,,35,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,22,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,23,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,24,
Class Duration,360.014,360.014,360.014,0.000,360.014,360.014,360.014,360.014,1,s,Surface,,Set 1::Class B,,,,25,
Class Duration,360.014,360.014,360.014,0.000,360.014,360.014,360.014,360.014,1,s,Surface,,Set 1::Class B,,,,26,
Class Duration,360.014,360.014,360.014,0.000,360.014,360.014,360.014,360.014,1,s,Surface,,Set 1::Class B,,,,27,
Class Duration,360.014,360.014,360.014,0.000,360.014,360.014,360.014,360.014,1,s,Surface,,Set 1::Class B,,,,28,
Class Duration,360.014,360.014,360.014,0.000,360.014,360.014,360.014,360.014,1,s,Surface,,Set 1::Class B,,,,29,
Class Duration,360.014,360.014,360.014,0.000,360.014,360.014,360.014,360.014,1,s,Surface,,Set 1::Class B,,,,30,
Class Duration,360.014,360.014,360.014,0.000,360.014,360.014,360.014,360.014,1,s,Surface,,Set 1::Class B,,,,31,
Class Duration,120.023,120.023,120.023,0.000,120.023,120.023,120.023,120.023,1,s,Surface,,Set 1::Class A,,,,32,
Class Duration,120.023,120.023,120.023,0.000,120.023,120.023,120.023,120.023,1,s,Surface,,Set 1::Class A,,,,33,
Class Duration,120.023,120.023,120.023,0.000,120.023,120.023,120.023,120.023,1,s,Surface,,Set 1::Class A,,,,34,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,35,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,22,
Displacement Delta Length,2.618,2.618,2.618,0.000,2.618,2.618,2.618,2.618,1,µm,Surface,,,,,,23,
Displacement Delta Length,0.769,0.769,0.769,0.000,0.769,0.769,0.769,0.769,1,µm,Surface,,,,,,24,
Displacement Delta Length,1.717,1.717,1.717,0.000,1.717,1.717,1.717,1.717,1,µm,Surface,,,,,,25,
Displacement Delta Length,1.755,1.755,1.755,0.000,1.755,1.755,1.755,1.755,1,µm,Surface,,,,,,26,
Displacement Delta Length,1.803,1.803,1.803,0.000,1.803,1.803,1.803,1.803,1,µm,Surface,,,,,,27,
Displacement Delta Length,2.186,2.186,2.186,0.000,2.186,2.186,2.186,2.186,1,µm,Surface,,,,,,28,
Displacement Delta Length,1.139,1.139,1.139,0.000,1.139,1.139,1.139,1.139,1,µm,Surface,,,,,,29,
Displacement Delta Length,0.956,0.956,0.956,0.000,0.956,0.956,0.956,0.956,1,µm,Surface,,,,,,30,
Displacement Delta Length,1.056,1.056,1.056,0.000,1.056,1.056,1.056,1.056,1,µm,Surface,,,,,,31,
Displacement Delta Length,0.479,0.479,0.479,0.000,0.479,0.479,0.479,0.479,1,µm,Surface,,,,,,32,
Displacement Delta Length,0.620,0.620,0.620,0.000,0.620,0.620,0.620,0.620,1,µm,Surface,,,,,,33,
Displacement Delta Length,0.701,0.701,0.701,0.000,0.701,0.701,0.701,0.701,1,µm,Surface,,,,,,34,
Displacement Delta Length,1.692,1.692,1.692,0.000,1.692,1.692,1.692,1.692,1,µm,Surface,,,,,,35,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta X,-1.480,-1.480,-1.480,0.000,-1.480,-1.480,-1.480,-1.480,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta X,-0.038,-0.038,-0.038,0.000,-0.038,-0.038,-0.038,-0.038,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta X,0.114,0.114,0.114,0.000,0.114,0.114,0.114,0.114,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta X,-0.022,-0.022,-0.022,0.000,-0.022,-0.022,-0.022,-0.022,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta X,-0.323,-0.323,-0.323,0.000,-0.323,-0.323,-0.323,-0.323,1,µm,Surface,,,Displacement Delta,,,27,
Displacement Delta X,-1.450,-1.450,-1.450,0.000,-1.450,-1.450,-1.450,-1.450,1,µm,Surface,,,Displacement Delta,,,28,
Displacement Delta X,-0.538,-0.538,-0.538,0.000,-0.538,-0.538,-0.538,-0.538,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta X,0.640,0.640,0.640,0.000,0.640,0.640,0.640,0.640,1,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta X,0.438,0.438,0.438,0.000,0.438,0.438,0.438,0.438,1,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta X,0.451,0.451,0.451,0.000,0.451,0.451,0.451,0.451,1,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta X,-0.396,-0.396,-0.396,0.000,-0.396,-0.396,-0.396,-0.396,1,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta X,-0.569,-0.569,-0.569,0.000,-0.569,-0.569,-0.569,-0.569,1,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta X,0.777,0.777,0.777,0.000,0.777,0.777,0.777,0.777,1,µm,Surface,,,Displacement Delta,,,35,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta Y,0.197,0.197,0.197,0.000,0.197,0.197,0.197,0.197,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta Y,0.124,0.124,0.124,0.000,0.124,0.124,0.124,0.124,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta Y,-1.357,-1.357,-1.357,0.000,-1.357,-1.357,-1.357,-1.357,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta Y,-1.729,-1.729,-1.729,0.000,-1.729,-1.729,-1.729,-1.729,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta Y,-1.454,-1.454,-1.454,0.000,-1.454,-1.454,-1.454,-1.454,1,µm,Surface,,,Displacement Delta,,,27,
Displacement Delta Y,-0.945,-0.945,-0.945,0.000,-0.945,-0.945,-0.945,-0.945,1,µm,Surface,,,Displacement Delta,,,28,
Displacement Delta Y,-0.436,-0.436,-0.436,0.000,-0.436,-0.436,-0.436,-0.436,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta Y,-0.408,-0.408,-0.408,0.000,-0.408,-0.408,-0.408,-0.408,1,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta Y,0.857,0.857,0.857,0.000,0.857,0.857,0.857,0.857,1,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta Y,0.161,0.161,0.161,0.000,0.161,0.161,0.161,0.161,1,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta Y,-0.477,-0.477,-0.477,0.000,-0.477,-0.477,-0.477,-0.477,1,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta Y,0.076,0.076,0.076,0.000,0.076,0.076,0.076,0.076,1,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta Y,0.056,0.056,0.056,0.000,0.056,0.056,0.056,0.056,1,µm,Surface,,,Displacement Delta,,,35,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta Z,-2.150,-2.150,-2.150,0.000,-2.150,-2.150,-2.150,-2.150,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta Z,-0.758,-0.758,-0.758,0.000,-0.758,-0.758,-0.758,-0.758,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta Z,-1.046,-1.046,-1.046,0.000,-1.046,-1.046,-1.046,-1.046,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta Z,-0.301,-0.301,-0.301,0.000,-0.301,-0.301,-0.301,-0.301,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta Z,1.016,1.016,1.016,0.000,1.016,1.016,1.016,1.016,1,µm,Surface,,,Displacement Delta,,,27,
Displacement Delta Z,1.335,1.335,1.335,0.000,1.335,1.335,1.335,1.335,1,µm,Surface,,,Displacement Delta,,,28,
Displacement Delta Z,0.904,0.904,0.904,0.000,0.904,0.904,0.904,0.904,1,µm,Surface,,,Displacement Delta,,,29,
