
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,160.559,160.559,160.559,0.000,160.559,160.559,160.559,160.559,1,µm^2,Surface,,,,,,8,
Area,205.250,205.250,205.250,0.000,205.250,205.250,205.250,205.250,1,µm^2,Surface,,,,,,9,
Area,227.861,227.861,227.861,0.000,227.861,227.861,227.861,227.861,1,µm^2,Surface,,,,,,10,
Area,226.461,226.461,226.461,0.000,226.461,226.461,226.461,226.461,1,µm^2,Surface,,,,,,11,
Area,241.628,241.628,241.628,0.000,241.628,241.628,241.628,241.628,1,µm^2,Surface,,,,,,12,
Area,244.462,244.462,244.462,0.000,244.462,244.462,244.462,244.462,1,µm^2,Surface,,,,,,13,
Area,243.605,243.605,243.605,0.000,243.605,243.605,243.605,243.605,1,µm^2,Surface,,,,,,14,
Area,278.356,278.356,278.356,0.000,278.356,278.356,278.356,278.356,1,µm^2,Surface,,,,,,15,
Area,265.303,265.303,265.303,0.000,265.303,265.303,265.303,265.303,1,µm^2,Surface,,,,,,16,
Area,250.169,250.169,250.169,0.000,250.169,250.169,250.169,250.169,1,µm^2,Surface,,,,,,17,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,8,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,,9,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,,10,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,,11,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,,12,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,,13,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,,14,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,,15,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,,16,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,,17,
