
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,20.127,20.127,20.127,0.000,20.127,20.127,20.127,20.127,1,µm^2,Surface,,,,,,21,
Area,80.466,80.466,80.466,0.000,80.466,80.466,80.466,80.466,1,µm^2,Surface,,,,,,22,
Area,113.806,113.806,113.806,0.000,113.806,113.806,113.806,113.806,1,µm^2,Surface,,,,,,23,
Area,133.395,133.395,133.395,0.000,133.395,133.395,133.395,133.395,1,µm^2,Surface,,,,,,24,
Area,148.889,148.889,148.889,0.000,148.889,148.889,148.889,148.889,1,µm^2,Surface,,,,,,25,
Area,160.698,160.698,160.698,0.000,160.698,160.698,160.698,160.698,1,µm^2,Surface,,,,,,26,
Area,170.735,170.735,170.735,0.000,170.735,170.735,170.735,170.735,1,µm^2,Surface,,,,,,27,
Area,178.446,178.446,178.446,0.000,178.446,178.446,178.446,178.446,1,µm^2,Surface,,,,,,28,
Area,192.334,192.334,192.334,0.000,192.334,192.334,192.334,192.334,1,µm^2,Surface,,,,,,29,
Area,200.103,200.103,200.103,0.000,200.103,200.103,200.103,200.103,1,µm^2,Surface,,,,,,30,
Area,195.968,195.968,195.968,0.000,195.968,195.968,195.968,195.968,1,µm^2,Surface,,,,,,31,
Area,193.524,193.524,193.524,0.000,193.524,193.524,193.524,193.524,1,µm^2,Surface,,,,,,32,
Area,192.856,192.856,192.856,0.000,192.856,192.856,192.856,192.856,1,µm^2,Surface,,,,,,33,
Area,196.587,196.587,196.587,0.000,196.587,196.587,196.587,196.587,1,µm^2,Surface,,,,,,34,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,21,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,22,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,23,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,24,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,25,
Class Duration,59.954,59.954,59.954,0.000,59.954,59.954,59.954,59.954,1,s,Surface,,Set 1::Class B,,,,26,
Class Duration,59.954,59.954,59.954,0.000,59.954,59.954,59.954,59.954,1,s,Surface,,Set 1::Class B,,,,27,
Class Duration,120.053,120.053,120.053,0.000,120.053,120.053,120.053,120.053,1,s,Surface,,Set 1::Class A,,,,28,
Class Duration,120.053,120.053,120.053,0.000,120.053,120.053,120.053,120.053,1,s,Surface,,Set 1::Class A,,,,29,
Class Duration,120.053,120.053,120.053,0.000,120.053,120.053,120.053,120.053,1,s,Surface,,Set 1::Class A,,,,30,
Class Duration,180.019,180.019,180.019,0.000,180.019,180.019,180.019,180.019,1,s,Surface,,Set 1::Class B,,,,31,
Class Duration,180.019,180.019,180.019,0.000,180.019,180.019,180.019,180.019,1,s,Surface,,Set 1::Class B,,,,32,
Class Duration,180.019,180.019,180.019,0.000,180.019,180.019,180.019,180.019,1,s,Surface,,Set 1::Class B,,,,33,
Class Duration,180.019,180.019,180.019,0.000,180.019,180.019,180.019,180.019,1,s,Surface,,Set 1::Class B,,,,34,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,21,
Displacement Delta Length,0.714,0.714,0.714,0.000,0.714,0.714,0.714,0.714,1,µm,Surface,,,,,,22,
Displacement Delta Length,0.443,0.443,0.443,0.000,0.443,0.443,0.443,0.443,1,µm,Surface,,,,,,23,
Displacement Delta Length,1.314,1.314,1.314,0.000,1.314,1.314,1.314,1.314,1,µm,Surface,,,,,,24,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,25,
Displacement Delta Length,1.649,1.649,1.649,0.000,1.649,1.649,1.649,1.649,1,µm,Surface,,,,,,26,
