
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,45.041,45.041,45.041,0.000,45.041,45.041,45.041,45.041,1,µm^2,Surface,,,,,,9,
Area,81.032,81.032,81.032,0.000,81.032,81.032,81.032,81.032,1,µm^2,Surface,,,,,,10,
Area,116.863,116.863,116.863,0.000,116.863,116.863,116.863,116.863,1,µm^2,Surface,,,,,,11,
Area,130.809,130.809,130.809,0.000,130.809,130.809,130.809,130.809,1,µm^2,Surface,,,,,,12,
Area,153.219,153.219,153.219,0.000,153.219,153.219,153.219,153.219,1,µm^2,Surface,,,,,,13,
Area,176.237,176.237,176.237,0.000,176.237,176.237,176.237,176.237,1,µm^2,Surface,,,,,,14,
Area,183.764,183.764,183.764,0.000,183.764,183.764,183.764,183.764,1,µm^2,Surface,,,,,,15,
Area,222.217,222.217,222.217,0.000,222.217,222.217,222.217,222.217,1,µm^2,Surface,,,,,,16,
Area,205.575,205.575,205.575,0.000,205.575,205.575,205.575,205.575,1,µm^2,Surface,,,,,,17,
Area,260.823,260.823,260.823,0.000,260.823,260.823,260.823,260.823,1,µm^2,Surface,,,,,,18,
Area,264.126,264.126,264.126,0.000,264.126,264.126,264.126,264.126,1,µm^2,Surface,,,,,,19,
Area,252.558,252.558,252.558,0.000,252.558,252.558,252.558,252.558,1,µm^2,Surface,,,,,,20,
Area,257.772,257.772,257.772,0.000,257.772,257.772,257.772,257.772,1,µm^2,Surface,,,,,,21,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,9,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,10,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,11,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,12,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,13,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,14,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,15,
Class Duration,299.933,299.933,299.933,0.000,299.933,299.933,299.933,299.933,1,s,Surface,,Set 1::Class B,,,,16,
Class Duration,299.933,299.933,299.933,0.000,299.933,299.933,299.933,299.933,1,s,Surface,,Set 1::Class B,,,,17,
Class Duration,299.933,299.933,299.933,0.000,299.933,299.933,299.933,299.933,1,s,Surface,,Set 1::Class B,,,,18,
Class Duration,299.933,299.933,299.933,0.000,299.933,299.933,299.933,299.933,1,s,Surface,,Set 1::Class B,,,,19,
Class Duration,299.933,299.933,299.933,0.000,299.933,299.933,299.933,299.933,1,s,Surface,,Set 1::Class B,,,,20,
Class Duration,299.933,299.933,299.933,0.000,299.933,299.933,299.933,299.933,1,s,Surface,,Set 1::Class B,,,,21,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,9,
Displacement Delta Length,1.263,1.263,1.263,0.000,1.263,1.263,1.263,1.263,1,µm,Surface,,,,,,10,
Displacement Delta Length,0.866,0.866,0.866,0.000,0.866,0.866,0.866,0.866,1,µm,Surface,,,,,,11,
Displacement Delta Length,1.475,1.475,1.475,0.000,1.475,1.475,1.475,1.475,1,µm,Surface,,,,,,12,
Displacement Delta Length,0.839,0.839,0.839,0.000,0.839,0.839,0.839,0.839,1,µm,Surface,,,,,,13,
Displacement Delta Length,1.614,1.614,1.614,0.000,1.614,1.614,1.614,1.614,1,µm,Surface,,,,,,14,
Displacement Delta Length,0.504,0.504,0.504,0.000,0.504,0.504,0.504,0.504,1,µm,Surface,,,,,,15,
Displacement Delta Length,2.363,2.363,2.363,0.000,2.363,2.363,2.363,2.363,1,µm,Surface,,,,,,16,
Displacement Delta Length,1.798,1.798,1.798,0.000,1.798,1.798,1.798,1.798,1,µm,Surface,,,,,,17,
Displacement Delta Length,2.290,2.290,2.290,0.000,2.290,2.290,2.290,2.290,1,µm,Surface,,,,,,18,
Displacement Delta Length,0.874,0.874,0.874,0.000,0.874,0.874,0.874,0.874,1,µm,Surface,,,,,,19,
Displacement Delta Length,2.498,2.498,2.498,0.000,2.498,2.498,2.498,2.498,1,µm,Surface,,,,,,20,
Displacement Delta Length,2.390,2.390,2.390,0.000,2.390,2.390,2.390,2.390,1,µm,Surface,,,,,,21,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Delta X,1.122,1.122,1.122,0.000,1.122,1.122,1.122,1.122,1,µm,Surface,,,Displacement Delta,,,10,
