
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,54.785,54.785,54.785,0.000,54.785,54.785,54.785,54.785,1,µm^2,Surface,,,,,,27,
Area,86.138,86.138,86.138,0.000,86.138,86.138,86.138,86.138,1,µm^2,Surface,,,,,,28,
Area,92.179,92.179,92.179,0.000,92.179,92.179,92.179,92.179,1,µm^2,Surface,,,,,,29,
Area,97.717,97.717,97.717,0.000,97.717,97.717,97.717,97.717,1,µm^2,Surface,,,,,,30,
Area,107.901,107.901,107.901,0.000,107.901,107.901,107.901,107.901,1,µm^2,Surface,,,,,,31,
Area,100.373,100.373,100.373,0.000,100.373,100.373,100.373,100.373,1,µm^2,Surface,,,,,,32,
Area,74.769,74.769,74.769,0.000,74.769,74.769,74.769,74.769,1,µm^2,Surface,,,,,,33,
Area,71.672,71.672,71.672,0.000,71.672,71.672,71.672,71.672,1,µm^2,Surface,,,,,,34,
Area,112.664,112.664,112.664,0.000,112.664,112.664,112.664,112.664,1,µm^2,Surface,,,,,,35,
Area,125.995,125.995,125.995,0.000,125.995,125.995,125.995,125.995,1,µm^2,Surface,,,,,,36,
Area,146.186,146.186,146.186,0.000,146.186,146.186,146.186,146.186,1,µm^2,Surface,,,,,,37,
Area,149.446,149.446,149.446,0.000,149.446,149.446,149.446,149.446,1,µm^2,Surface,,,,,,38,
Area,155.160,155.160,155.160,0.000,155.160,155.160,155.160,155.160,1,µm^2,Surface,,,,,,39,
Area,145.734,145.734,145.734,0.000,145.734,145.734,145.734,145.734,1,µm^2,Surface,,,,,,40,
Area,147.698,147.698,147.698,0.000,147.698,147.698,147.698,147.698,1,µm^2,Surface,,,,,,41,
Area,154.663,154.663,154.663,0.000,154.663,154.663,154.663,154.663,1,µm^2,Surface,,,,,,42,
Area,28.977,28.977,28.977,0.000,28.977,28.977,28.977,28.977,1,µm^2,Surface,,,,,,43,
Class Duration,59.996,59.996,59.996,0.000,59.996,59.996,59.996,59.996,1,s,Surface,,Set 1::Class A,,,,27,
Class Duration,59.996,59.996,59.996,0.000,59.996,59.996,59.996,59.996,1,s,Surface,,Set 1::Class A,,,,28,
Class Duration,299.964,299.964,299.964,0.000,299.964,299.964,299.964,299.964,1,s,Surface,,Set 1::Class B,,,,29,
Class Duration,299.964,299.964,299.964,0.000,299.964,299.964,299.964,299.964,1,s,Surface,,Set 1::Class B,,,,30,
Class Duration,299.964,299.964,299.964,0.000,299.964,299.964,299.964,299.964,1,s,Surface,,Set 1::Class B,,,,31,
Class Duration,299.964,299.964,299.964,0.000,299.964,299.964,299.964,299.964,1,s,Surface,,Set 1::Class B,,,,32,
Class Duration,299.964,299.964,299.964,0.000,299.964,299.964,299.964,299.964,1,s,Surface,,Set 1::Class B,,,,33,
Class Duration,299.964,299.964,299.964,0.000,299.964,299.964,299.964,299.964,1,s,Surface,,Set 1::Class B,,,,34,
Class Duration,60.074,60.074,60.074,0.000,60.074,60.074,60.074,60.074,1,s,Surface,,Set 1::Class A,,,,35,
Class Duration,60.074,60.074,60.074,0.000,60.074,60.074,60.074,60.074,1,s,Surface,,Set 1::Class A,,,,36,
Class Duration,60.030,60.030,60.030,0.000,60.030,60.030,60.030,60.030,1,s,Surface,,Set 1::Class B,,,,37,
Class Duration,60.030,60.030,60.030,0.000,60.030,60.030,60.030,60.030,1,s,Surface,,Set 1::Class B,,,,38,
Class Duration,60.103,60.103,60.103,0.000,60.103,60.103,60.103,60.103,1,s,Surface,,Set 1::Class A,,,,39,
Class Duration,60.103,60.103,60.103,0.000,60.103,60.103,60.103,60.103,1,s,Surface,,Set 1::Class A,,,,40,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,41,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,42,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,43,
