
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,52.965,52.965,52.965,0.000,52.965,52.965,52.965,52.965,1,µm^2,Surface,,,,,,26,
Area,80.745,80.745,80.745,0.000,80.745,80.745,80.745,80.745,1,µm^2,Surface,,,,,,27,
Area,100.401,100.401,100.401,0.000,100.401,100.401,100.401,100.401,1,µm^2,Surface,,,,,,28,
Area,111.741,111.741,111.741,0.000,111.741,111.741,111.741,111.741,1,µm^2,Surface,,,,,,29,
Area,124.091,124.091,124.091,0.000,124.091,124.091,124.091,124.091,1,µm^2,Surface,,,,,,30,
Area,133.185,133.185,133.185,0.000,133.185,133.185,133.185,133.185,1,µm^2,Surface,,,,,,31,
Area,138.997,138.997,138.997,0.000,138.997,138.997,138.997,138.997,1,µm^2,Surface,,,,,,32,
Area,141.088,141.088,141.088,0.000,141.088,141.088,141.088,141.088,1,µm^2,Surface,,,,,,33,
Area,149.497,149.497,149.497,0.000,149.497,149.497,149.497,149.497,1,µm^2,Surface,,,,,,34,
Area,177.269,177.269,177.269,0.000,177.269,177.269,177.269,177.269,1,µm^2,Surface,,,,,,35,
Area,174.325,174.325,174.325,0.000,174.325,174.325,174.325,174.325,1,µm^2,Surface,,,,,,36,
Area,185.860,185.860,185.860,0.000,185.860,185.860,185.860,185.860,1,µm^2,Surface,,,,,,37,
Area,197.773,197.773,197.773,0.000,197.773,197.773,197.773,197.773,1,µm^2,Surface,,,,,,38,
Area,192.232,192.232,192.232,0.000,192.232,192.232,192.232,192.232,1,µm^2,Surface,,,,,,39,
Area,179.558,179.558,179.558,0.000,179.558,179.558,179.558,179.558,1,µm^2,Surface,,,,,,40,
Area,173.021,173.021,173.021,0.000,173.021,173.021,173.021,173.021,1,µm^2,Surface,,,,,,41,
Area,84.605,84.605,84.605,0.000,84.605,84.605,84.605,84.605,1,µm^2,Surface,,,,,,42,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,26,
Class Duration,120.052,120.052,120.052,0.000,120.052,120.052,120.052,120.052,1,s,Surface,,Set 1::Class B,,,,27,
Class Duration,120.052,120.052,120.052,0.000,120.052,120.052,120.052,120.052,1,s,Surface,,Set 1::Class B,,,,28,
Class Duration,120.052,120.052,120.052,0.000,120.052,120.052,120.052,120.052,1,s,Surface,,Set 1::Class B,,,,29,
Class Duration,239.966,239.966,239.966,0.000,239.966,239.966,239.966,239.966,1,s,Surface,,Set 1::Class A,,,,30,
Class Duration,239.966,239.966,239.966,0.000,239.966,239.966,239.966,239.966,1,s,Surface,,Set 1::Class A,,,,31,
Class Duration,239.966,239.966,239.966,0.000,239.966,239.966,239.966,239.966,1,s,Surface,,Set 1::Class A,,,,32,
