
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,45.586,45.586,45.586,0.000,45.586,45.586,45.586,45.586,1,µm^2,Surface,,,,,,9,
Area,97.006,97.006,97.006,0.000,97.006,97.006,97.006,97.006,1,µm^2,Surface,,,,,,10,
Area,134.382,134.382,134.382,0.000,134.382,134.382,134.382,134.382,1,µm^2,Surface,,,,,,11,
Area,156.674,156.674,156.674,0.000,156.674,156.674,156.674,156.674,1,µm^2,Surface,,,,,,12,
Area,162.629,162.629,162.629,0.000,162.629,162.629,162.629,162.629,1,µm^2,Surface,,,,,,13,
Area,190.725,190.725,190.725,0.000,190.725,190.725,190.725,190.725,1,µm^2,Surface,,,,,,14,
Area,186.134,186.134,186.134,0.000,186.134,186.134,186.134,186.134,1,µm^2,Surface,,,,,,15,
Area,192.083,192.083,192.083,0.000,192.083,192.083,192.083,192.083,1,µm^2,Surface,,,,,,16,
Area,204.345,204.345,204.345,0.000,204.345,204.345,204.345,204.345,1,µm^2,Surface,,,,,,17,
Area,220.847,220.847,220.847,0.000,220.847,220.847,220.847,220.847,1,µm^2,Surface,,,,,,18,
Area,223.438,223.438,223.438,0.000,223.438,223.438,223.438,223.438,1,µm^2,Surface,,,,,,19,
Area,227.195,227.195,227.195,0.000,227.195,227.195,227.195,227.195,1,µm^2,Surface,,,,,,20,
Area,214.345,214.345,214.345,0.000,214.345,214.345,214.345,214.345,1,µm^2,Surface,,,,,,21,
Area,210.452,210.452,210.452,0.000,210.452,210.452,210.452,210.452,1,µm^2,Surface,,,,,,22,
Area,235.281,235.281,235.281,0.000,235.281,235.281,235.281,235.281,1,µm^2,Surface,,,,,,23,
Area,272.788,272.788,272.788,0.000,272.788,272.788,272.788,272.788,1,µm^2,Surface,,,,,,24,
Area,249.608,249.608,249.608,0.000,249.608,249.608,249.608,249.608,1,µm^2,Surface,,,,,,25,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,9,
Class Duration,179.986,179.986,179.986,0.000,179.986,179.986,179.986,179.986,1,s,Surface,,Set 1::Class B,,,,10,
Class Duration,179.986,179.986,179.986,0.000,179.986,179.986,179.986,179.986,1,s,Surface,,Set 1::Class B,,,,11,
Class Duration,179.986,179.986,179.986,0.000,179.986,179.986,179.986,179.986,1,s,Surface,,Set 1::Class B,,,,12,
Class Duration,179.986,179.986,179.986,0.000,179.986,179.986,179.986,179.986,1,s,Surface,,Set 1::Class B,,,,13,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,14,
Class Duration,599.917,599.917,599.917,0.000,599.917,599.917,599.917,599.917,1,s,Surface,,Set 1::Class B,,,,15,
Class Duration,599.917,599.917,599.917,0.000,599.917,599.917,599.917,599.917,1,s,Surface,,Set 1::Class B,,,,16,
Class Duration,599.917,599.917,599.917,0.000,599.917,599.917,599.917,599.917,1,s,Surface,,Set 1::Class B,,,,17,
Class Duration,599.917,599.917,599.917,0.000,599.917,599.917,599.917,599.917,1,s,Surface,,Set 1::Class B,,,,18,
Class Duration,599.917,599.917,599.917,0.000,599.917,599.917,599.917,599.917,1,s,Surface,,Set 1::Class B,,,,19,
Class Duration,599.917,599.917,599.917,0.000,599.917,599.917,599.917,599.917,1,s,Surface,,Set 1::Class B,,,,20,
Class Duration,599.917,599.917,599.917,0.000,599.917,599.917,599.917,599.917,1,s,Surface,,Set 1::Class B,,,,21,
Class Duration,599.917,599.917,599.917,0.000,599.917,599.917,599.917,599.917,1,s,Surface,,Set 1::Class B,,,,22,
Class Duration,599.917,599.917,599.917,0.000,599.917,599.917,599.917,599.917,1,s,Surface,,Set 1::Class B,,,,23,
Class Duration,599.917,599.917,599.917,0.000,599.917,599.917,599.917,599.917,1,s,Surface,,Set 1::Class B,,,,24,
Class Duration,599.917,599.917,599.917,0.000,599.917,599.917,599.917,599.917,1,s,Surface,,Set 1::Class B,,,,25,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,9,
Displacement Delta Length,0.981,0.981,0.981,0.000,0.981,0.981,0.981,0.981,1,µm,Surface,,,,,,10,
Displacement Delta Length,2.208,2.208,2.208,0.000,2.208,2.208,2.208,2.208,1,µm,Surface,,,,,,11,
Displacement Delta Length,2.082,2.082,2.082,0.000,2.082,2.082,2.082,2.082,1,µm,Surface,,,,,,12,
Displacement Delta Length,1.880,1.880,1.880,0.000,1.880,1.880,1.880,1.880,1,µm,Surface,,,,,,13,
Displacement Delta Length,0.713,0.713,0.713,0.000,0.713,0.713,0.713,0.713,1,µm,Surface,,,,,,14,
Displacement Delta Length,1.261,1.261,1.261,0.000,1.261,1.261,1.261,1.261,1,µm,Surface,,,,,,15,
Displacement Delta Length,1.219,1.219,1.219,0.000,1.219,1.219,1.219,1.219,1,µm,Surface,,,,,,16,
Displacement Delta Length,1.193,1.193,1.193,0.000,1.193,1.193,1.193,1.193,1,µm,Surface,,,,,,17,
Displacement Delta Length,0.999,0.999,0.999,0.000,0.999,0.999,0.999,0.999,1,µm,Surface,,,,,,18,
Displacement Delta Length,1.037,1.037,1.037,0.000,1.037,1.037,1.037,1.037,1,µm,Surface,,,,,,19,
Displacement Delta Length,1.084,1.084,1.084,0.000,1.084,1.084,1.084,1.084,1,µm,Surface,,,,,,20,
Displacement Delta Length,1.635,1.635,1.635,0.000,1.635,1.635,1.635,1.635,1,µm,Surface,,,,,,21,
Displacement Delta Length,3.394,3.394,3.394,0.000,3.394,3.394,3.394,3.394,1,µm,Surface,,,,,,22,
Displacement Delta Length,1.815,1.815,1.815,0.000,1.815,1.815,1.815,1.815,1,µm,Surface,,,,,,23,
Displacement Delta Length,1.818,1.818,1.818,0.000,1.818,1.818,1.818,1.818,1,µm,Surface,,,,,,24,
Displacement Delta Length,1.383,1.383,1.383,0.000,1.383,1.383,1.383,1.383,1,µm,Surface,,,,,,25,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Delta X,0.208,0.208,0.208,0.000,0.208,0.208,0.208,0.208,1,µm,Surface,,,Displacement Delta,,,10,
Displacement Delta X,-2.053,-2.053,-2.053,0.000,-2.053,-2.053,-2.053,-2.053,1,µm,Surface,,,Displacement Delta,,,11,
Displacement Delta X,-1.677,-1.677,-1.677,0.000,-1.677,-1.677,-1.677,-1.677,1,µm,Surface,,,Displacement Delta,,,12,
Displacement Delta X,-0.811,-0.811,-0.811,0.000,-0.811,-0.811,-0.811,-0.811,1,µm,Surface,,,Displacement Delta,,,13,
Displacement Delta X,-0.138,-0.138,-0.138,0.000,-0.138,-0.138,-0.138,-0.138,1,µm,Surface,,,Displacement Delta,,,14,
Displacement Delta X,0.060,0.060,0.060,0.000,0.060,0.060,0.060,0.060,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta X,0.454,0.454,0.454,0.000,0.454,0.454,0.454,0.454,1,µm,Surface,,,Displacement Delta,,,16,
