
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,81.156,81.156,81.156,0.000,81.156,81.156,81.156,81.156,1,µm^2,Surface,,,,,,22,
Area,117.366,117.366,117.366,0.000,117.366,117.366,117.366,117.366,1,µm^2,Surface,,,,,,23,
Area,133.664,133.664,133.664,0.000,133.664,133.664,133.664,133.664,1,µm^2,Surface,,,,,,24,
Area,160.657,160.657,160.657,0.000,160.657,160.657,160.657,160.657,1,µm^2,Surface,,,,,,25,
Area,191.614,191.614,191.614,0.000,191.614,191.614,191.614,191.614,1,µm^2,Surface,,,,,,26,
Area,202.340,202.340,202.340,0.000,202.340,202.340,202.340,202.340,1,µm^2,Surface,,,,,,27,
Area,203.923,203.923,203.923,0.000,203.923,203.923,203.923,203.923,1,µm^2,Surface,,,,,,28,
Area,222.857,222.857,222.857,0.000,222.857,222.857,222.857,222.857,1,µm^2,Surface,,,,,,29,
Area,223.020,223.020,223.020,0.000,223.020,223.020,223.020,223.020,1,µm^2,Surface,,,,,,30,
Area,221.363,221.363,221.363,0.000,221.363,221.363,221.363,221.363,1,µm^2,Surface,,,,,,31,
Area,220.965,220.965,220.965,0.000,220.965,220.965,220.965,220.965,1,µm^2,Surface,,,,,,32,
Area,230.385,230.385,230.385,0.000,230.385,230.385,230.385,230.385,1,µm^2,Surface,,,,,,33,
Area,239.147,239.147,239.147,0.000,239.147,239.147,239.147,239.147,1,µm^2,Surface,,,,,,34,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,22,
Class Duration,180.039,180.039,180.039,0.000,180.039,180.039,180.039,180.039,1,s,Surface,,Set 1::Class B,,,,23,
Class Duration,180.039,180.039,180.039,0.000,180.039,180.039,180.039,180.039,1,s,Surface,,Set 1::Class B,,,,24,
Class Duration,180.039,180.039,180.039,0.000,180.039,180.039,180.039,180.039,1,s,Surface,,Set 1::Class B,,,,25,
Class Duration,180.039,180.039,180.039,0.000,180.039,180.039,180.039,180.039,1,s,Surface,,Set 1::Class B,,,,26,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,27,
Class Duration,180.001,180.001,180.001,0.000,180.001,180.001,180.001,180.001,1,s,Surface,,Set 1::Class B,,,,28,
Class Duration,180.001,180.001,180.001,0.000,180.001,180.001,180.001,180.001,1,s,Surface,,Set 1::Class B,,,,29,
Class Duration,180.001,180.001,180.001,0.000,180.001,180.001,180.001,180.001,1,s,Surface,,Set 1::Class B,,,,30,
