nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Class,Unnamed: 18
AB,Intensity Max,288,288,288,0,288,288,288,288,1,,Surface,2,,Image 1,,1,,
AB,Intensity Max,296,296,296,0,296,296,296,296,1,,Surface,2,,Image 1,,2,,
P1,Intensity Max,298,298,298,0,298,298,298,298,1,,Surface,2,,Image 1,,1,,
P1,Intensity Max,324,324,324,0,324,324,324,324,1,,Surface,2,,Image 1,,2,,
P1,Intensity Max,301,301,301,0,301,301,301,301,1,,Surface,2,,Image 1,,3,,
P1,Intensity Max,274,274,274,0,274,274,274,274,1,,Surface,2,,Image 1,,4,,
P1,Intensity Max,214,214,214,0,214,214,214,214,1,,Surface,2,,Image 1,,5,,
ABa,Intensity Max,249,249,249,0,249,249,249,249,1,,Surface,2,,Image 1,,8,,
ABa,Intensity Max,297,297,297,0,297,297,297,297,1,,Surface,2,,Image 1,,9,,
ABa,Intensity Max,280,280,280,0,280,280,280,280,1,,Surface,2,,Image 1,,10,,
ABa,Intensity Max,383,383,383,0,383,383,383,383,1,,Surface,2,,Image 1,,11,,
ABa,Intensity Max,438,438,438,0,438,438,438,438,1,,Surface,2,,Image 1,,12,,
ABa,Intensity Max,361,361,361,0,361,361,361,361,1,,Surface,2,,Image 1,,13,,
ABa,Intensity Max,341,341,341,0,341,341,341,341,1,,Surface,2,,Image 1,,14,,
ABa,Intensity Max,303,303,303,0,303,303,303,303,1,,Surface,2,,Image 1,,15,,
ABa,Intensity Max,292,292,292,0,292,292,292,292,1,,Surface,2,,Image 1,,16,,
ABa,Intensity Max,242,242,242,0,242,242,242,242,1,,Surface,2,,Image 1,,17,,
ABp,Intensity Max,298,298,298,0,298,298,298,298,1,,Surface,2,,Image 1,,8,,
ABp,Intensity Max,272,272,272,0,272,272,272,272,1,,Surface,2,,Image 1,,9,,
ABp,Intensity Max,289,289,289,0,289,289,289,289,1,,Surface,2,,Image 1,,10,,
ABp,Intensity Max,304,304,304,0,304,304,304,304,1,,Surface,2,,Image 1,,11,,
ABp,Intensity Max,343,343,343,0,343,343,343,343,1,,Surface,2,,Image 1,,12,,
ABp,Intensity Max,397,397,397,0,397,397,397,397,1,,Surface,2,,Image 1,,13,,
ABp,Intensity Max,295,295,295,0,295,295,295,295,1,,Surface,2,,Image 1,,14,,
ABp,Intensity Max,287,287,287,0,287,287,287,287,1,,Surface,2,,Image 1,,15,,
ABp,Intensity Max,278,278,278,0,278,278,278,278,1,,Surface,2,,Image 1,,16,,
ABp,Intensity Max,244,244,244,0,244,244,244,244,1,,Surface,2,,Image 1,,17,,
EMS,Intensity Max,215,215,215,0,215,215,215,215,1,,Surface,2,,Image 1,,9,,
EMS,Intensity Max,249,249,249,0,249,249,249,249,1,,Surface,2,,Image 1,,10,,
EMS,Intensity Max,260,260,260,0,260,260,260,260,1,,Surface,2,,Image 1,,11,,
EMS,Intensity Max,270,270,270,0,270,270,270,270,1,,Surface,2,,Image 1,,12,,
EMS,Intensity Max,370,370,370,0,370,370,370,370,1,,Surface,2,,Image 1,,13,,
EMS,Intensity Max,561,561,561,0,561,561,561,561,1,,Surface,2,,Image 1,,14,,
EMS,Intensity Max,1029,1029,1029,0,1029,1029,1029,1029,1,,Surface,2,,Image 1,,15,,
EMS,Intensity Max,1077,1077,1077,0,1077,1077,1077,1077,1,,Surface,2,,Image 1,,16,,
EMS,Intensity Max,816,816,816,0,816,816,816,816,1,,Surface,2,,Image 1,,17,,
EMS,Intensity Max,614,614,614,0,614,614,614,614,1,,Surface,2,,Image 1,,18,,
EMS,Intensity Max,307,307,307,0,307,307,307,307,1,,Surface,2,,Image 1,,19,,
