
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,88.619,88.619,88.619,0.000,88.619,88.619,88.619,88.619,1,µm^2,Surface,,,,4,
Area,102.684,102.684,102.684,0.000,102.684,102.684,102.684,102.684,1,µm^2,Surface,,,,5,
Area,125.982,125.982,125.982,0.000,125.982,125.982,125.982,125.982,1,µm^2,Surface,,,,6,
Area,141.157,141.157,141.157,0.000,141.157,141.157,141.157,141.157,1,µm^2,Surface,,,,7,
Area,174.035,174.035,174.035,0.000,174.035,174.035,174.035,174.035,1,µm^2,Surface,,,,8,
Area,187.032,187.032,187.032,0.000,187.032,187.032,187.032,187.032,1,µm^2,Surface,,,,9,
Area,170.573,170.573,170.573,0.000,170.573,170.573,170.573,170.573,1,µm^2,Surface,,,,10,
Distance from Origin,11281.368,11281.368,11281.368,0.000,11281.368,11281.368,11281.368,11281.368,1,µm,Surface,,Distance from Origin,,4,
Distance from Origin,11281.589,11281.589,11281.589,0.000,11281.589,11281.589,11281.589,11281.589,1,µm,Surface,,Distance from Origin,,5,
Distance from Origin,11282.371,11282.371,11282.371,0.000,11282.371,11282.371,11282.371,11282.371,1,µm,Surface,,Distance from Origin,,6,
Distance from Origin,11281.854,11281.854,11281.854,0.000,11281.854,11281.854,11281.854,11281.854,1,µm,Surface,,Distance from Origin,,7,
Distance from Origin,11282.554,11282.554,11282.554,0.000,11282.554,11282.554,11282.554,11282.554,1,µm,Surface,,Distance from Origin,,8,
Distance from Origin,11283.147,11283.147,11283.147,0.000,11283.147,11283.147,11283.147,11283.147,1,µm,Surface,,Distance from Origin,,9,
Distance from Origin,11284.708,11284.708,11284.708,0.000,11284.708,11284.708,11284.708,11284.708,1,µm,Surface,,Distance from Origin,,10,
Distance to Image Border XY,19.858,19.858,19.858,0.000,19.858,19.858,19.858,19.858,1,µm,Surface,,,Image 1,4,
Distance to Image Border XY,20.167,20.167,20.167,0.000,20.167,20.167,20.167,20.167,1,µm,Surface,,,Image 1,5,
Distance to Image Border XY,20.308,20.308,20.308,0.000,20.308,20.308,20.308,20.308,1,µm,Surface,,,Image 1,6,
Distance to Image Border XY,19.017,19.017,19.017,0.000,19.017,19.017,19.017,19.017,1,µm,Surface,,,Image 1,7,
Distance to Image Border XY,15.993,15.993,15.993,0.000,15.993,15.993,15.993,15.993,1,µm,Surface,,,Image 1,8,
Distance to Image Border XY,13.851,13.851,13.851,0.000,13.851,13.851,13.851,13.851,1,µm,Surface,,,Image 1,9,
Distance to Image Border XY,15.351,15.351,15.351,0.000,15.351,15.351,15.351,15.351,1,µm,Surface,,,Image 1,10,
Ellipticity (oblate),0.199,0.199,0.199,0.000,0.199,0.199,0.199,0.199,1,,Surface,,,,4,
Ellipticity (oblate),0.156,0.156,0.156,0.000,0.156,0.156,0.156,0.156,1,,Surface,,,,5,
Ellipticity (oblate),0.089,0.089,0.089,0.000,0.089,0.089,0.089,0.089,1,,Surface,,,,6,
Ellipticity (oblate),0.130,0.130,0.130,0.000,0.130,0.130,0.130,0.130,1,,Surface,,,,7,
Ellipticity (oblate),0.032,0.032,0.032,0.000,0.032,0.032,0.032,0.032,1,,Surface,,,,8,
Ellipticity (oblate),0.417,0.417,0.417,0.000,0.417,0.417,0.417,0.417,1,,Surface,,,,9,
Ellipticity (oblate),0.339,0.339,0.339,0.000,0.339,0.339,0.339,0.339,1,,Surface,,,,10,
Ellipticity (prolate),0.237,0.237,0.237,0.000,0.237,0.237,0.237,0.237,1,,Surface,,,,4,
Ellipticity (prolate),0.156,0.156,0.156,0.000,0.156,0.156,0.156,0.156,1,,Surface,,,,5,
Ellipticity (prolate),0.084,0.084,0.084,0.000,0.084,0.084,0.084,0.084,1,,Surface,,,,6,
Ellipticity (prolate),0.128,0.128,0.128,0.000,0.128,0.128,0.128,0.128,1,,Surface,,,,7,
Ellipticity (prolate),0.049,0.049,0.049,0.000,0.049,0.049,0.049,0.049,1,,Surface,,,,8,
Ellipticity (prolate),0.292,0.292,0.292,0.000,0.292,0.292,0.292,0.292,1,,Surface,,,,9,
Ellipticity (prolate),0.541,0.541,0.541,0.000,0.541,0.541,0.541,0.541,1,,Surface,,,,10,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,4,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,5,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,6,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,7,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,8,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,9,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,10,
Intensity Max,297.000,297.000,297.000,0.000,297.000,297.000,297.000,297.000,1,,Surface,1,,Image 1,4,
Intensity Max,311.000,311.000,311.000,0.000,311.000,311.000,311.000,311.000,1,,Surface,1,,Image 1,5,
Intensity Max,338.000,338.000,338.000,0.000,338.000,338.000,338.000,338.000,1,,Surface,1,,Image 1,6,
Intensity Max,362.000,362.000,362.000,0.000,362.000,362.000,362.000,362.000,1,,Surface,1,,Image 1,7,
Intensity Max,379.000,379.000,379.000,0.000,379.000,379.000,379.000,379.000,1,,Surface,1,,Image 1,8,
Intensity Max,344.000,344.000,344.000,0.000,344.000,344.000,344.000,344.000,1,,Surface,1,,Image 1,9,
Intensity Max,228.000,228.000,228.000,0.000,228.000,228.000,228.000,228.000,1,,Surface,1,,Image 1,10,
Intensity Mean,150.738,150.738,150.738,0.000,150.738,150.738,150.738,150.738,1,,Surface,1,,Image 1,4,
Intensity Mean,149.139,149.139,149.139,0.000,149.139,149.139,149.139,149.139,1,,Surface,1,,Image 1,5,
Intensity Mean,147.260,147.260,147.260,0.000,147.260,147.260,147.260,147.260,1,,Surface,1,,Image 1,6,
Intensity Mean,154.832,154.832,154.832,0.000,154.832,154.832,154.832,154.832,1,,Surface,1,,Image 1,7,
Intensity Mean,158.907,158.907,158.907,0.000,158.907,158.907,158.907,158.907,1,,Surface,1,,Image 1,8,
Intensity Mean,146.153,146.153,146.153,0.000,146.153,146.153,146.153,146.153,1,,Surface,1,,Image 1,9,
Intensity Mean,120.857,120.857,120.857,0.000,120.857,120.857,120.857,120.857,1,,Surface,1,,Image 1,10,
Intensity Median,149.062,149.062,149.062,0.000,149.062,149.062,149.062,149.062,1,,Surface,1,,Image 1,4,
Intensity Median,146.062,146.062,146.062,0.000,146.062,146.062,146.062,146.062,1,,Surface,1,,Image 1,5,
Intensity Median,144.125,144.125,144.125,0.000,144.125,144.125,144.125,144.125,1,,Surface,1,,Image 1,6,
Intensity Median,151.125,151.125,151.125,0.000,151.125,151.125,151.125,151.125,1,,Surface,1,,Image 1,7,
Intensity Median,155.125,155.125,155.125,0.000,155.125,155.125,155.125,155.125,1,,Surface,1,,Image 1,8,
Intensity Median,142.125,142.125,142.125,0.000,142.125,142.125,142.125,142.125,1,,Surface,1,,Image 1,9,
Intensity Median,118.062,118.062,118.062,0.000,118.062,118.062,118.062,118.062,1,,Surface,1,,Image 1,10,
Intensity Min,72.000,72.000,72.000,0.000,72.000,72.000,72.000,72.000,1,,Surface,1,,Image 1,4,
Intensity Min,80.000,80.000,80.000,0.000,80.000,80.000,80.000,80.000,1,,Surface,1,,Image 1,5,
Intensity Min,74.000,74.000,74.000,0.000,74.000,74.000,74.000,74.000,1,,Surface,1,,Image 1,6,
Intensity Min,66.000,66.000,66.000,0.000,66.000,66.000,66.000,66.000,1,,Surface,1,,Image 1,7,
Intensity Min,73.000,73.000,73.000,0.000,73.000,73.000,73.000,73.000,1,,Surface,1,,Image 1,8,
Intensity Min,66.000,66.000,66.000,0.000,66.000,66.000,66.000,66.000,1,,Surface,1,,Image 1,9,
Intensity Min,67.000,67.000,67.000,0.000,67.000,67.000,67.000,67.000,1,,Surface,1,,Image 1,10,
Intensity StdDev,34.566,34.566,34.566,0.000,34.566,34.566,34.566,34.566,1,,Surface,1,,Image 1,4,
Intensity StdDev,28.684,28.684,28.684,0.000,28.684,28.684,28.684,28.684,1,,Surface,1,,Image 1,5,
Intensity StdDev,27.914,27.914,27.914,0.000,27.914,27.914,27.914,27.914,1,,Surface,1,,Image 1,6,
Intensity StdDev,30.508,30.508,30.508,0.000,30.508,30.508,30.508,30.508,1,,Surface,1,,Image 1,7,
Intensity StdDev,33.707,33.707,33.707,0.000,33.707,33.707,33.707,33.707,1,,Surface,1,,Image 1,8,
Intensity StdDev,29.723,29.723,29.723,0.000,29.723,29.723,29.723,29.723,1,,Surface,1,,Image 1,9,
