
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,46.368,46.368,46.368,0.000,46.368,46.368,46.368,46.368,1,µm^2,Surface,,,,,17,
Area,81.358,81.358,81.358,0.000,81.358,81.358,81.358,81.358,1,µm^2,Surface,,,,,18,
Area,104.140,104.140,104.140,0.000,104.140,104.140,104.140,104.140,1,µm^2,Surface,,,,,19,
Area,121.059,121.059,121.059,0.000,121.059,121.059,121.059,121.059,1,µm^2,Surface,,,,,20,
Area,142.912,142.912,142.912,0.000,142.912,142.912,142.912,142.912,1,µm^2,Surface,,,,,21,
Area,146.783,146.783,146.783,0.000,146.783,146.783,146.783,146.783,1,µm^2,Surface,,,,,22,
Area,156.161,156.161,156.161,0.000,156.161,156.161,156.161,156.161,1,µm^2,Surface,,,,,23,
Area,130.460,130.460,130.460,0.000,130.460,130.460,130.460,130.460,1,µm^2,Surface,,,,,24,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,17,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,18,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,19,
Class Duration,59.998,59.998,59.998,0.000,59.998,59.998,59.998,59.998,1,s,Surface,,Set 1::Class B,,,20,
Class Duration,59.998,59.998,59.998,0.000,59.998,59.998,59.998,59.998,1,s,Surface,,Set 1::Class B,,,21,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,22,
Class Duration,59.957,59.957,59.957,0.000,59.957,59.957,59.957,59.957,1,s,Surface,,Set 1::Class B,,,23,
Class Duration,59.957,59.957,59.957,0.000,59.957,59.957,59.957,59.957,1,s,Surface,,Set 1::Class B,,,24,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,17,
Displacement Delta Length,1.254,1.254,1.254,0.000,1.254,1.254,1.254,1.254,1,µm,Surface,,,,,18,
Displacement Delta Length,0.594,0.594,0.594,0.000,0.594,0.594,0.594,0.594,1,µm,Surface,,,,,19,
Displacement Delta Length,1.994,1.994,1.994,0.000,1.994,1.994,1.994,1.994,1,µm,Surface,,,,,20,
Displacement Delta Length,0.907,0.907,0.907,0.000,0.907,0.907,0.907,0.907,1,µm,Surface,,,,,21,
Displacement Delta Length,0.673,0.673,0.673,0.000,0.673,0.673,0.673,0.673,1,µm,Surface,,,,,22,
Displacement Delta Length,2.547,2.547,2.547,0.000,2.547,2.547,2.547,2.547,1,µm,Surface,,,,,23,
Displacement Delta Length,2.172,2.172,2.172,0.000,2.172,2.172,2.172,2.172,1,µm,Surface,,,,,24,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,17,
Displacement Delta X,-0.721,-0.721,-0.721,0.000,-0.721,-0.721,-0.721,-0.721,1,µm,Surface,,,Displacement Delta,,18,
Displacement Delta X,-0.517,-0.517,-0.517,0.000,-0.517,-0.517,-0.517,-0.517,1,µm,Surface,,,Displacement Delta,,19,
Displacement Delta X,-0.001,-0.001,-0.001,0.000,-0.001,-0.001,-0.001,-0.001,1,µm,Surface,,,Displacement Delta,,20,
Displacement Delta X,-0.238,-0.238,-0.238,0.000,-0.238,-0.238,-0.238,-0.238,1,µm,Surface,,,Displacement Delta,,21,
Displacement Delta X,-0.599,-0.599,-0.599,0.000,-0.599,-0.599,-0.599,-0.599,1,µm,Surface,,,Displacement Delta,,22,
Displacement Delta X,-2.273,-2.273,-2.273,0.000,-2.273,-2.273,-2.273,-2.273,1,µm,Surface,,,Displacement Delta,,23,
Displacement Delta X,-0.315,-0.315,-0.315,0.000,-0.315,-0.315,-0.315,-0.315,1,µm,Surface,,,Displacement Delta,,24,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,17,
Displacement Delta Y,1.015,1.015,1.015,0.000,1.015,1.015,1.015,1.015,1,µm,Surface,,,Displacement Delta,,18,
Displacement Delta Y,0.272,0.272,0.272,0.000,0.272,0.272,0.272,0.272,1,µm,Surface,,,Displacement Delta,,19,
Displacement Delta Y,-0.210,-0.210,-0.210,0.000,-0.210,-0.210,-0.210,-0.210,1,µm,Surface,,,Displacement Delta,,20,
Displacement Delta Y,0.299,0.299,0.299,0.000,0.299,0.299,0.299,0.299,1,µm,Surface,,,Displacement Delta,,21,
Displacement Delta Y,0.181,0.181,0.181,0.000,0.181,0.181,0.181,0.181,1,µm,Surface,,,Displacement Delta,,22,
Displacement Delta Y,-1.144,-1.144,-1.144,0.000,-1.144,-1.144,-1.144,-1.144,1,µm,Surface,,,Displacement Delta,,23,
Displacement Delta Y,-1.947,-1.947,-1.947,0.000,-1.947,-1.947,-1.947,-1.947,1,µm,Surface,,,Displacement Delta,,24,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,17,
Displacement Delta Z,0.145,0.145,0.145,0.000,0.145,0.145,0.145,0.145,1,µm,Surface,,,Displacement Delta,,18,
Displacement Delta Z,-0.106,-0.106,-0.106,0.000,-0.106,-0.106,-0.106,-0.106,1,µm,Surface,,,Displacement Delta,,19,
