
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,26.752,26.752,26.752,0.000,26.752,26.752,26.752,26.752,1,µm^2,Surface,,,,,34,
Area,84.046,84.046,84.046,0.000,84.046,84.046,84.046,84.046,1,µm^2,Surface,,,,,35,
Area,98.492,98.492,98.492,0.000,98.492,98.492,98.492,98.492,1,µm^2,Surface,,,,,36,
Area,100.777,100.777,100.777,0.000,100.777,100.777,100.777,100.777,1,µm^2,Surface,,,,,37,
Area,109.377,109.377,109.377,0.000,109.377,109.377,109.377,109.377,1,µm^2,Surface,,,,,38,
Area,114.222,114.222,114.222,0.000,114.222,114.222,114.222,114.222,1,µm^2,Surface,,,,,39,
Area,132.452,132.452,132.452,0.000,132.452,132.452,132.452,132.452,1,µm^2,Surface,,,,,40,
Area,109.414,109.414,109.414,0.000,109.414,109.414,109.414,109.414,1,µm^2,Surface,,,,,41,
Area,100.706,100.706,100.706,0.000,100.706,100.706,100.706,100.706,1,µm^2,Surface,,,,,42,
Area,80.770,80.770,80.770,0.000,80.770,80.770,80.770,80.770,1,µm^2,Surface,,,,,43,
Area,26.713,93.440,60.076,33.364,60.076,43.406,76.781,120.152,2,µm^2,Surface,,,,,44,
Area,56.360,56.360,56.360,0.000,56.360,56.360,56.360,56.360,1,µm^2,Surface,,,,,45,
Area,21.153,21.153,21.153,0.000,21.153,21.153,21.153,21.153,1,µm^2,Surface,,,,,46,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,34,
Class Duration,59.983,59.983,59.983,0.000,59.983,59.983,59.983,59.983,1,s,Surface,,Set 1::Class B,,,35,
Class Duration,59.983,59.983,59.983,0.000,59.983,59.983,59.983,59.983,1,s,Surface,,Set 1::Class B,,,36,
Class Duration,119.993,119.993,119.993,0.000,119.993,119.993,119.993,119.993,1,s,Surface,,Set 1::Class A,,,37,
Class Duration,119.993,119.993,119.993,0.000,119.993,119.993,119.993,119.993,1,s,Surface,,Set 1::Class A,,,38,
Class Duration,119.993,119.993,119.993,0.000,119.993,119.993,119.993,119.993,1,s,Surface,,Set 1::Class A,,,39,
Class Duration,120.001,120.001,120.001,0.000,120.001,120.001,120.001,120.001,1,s,Surface,,Set 1::Class B,,,40,
Class Duration,120.001,120.001,120.001,0.000,120.001,120.001,120.001,120.001,1,s,Surface,,Set 1::Class B,,,41,
Class Duration,120.001,120.001,120.001,0.000,120.001,120.001,120.001,120.001,1,s,Surface,,Set 1::Class B,,,42,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,43,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,44,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,34,
Displacement Delta Length,0.995,0.995,0.995,0.000,0.995,0.995,0.995,0.995,1,µm,Surface,,,,,35,
Displacement Delta Length,1.273,1.273,1.273,0.000,1.273,1.273,1.273,1.273,1,µm,Surface,,,,,36,
Displacement Delta Length,0.787,0.787,0.787,0.000,0.787,0.787,0.787,0.787,1,µm,Surface,,,,,37,
Displacement Delta Length,0.803,0.803,0.803,0.000,0.803,0.803,0.803,0.803,1,µm,Surface,,,,,38,
Displacement Delta Length,0.630,0.630,0.630,0.000,0.630,0.630,0.630,0.630,1,µm,Surface,,,,,39,
Displacement Delta Length,0.888,0.888,0.888,0.000,0.888,0.888,0.888,0.888,1,µm,Surface,,,,,40,
Displacement Delta Length,1.437,1.437,1.437,0.000,1.437,1.437,1.437,1.437,1,µm,Surface,,,,,41,
Displacement Delta Length,0.941,0.941,0.941,0.000,0.941,0.941,0.941,0.941,1,µm,Surface,,,,,42,
Displacement Delta Length,0.617,0.617,0.617,0.000,0.617,0.617,0.617,0.617,1,µm,Surface,,,,,43,
Displacement Delta Length,1.495,1.495,1.495,0.000,1.495,1.495,1.495,1.495,1,µm,Surface,,,,,44,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,34,
Displacement Delta X,0.101,0.101,0.101,0.000,0.101,0.101,0.101,0.101,1,µm,Surface,,,Displacement Delta,,35,
Displacement Delta X,0.486,0.486,0.486,0.000,0.486,0.486,0.486,0.486,1,µm,Surface,,,Displacement Delta,,36,
Displacement Delta X,0.611,0.611,0.611,0.000,0.611,0.611,0.611,0.611,1,µm,Surface,,,Displacement Delta,,37,
Displacement Delta X,0.264,0.264,0.264,0.000,0.264,0.264,0.264,0.264,1,µm,Surface,,,Displacement Delta,,38,
Displacement Delta X,0.540,0.540,0.540,0.000,0.540,0.540,0.540,0.540,1,µm,Surface,,,Displacement Delta,,39,
Displacement Delta X,-0.112,-0.112,-0.112,0.000,-0.112,-0.112,-0.112,-0.112,1,µm,Surface,,,Displacement Delta,,40,
Displacement Delta X,0.970,0.970,0.970,0.000,0.970,0.970,0.970,0.970,1,µm,Surface,,,Displacement Delta,,41,
Displacement Delta X,0.847,0.847,0.847,0.000,0.847,0.847,0.847,0.847,1,µm,Surface,,,Displacement Delta,,42,
Displacement Delta X,0.219,0.219,0.219,0.000,0.219,0.219,0.219,0.219,1,µm,Surface,,,Displacement Delta,,43,
Displacement Delta X,1.363,1.363,1.363,0.000,1.363,1.363,1.363,1.363,1,µm,Surface,,,Displacement Delta,,44,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,34,
Displacement Delta Y,0.957,0.957,0.957,0.000,0.957,0.957,0.957,0.957,1,µm,Surface,,,Displacement Delta,,35,
Displacement Delta Y,0.175,0.175,0.175,0.000,0.175,0.175,0.175,0.175,1,µm,Surface,,,Displacement Delta,,36,
Displacement Delta Y,-0.094,-0.094,-0.094,0.000,-0.094,-0.094,-0.094,-0.094,1,µm,Surface,,,Displacement Delta,,37,
Displacement Delta Y,-0.362,-0.362,-0.362,0.000,-0.362,-0.362,-0.362,-0.362,1,µm,Surface,,,Displacement Delta,,38,
Displacement Delta Y,-0.109,-0.109,-0.109,0.000,-0.109,-0.109,-0.109,-0.109,1,µm,Surface,,,Displacement Delta,,39,
Displacement Delta Y,-0.787,-0.787,-0.787,0.000,-0.787,-0.787,-0.787,-0.787,1,µm,Surface,,,Displacement Delta,,40,
Displacement Delta Y,0.954,0.954,0.954,0.000,0.954,0.954,0.954,0.954,1,µm,Surface,,,Displacement Delta,,41,
Displacement Delta Y,0.267,0.267,0.267,0.000,0.267,0.267,0.267,0.267,1,µm,Surface,,,Displacement Delta,,42,
Displacement Delta Y,0.226,0.226,0.226,0.000,0.226,0.226,0.226,0.226,1,µm,Surface,,,Displacement Delta,,43,
Displacement Delta Y,-0.590,-0.590,-0.590,0.000,-0.590,-0.590,-0.590,-0.590,1,µm,Surface,,,Displacement Delta,,44,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,34,
Displacement Delta Z,-0.252,-0.252,-0.252,0.000,-0.252,-0.252,-0.252,-0.252,1,µm,Surface,,,Displacement Delta,,35,
Displacement Delta Z,-1.164,-1.164,-1.164,0.000,-1.164,-1.164,-1.164,-1.164,1,µm,Surface,,,Displacement Delta,,36,
Displacement Delta Z,-0.487,-0.487,-0.487,0.000,-0.487,-0.487,-0.487,-0.487,1,µm,Surface,,,Displacement Delta,,37,
Displacement Delta Z,-0.666,-0.666,-0.666,0.000,-0.666,-0.666,-0.666,-0.666,1,µm,Surface,,,Displacement Delta,,38,
Displacement Delta Z,0.305,0.305,0.305,0.000,0.305,0.305,0.305,0.305,1,µm,Surface,,,Displacement Delta,,39,
Displacement Delta Z,0.397,0.397,0.397,0.000,0.397,0.397,0.397,0.397,1,µm,Surface,,,Displacement Delta,,40,
Displacement Delta Z,-0.464,-0.464,-0.464,0.000,-0.464,-0.464,-0.464,-0.464,1,µm,Surface,,,Displacement Delta,,41,
Displacement Delta Z,-0.313,-0.313,-0.313,0.000,-0.313,-0.313,-0.313,-0.313,1,µm,Surface,,,Displacement Delta,,42,
Displacement Delta Z,0.530,0.530,0.530,0.000,0.530,0.530,0.530,0.530,1,µm,Surface,,,Displacement Delta,,43,
Displacement Delta Z,-0.170,-0.170,-0.170,0.000,-0.170,-0.170,-0.170,-0.170,1,µm,Surface,,,Displacement Delta,,44,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,34,
Displacement Length,0.995,0.995,0.995,0.000,0.995,0.995,0.995,0.995,1,µm,Surface,,,,,35,
Displacement Length,1.905,1.905,1.905,0.000,1.905,1.905,1.905,1.905,1,µm,Surface,,,,,36,
Displacement Length,2.477,2.477,2.477,0.000,2.477,2.477,2.477,2.477,1,µm,Surface,,,,,37,
Displacement Length,3.033,3.033,3.033,0.000,3.033,3.033,3.033,3.033,1,µm,Surface,,,,,38,
Displacement Length,3.076,3.076,3.076,0.000,3.076,3.076,3.076,3.076,1,µm,Surface,,,,,39,
Displacement Length,2.666,2.666,2.666,0.000,2.666,2.666,2.666,2.666,1,µm,Surface,,,,,40,
Displacement Length,3.762,3.762,3.762,0.000,3.762,3.762,3.762,3.762,1,µm,Surface,,,,,41,
Displacement Length,4.663,4.663,4.663,0.000,4.663,4.663,4.663,4.663,1,µm,Surface,,,,,42,
Displacement Length,4.625,4.625,4.625,0.000,4.625,4.625,4.625,4.625,1,µm,Surface,,,,,43,
Displacement Length,5.797,5.797,5.797,0.000,5.797,5.797,5.797,5.797,1,µm,Surface,,,,,44,
Distance from Origin,11281.743,11281.743,11281.743,0.000,11281.743,11281.743,11281.743,11281.743,1,µm,Surface,,,Distance from Origin,,34,
Distance from Origin,11281.695,11281.695,11281.695,0.000,11281.695,11281.695,11281.695,11281.695,1,µm,Surface,,,Distance from Origin,,35,
Distance from Origin,11280.539,11280.539,11280.539,0.000,11280.539,11280.539,11280.539,11280.539,1,µm,Surface,,,Distance from Origin,,36,
Distance from Origin,11279.779,11279.779,11279.779,0.000,11279.779,11279.779,11279.779,11279.779,1,µm,Surface,,,Distance from Origin,,37,
