
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,36.528,36.528,36.528,0.000,36.528,36.528,36.528,36.528,1,µm^2,Surface,,,,,17,
Area,72.942,72.942,72.942,0.000,72.942,72.942,72.942,72.942,1,µm^2,Surface,,,,,18,
Area,119.725,119.725,119.725,0.000,119.725,119.725,119.725,119.725,1,µm^2,Surface,,,,,19,
Area,127.127,127.127,127.127,0.000,127.127,127.127,127.127,127.127,1,µm^2,Surface,,,,,20,
Area,140.838,140.838,140.838,0.000,140.838,140.838,140.838,140.838,1,µm^2,Surface,,,,,21,
Area,164.385,164.385,164.385,0.000,164.385,164.385,164.385,164.385,1,µm^2,Surface,,,,,22,
Area,159.226,159.226,159.226,0.000,159.226,159.226,159.226,159.226,1,µm^2,Surface,,,,,23,
Area,138.672,138.672,138.672,0.000,138.672,138.672,138.672,138.672,1,µm^2,Surface,,,,,24,
Area,110.405,110.405,110.405,0.000,110.405,110.405,110.405,110.405,1,µm^2,Surface,,,,,25,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,17,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,18,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,19,
Class Duration,59.998,59.998,59.998,0.000,59.998,59.998,59.998,59.998,1,s,Surface,,Set 1::Class B,,,20,
Class Duration,59.998,59.998,59.998,0.000,59.998,59.998,59.998,59.998,1,s,Surface,,Set 1::Class B,,,21,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,22,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,23,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,17,
Displacement Delta Length,1.664,1.664,1.664,0.000,1.664,1.664,1.664,1.664,1,µm,Surface,,,,,18,
Displacement Delta Length,0.665,0.665,0.665,0.000,0.665,0.665,0.665,0.665,1,µm,Surface,,,,,19,
Displacement Delta Length,1.063,1.063,1.063,0.000,1.063,1.063,1.063,1.063,1,µm,Surface,,,,,20,
Displacement Delta Length,1.026,1.026,1.026,0.000,1.026,1.026,1.026,1.026,1,µm,Surface,,,,,21,
Displacement Delta Length,0.306,0.306,0.306,0.000,0.306,0.306,0.306,0.306,1,µm,Surface,,,,,22,
Displacement Delta Length,2.319,2.319,2.319,0.000,2.319,2.319,2.319,2.319,1,µm,Surface,,,,,23,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,17,
Displacement Delta X,-0.657,-0.657,-0.657,0.000,-0.657,-0.657,-0.657,-0.657,1,µm,Surface,,,Displacement Delta,,18,
Displacement Delta X,-0.349,-0.349,-0.349,0.000,-0.349,-0.349,-0.349,-0.349,1,µm,Surface,,,Displacement Delta,,19,
Displacement Delta X,0.175,0.175,0.175,0.000,0.175,0.175,0.175,0.175,1,µm,Surface,,,Displacement Delta,,20,
Displacement Delta X,-0.741,-0.741,-0.741,0.000,-0.741,-0.741,-0.741,-0.741,1,µm,Surface,,,Displacement Delta,,21,
Displacement Delta X,0.121,0.121,0.121,0.000,0.121,0.121,0.121,0.121,1,µm,Surface,,,Displacement Delta,,22,
Displacement Delta X,1.924,1.924,1.924,0.000,1.924,1.924,1.924,1.924,1,µm,Surface,,,Displacement Delta,,23,
