
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,52.425,52.425,52.425,0.000,52.425,52.425,52.425,52.425,1,µm^2,Surface,,,,,,33,
Area,73.384,73.384,73.384,0.000,73.384,73.384,73.384,73.384,1,µm^2,Surface,,,,,,34,
Area,82.002,82.002,82.002,0.000,82.002,82.002,82.002,82.002,1,µm^2,Surface,,,,,,35,
Area,100.977,100.977,100.977,0.000,100.977,100.977,100.977,100.977,1,µm^2,Surface,,,,,,36,
Area,83.480,83.480,83.480,0.000,83.480,83.480,83.480,83.480,1,µm^2,Surface,,,,,,37,
Area,91.455,91.455,91.455,0.000,91.455,91.455,91.455,91.455,1,µm^2,Surface,,,,,,38,
Area,110.821,110.821,110.821,0.000,110.821,110.821,110.821,110.821,1,µm^2,Surface,,,,,,39,
Area,120.928,120.928,120.928,0.000,120.928,120.928,120.928,120.928,1,µm^2,Surface,,,,,,40,
Area,135.751,135.751,135.751,0.000,135.751,135.751,135.751,135.751,1,µm^2,Surface,,,,,,41,
Area,146.866,146.866,146.866,0.000,146.866,146.866,146.866,146.866,1,µm^2,Surface,,,,,,42,
Area,160.258,160.258,160.258,0.000,160.258,160.258,160.258,160.258,1,µm^2,Surface,,,,,,43,
Area,168.520,168.520,168.520,0.000,168.520,168.520,168.520,168.520,1,µm^2,Surface,,,,,,44,
Area,168.990,168.990,168.990,0.000,168.990,168.990,168.990,168.990,1,µm^2,Surface,,,,,,45,
Area,171.551,171.551,171.551,0.000,171.551,171.551,171.551,171.551,1,µm^2,Surface,,,,,,46,
Area,171.196,171.196,171.196,0.000,171.196,171.196,171.196,171.196,1,µm^2,Surface,,,,,,47,
Area,173.087,173.087,173.087,0.000,173.087,173.087,173.087,173.087,1,µm^2,Surface,,,,,,48,
Area,165.366,165.366,165.366,0.000,165.366,165.366,165.366,165.366,1,µm^2,Surface,,,,,,49,
Area,162.883,162.883,162.883,0.000,162.883,162.883,162.883,162.883,1,µm^2,Surface,,,,,,50,
Area,169.258,169.258,169.258,0.000,169.258,169.258,169.258,169.258,1,µm^2,Surface,,,,,,51,
Area,171.491,171.491,171.491,0.000,171.491,171.491,171.491,171.491,1,µm^2,Surface,,,,,,52,
Area,173.158,173.158,173.158,0.000,173.158,173.158,173.158,173.158,1,µm^2,Surface,,,,,,53,
Area,177.675,177.675,177.675,0.000,177.675,177.675,177.675,177.675,1,µm^2,Surface,,,,,,54,
Area,178.285,178.285,178.285,0.000,178.285,178.285,178.285,178.285,1,µm^2,Surface,,,,,,55,
Area,179.627,179.627,179.627,0.000,179.627,179.627,179.627,179.627,1,µm^2,Surface,,,,,,56,
Area,179.785,179.785,179.785,0.000,179.785,179.785,179.785,179.785,1,µm^2,Surface,,,,,,57,
Area,188.173,188.173,188.173,0.000,188.173,188.173,188.173,188.173,1,µm^2,Surface,,,,,,58,
Area,180.068,180.068,180.068,0.000,180.068,180.068,180.068,180.068,1,µm^2,Surface,,,,,,59,
Area,180.576,180.576,180.576,0.000,180.576,180.576,180.576,180.576,1,µm^2,Surface,,,,,,60,
Area,181.680,181.680,181.680,0.000,181.680,181.680,181.680,181.680,1,µm^2,Surface,,,,,,61,
Area,170.559,170.559,170.559,0.000,170.559,170.559,170.559,170.559,1,µm^2,Surface,,,,,,62,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,33,
Class Duration,119.982,119.982,119.982,0.000,119.982,119.982,119.982,119.982,1,s,Surface,,Set 1::Class B,,,,34,
Class Duration,119.982,119.982,119.982,0.000,119.982,119.982,119.982,119.982,1,s,Surface,,Set 1::Class B,,,,35,
Class Duration,119.982,119.982,119.982,0.000,119.982,119.982,119.982,119.982,1,s,Surface,,Set 1::Class B,,,,36,
Class Duration,180.033,180.033,180.033,0.000,180.033,180.033,180.033,180.033,1,s,Surface,,Set 1::Class A,,,,37,
Class Duration,180.033,180.033,180.033,0.000,180.033,180.033,180.033,180.033,1,s,Surface,,Set 1::Class A,,,,38,
Class Duration,180.033,180.033,180.033,0.000,180.033,180.033,180.033,180.033,1,s,Surface,,Set 1::Class A,,,,39,
Class Duration,180.033,180.033,180.033,0.000,180.033,180.033,180.033,180.033,1,s,Surface,,Set 1::Class A,,,,40,
Class Duration,359.972,359.972,359.972,0.000,359.972,359.972,359.972,359.972,1,s,Surface,,Set 1::Class B,,,,41,
Class Duration,359.972,359.972,359.972,0.000,359.972,359.972,359.972,359.972,1,s,Surface,,Set 1::Class B,,,,42,
Class Duration,359.972,359.972,359.972,0.000,359.972,359.972,359.972,359.972,1,s,Surface,,Set 1::Class B,,,,43,
Class Duration,359.972,359.972,359.972,0.000,359.972,359.972,359.972,359.972,1,s,Surface,,Set 1::Class B,,,,44,
Class Duration,359.972,359.972,359.972,0.000,359.972,359.972,359.972,359.972,1,s,Surface,,Set 1::Class B,,,,45,
Class Duration,359.972,359.972,359.972,0.000,359.972,359.972,359.972,359.972,1,s,Surface,,Set 1::Class B,,,,46,
Class Duration,359.972,359.972,359.972,0.000,359.972,359.972,359.972,359.972,1,s,Surface,,Set 1::Class B,,,,47,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,48,
Class Duration,60.010,60.010,60.010,0.000,60.010,60.010,60.010,60.010,1,s,Surface,,Set 1::Class B,,,,49,
Class Duration,60.010,60.010,60.010,0.000,60.010,60.010,60.010,60.010,1,s,Surface,,Set 1::Class B,,,,50,
Class Duration,660.024,660.024,660.024,0.000,660.024,660.024,660.024,660.024,1,s,Surface,,Set 1::Class A,,,,51,
Class Duration,660.024,660.024,660.024,0.000,660.024,660.024,660.024,660.024,1,s,Surface,,Set 1::Class A,,,,52,
Class Duration,660.024,660.024,660.024,0.000,660.024,660.024,660.024,660.024,1,s,Surface,,Set 1::Class A,,,,53,
Class Duration,660.024,660.024,660.024,0.000,660.024,660.024,660.024,660.024,1,s,Surface,,Set 1::Class A,,,,54,
Class Duration,660.024,660.024,660.024,0.000,660.024,660.024,660.024,660.024,1,s,Surface,,Set 1::Class A,,,,55,
Class Duration,660.024,660.024,660.024,0.000,660.024,660.024,660.024,660.024,1,s,Surface,,Set 1::Class A,,,,56,
Class Duration,660.024,660.024,660.024,0.000,660.024,660.024,660.024,660.024,1,s,Surface,,Set 1::Class A,,,,57,
Class Duration,660.024,660.024,660.024,0.000,660.024,660.024,660.024,660.024,1,s,Surface,,Set 1::Class A,,,,58,
Class Duration,660.024,660.024,660.024,0.000,660.024,660.024,660.024,660.024,1,s,Surface,,Set 1::Class A,,,,59,
Class Duration,660.024,660.024,660.024,0.000,660.024,660.024,660.024,660.024,1,s,Surface,,Set 1::Class A,,,,60,
Class Duration,660.024,660.024,660.024,0.000,660.024,660.024,660.024,660.024,1,s,Surface,,Set 1::Class A,,,,61,
Class Duration,660.024,660.024,660.024,0.000,660.024,660.024,660.024,660.024,1,s,Surface,,Set 1::Class A,,,,62,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,33,
Displacement Delta Length,0.952,0.952,0.952,0.000,0.952,0.952,0.952,0.952,1,µm,Surface,,,,,,34,
Displacement Delta Length,0.967,0.967,0.967,0.000,0.967,0.967,0.967,0.967,1,µm,Surface,,,,,,35,
Displacement Delta Length,1.201,1.201,1.201,0.000,1.201,1.201,1.201,1.201,1,µm,Surface,,,,,,36,
Displacement Delta Length,0.801,0.801,0.801,0.000,0.801,0.801,0.801,0.801,1,µm,Surface,,,,,,37,
Displacement Delta Length,0.643,0.643,0.643,0.000,0.643,0.643,0.643,0.643,1,µm,Surface,,,,,,38,
Displacement Delta Length,0.859,0.859,0.859,0.000,0.859,0.859,0.859,0.859,1,µm,Surface,,,,,,39,
Displacement Delta Length,0.567,0.567,0.567,0.000,0.567,0.567,0.567,0.567,1,µm,Surface,,,,,,40,
Displacement Delta Length,1.389,1.389,1.389,0.000,1.389,1.389,1.389,1.389,1,µm,Surface,,,,,,41,
Displacement Delta Length,1.723,1.723,1.723,0.000,1.723,1.723,1.723,1.723,1,µm,Surface,,,,,,42,
Displacement Delta Length,1.377,1.377,1.377,0.000,1.377,1.377,1.377,1.377,1,µm,Surface,,,,,,43,
Displacement Delta Length,2.189,2.189,2.189,0.000,2.189,2.189,2.189,2.189,1,µm,Surface,,,,,,44,
Displacement Delta Length,2.096,2.096,2.096,0.000,2.096,2.096,2.096,2.096,1,µm,Surface,,,,,,45,
Displacement Delta Length,1.381,1.381,1.381,0.000,1.381,1.381,1.381,1.381,1,µm,Surface,,,,,,46,
Displacement Delta Length,0.932,0.932,0.932,0.000,0.932,0.932,0.932,0.932,1,µm,Surface,,,,,,47,
Displacement Delta Length,0.772,0.772,0.772,0.000,0.772,0.772,0.772,0.772,1,µm,Surface,,,,,,48,
Displacement Delta Length,1.017,1.017,1.017,0.000,1.017,1.017,1.017,1.017,1,µm,Surface,,,,,,49,
Displacement Delta Length,0.927,0.927,0.927,0.000,0.927,0.927,0.927,0.927,1,µm,Surface,,,,,,50,
Displacement Delta Length,0.543,0.543,0.543,0.000,0.543,0.543,0.543,0.543,1,µm,Surface,,,,,,51,
Displacement Delta Length,0.163,0.163,0.163,0.000,0.163,0.163,0.163,0.163,1,µm,Surface,,,,,,52,
Displacement Delta Length,0.422,0.422,0.422,0.000,0.422,0.422,0.422,0.422,1,µm,Surface,,,,,,53,
Displacement Delta Length,0.472,0.472,0.472,0.000,0.472,0.472,0.472,0.472,1,µm,Surface,,,,,,54,
Displacement Delta Length,0.558,0.558,0.558,0.000,0.558,0.558,0.558,0.558,1,µm,Surface,,,,,,55,
Displacement Delta Length,0.531,0.531,0.531,0.000,0.531,0.531,0.531,0.531,1,µm,Surface,,,,,,56,
Displacement Delta Length,0.311,0.311,0.311,0.000,0.311,0.311,0.311,0.311,1,µm,Surface,,,,,,57,
Displacement Delta Length,0.266,0.266,0.266,0.000,0.266,0.266,0.266,0.266,1,µm,Surface,,,,,,58,
Displacement Delta Length,0.272,0.272,0.272,0.000,0.272,0.272,0.272,0.272,1,µm,Surface,,,,,,59,
Displacement Delta Length,0.400,0.400,0.400,0.000,0.400,0.400,0.400,0.400,1,µm,Surface,,,,,,60,
Displacement Delta Length,0.193,0.193,0.193,0.000,0.193,0.193,0.193,0.193,1,µm,Surface,,,,,,61,
Displacement Delta Length,0.393,0.393,0.393,0.000,0.393,0.393,0.393,0.393,1,µm,Surface,,,,,,62,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta X,-0.899,-0.899,-0.899,0.000,-0.899,-0.899,-0.899,-0.899,1,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta X,0.645,0.645,0.645,0.000,0.645,0.645,0.645,0.645,1,µm,Surface,,,Displacement Delta,,,35,
Displacement Delta X,0.925,0.925,0.925,0.000,0.925,0.925,0.925,0.925,1,µm,Surface,,,Displacement Delta,,,36,
Displacement Delta X,0.083,0.083,0.083,0.000,0.083,0.083,0.083,0.083,1,µm,Surface,,,Displacement Delta,,,37,
Displacement Delta X,0.397,0.397,0.397,0.000,0.397,0.397,0.397,0.397,1,µm,Surface,,,Displacement Delta,,,38,
Displacement Delta X,0.092,0.092,0.092,0.000,0.092,0.092,0.092,0.092,1,µm,Surface,,,Displacement Delta,,,39,
Displacement Delta X,-0.428,-0.428,-0.428,0.000,-0.428,-0.428,-0.428,-0.428,1,µm,Surface,,,Displacement Delta,,,40,
Displacement Delta X,-1.300,-1.300,-1.300,0.000,-1.300,-1.300,-1.300,-1.300,1,µm,Surface,,,Displacement Delta,,,41,
Displacement Delta X,-1.699,-1.699,-1.699,0.000,-1.699,-1.699,-1.699,-1.699,1,µm,Surface,,,Displacement Delta,,,42,
Displacement Delta X,-1.250,-1.250,-1.250,0.000,-1.250,-1.250,-1.250,-1.250,1,µm,Surface,,,Displacement Delta,,,43,
Displacement Delta X,-1.913,-1.913,-1.913,0.000,-1.913,-1.913,-1.913,-1.913,1,µm,Surface,,,Displacement Delta,,,44,
Displacement Delta X,-1.670,-1.670,-1.670,0.000,-1.670,-1.670,-1.670,-1.670,1,µm,Surface,,,Displacement Delta,,,45,
Displacement Delta X,-1.143,-1.143,-1.143,0.000,-1.143,-1.143,-1.143,-1.143,1,µm,Surface,,,Displacement Delta,,,46,
Displacement Delta X,-0.801,-0.801,-0.801,0.000,-0.801,-0.801,-0.801,-0.801,1,µm,Surface,,,Displacement Delta,,,47,
Displacement Delta X,-0.309,-0.309,-0.309,0.000,-0.309,-0.309,-0.309,-0.309,1,µm,Surface,,,Displacement Delta,,,48,
Displacement Delta X,0.397,0.397,0.397,0.000,0.397,0.397,0.397,0.397,1,µm,Surface,,,Displacement Delta,,,49,
Displacement Delta X,0.701,0.701,0.701,0.000,0.701,0.701,0.701,0.701,1,µm,Surface,,,Displacement Delta,,,50,
Displacement Delta X,0.246,0.246,0.246,0.000,0.246,0.246,0.246,0.246,1,µm,Surface,,,Displacement Delta,,,51,
Displacement Delta X,-0.156,-0.156,-0.156,0.000,-0.156,-0.156,-0.156,-0.156,1,µm,Surface,,,Displacement Delta,,,52,
