
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,65.282,65.282,65.282,0.000,65.282,65.282,65.282,65.282,1,µm^2,Surface,,,,,25,
Area,105.086,105.086,105.086,0.000,105.086,105.086,105.086,105.086,1,µm^2,Surface,,,,,26,
Area,108.501,108.501,108.501,0.000,108.501,108.501,108.501,108.501,1,µm^2,Surface,,,,,27,
Area,115.776,115.776,115.776,0.000,115.776,115.776,115.776,115.776,1,µm^2,Surface,,,,,28,
Area,136.975,136.975,136.975,0.000,136.975,136.975,136.975,136.975,1,µm^2,Surface,,,,,29,
Area,155.217,155.217,155.217,0.000,155.217,155.217,155.217,155.217,1,µm^2,Surface,,,,,30,
Area,129.308,129.308,129.308,0.000,129.308,129.308,129.308,129.308,1,µm^2,Surface,,,,,31,
Area,121.287,121.287,121.287,0.000,121.287,121.287,121.287,121.287,1,µm^2,Surface,,,,,32,
Area,62.669,62.669,62.669,0.000,62.669,62.669,62.669,62.669,1,µm^2,Surface,,,,,33,
Class Duration,180.000,180.000,180.000,0.000,180.000,180.000,180.000,180.000,1,s,Surface,,Set 1::Class A,,,25,
Class Duration,180.000,180.000,180.000,0.000,180.000,180.000,180.000,180.000,1,s,Surface,,Set 1::Class A,,,26,
Class Duration,180.000,180.000,180.000,0.000,180.000,180.000,180.000,180.000,1,s,Surface,,Set 1::Class A,,,27,
Class Duration,180.000,180.000,180.000,0.000,180.000,180.000,180.000,180.000,1,s,Surface,,Set 1::Class A,,,28,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,29,
Class Duration,60.004,60.004,60.004,0.000,60.004,60.004,60.004,60.004,1,s,Surface,,Set 1::Class A,,,30,
Class Duration,60.004,60.004,60.004,0.000,60.004,60.004,60.004,60.004,1,s,Surface,,Set 1::Class A,,,31,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,25,
Displacement Delta Length,0.440,0.440,0.440,0.000,0.440,0.440,0.440,0.440,1,µm,Surface,,,,,26,
Displacement Delta Length,0.558,0.558,0.558,0.000,0.558,0.558,0.558,0.558,1,µm,Surface,,,,,27,
Displacement Delta Length,0.804,0.804,0.804,0.000,0.804,0.804,0.804,0.804,1,µm,Surface,,,,,28,
Displacement Delta Length,1.014,1.014,1.014,0.000,1.014,1.014,1.014,1.014,1,µm,Surface,,,,,29,
Displacement Delta Length,0.854,0.854,0.854,0.000,0.854,0.854,0.854,0.854,1,µm,Surface,,,,,30,
Displacement Delta Length,0.242,0.242,0.242,0.000,0.242,0.242,0.242,0.242,1,µm,Surface,,,,,31,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,25,
Displacement Delta X,0.109,0.109,0.109,0.000,0.109,0.109,0.109,0.109,1,µm,Surface,,,Displacement Delta,,26,
Displacement Delta X,0.313,0.313,0.313,0.000,0.313,0.313,0.313,0.313,1,µm,Surface,,,Displacement Delta,,27,
Displacement Delta X,-0.149,-0.149,-0.149,0.000,-0.149,-0.149,-0.149,-0.149,1,µm,Surface,,,Displacement Delta,,28,
Displacement Delta X,0.100,0.100,0.100,0.000,0.100,0.100,0.100,0.100,1,µm,Surface,,,Displacement Delta,,29,
Displacement Delta X,-0.435,-0.435,-0.435,0.000,-0.435,-0.435,-0.435,-0.435,1,µm,Surface,,,Displacement Delta,,30,
Displacement Delta X,-0.081,-0.081,-0.081,0.000,-0.081,-0.081,-0.081,-0.081,1,µm,Surface,,,Displacement Delta,,31,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,25,
Displacement Delta Y,0.091,0.091,0.091,0.000,0.091,0.091,0.091,0.091,1,µm,Surface,,,Displacement Delta,,26,
Displacement Delta Y,0.078,0.078,0.078,0.000,0.078,0.078,0.078,0.078,1,µm,Surface,,,Displacement Delta,,27,
Displacement Delta Y,0.144,0.144,0.144,0.000,0.144,0.144,0.144,0.144,1,µm,Surface,,,Displacement Delta,,28,
Displacement Delta Y,1.010,1.010,1.010,0.000,1.010,1.010,1.010,1.010,1,µm,Surface,,,Displacement Delta,,29,
Displacement Delta Y,0.699,0.699,0.699,0.000,0.699,0.699,0.699,0.699,1,µm,Surface,,,Displacement Delta,,30,
Displacement Delta Y,-0.086,-0.086,-0.086,0.000,-0.086,-0.086,-0.086,-0.086,1,µm,Surface,,,Displacement Delta,,31,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,25,
Displacement Delta Z,-0.416,-0.416,-0.416,0.000,-0.416,-0.416,-0.416,-0.416,1,µm,Surface,,,Displacement Delta,,26,
Displacement Delta Z,-0.455,-0.455,-0.455,0.000,-0.455,-0.455,-0.455,-0.455,1,µm,Surface,,,Displacement Delta,,27,
Displacement Delta Z,-0.776,-0.776,-0.776,0.000,-0.776,-0.776,-0.776,-0.776,1,µm,Surface,,,Displacement Delta,,28,
Displacement Delta Z,-0.003,-0.003,-0.003,0.000,-0.003,-0.003,-0.003,-0.003,1,µm,Surface,,,Displacement Delta,,29,
Displacement Delta Z,-0.226,-0.226,-0.226,0.000,-0.226,-0.226,-0.226,-0.226,1,µm,Surface,,,Displacement Delta,,30,
Displacement Delta Z,-0.211,-0.211,-0.211,0.000,-0.211,-0.211,-0.211,-0.211,1,µm,Surface,,,Displacement Delta,,31,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,25,
Displacement Length,0.440,0.440,0.440,0.000,0.440,0.440,0.440,0.440,1,µm,Surface,,,,,26,
Displacement Length,0.983,0.983,0.983,0.000,0.983,0.983,0.983,0.983,1,µm,Surface,,,,,27,
Displacement Length,1.699,1.699,1.699,0.000,1.699,1.699,1.699,1.699,1,µm,Surface,,,,,28,
Displacement Length,2.148,2.148,2.148,0.000,2.148,2.148,2.148,2.148,1,µm,Surface,,,,,29,
Displacement Length,2.759,2.759,2.759,0.000,2.759,2.759,2.759,2.759,1,µm,Surface,,,,,30,
Displacement Length,2.850,2.850,2.850,0.000,2.850,2.850,2.850,2.850,1,µm,Surface,,,,,31,
Distance from Origin,11287.482,11287.482,11287.482,0.000,11287.482,11287.482,11287.482,11287.482,1,µm,Surface,,,Distance from Origin,,25,
Distance from Origin,11287.114,11287.114,11287.114,0.000,11287.114,11287.114,11287.114,11287.114,1,µm,Surface,,,Distance from Origin,,26,
Distance from Origin,11286.593,11286.593,11286.593,0.000,11286.593,11286.593,11286.593,11286.593,1,µm,Surface,,,Distance from Origin,,27,
Distance from Origin,11286.104,11286.104,11286.104,0.000,11286.104,11286.104,11286.104,11286.104,1,µm,Surface,,,Distance from Origin,,28,
Distance from Origin,11286.266,11286.266,11286.266,0.000,11286.266,11286.266,11286.266,11286.266,1,µm,Surface,,,Distance from Origin,,29,
Distance from Origin,11286.497,11286.497,11286.497,0.000,11286.497,11286.497,11286.497,11286.497,1,µm,Surface,,,Distance from Origin,,30,
Distance from Origin,11286.360,11286.360,11286.360,0.000,11286.360,11286.360,11286.360,11286.360,1,µm,Surface,,,Distance from Origin,,31,
