
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,76.470,76.470,76.470,0.000,76.470,76.470,76.470,76.470,1,µm^2,Surface,,,,4,
Area,98.179,98.179,98.179,0.000,98.179,98.179,98.179,98.179,1,µm^2,Surface,,,,5,
Area,113.322,113.322,113.322,0.000,113.322,113.322,113.322,113.322,1,µm^2,Surface,,,,6,
Area,144.615,144.615,144.615,0.000,144.615,144.615,144.615,144.615,1,µm^2,Surface,,,,7,
Area,158.974,158.974,158.974,0.000,158.974,158.974,158.974,158.974,1,µm^2,Surface,,,,8,
Area,164.277,164.277,164.277,0.000,164.277,164.277,164.277,164.277,1,µm^2,Surface,,,,9,
Area,182.984,182.984,182.984,0.000,182.984,182.984,182.984,182.984,1,µm^2,Surface,,,,10,
Area,166.929,166.929,166.929,0.000,166.929,166.929,166.929,166.929,1,µm^2,Surface,,,,11,
Area,159.019,159.019,159.019,0.000,159.019,159.019,159.019,159.019,1,µm^2,Surface,,,,12,
Area,46.286,46.286,46.286,0.000,46.286,46.286,46.286,46.286,1,µm^2,Surface,,,,14,
Distance from Origin,11280.570,11280.570,11280.570,0.000,11280.570,11280.570,11280.570,11280.570,1,µm,Surface,,Distance from Origin,,4,
Distance from Origin,11280.850,11280.850,11280.850,0.000,11280.850,11280.850,11280.850,11280.850,1,µm,Surface,,Distance from Origin,,5,
Distance from Origin,11281.514,11281.514,11281.514,0.000,11281.514,11281.514,11281.514,11281.514,1,µm,Surface,,Distance from Origin,,6,
Distance from Origin,11282.271,11282.271,11282.271,0.000,11282.271,11282.271,11282.271,11282.271,1,µm,Surface,,Distance from Origin,,7,
Distance from Origin,11282.311,11282.311,11282.311,0.000,11282.311,11282.311,11282.311,11282.311,1,µm,Surface,,Distance from Origin,,8,
Distance from Origin,11282.688,11282.688,11282.688,0.000,11282.688,11282.688,11282.688,11282.688,1,µm,Surface,,Distance from Origin,,9,
Distance from Origin,11282.758,11282.758,11282.758,0.000,11282.758,11282.758,11282.758,11282.758,1,µm,Surface,,Distance from Origin,,10,
Distance from Origin,11281.896,11281.896,11281.896,0.000,11281.896,11281.896,11281.896,11281.896,1,µm,Surface,,Distance from Origin,,11,
Distance from Origin,11282.451,11282.451,11282.451,0.000,11282.451,11282.451,11282.451,11282.451,1,µm,Surface,,Distance from Origin,,12,
Distance from Origin,11281.333,11281.333,11281.333,0.000,11281.333,11281.333,11281.333,11281.333,1,µm,Surface,,Distance from Origin,,14,
Distance to Image Border XY,16.517,16.517,16.517,0.000,16.517,16.517,16.517,16.517,1,µm,Surface,,,Image 1,4,
Distance to Image Border XY,16.441,16.441,16.441,0.000,16.441,16.441,16.441,16.441,1,µm,Surface,,,Image 1,5,
Distance to Image Border XY,15.448,15.448,15.448,0.000,15.448,15.448,15.448,15.448,1,µm,Surface,,,Image 1,6,
Distance to Image Border XY,14.898,14.898,14.898,0.000,14.898,14.898,14.898,14.898,1,µm,Surface,,,Image 1,7,
Distance to Image Border XY,13.495,13.495,13.495,0.000,13.495,13.495,13.495,13.495,1,µm,Surface,,,Image 1,8,
Distance to Image Border XY,11.880,11.880,11.880,0.000,11.880,11.880,11.880,11.880,1,µm,Surface,,,Image 1,9,
Distance to Image Border XY,9.351,9.351,9.351,0.000,9.351,9.351,9.351,9.351,1,µm,Surface,,,Image 1,10,
Distance to Image Border XY,8.504,8.504,8.504,0.000,8.504,8.504,8.504,8.504,1,µm,Surface,,,Image 1,11,
Distance to Image Border XY,7.758,7.758,7.758,0.000,7.758,7.758,7.758,7.758,1,µm,Surface,,,Image 1,12,
Distance to Image Border XY,10.561,10.561,10.561,0.000,10.561,10.561,10.561,10.561,1,µm,Surface,,,Image 1,14,
Ellipticity (oblate),0.064,0.064,0.064,0.000,0.064,0.064,0.064,0.064,1,,Surface,,,,4,
Ellipticity (oblate),0.204,0.204,0.204,0.000,0.204,0.204,0.204,0.204,1,,Surface,,,,5,
Ellipticity (oblate),0.151,0.151,0.151,0.000,0.151,0.151,0.151,0.151,1,,Surface,,,,6,
Ellipticity (oblate),0.167,0.167,0.167,0.000,0.167,0.167,0.167,0.167,1,,Surface,,,,7,
Ellipticity (oblate),0.117,0.117,0.117,0.000,0.117,0.117,0.117,0.117,1,,Surface,,,,8,
Ellipticity (oblate),0.164,0.164,0.164,0.000,0.164,0.164,0.164,0.164,1,,Surface,,,,9,
Ellipticity (oblate),0.177,0.177,0.177,0.000,0.177,0.177,0.177,0.177,1,,Surface,,,,10,
Ellipticity (oblate),0.279,0.279,0.279,0.000,0.279,0.279,0.279,0.279,1,,Surface,,,,11,
Ellipticity (oblate),0.265,0.265,0.265,0.000,0.265,0.265,0.265,0.265,1,,Surface,,,,12,
Ellipticity (oblate),0.570,0.570,0.570,0.000,0.570,0.570,0.570,0.570,1,,Surface,,,,14,
Ellipticity (prolate),0.100,0.100,0.100,0.000,0.100,0.100,0.100,0.100,1,,Surface,,,,4,
Ellipticity (prolate),0.241,0.241,0.241,0.000,0.241,0.241,0.241,0.241,1,,Surface,,,,5,
Ellipticity (prolate),0.233,0.233,0.233,0.000,0.233,0.233,0.233,0.233,1,,Surface,,,,6,
Ellipticity (prolate),0.262,0.262,0.262,0.000,0.262,0.262,0.262,0.262,1,,Surface,,,,7,
Ellipticity (prolate),0.173,0.173,0.173,0.000,0.173,0.173,0.173,0.173,1,,Surface,,,,8,
Ellipticity (prolate),0.157,0.157,0.157,0.000,0.157,0.157,0.157,0.157,1,,Surface,,,,9,
Ellipticity (prolate),0.158,0.158,0.158,0.000,0.158,0.158,0.158,0.158,1,,Surface,,,,10,
Ellipticity (prolate),0.370,0.370,0.370,0.000,0.370,0.370,0.370,0.370,1,,Surface,,,,11,
Ellipticity (prolate),0.356,0.356,0.356,0.000,0.356,0.356,0.356,0.356,1,,Surface,,,,12,
Ellipticity (prolate),0.199,0.199,0.199,0.000,0.199,0.199,0.199,0.199,1,,Surface,,,,14,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,4,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,5,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,6,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,7,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,8,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,9,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,10,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,11,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,12,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,14,
Intensity Max,327.000,327.000,327.000,0.000,327.000,327.000,327.000,327.000,1,,Surface,1,,Image 1,4,
Intensity Max,341.000,341.000,341.000,0.000,341.000,341.000,341.000,341.000,1,,Surface,1,,Image 1,5,
Intensity Max,321.000,321.000,321.000,0.000,321.000,321.000,321.000,321.000,1,,Surface,1,,Image 1,6,
Intensity Max,320.000,320.000,320.000,0.000,320.000,320.000,320.000,320.000,1,,Surface,1,,Image 1,7,
Intensity Max,314.000,314.000,314.000,0.000,314.000,314.000,314.000,314.000,1,,Surface,1,,Image 1,8,
Intensity Max,276.000,276.000,276.000,0.000,276.000,276.000,276.000,276.000,1,,Surface,1,,Image 1,9,
Intensity Max,302.000,302.000,302.000,0.000,302.000,302.000,302.000,302.000,1,,Surface,1,,Image 1,10,
Intensity Max,298.000,298.000,298.000,0.000,298.000,298.000,298.000,298.000,1,,Surface,1,,Image 1,11,
Intensity Max,227.000,227.000,227.000,0.000,227.000,227.000,227.000,227.000,1,,Surface,1,,Image 1,12,
Intensity Max,181.000,181.000,181.000,0.000,181.000,181.000,181.000,181.000,1,,Surface,1,,Image 1,14,
Intensity Mean,152.137,152.137,152.137,0.000,152.137,152.137,152.137,152.137,1,,Surface,1,,Image 1,4,
Intensity Mean,149.347,149.347,149.347,0.000,149.347,149.347,149.347,149.347,1,,Surface,1,,Image 1,5,
Intensity Mean,143.850,143.850,143.850,0.000,143.850,143.850,143.850,143.850,1,,Surface,1,,Image 1,6,
Intensity Mean,143.721,143.721,143.721,0.000,143.721,143.721,143.721,143.721,1,,Surface,1,,Image 1,7,
Intensity Mean,143.355,143.355,143.355,0.000,143.355,143.355,143.355,143.355,1,,Surface,1,,Image 1,8,
Intensity Mean,136.181,136.181,136.181,0.000,136.181,136.181,136.181,136.181,1,,Surface,1,,Image 1,9,
Intensity Mean,139.634,139.634,139.634,0.000,139.634,139.634,139.634,139.634,1,,Surface,1,,Image 1,10,
Intensity Mean,126.501,126.501,126.501,0.000,126.501,126.501,126.501,126.501,1,,Surface,1,,Image 1,11,
Intensity Mean,119.923,119.923,119.923,0.000,119.923,119.923,119.923,119.923,1,,Surface,1,,Image 1,12,
Intensity Mean,112.894,112.894,112.894,0.000,112.894,112.894,112.894,112.894,1,,Surface,1,,Image 1,14,
Intensity Median,150.125,150.125,150.125,0.000,150.125,150.125,150.125,150.125,1,,Surface,1,,Image 1,4,
Intensity Median,146.125,146.125,146.125,0.000,146.125,146.125,146.125,146.125,1,,Surface,1,,Image 1,5,
Intensity Median,140.125,140.125,140.125,0.000,140.125,140.125,140.125,140.125,1,,Surface,1,,Image 1,6,
Intensity Median,140.125,140.125,140.125,0.000,140.125,140.125,140.125,140.125,1,,Surface,1,,Image 1,7,
Intensity Median,140.062,140.062,140.062,0.000,140.062,140.062,140.062,140.062,1,,Surface,1,,Image 1,8,
Intensity Median,133.062,133.062,133.062,0.000,133.062,133.062,133.062,133.062,1,,Surface,1,,Image 1,9,
Intensity Median,136.062,136.062,136.062,0.000,136.062,136.062,136.062,136.062,1,,Surface,1,,Image 1,10,
Intensity Median,124.062,124.062,124.062,0.000,124.062,124.062,124.062,124.062,1,,Surface,1,,Image 1,11,
Intensity Median,117.062,117.062,117.062,0.000,117.062,117.062,117.062,117.062,1,,Surface,1,,Image 1,12,
Intensity Median,111.031,111.031,111.031,0.000,111.031,111.031,111.031,111.031,1,,Surface,1,,Image 1,14,
Intensity Min,71.000,71.000,71.000,0.000,71.000,71.000,71.000,71.000,1,,Surface,1,,Image 1,4,
Intensity Min,71.000,71.000,71.000,0.000,71.000,71.000,71.000,71.000,1,,Surface,1,,Image 1,5,
Intensity Min,65.000,65.000,65.000,0.000,65.000,65.000,65.000,65.000,1,,Surface,1,,Image 1,6,
Intensity Min,68.000,68.000,68.000,0.000,68.000,68.000,68.000,68.000,1,,Surface,1,,Image 1,7,
Intensity Min,72.000,72.000,72.000,0.000,72.000,72.000,72.000,72.000,1,,Surface,1,,Image 1,8,
Intensity Min,77.000,77.000,77.000,0.000,77.000,77.000,77.000,77.000,1,,Surface,1,,Image 1,9,
Intensity Min,78.000,78.000,78.000,0.000,78.000,78.000,78.000,78.000,1,,Surface,1,,Image 1,10,
Intensity Min,71.000,71.000,71.000,0.000,71.000,71.000,71.000,71.000,1,,Surface,1,,Image 1,11,
Intensity Min,70.000,70.000,70.000,0.000,70.000,70.000,70.000,70.000,1,,Surface,1,,Image 1,12,
Intensity Min,84.000,84.000,84.000,0.000,84.000,84.000,84.000,84.000,1,,Surface,1,,Image 1,14,
Intensity StdDev,36.365,36.365,36.365,0.000,36.365,36.365,36.365,36.365,1,,Surface,1,,Image 1,4,
Intensity StdDev,30.269,30.269,30.269,0.000,30.269,30.269,30.269,30.269,1,,Surface,1,,Image 1,5,
Intensity StdDev,28.217,28.217,28.217,0.000,28.217,28.217,28.217,28.217,1,,Surface,1,,Image 1,6,
Intensity StdDev,27.957,27.957,27.957,0.000,27.957,27.957,27.957,27.957,1,,Surface,1,,Image 1,7,
Intensity StdDev,26.759,26.759,26.759,0.000,26.759,26.759,26.759,26.759,1,,Surface,1,,Image 1,8,
Intensity StdDev,24.034,24.034,24.034,0.000,24.034,24.034,24.034,24.034,1,,Surface,1,,Image 1,9,
Intensity StdDev,24.630,24.630,24.630,0.000,24.630,24.630,24.630,24.630,1,,Surface,1,,Image 1,10,
Intensity StdDev,20.384,20.384,20.384,0.000,20.384,20.384,20.384,20.384,1,,Surface,1,,Image 1,11,
Intensity StdDev,17.145,17.145,17.145,0.000,17.145,17.145,17.145,17.145,1,,Surface,1,,Image 1,12,
Intensity StdDev,12.759,12.759,12.759,0.000,12.759,12.759,12.759,12.759,1,,Surface,1,,Image 1,14,
Intensity Sum,881785.000,881785.000,881785.000,0.000,881785.000,881785.000,881785.000,881785.000,1,,Surface,1,,Image 1,4,
Intensity Sum,1338748.000,1338748.000,1338748.000,0.000,1338748.000,1338748.000,1338748.000,1338748.000,1,,Surface,1,,Image 1,5,
Intensity Sum,1806758.000,1806758.000,1806758.000,0.000,1806758.000,1806758.000,1806758.000,1806758.000,1,,Surface,1,,Image 1,6,
Intensity Sum,2546734.000,2546734.000,2546734.000,0.000,2546734.000,2546734.000,2546734.000,2546734.000,1,,Surface,1,,Image 1,7,
Intensity Sum,2842447.000,2842447.000,2842447.000,0.000,2842447.000,2842447.000,2842447.000,2842447.000,1,,Surface,1,,Image 1,8,
Intensity Sum,3004703.000,3004703.000,3004703.000,0.000,3004703.000,3004703.000,3004703.000,3004703.000,1,,Surface,1,,Image 1,9,
Intensity Sum,3272464.000,3272464.000,3272464.000,0.000,3272464.000,3272464.000,3272464.000,3272464.000,1,,Surface,1,,Image 1,10,
Intensity Sum,2824522.000,2824522.000,2824522.000,0.000,2824522.000,2824522.000,2824522.000,2824522.000,1,,Surface,1,,Image 1,11,
Intensity Sum,2238726.000,2238726.000,2238726.000,0.000,2238726.000,2238726.000,2238726.000,2238726.000,1,,Surface,1,,Image 1,12,
Intensity Sum,340488.000,340488.000,340488.000,0.000,340488.000,340488.000,340488.000,340488.000,1,,Surface,1,,Image 1,14,
Intensity Sum of Square,141816608.000,141816608.000,141816608.000,0.000,141816608.000,141816608.000,141816608.000,141816608.000,1,,Surface,1,,Image 1,4,
Intensity Sum of Square,208151296.000,208151296.000,208151296.000,0.000,208151296.000,208151296.000,208151296.000,208151296.000,1,,Surface,1,,Image 1,5,
Intensity Sum of Square,269902912.000,269902912.000,269902912.000,0.000,269902912.000,269902912.000,269902912.000,269902912.000,1,,Surface,1,,Image 1,6,
Intensity Sum of Square,379868416.000,379868416.000,379868416.000,0.000,379868416.000,379868416.000,379868416.000,379868416.000,1,,Surface,1,,Image 1,7,
Intensity Sum of Square,421676960.000,421676960.000,421676960.000,0.000,421676960.000,421676960.000,421676960.000,421676960.000,1,,Surface,1,,Image 1,8,
Intensity Sum of Square,421929408.000,421929408.000,421929408.000,0.000,421929408.000,421929408.000,421929408.000,421929408.000,1,,Surface,1,,Image 1,9,
Intensity Sum of Square,471164608.000,471164608.000,471164608.000,0.000,471164608.000,471164608.000,471164608.000,471164608.000,1,,Surface,1,,Image 1,10,
Intensity Sum of Square,366583488.000,366583488.000,366583488.000,0.000,366583488.000,366583488.000,366583488.000,366583488.000,1,,Surface,1,,Image 1,11,
Intensity Sum of Square,273962400.000,273962400.000,273962400.000,0.000,273962400.000,273962400.000,273962400.000,273962400.000,1,,Surface,1,,Image 1,12,
Intensity Sum of Square,38930008.000,38930008.000,38930008.000,0.000,38930008.000,38930008.000,38930008.000,38930008.000,1,,Surface,1,,Image 1,14,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,4,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,5,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,6,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,7,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,8,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,9,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,10,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,11,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,12,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,14,
Position X,-6587.961,-6587.961,-6587.961,0.000,-6587.961,-6587.961,-6587.961,-6587.961,1,µm,Surface,,Position,,4,
Position X,-6588.167,-6588.167,-6588.167,0.000,-6588.167,-6588.167,-6588.167,-6588.167,1,µm,Surface,,Position,,5,
Position X,-6588.650,-6588.650,-6588.650,0.000,-6588.650,-6588.650,-6588.650,-6588.650,1,µm,Surface,,Position,,6,
Position X,-6589.120,-6589.120,-6589.120,0.000,-6589.120,-6589.120,-6589.120,-6589.120,1,µm,Surface,,Position,,7,
Position X,-6588.560,-6588.560,-6588.560,0.000,-6588.560,-6588.560,-6588.560,-6588.560,1,µm,Surface,,Position,,8,
Position X,-6588.307,-6588.307,-6588.307,0.000,-6588.307,-6588.307,-6588.307,-6588.307,1,µm,Surface,,Position,,9,
Position X,-6586.927,-6586.927,-6586.927,0.000,-6586.927,-6586.927,-6586.927,-6586.927,1,µm,Surface,,Position,,10,
Position X,-6585.323,-6585.323,-6585.323,0.000,-6585.323,-6585.323,-6585.323,-6585.323,1,µm,Surface,,Position,,11,
Position X,-6585.338,-6585.338,-6585.338,0.000,-6585.338,-6585.338,-6585.338,-6585.338,1,µm,Surface,,Position,,12,
Position X,-6585.967,-6585.967,-6585.967,0.000,-6585.967,-6585.967,-6585.967,-6585.967,1,µm,Surface,,Position,,14,
Position Y,2470.765,2470.765,2470.765,0.000,2470.765,2470.765,2470.765,2470.765,1,µm,Surface,,Position,,4,
Position Y,2471.012,2471.012,2471.012,0.000,2471.012,2471.012,2471.012,2471.012,1,µm,Surface,,Position,,5,
Position Y,2471.796,2471.796,2471.796,0.000,2471.796,2471.796,2471.796,2471.796,1,µm,Surface,,Position,,6,
Position Y,2472.034,2472.034,2472.034,0.000,2472.034,2472.034,2472.034,2472.034,1,µm,Surface,,Position,,7,
Position Y,2473.124,2473.124,2473.124,0.000,2473.124,2473.124,2473.124,2473.124,1,µm,Surface,,Position,,8,
Position Y,2474.531,2474.531,2474.531,0.000,2474.531,2474.531,2474.531,2474.531,1,µm,Surface,,Position,,9,
Position Y,2476.955,2476.955,2476.955,0.000,2476.955,2476.955,2476.955,2476.955,1,µm,Surface,,Position,,10,
Position Y,2478.323,2478.323,2478.323,0.000,2478.323,2478.323,2478.323,2478.323,1,µm,Surface,,Position,,11,
Position Y,2478.861,2478.861,2478.861,0.000,2478.861,2478.861,2478.861,2478.861,1,µm,Surface,,Position,,12,
Position Y,2477.414,2477.414,2477.414,0.000,2477.414,2477.414,2477.414,2477.414,1,µm,Surface,,Position,,14,
