
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,32.089,32.089,32.089,0.000,32.089,32.089,32.089,32.089,1,µm^2,Surface,,,,,24,
Area,61.472,61.472,61.472,0.000,61.472,61.472,61.472,61.472,1,µm^2,Surface,,,,,25,
Area,96.431,96.431,96.431,0.000,96.431,96.431,96.431,96.431,1,µm^2,Surface,,,,,26,
Area,113.533,113.533,113.533,0.000,113.533,113.533,113.533,113.533,1,µm^2,Surface,,,,,27,
Area,97.326,97.326,97.326,0.000,97.326,97.326,97.326,97.326,1,µm^2,Surface,,,,,28,
Area,118.651,118.651,118.651,0.000,118.651,118.651,118.651,118.651,1,µm^2,Surface,,,,,29,
Area,98.586,98.586,98.586,0.000,98.586,98.586,98.586,98.586,1,µm^2,Surface,,,,,30,
Area,87.381,87.381,87.381,0.000,87.381,87.381,87.381,87.381,1,µm^2,Surface,,,,,31,
Area,101.232,101.232,101.232,0.000,101.232,101.232,101.232,101.232,1,µm^2,Surface,,,,,32,
Area,66.357,66.357,66.357,0.000,66.357,66.357,66.357,66.357,1,µm^2,Surface,,,,,33,
Area,48.829,48.829,48.829,0.000,48.829,48.829,48.829,48.829,1,µm^2,Surface,,,,,34,
Area,51.299,51.299,51.299,0.000,51.299,51.299,51.299,51.299,1,µm^2,Surface,,,,,35,
Area,60.114,60.114,60.114,0.000,60.114,60.114,60.114,60.114,1,µm^2,Surface,,,,,36,
Area,46.649,46.649,46.649,0.000,46.649,46.649,46.649,46.649,1,µm^2,Surface,,,,,37,
Area,46.395,46.395,46.395,0.000,46.395,46.395,46.395,46.395,1,µm^2,Surface,,,,,38,
Area,38.135,38.135,38.135,0.000,38.135,38.135,38.135,38.135,1,µm^2,Surface,,,,,39,
Area,35.394,35.394,35.394,0.000,35.394,35.394,35.394,35.394,1,µm^2,Surface,,,,,40,
Area,33.081,33.081,33.081,0.000,33.081,33.081,33.081,33.081,1,µm^2,Surface,,,,,41,
Area,27.191,27.191,27.191,0.000,27.191,27.191,27.191,27.191,1,µm^2,Surface,,,,,42,
Area,23.052,23.052,23.052,0.000,23.052,23.052,23.052,23.052,1,µm^2,Surface,,,,,43,
Area,20.406,20.406,20.406,0.000,20.406,20.406,20.406,20.406,1,µm^2,Surface,,,,,44,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,24,
Class Duration,120.030,120.030,120.030,0.000,120.030,120.030,120.030,120.030,1,s,Surface,,Set 1::Class B,,,25,
Class Duration,120.030,120.030,120.030,0.000,120.030,120.030,120.030,120.030,1,s,Surface,,Set 1::Class B,,,26,
Class Duration,120.030,120.030,120.030,0.000,120.030,120.030,120.030,120.030,1,s,Surface,,Set 1::Class B,,,27,
Class Duration,119.998,119.998,119.998,0.000,119.998,119.998,119.998,119.998,1,s,Surface,,Set 1::Class A,,,28,
Class Duration,119.998,119.998,119.998,0.000,119.998,119.998,119.998,119.998,1,s,Surface,,Set 1::Class A,,,29,
Class Duration,119.998,119.998,119.998,0.000,119.998,119.998,119.998,119.998,1,s,Surface,,Set 1::Class A,,,30,
Class Duration,240.041,240.041,240.041,0.000,240.041,240.041,240.041,240.041,1,s,Surface,,Set 1::Class B,,,31,
Class Duration,240.041,240.041,240.041,0.000,240.041,240.041,240.041,240.041,1,s,Surface,,Set 1::Class B,,,32,
Class Duration,240.041,240.041,240.041,0.000,240.041,240.041,240.041,240.041,1,s,Surface,,Set 1::Class B,,,33,
Class Duration,240.041,240.041,240.041,0.000,240.041,240.041,240.041,240.041,1,s,Surface,,Set 1::Class B,,,34,
