nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,,Class,Surfaces
AB,Intensity Max,297,297,297,0,297,297,297,297,1,,Surface,1,,Image 1,4,,,
AB,Intensity Max,311,311,311,0,311,311,311,311,1,,Surface,1,,Image 1,5,,,
AB,Intensity Max,338,338,338,0,338,338,338,338,1,,Surface,1,,Image 1,6,,,
AB,Intensity Max,362,362,362,0,362,362,362,362,1,,Surface,1,,Image 1,7,,,
AB,Intensity Max,379,379,379,0,379,379,379,379,1,,Surface,1,,Image 1,8,,,
AB,Intensity Max,344,344,344,0,344,344,344,344,1,,Surface,1,,Image 1,9,,,
AB,Intensity Max,228,228,228,0,228,228,228,228,1,,Surface,1,,Image 1,10,,,
P1,Intensity Max,327,327,327,0,327,327,327,327,1,,Surface,1,,Image 1,4,,,
P1,Intensity Max,341,341,341,0,341,341,341,341,1,,Surface,1,,Image 1,5,,,
P1,Intensity Max,321,321,321,0,321,321,321,321,1,,Surface,1,,Image 1,6,,,
P1,Intensity Max,320,320,320,0,320,320,320,320,1,,Surface,1,,Image 1,7,,,
P1,Intensity Max,314,314,314,0,314,314,314,314,1,,Surface,1,,Image 1,8,,,
P1,Intensity Max,276,276,276,0,276,276,276,276,1,,Surface,1,,Image 1,9,,,
P1,Intensity Max,302,302,302,0,302,302,302,302,1,,Surface,1,,Image 1,10,,,
P1,Intensity Max,298,298,298,0,298,298,298,298,1,,Surface,1,,Image 1,11,,,
P1,Intensity Max,227,227,227,0,227,227,227,227,1,,Surface,1,,Image 1,12,,,
P1,Intensity Max,181,181,181,0,181,181,181,181,1,,Surface,1,,Image 1,14,,,
ABa,Intensity Max,261,261,261,0,261,261,261,261,1,,Surface,1,,Image 1,17,,,
ABa,Intensity Max,298,298,298,0,298,298,298,298,1,,Surface,1,,Image 1,18,,,
ABa,Intensity Max,262,262,262,0,262,262,262,262,1,,Surface,1,,Image 1,19,,,
ABa,Intensity Max,340,340,340,0,340,340,340,340,1,,Surface,1,,Image 1,20,,,
ABa,Intensity Max,1166,1166,1166,0,1166,1166,1166,1166,1,,Surface,1,,Image 1,21,,,
ABa,Intensity Max,738,738,738,0,738,738,738,738,1,,Surface,1,,Image 1,22,,,
ABa,Intensity Max,1121,1121,1121,0,1121,1121,1121,1121,1,,Surface,1,,Image 1,23,,,
ABa,Intensity Max,973,973,973,0,973,973,973,973,1,,Surface,1,,Image 1,24,,,
ABp,Intensity Max,234,234,234,0,234,234,234,234,1,,Surface,1,,Image 1,17,,,
ABp,Intensity Max,252,252,252,0,252,252,252,252,1,,Surface,1,,Image 1,18,,,
ABp,Intensity Max,292,292,292,0,292,292,292,292,1,,Surface,1,,Image 1,19,,,
ABp,Intensity Max,296,296,296,0,296,296,296,296,1,,Surface,1,,Image 1,20,,,
ABp,Intensity Max,318,318,318,0,318,318,318,318,1,,Surface,1,,Image 1,21,,,
ABp,Intensity Max,406,406,406,0,406,406,406,406,1,,Surface,1,,Image 1,22,,,
ABp,Intensity Max,285,285,285,0,285,285,285,285,1,,Surface,1,,Image 1,23,,,
ABp,Intensity Max,542,542,542,0,542,542,542,542,1,,Surface,1,,Image 1,24,,,
ABp,Intensity Max,224,224,224,0,224,224,224,224,1,,Surface,1,,Image 1,25,,,
EMS,Intensity Max,244,244,244,0,244,244,244,244,1,,Surface,1,,Image 1,25,,,
EMS,Intensity Max,315,315,315,0,315,315,315,315,1,,Surface,1,,Image 1,26,,,
EMS,Intensity Max,255,255,255,0,255,255,255,255,1,,Surface,1,,Image 1,27,,,
EMS,Intensity Max,252,252,252,0,252,252,252,252,1,,Surface,1,,Image 1,28,,,
EMS,Intensity Max,361,361,361,0,361,361,361,361,1,,Surface,1,,Image 1,29,,,
EMS,Intensity Max,1094,1094,1094,0,1094,1094,1094,1094,1,,Surface,1,,Image 1,30,,,
EMS,Intensity Max,1671,1671,1671,0,1671,1671,1671,1671,1,,Surface,1,,Image 1,31,,,
EMS,Intensity Max,1238,1238,1238,0,1238,1238,1238,1238,1,,Surface,1,,Image 1,32,,,
EMS,Intensity Max,350,350,350,0,350,350,350,350,1,,Surface,1,,Image 1,33,,,
P2,Intensity Max,227,227,227,0,227,227,227,227,1,,Surface,1,,Image 1,24,,,
P2,Intensity Max,229,229,229,0,229,229,229,229,1,,Surface,1,,Image 1,25,,,
P2,Intensity Max,262,262,262,0,262,262,262,262,1,,Surface,1,,Image 1,26,,,
P2,Intensity Max,258,258,258,0,258,258,258,258,1,,Surface,1,,Image 1,27,,,
P2,Intensity Max,247,247,247,0,247,247,247,247,1,,Surface,1,,Image 1,28,,,
P2,Intensity Max,269,269,269,0,269,269,269,269,1,,Surface,1,,Image 1,29,,,
P2,Intensity Max,282,282,282,0,282,282,282,282,1,,Surface,1,,Image 1,30,,,
P2,Intensity Max,512,512,512,0,512,512,512,512,1,,Surface,1,,Image 1,31,,,
P2,Intensity Max,1224,1224,1224,0,1224,1224,1224,1224,1,,Surface,1,,Image 1,32,,,
P2,Intensity Max,1076,1076,1076,0,1076,1076,1076,1076,1,,Surface,1,,Image 1,33,,,
