
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,57.762,57.762,57.762,0.000,57.762,57.762,57.762,57.762,1,µm^2,Surface,,,,,12,
Area,88.417,88.417,88.417,0.000,88.417,88.417,88.417,88.417,1,µm^2,Surface,,,,,13,
Area,115.812,115.812,115.812,0.000,115.812,115.812,115.812,115.812,1,µm^2,Surface,,,,,14,
Area,133.576,133.576,133.576,0.000,133.576,133.576,133.576,133.576,1,µm^2,Surface,,,,,15,
Area,150.732,150.732,150.732,0.000,150.732,150.732,150.732,150.732,1,µm^2,Surface,,,,,16,
Area,157.165,157.165,157.165,0.000,157.165,157.165,157.165,157.165,1,µm^2,Surface,,,,,17,
Area,169.590,169.590,169.590,0.000,169.590,169.590,169.590,169.590,1,µm^2,Surface,,,,,18,
Area,183.087,183.087,183.087,0.000,183.087,183.087,183.087,183.087,1,µm^2,Surface,,,,,19,
Area,128.163,128.163,128.163,0.000,128.163,128.163,128.163,128.163,1,µm^2,Surface,,,,,20,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,12,
Displacement Delta Length,0.666,0.666,0.666,0.000,0.666,0.666,0.666,0.666,1,µm,Surface,,,,,13,
Displacement Delta Length,1.379,1.379,1.379,0.000,1.379,1.379,1.379,1.379,1,µm,Surface,,,,,14,
Displacement Delta Length,0.721,0.721,0.721,0.000,0.721,0.721,0.721,0.721,1,µm,Surface,,,,,15,
Displacement Delta Length,0.619,0.619,0.619,0.000,0.619,0.619,0.619,0.619,1,µm,Surface,,,,,16,
Displacement Delta Length,1.373,1.373,1.373,0.000,1.373,1.373,1.373,1.373,1,µm,Surface,,,,,17,
Displacement Delta Length,1.392,1.392,1.392,0.000,1.392,1.392,1.392,1.392,1,µm,Surface,,,,,18,
Displacement Delta Length,2.998,2.998,2.998,0.000,2.998,2.998,2.998,2.998,1,µm,Surface,,,,,19,
Displacement Delta Length,1.222,1.222,1.222,0.000,1.222,1.222,1.222,1.222,1,µm,Surface,,,,,20,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta X,-0.216,-0.216,-0.216,0.000,-0.216,-0.216,-0.216,-0.216,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta X,0.793,0.793,0.793,0.000,0.793,0.793,0.793,0.793,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta X,0.642,0.642,0.642,0.000,0.642,0.642,0.642,0.642,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta X,0.478,0.478,0.478,0.000,0.478,0.478,0.478,0.478,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta X,0.008,0.008,0.008,0.000,0.008,0.008,0.008,0.008,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta X,-0.574,-0.574,-0.574,0.000,-0.574,-0.574,-0.574,-0.574,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta X,0.536,0.536,0.536,0.000,0.536,0.536,0.536,0.536,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta X,-0.184,-0.184,-0.184,0.000,-0.184,-0.184,-0.184,-0.184,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta Y,-0.113,-0.113,-0.113,0.000,-0.113,-0.113,-0.113,-0.113,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta Y,-0.068,-0.068,-0.068,0.000,-0.068,-0.068,-0.068,-0.068,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Y,0.049,0.049,0.049,0.000,0.049,0.049,0.049,0.049,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Y,0.305,0.305,0.305,0.000,0.305,0.305,0.305,0.305,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Y,-0.880,-0.880,-0.880,0.000,-0.880,-0.880,-0.880,-0.880,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Y,0.424,0.424,0.424,0.000,0.424,0.424,0.424,0.424,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Y,2.834,2.834,2.834,0.000,2.834,2.834,2.834,2.834,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Y,1.173,1.173,1.173,0.000,1.173,1.173,1.173,1.173,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta Z,-0.619,-0.619,-0.619,0.000,-0.619,-0.619,-0.619,-0.619,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta Z,1.126,1.126,1.126,0.000,1.126,1.126,1.126,1.126,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Z,0.325,0.325,0.325,0.000,0.325,0.325,0.325,0.325,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Z,0.248,0.248,0.248,0.000,0.248,0.248,0.248,0.248,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Z,1.054,1.054,1.054,0.000,1.054,1.054,1.054,1.054,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Z,-1.195,-1.195,-1.195,0.000,-1.195,-1.195,-1.195,-1.195,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Z,-0.816,-0.816,-0.816,0.000,-0.816,-0.816,-0.816,-0.816,1,µm,Surface,,Displacement Delta,,,19,
