
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,74.172,74.172,74.172,0.000,74.172,74.172,74.172,74.172,1,µm^2,Surface,,,,,27,
Area,97.578,97.578,97.578,0.000,97.578,97.578,97.578,97.578,1,µm^2,Surface,,,,,28,
Area,113.409,113.409,113.409,0.000,113.409,113.409,113.409,113.409,1,µm^2,Surface,,,,,29,
Area,115.879,115.879,115.879,0.000,115.879,115.879,115.879,115.879,1,µm^2,Surface,,,,,30,
Area,129.395,129.395,129.395,0.000,129.395,129.395,129.395,129.395,1,µm^2,Surface,,,,,31,
Area,120.354,120.354,120.354,0.000,120.354,120.354,120.354,120.354,1,µm^2,Surface,,,,,32,
Area,125.328,125.328,125.328,0.000,125.328,125.328,125.328,125.328,1,µm^2,Surface,,,,,33,
Area,132.657,132.657,132.657,0.000,132.657,132.657,132.657,132.657,1,µm^2,Surface,,,,,34,
Area,112.377,112.377,112.377,0.000,112.377,112.377,112.377,112.377,1,µm^2,Surface,,,,,35,
Area,100.069,100.069,100.069,0.000,100.069,100.069,100.069,100.069,1,µm^2,Surface,,,,,36,
Area,74.355,74.355,74.355,0.000,74.355,74.355,74.355,74.355,1,µm^2,Surface,,,,,37,
Area,48.064,48.064,48.064,0.000,48.064,48.064,48.064,48.064,1,µm^2,Surface,,,,,38,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,27,
Displacement Delta Length,1.092,1.092,1.092,0.000,1.092,1.092,1.092,1.092,1,µm,Surface,,,,,28,
Displacement Delta Length,0.215,0.215,0.215,0.000,0.215,0.215,0.215,0.215,1,µm,Surface,,,,,29,
Displacement Delta Length,0.882,0.882,0.882,0.000,0.882,0.882,0.882,0.882,1,µm,Surface,,,,,30,
Displacement Delta Length,2.232,2.232,2.232,0.000,2.232,2.232,2.232,2.232,1,µm,Surface,,,,,31,
Displacement Delta Length,0.987,0.987,0.987,0.000,0.987,0.987,0.987,0.987,1,µm,Surface,,,,,32,
Displacement Delta Length,1.192,1.192,1.192,0.000,1.192,1.192,1.192,1.192,1,µm,Surface,,,,,33,
Displacement Delta Length,0.434,0.434,0.434,0.000,0.434,0.434,0.434,0.434,1,µm,Surface,,,,,34,
Displacement Delta Length,1.088,1.088,1.088,0.000,1.088,1.088,1.088,1.088,1,µm,Surface,,,,,35,
Displacement Delta Length,1.866,1.866,1.866,0.000,1.866,1.866,1.866,1.866,1,µm,Surface,,,,,36,
Displacement Delta Length,0.709,0.709,0.709,0.000,0.709,0.709,0.709,0.709,1,µm,Surface,,,,,37,
Displacement Delta Length,0.450,0.450,0.450,0.000,0.450,0.450,0.450,0.450,1,µm,Surface,,,,,38,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta X,0.242,0.242,0.242,0.000,0.242,0.242,0.242,0.242,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta X,0.080,0.080,0.080,0.000,0.080,0.080,0.080,0.080,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,-0.500,-0.500,-0.500,0.000,-0.500,-0.500,-0.500,-0.500,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta X,0.374,0.374,0.374,0.000,0.374,0.374,0.374,0.374,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta X,0.320,0.320,0.320,0.000,0.320,0.320,0.320,0.320,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta X,0.752,0.752,0.752,0.000,0.752,0.752,0.752,0.752,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta X,0.040,0.040,0.040,0.000,0.040,0.040,0.040,0.040,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta X,1.018,1.018,1.018,0.000,1.018,1.018,1.018,1.018,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta X,0.954,0.954,0.954,0.000,0.954,0.954,0.954,0.954,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta X,-0.050,-0.050,-0.050,0.000,-0.050,-0.050,-0.050,-0.050,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta X,0.199,0.199,0.199,0.000,0.199,0.199,0.199,0.199,1,µm,Surface,,Displacement Delta,,,38,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Y,0.565,0.565,0.565,0.000,0.565,0.565,0.565,0.565,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Y,-0.153,-0.153,-0.153,0.000,-0.153,-0.153,-0.153,-0.153,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Y,0.085,0.085,0.085,0.000,0.085,0.085,0.085,0.085,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Y,0.334,0.334,0.334,0.000,0.334,0.334,0.334,0.334,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta Y,0.566,0.566,0.566,0.000,0.566,0.566,0.566,0.566,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta Y,-0.924,-0.924,-0.924,0.000,-0.924,-0.924,-0.924,-0.924,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta Y,0.314,0.314,0.314,0.000,0.314,0.314,0.314,0.314,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta Y,-0.208,-0.208,-0.208,0.000,-0.208,-0.208,-0.208,-0.208,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta Y,0.681,0.681,0.681,0.000,0.681,0.681,0.681,0.681,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta Y,0.637,0.637,0.637,0.000,0.637,0.637,0.637,0.637,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta Y,-0.276,-0.276,-0.276,0.000,-0.276,-0.276,-0.276,-0.276,1,µm,Surface,,Displacement Delta,,,38,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Z,0.902,0.902,0.902,0.000,0.902,0.902,0.902,0.902,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Z,0.127,0.127,0.127,0.000,0.127,0.127,0.127,0.127,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Z,0.722,0.722,0.722,0.000,0.722,0.722,0.722,0.722,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Z,2.175,2.175,2.175,0.000,2.175,2.175,2.175,2.175,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta Z,0.743,0.743,0.743,0.000,0.743,0.743,0.743,0.743,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta Z,0.029,0.029,0.029,0.000,0.029,0.029,0.029,0.029,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta Z,-0.297,-0.297,-0.297,0.000,-0.297,-0.297,-0.297,-0.297,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta Z,0.323,0.323,0.323,0.000,0.323,0.323,0.323,0.323,1,µm,Surface,,Displacement Delta,,,35,
