
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,51.950,51.950,51.950,0.000,51.950,51.950,51.950,51.950,1,µm^2,Surface,,,,,27,
Area,87.772,87.772,87.772,0.000,87.772,87.772,87.772,87.772,1,µm^2,Surface,,,,,28,
Area,91.926,91.926,91.926,0.000,91.926,91.926,91.926,91.926,1,µm^2,Surface,,,,,29,
Area,90.737,90.737,90.737,0.000,90.737,90.737,90.737,90.737,1,µm^2,Surface,,,,,30,
Area,68.959,68.959,68.959,0.000,68.959,68.959,68.959,68.959,1,µm^2,Surface,,,,,31,
Area,56.318,56.318,56.318,0.000,56.318,56.318,56.318,56.318,1,µm^2,Surface,,,,,32,
Area,76.784,76.784,76.784,0.000,76.784,76.784,76.784,76.784,1,µm^2,Surface,,,,,33,
Area,63.780,63.780,63.780,0.000,63.780,63.780,63.780,63.780,1,µm^2,Surface,,,,,34,
Area,49.872,49.872,49.872,0.000,49.872,49.872,49.872,49.872,1,µm^2,Surface,,,,,35,
Area,39.048,39.048,39.048,0.000,39.048,39.048,39.048,39.048,1,µm^2,Surface,,,,,36,
Area,38.567,38.567,38.567,0.000,38.567,38.567,38.567,38.567,1,µm^2,Surface,,,,,37,
Area,13.802,13.802,13.802,0.000,13.802,13.802,13.802,13.802,1,µm^2,Surface,,,,,38,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,27,
Displacement Delta Length,0.762,0.762,0.762,0.000,0.762,0.762,0.762,0.762,1,µm,Surface,,,,,28,
Displacement Delta Length,1.287,1.287,1.287,0.000,1.287,1.287,1.287,1.287,1,µm,Surface,,,,,29,
Displacement Delta Length,1.998,1.998,1.998,0.000,1.998,1.998,1.998,1.998,1,µm,Surface,,,,,30,
Displacement Delta Length,1.713,1.713,1.713,0.000,1.713,1.713,1.713,1.713,1,µm,Surface,,,,,31,
Displacement Delta Length,1.185,1.185,1.185,0.000,1.185,1.185,1.185,1.185,1,µm,Surface,,,,,32,
Displacement Delta Length,0.812,0.812,0.812,0.000,0.812,0.812,0.812,0.812,1,µm,Surface,,,,,33,
