
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,60.657,60.657,60.657,0.000,60.657,60.657,60.657,60.657,1,µm^2,Surface,,,,,12,
Area,88.823,88.823,88.823,0.000,88.823,88.823,88.823,88.823,1,µm^2,Surface,,,,,13,
Area,106.775,106.775,106.775,0.000,106.775,106.775,106.775,106.775,1,µm^2,Surface,,,,,14,
Area,134.670,134.670,134.670,0.000,134.670,134.670,134.670,134.670,1,µm^2,Surface,,,,,15,
Area,139.899,139.899,139.899,0.000,139.899,139.899,139.899,139.899,1,µm^2,Surface,,,,,16,
Area,143.649,143.649,143.649,0.000,143.649,143.649,143.649,143.649,1,µm^2,Surface,,,,,17,
Area,147.374,147.374,147.374,0.000,147.374,147.374,147.374,147.374,1,µm^2,Surface,,,,,18,
Area,130.171,130.171,130.171,0.000,130.171,130.171,130.171,130.171,1,µm^2,Surface,,,,,19,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,12,
Displacement Delta Length,1.461,1.461,1.461,0.000,1.461,1.461,1.461,1.461,1,µm,Surface,,,,,13,
Displacement Delta Length,2.044,2.044,2.044,0.000,2.044,2.044,2.044,2.044,1,µm,Surface,,,,,14,
Displacement Delta Length,1.140,1.140,1.140,0.000,1.140,1.140,1.140,1.140,1,µm,Surface,,,,,15,
Displacement Delta Length,0.717,0.717,0.717,0.000,0.717,0.717,0.717,0.717,1,µm,Surface,,,,,16,
Displacement Delta Length,1.172,1.172,1.172,0.000,1.172,1.172,1.172,1.172,1,µm,Surface,,,,,17,
Displacement Delta Length,1.407,1.407,1.407,0.000,1.407,1.407,1.407,1.407,1,µm,Surface,,,,,18,
Displacement Delta Length,4.108,4.108,4.108,0.000,4.108,4.108,4.108,4.108,1,µm,Surface,,,,,19,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta X,0.222,0.222,0.222,0.000,0.222,0.222,0.222,0.222,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta X,0.962,0.962,0.962,0.000,0.962,0.962,0.962,0.962,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta X,0.117,0.117,0.117,0.000,0.117,0.117,0.117,0.117,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta X,-0.311,-0.311,-0.311,0.000,-0.311,-0.311,-0.311,-0.311,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta X,-0.852,-0.852,-0.852,0.000,-0.852,-0.852,-0.852,-0.852,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta X,-1.301,-1.301,-1.301,0.000,-1.301,-1.301,-1.301,-1.301,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta X,-0.084,-0.084,-0.084,0.000,-0.084,-0.084,-0.084,-0.084,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta Y,-1.335,-1.335,-1.335,0.000,-1.335,-1.335,-1.335,-1.335,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta Y,-1.266,-1.266,-1.266,0.000,-1.266,-1.266,-1.266,-1.266,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Y,-0.228,-0.228,-0.228,0.000,-0.228,-0.228,-0.228,-0.228,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Y,0.509,0.509,0.509,0.000,0.509,0.509,0.509,0.509,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Y,-0.379,-0.379,-0.379,0.000,-0.379,-0.379,-0.379,-0.379,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Y,-0.520,-0.520,-0.520,0.000,-0.520,-0.520,-0.520,-0.520,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Y,-2.260,-2.260,-2.260,0.000,-2.260,-2.260,-2.260,-2.260,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta Z,-0.551,-0.551,-0.551,0.000,-0.551,-0.551,-0.551,-0.551,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta Z,1.284,1.284,1.284,0.000,1.284,1.284,1.284,1.284,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Z,1.110,1.110,1.110,0.000,1.110,1.110,1.110,1.110,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Z,0.398,0.398,0.398,0.000,0.398,0.398,0.398,0.398,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Z,0.710,0.710,0.710,0.000,0.710,0.710,0.710,0.710,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Z,0.135,0.135,0.135,0.000,0.135,0.135,0.135,0.135,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Z,-3.430,-3.430,-3.430,0.000,-3.430,-3.430,-3.430,-3.430,1,µm,Surface,,Displacement Delta,,,19,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,12,
Displacement Length,1.461,1.461,1.461,0.000,1.461,1.461,1.461,1.461,1,µm,Surface,,,,,13,
Displacement Length,2.950,2.950,2.950,0.000,2.950,2.950,2.950,2.950,1,µm,Surface,,,,,14,
Displacement Length,3.619,3.619,3.619,0.000,3.619,3.619,3.619,3.619,1,µm,Surface,,,,,15,
Displacement Length,3.375,3.375,3.375,0.000,3.375,3.375,3.375,3.375,1,µm,Surface,,,,,16,
Displacement Length,4.002,4.002,4.002,0.000,4.002,4.002,4.002,4.002,1,µm,Surface,,,,,17,
Displacement Length,4.608,4.608,4.608,0.000,4.608,4.608,4.608,4.608,1,µm,Surface,,,,,18,
Displacement Length,5.628,5.628,5.628,0.000,5.628,5.628,5.628,5.628,1,µm,Surface,,,,,19,
Distance from Origin,9616.542,9616.542,9616.542,0.000,9616.542,9616.542,9616.542,9616.542,1,µm,Surface,,Distance from Origin,,,12,
Distance from Origin,9616.189,9616.189,9616.189,0.000,9616.189,9616.189,9616.189,9616.189,1,µm,Surface,,Distance from Origin,,,13,
Distance from Origin,9617.222,9617.222,9617.222,0.000,9617.222,9617.222,9617.222,9617.222,1,µm,Surface,,Distance from Origin,,,14,
Distance from Origin,9618.229,9618.229,9618.229,0.000,9618.229,9618.229,9618.229,9618.229,1,µm,Surface,,Distance from Origin,,,15,
Distance from Origin,9618.620,9618.620,9618.620,0.000,9618.620,9618.620,9618.620,9618.620,1,µm,Surface,,Distance from Origin,,,16,
Distance from Origin,9619.650,9619.650,9619.650,0.000,9619.650,9619.650,9619.650,9619.650,1,µm,Surface,,Distance from Origin,,,17,
Distance from Origin,9620.349,9620.349,9620.349,0.000,9620.349,9620.349,9620.349,9620.349,1,µm,Surface,,Distance from Origin,,,18,
Distance from Origin,9617.648,9617.648,9617.648,0.000,9617.648,9617.648,9617.648,9617.648,1,µm,Surface,,Distance from Origin,,,19,
Distance to Image Border XY,14.786,14.786,14.786,0.000,14.786,14.786,14.786,14.786,1,µm,Surface,,,Image 1,,12,
Distance to Image Border XY,14.383,14.383,14.383,0.000,14.383,14.383,14.383,14.383,1,µm,Surface,,,Image 1,,13,
Distance to Image Border XY,15.240,15.240,15.240,0.000,15.240,15.240,15.240,15.240,1,µm,Surface,,,Image 1,,14,
Distance to Image Border XY,15.253,15.253,15.253,0.000,15.253,15.253,15.253,15.253,1,µm,Surface,,,Image 1,,15,
Distance to Image Border XY,14.630,14.630,14.630,0.000,14.630,14.630,14.630,14.630,1,µm,Surface,,,Image 1,,16,
Distance to Image Border XY,13.256,13.256,13.256,0.000,13.256,13.256,13.256,13.256,1,µm,Surface,,,Image 1,,17,
Distance to Image Border XY,12.164,12.164,12.164,0.000,12.164,12.164,12.164,12.164,1,µm,Surface,,,Image 1,,18,
Distance to Image Border XY,13.018,13.018,13.018,0.000,13.018,13.018,13.018,13.018,1,µm,Surface,,,Image 1,,19,
Ellipticity (oblate),0.302,0.302,0.302,0.000,0.302,0.302,0.302,0.302,1,,Surface,,,,,12,
Ellipticity (oblate),0.201,0.201,0.201,0.000,0.201,0.201,0.201,0.201,1,,Surface,,,,,13,
Ellipticity (oblate),0.494,0.494,0.494,0.000,0.494,0.494,0.494,0.494,1,,Surface,,,,,14,
Ellipticity (oblate),0.495,0.495,0.495,0.000,0.495,0.495,0.495,0.495,1,,Surface,,,,,15,
Ellipticity (oblate),0.507,0.507,0.507,0.000,0.507,0.507,0.507,0.507,1,,Surface,,,,,16,
Ellipticity (oblate),0.274,0.274,0.274,0.000,0.274,0.274,0.274,0.274,1,,Surface,,,,,17,
Ellipticity (oblate),0.252,0.252,0.252,0.000,0.252,0.252,0.252,0.252,1,,Surface,,,,,18,
Ellipticity (oblate),0.352,0.352,0.352,0.000,0.352,0.352,0.352,0.352,1,,Surface,,,,,19,
Ellipticity (prolate),0.331,0.331,0.331,0.000,0.331,0.331,0.331,0.331,1,,Surface,,,,,12,
Ellipticity (prolate),0.189,0.189,0.189,0.000,0.189,0.189,0.189,0.189,1,,Surface,,,,,13,
Ellipticity (prolate),0.249,0.249,0.249,0.000,0.249,0.249,0.249,0.249,1,,Surface,,,,,14,
Ellipticity (prolate),0.301,0.301,0.301,0.000,0.301,0.301,0.301,0.301,1,,Surface,,,,,15,
Ellipticity (prolate),0.194,0.194,0.194,0.000,0.194,0.194,0.194,0.194,1,,Surface,,,,,16,
Ellipticity (prolate),0.473,0.473,0.473,0.000,0.473,0.473,0.473,0.473,1,,Surface,,,,,17,
Ellipticity (prolate),0.408,0.408,0.408,0.000,0.408,0.408,0.408,0.408,1,,Surface,,,,,18,
Ellipticity (prolate),0.410,0.410,0.410,0.000,0.410,0.410,0.410,0.410,1,,Surface,,,,,19,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,12,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,13,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,14,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,15,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,16,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,17,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,18,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,19,
Intensity Max,216.000,216.000,216.000,0.000,216.000,216.000,216.000,216.000,1,,Surface,2,,Image 1,,12,
Intensity Max,162.000,162.000,162.000,0.000,162.000,162.000,162.000,162.000,1,,Surface,1,,Image 1,,12,
Intensity Max,308.000,308.000,308.000,0.000,308.000,308.000,308.000,308.000,1,,Surface,2,,Image 1,,13,
Intensity Max,168.000,168.000,168.000,0.000,168.000,168.000,168.000,168.000,1,,Surface,1,,Image 1,,13,
Intensity Max,233.000,233.000,233.000,0.000,233.000,233.000,233.000,233.000,1,,Surface,2,,Image 1,,14,
