
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,24.919,24.919,24.919,0.000,24.919,24.919,24.919,24.919,1,µm^2,Surface,,,,,27,
Area,80.623,80.623,80.623,0.000,80.623,80.623,80.623,80.623,1,µm^2,Surface,,,,,28,
Area,103.696,103.696,103.696,0.000,103.696,103.696,103.696,103.696,1,µm^2,Surface,,,,,29,
Area,105.749,105.749,105.749,0.000,105.749,105.749,105.749,105.749,1,µm^2,Surface,,,,,30,
Area,122.794,122.794,122.794,0.000,122.794,122.794,122.794,122.794,1,µm^2,Surface,,,,,31,
Area,123.886,123.886,123.886,0.000,123.886,123.886,123.886,123.886,1,µm^2,Surface,,,,,32,
Area,129.819,129.819,129.819,0.000,129.819,129.819,129.819,129.819,1,µm^2,Surface,,,,,33,
Area,132.789,132.789,132.789,0.000,132.789,132.789,132.789,132.789,1,µm^2,Surface,,,,,34,
Area,140.896,140.896,140.896,0.000,140.896,140.896,140.896,140.896,1,µm^2,Surface,,,,,35,
Area,138.957,138.957,138.957,0.000,138.957,138.957,138.957,138.957,1,µm^2,Surface,,,,,36,
Area,118.977,118.977,118.977,0.000,118.977,118.977,118.977,118.977,1,µm^2,Surface,,,,,37,
Area,60.206,60.206,60.206,0.000,60.206,60.206,60.206,60.206,1,µm^2,Surface,,,,,38,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,27,
Displacement Delta Length,1.183,1.183,1.183,0.000,1.183,1.183,1.183,1.183,1,µm,Surface,,,,,28,
Displacement Delta Length,1.380,1.380,1.380,0.000,1.380,1.380,1.380,1.380,1,µm,Surface,,,,,29,
Displacement Delta Length,0.712,0.712,0.712,0.000,0.712,0.712,0.712,0.712,1,µm,Surface,,,,,30,
Displacement Delta Length,0.749,0.749,0.749,0.000,0.749,0.749,0.749,0.749,1,µm,Surface,,,,,31,
Displacement Delta Length,0.851,0.851,0.851,0.000,0.851,0.851,0.851,0.851,1,µm,Surface,,,,,32,
Displacement Delta Length,1.417,1.417,1.417,0.000,1.417,1.417,1.417,1.417,1,µm,Surface,,,,,33,
Displacement Delta Length,1.266,1.266,1.266,0.000,1.266,1.266,1.266,1.266,1,µm,Surface,,,,,34,
Displacement Delta Length,2.426,2.426,2.426,0.000,2.426,2.426,2.426,2.426,1,µm,Surface,,,,,35,
Displacement Delta Length,0.611,0.611,0.611,0.000,0.611,0.611,0.611,0.611,1,µm,Surface,,,,,36,
Displacement Delta Length,0.278,0.278,0.278,0.000,0.278,0.278,0.278,0.278,1,µm,Surface,,,,,37,
Displacement Delta Length,1.270,1.270,1.270,0.000,1.270,1.270,1.270,1.270,1,µm,Surface,,,,,38,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta X,-0.428,-0.428,-0.428,0.000,-0.428,-0.428,-0.428,-0.428,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta X,0.961,0.961,0.961,0.000,0.961,0.961,0.961,0.961,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,0.384,0.384,0.384,0.000,0.384,0.384,0.384,0.384,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta X,-0.082,-0.082,-0.082,0.000,-0.082,-0.082,-0.082,-0.082,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta X,0.074,0.074,0.074,0.000,0.074,0.074,0.074,0.074,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta X,-0.550,-0.550,-0.550,0.000,-0.550,-0.550,-0.550,-0.550,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta X,0.208,0.208,0.208,0.000,0.208,0.208,0.208,0.208,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta X,0.393,0.393,0.393,0.000,0.393,0.393,0.393,0.393,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta X,0.611,0.611,0.611,0.000,0.611,0.611,0.611,0.611,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta X,0.014,0.014,0.014,0.000,0.014,0.014,0.014,0.014,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta X,0.173,0.173,0.173,0.000,0.173,0.173,0.173,0.173,1,µm,Surface,,Displacement Delta,,,38,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Y,-1.090,-1.090,-1.090,0.000,-1.090,-1.090,-1.090,-1.090,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Y,0.478,0.478,0.478,0.000,0.478,0.478,0.478,0.478,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Y,0.385,0.385,0.385,0.000,0.385,0.385,0.385,0.385,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Y,0.317,0.317,0.317,0.000,0.317,0.317,0.317,0.317,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta Y,0.584,0.584,0.584,0.000,0.584,0.584,0.584,0.584,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta Y,1.284,1.284,1.284,0.000,1.284,1.284,1.284,1.284,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta Y,1.239,1.239,1.239,0.000,1.239,1.239,1.239,1.239,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta Y,2.354,2.354,2.354,0.000,2.354,2.354,2.354,2.354,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta Y,0.242,0.242,0.242,0.000,0.242,0.242,0.242,0.242,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta Y,0.231,0.231,0.231,0.000,0.231,0.231,0.231,0.231,1,µm,Surface,,Displacement Delta,,,38,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Z,-0.168,-0.168,-0.168,0.000,-0.168,-0.168,-0.168,-0.168,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Z,0.868,0.868,0.868,0.000,0.868,0.868,0.868,0.868,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Z,-0.460,-0.460,-0.460,0.000,-0.460,-0.460,-0.460,-0.460,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Z,-0.674,-0.674,-0.674,0.000,-0.674,-0.674,-0.674,-0.674,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta Z,-0.615,-0.615,-0.615,0.000,-0.615,-0.615,-0.615,-0.615,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta Z,-0.239,-0.239,-0.239,0.000,-0.239,-0.239,-0.239,-0.239,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta Z,-0.151,-0.151,-0.151,0.000,-0.151,-0.151,-0.151,-0.151,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta Z,-0.437,-0.437,-0.437,0.000,-0.437,-0.437,-0.437,-0.437,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta Z,0.026,0.026,0.026,0.000,0.026,0.026,0.026,0.026,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta Z,-0.136,-0.136,-0.136,0.000,-0.136,-0.136,-0.136,-0.136,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta Z,-1.236,-1.236,-1.236,0.000,-1.236,-1.236,-1.236,-1.236,1,µm,Surface,,Displacement Delta,,,38,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,27,
Displacement Length,1.183,1.183,1.183,0.000,1.183,1.183,1.183,1.183,1,µm,Surface,,,,,28,
Displacement Length,1.071,1.071,1.071,0.000,1.071,1.071,1.071,1.071,1,µm,Surface,,,,,29,
Displacement Length,0.974,0.974,0.974,0.000,0.974,0.974,0.974,0.974,1,µm,Surface,,,,,30,
Displacement Length,0.945,0.945,0.945,0.000,0.945,0.945,0.945,0.945,1,µm,Surface,,,,,31,
Displacement Length,1.543,1.543,1.543,0.000,1.543,1.543,1.543,1.543,1,µm,Surface,,,,,32,
Displacement Length,2.371,2.371,2.371,0.000,2.371,2.371,2.371,2.371,1,µm,Surface,,,,,33,
Displacement Length,3.552,3.552,3.552,0.000,3.552,3.552,3.552,3.552,1,µm,Surface,,,,,34,
Displacement Length,5.938,5.938,5.938,0.000,5.938,5.938,5.938,5.938,1,µm,Surface,,,,,35,
Displacement Length,6.059,6.059,6.059,0.000,6.059,6.059,6.059,6.059,1,µm,Surface,,,,,36,
Displacement Length,6.326,6.326,6.326,0.000,6.326,6.326,6.326,6.326,1,µm,Surface,,,,,37,
Displacement Length,7.055,7.055,7.055,0.000,7.055,7.055,7.055,7.055,1,µm,Surface,,,,,38,
Distance from Origin,9615.116,9615.116,9615.116,0.000,9615.116,9615.116,9615.116,9615.116,1,µm,Surface,,Distance from Origin,,,27,
Distance from Origin,9615.313,9615.313,9615.313,0.000,9615.313,9615.313,9615.313,9615.313,1,µm,Surface,,Distance from Origin,,,28,
Distance from Origin,9615.663,9615.663,9615.663,0.000,9615.663,9615.663,9615.663,9615.663,1,µm,Surface,,Distance from Origin,,,29,
