
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,7.944,7.944,7.944,0.000,7.944,7.944,7.944,7.944,1,µm^2,Surface,,,,,27,
Area,54.360,54.360,54.360,0.000,54.360,54.360,54.360,54.360,1,µm^2,Surface,,,,,28,
Area,83.228,83.228,83.228,0.000,83.228,83.228,83.228,83.228,1,µm^2,Surface,,,,,29,
Area,78.490,78.490,78.490,0.000,78.490,78.490,78.490,78.490,1,µm^2,Surface,,,,,30,
Area,83.139,83.139,83.139,0.000,83.139,83.139,83.139,83.139,1,µm^2,Surface,,,,,31,
Area,99.219,99.219,99.219,0.000,99.219,99.219,99.219,99.219,1,µm^2,Surface,,,,,32,
Area,97.839,97.839,97.839,0.000,97.839,97.839,97.839,97.839,1,µm^2,Surface,,,,,33,
Area,106.452,106.452,106.452,0.000,106.452,106.452,106.452,106.452,1,µm^2,Surface,,,,,34,
Area,86.048,86.048,86.048,0.000,86.048,86.048,86.048,86.048,1,µm^2,Surface,,,,,35,
Area,67.393,67.393,67.393,0.000,67.393,67.393,67.393,67.393,1,µm^2,Surface,,,,,36,
Area,59.878,59.878,59.878,0.000,59.878,59.878,59.878,59.878,1,µm^2,Surface,,,,,37,
Area,53.009,53.009,53.009,0.000,53.009,53.009,53.009,53.009,1,µm^2,Surface,,,,,38,
Area,19.435,19.435,19.435,0.000,19.435,19.435,19.435,19.435,1,µm^2,Surface,,,,,39,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,27,
Displacement Delta Length,7.988,7.988,7.988,0.000,7.988,7.988,7.988,7.988,1,µm,Surface,,,,,28,
Displacement Delta Length,0.634,0.634,0.634,0.000,0.634,0.634,0.634,0.634,1,µm,Surface,,,,,29,
Displacement Delta Length,0.336,0.336,0.336,0.000,0.336,0.336,0.336,0.336,1,µm,Surface,,,,,30,
Displacement Delta Length,0.298,0.298,0.298,0.000,0.298,0.298,0.298,0.298,1,µm,Surface,,,,,31,
Displacement Delta Length,0.310,0.310,0.310,0.000,0.310,0.310,0.310,0.310,1,µm,Surface,,,,,32,
Displacement Delta Length,0.612,0.612,0.612,0.000,0.612,0.612,0.612,0.612,1,µm,Surface,,,,,33,
Displacement Delta Length,0.548,0.548,0.548,0.000,0.548,0.548,0.548,0.548,1,µm,Surface,,,,,34,
Displacement Delta Length,1.287,1.287,1.287,0.000,1.287,1.287,1.287,1.287,1,µm,Surface,,,,,35,
Displacement Delta Length,1.221,1.221,1.221,0.000,1.221,1.221,1.221,1.221,1,µm,Surface,,,,,36,
Displacement Delta Length,0.368,0.368,0.368,0.000,0.368,0.368,0.368,0.368,1,µm,Surface,,,,,37,
Displacement Delta Length,0.921,0.921,0.921,0.000,0.921,0.921,0.921,0.921,1,µm,Surface,,,,,38,
Displacement Delta Length,0.308,0.308,0.308,0.000,0.308,0.308,0.308,0.308,1,µm,Surface,,,,,39,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta X,1.233,1.233,1.233,0.000,1.233,1.233,1.233,1.233,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta X,0.605,0.605,0.605,0.000,0.605,0.605,0.605,0.605,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,-0.106,-0.106,-0.106,0.000,-0.106,-0.106,-0.106,-0.106,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta X,-0.170,-0.170,-0.170,0.000,-0.170,-0.170,-0.170,-0.170,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta X,0.273,0.273,0.273,0.000,0.273,0.273,0.273,0.273,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta X,0.521,0.521,0.521,0.000,0.521,0.521,0.521,0.521,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta X,0.097,0.097,0.097,0.000,0.097,0.097,0.097,0.097,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta X,-0.525,-0.525,-0.525,0.000,-0.525,-0.525,-0.525,-0.525,1,µm,Surface,,Displacement Delta,,,35,
