
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,53.903,53.903,53.903,0.000,53.903,53.903,53.903,53.903,1,µm^2,Surface,,,,,16,
Area,89.490,89.490,89.490,0.000,89.490,89.490,89.490,89.490,1,µm^2,Surface,,,,,17,
Area,116.710,116.710,116.710,0.000,116.710,116.710,116.710,116.710,1,µm^2,Surface,,,,,18,
Area,129.800,129.800,129.800,0.000,129.800,129.800,129.800,129.800,1,µm^2,Surface,,,,,19,
Area,139.113,139.113,139.113,0.000,139.113,139.113,139.113,139.113,1,µm^2,Surface,,,,,20,
Area,134.219,134.219,134.219,0.000,134.219,134.219,134.219,134.219,1,µm^2,Surface,,,,,21,
Area,141.848,141.848,141.848,0.000,141.848,141.848,141.848,141.848,1,µm^2,Surface,,,,,22,
Area,140.313,140.313,140.313,0.000,140.313,140.313,140.313,140.313,1,µm^2,Surface,,,,,23,
Area,146.275,146.275,146.275,0.000,146.275,146.275,146.275,146.275,1,µm^2,Surface,,,,,24,
Area,139.938,139.938,139.938,0.000,139.938,139.938,139.938,139.938,1,µm^2,Surface,,,,,25,
Area,120.638,120.638,120.638,0.000,120.638,120.638,120.638,120.638,1,µm^2,Surface,,,,,26,
Area,57.173,57.173,57.173,0.000,57.173,57.173,57.173,57.173,1,µm^2,Surface,,,,,27,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,16,
Displacement Delta Length,0.674,0.674,0.674,0.000,0.674,0.674,0.674,0.674,1,µm,Surface,,,,,17,
Displacement Delta Length,0.486,0.486,0.486,0.000,0.486,0.486,0.486,0.486,1,µm,Surface,,,,,18,
Displacement Delta Length,1.096,1.096,1.096,0.000,1.096,1.096,1.096,1.096,1,µm,Surface,,,,,19,
Displacement Delta Length,1.300,1.300,1.300,0.000,1.300,1.300,1.300,1.300,1,µm,Surface,,,,,20,
Displacement Delta Length,1.074,1.074,1.074,0.000,1.074,1.074,1.074,1.074,1,µm,Surface,,,,,21,
Displacement Delta Length,0.855,0.855,0.855,0.000,0.855,0.855,0.855,0.855,1,µm,Surface,,,,,22,
Displacement Delta Length,0.656,0.656,0.656,0.000,0.656,0.656,0.656,0.656,1,µm,Surface,,,,,23,
Displacement Delta Length,0.956,0.956,0.956,0.000,0.956,0.956,0.956,0.956,1,µm,Surface,,,,,24,
Displacement Delta Length,1.308,1.308,1.308,0.000,1.308,1.308,1.308,1.308,1,µm,Surface,,,,,25,
Displacement Delta Length,1.482,1.482,1.482,0.000,1.482,1.482,1.482,1.482,1,µm,Surface,,,,,26,
Displacement Delta Length,1.465,1.465,1.465,0.000,1.465,1.465,1.465,1.465,1,µm,Surface,,,,,27,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta X,0.552,0.552,0.552,0.000,0.552,0.552,0.552,0.552,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta X,0.302,0.302,0.302,0.000,0.302,0.302,0.302,0.302,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta X,0.868,0.868,0.868,0.000,0.868,0.868,0.868,0.868,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta X,1.298,1.298,1.298,0.000,1.298,1.298,1.298,1.298,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta X,-0.676,-0.676,-0.676,0.000,-0.676,-0.676,-0.676,-0.676,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta X,0.138,0.138,0.138,0.000,0.138,0.138,0.138,0.138,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta X,0.572,0.572,0.572,0.000,0.572,0.572,0.572,0.572,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta X,0.561,0.561,0.561,0.000,0.561,0.561,0.561,0.561,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta X,-0.281,-0.281,-0.281,0.000,-0.281,-0.281,-0.281,-0.281,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta X,-0.473,-0.473,-0.473,0.000,-0.473,-0.473,-0.473,-0.473,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta X,-1.461,-1.461,-1.461,0.000,-1.461,-1.461,-1.461,-1.461,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Y,0.281,0.281,0.281,0.000,0.281,0.281,0.281,0.281,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Y,0.242,0.242,0.242,0.000,0.242,0.242,0.242,0.242,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Y,0.290,0.290,0.290,0.000,0.290,0.290,0.290,0.290,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Y,-0.026,-0.026,-0.026,0.000,-0.026,-0.026,-0.026,-0.026,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Y,-0.832,-0.832,-0.832,0.000,-0.832,-0.832,-0.832,-0.832,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta Y,-0.766,-0.766,-0.766,0.000,-0.766,-0.766,-0.766,-0.766,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta Y,0.277,0.277,0.277,0.000,0.277,0.277,0.277,0.277,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Y,-0.738,-0.738,-0.738,0.000,-0.738,-0.738,-0.738,-0.738,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta Y,-1.131,-1.131,-1.131,0.000,-1.131,-1.131,-1.131,-1.131,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta Y,-0.930,-0.930,-0.930,0.000,-0.930,-0.930,-0.930,-0.930,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta Y,0.108,0.108,0.108,0.000,0.108,0.108,0.108,0.108,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Z,0.266,0.266,0.266,0.000,0.266,0.266,0.266,0.266,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Z,0.294,0.294,0.294,0.000,0.294,0.294,0.294,0.294,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Z,-0.603,-0.603,-0.603,0.000,-0.603,-0.603,-0.603,-0.603,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Z,-0.075,-0.075,-0.075,0.000,-0.075,-0.075,-0.075,-0.075,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Z,0.066,0.066,0.066,0.000,0.066,0.066,0.066,0.066,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta Z,-0.354,-0.354,-0.354,0.000,-0.354,-0.354,-0.354,-0.354,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta Z,-0.164,-0.164,-0.164,0.000,-0.164,-0.164,-0.164,-0.164,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Z,0.235,0.235,0.235,0.000,0.235,0.235,0.235,0.235,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta Z,0.595,0.595,0.595,0.000,0.595,0.595,0.595,0.595,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta Z,-1.053,-1.053,-1.053,0.000,-1.053,-1.053,-1.053,-1.053,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta Z,0.026,0.026,0.026,0.000,0.026,0.026,0.026,0.026,1,µm,Surface,,Displacement Delta,,,27,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,16,
Displacement Length,0.674,0.674,0.674,0.000,0.674,0.674,0.674,0.674,1,µm,Surface,,,,,17,
Displacement Length,1.147,1.147,1.147,0.000,1.147,1.147,1.147,1.147,1,µm,Surface,,,,,18,
Displacement Length,1.905,1.905,1.905,0.000,1.905,1.905,1.905,1.905,1,µm,Surface,,,,,19,
Displacement Length,3.123,3.123,3.123,0.000,3.123,3.123,3.123,3.123,1,µm,Surface,,,,,20,
Displacement Length,2.344,2.344,2.344,0.000,2.344,2.344,2.344,2.344,1,µm,Surface,,,,,21,
Displacement Length,2.642,2.642,2.642,0.000,2.642,2.642,2.642,2.642,1,µm,Surface,,,,,22,
Displacement Length,3.151,3.151,3.151,0.000,3.151,3.151,3.151,3.151,1,µm,Surface,,,,,23,
Displacement Length,3.846,3.846,3.846,0.000,3.846,3.846,3.846,3.846,1,µm,Surface,,,,,24,
Displacement Length,4.117,4.117,4.117,0.000,4.117,4.117,4.117,4.117,1,µm,Surface,,,,,25,
Displacement Length,4.462,4.462,4.462,0.000,4.462,4.462,4.462,4.462,1,µm,Surface,,,,,26,
Displacement Length,3.597,3.597,3.597,0.000,3.597,3.597,3.597,3.597,1,µm,Surface,,,,,27,
Distance from Origin,9614.864,9614.864,9614.864,0.000,9614.864,9614.864,9614.864,9614.864,1,µm,Surface,,Distance from Origin,,,16,
Distance from Origin,9614.853,9614.853,9614.853,0.000,9614.853,9614.853,9614.853,9614.853,1,µm,Surface,,Distance from Origin,,,17,
Distance from Origin,9614.966,9614.966,9614.966,0.000,9614.966,9614.966,9614.966,9614.966,1,µm,Surface,,Distance from Origin,,,18,
Distance from Origin,9614.043,9614.043,9614.043,0.000,9614.043,9614.043,9614.043,9614.043,1,µm,Surface,,Distance from Origin,,,19,
Distance from Origin,9613.497,9613.497,9613.497,0.000,9613.497,9613.497,9613.497,9613.497,1,µm,Surface,,Distance from Origin,,,20,
Distance from Origin,9613.954,9613.954,9613.954,0.000,9613.954,9613.954,9613.954,9613.954,1,µm,Surface,,Distance from Origin,,,21,
Distance from Origin,9613.715,9613.715,9613.715,0.000,9613.715,9613.715,9613.715,9613.715,1,µm,Surface,,Distance from Origin,,,22,
Distance from Origin,9613.304,9613.304,9613.304,0.000,9613.304,9613.304,9613.304,9613.304,1,µm,Surface,,Distance from Origin,,,23,
Distance from Origin,9613.439,9613.439,9613.439,0.000,9613.439,9613.439,9613.439,9613.439,1,µm,Surface,,Distance from Origin,,,24,
