
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,117.528,117.528,117.528,0.000,117.528,117.528,117.528,117.528,1,µm^2,Surface,,,,,1,
Area,134.586,134.586,134.586,0.000,134.586,134.586,134.586,134.586,1,µm^2,Surface,,,,,2,
Area,152.522,152.522,152.522,0.000,152.522,152.522,152.522,152.522,1,µm^2,Surface,,,,,3,
Area,174.328,174.328,174.328,0.000,174.328,174.328,174.328,174.328,1,µm^2,Surface,,,,,4,
Area,194.325,194.325,194.325,0.000,194.325,194.325,194.325,194.325,1,µm^2,Surface,,,,,5,
Area,181.755,181.755,181.755,0.000,181.755,181.755,181.755,181.755,1,µm^2,Surface,,,,,6,
Area,174.749,174.749,174.749,0.000,174.749,174.749,174.749,174.749,1,µm^2,Surface,,,,,7,
Area,143.905,143.905,143.905,0.000,143.905,143.905,143.905,143.905,1,µm^2,Surface,,,,,8,
Area,70.905,70.905,70.905,0.000,70.905,70.905,70.905,70.905,1,µm^2,Surface,,,,,9,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,1,
Displacement Delta Length,1.872,1.872,1.872,0.000,1.872,1.872,1.872,1.872,1,µm,Surface,,,,,2,
Displacement Delta Length,1.486,1.486,1.486,0.000,1.486,1.486,1.486,1.486,1,µm,Surface,,,,,3,
Displacement Delta Length,1.488,1.488,1.488,0.000,1.488,1.488,1.488,1.488,1,µm,Surface,,,,,4,
Displacement Delta Length,2.073,2.073,2.073,0.000,2.073,2.073,2.073,2.073,1,µm,Surface,,,,,5,
Displacement Delta Length,1.930,1.930,1.930,0.000,1.930,1.930,1.930,1.930,1,µm,Surface,,,,,6,
Displacement Delta Length,0.990,0.990,0.990,0.000,0.990,0.990,0.990,0.990,1,µm,Surface,,,,,7,
Displacement Delta Length,0.830,0.830,0.830,0.000,0.830,0.830,0.830,0.830,1,µm,Surface,,,,,8,
Displacement Delta Length,1.507,1.507,1.507,0.000,1.507,1.507,1.507,1.507,1,µm,Surface,,,,,9,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta X,1.612,1.612,1.612,0.000,1.612,1.612,1.612,1.612,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta X,0.870,0.870,0.870,0.000,0.870,0.870,0.870,0.870,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta X,0.751,0.751,0.751,0.000,0.751,0.751,0.751,0.751,1,µm,Surface,,Displacement Delta,,,4,
Displacement Delta X,0.305,0.305,0.305,0.000,0.305,0.305,0.305,0.305,1,µm,Surface,,Displacement Delta,,,5,
Displacement Delta X,1.180,1.180,1.180,0.000,1.180,1.180,1.180,1.180,1,µm,Surface,,Displacement Delta,,,6,
Displacement Delta X,0.924,0.924,0.924,0.000,0.924,0.924,0.924,0.924,1,µm,Surface,,Displacement Delta,,,7,
Displacement Delta X,0.575,0.575,0.575,0.000,0.575,0.575,0.575,0.575,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta X,-0.687,-0.687,-0.687,0.000,-0.687,-0.687,-0.687,-0.687,1,µm,Surface,,Displacement Delta,,,9,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta Y,-0.335,-0.335,-0.335,0.000,-0.335,-0.335,-0.335,-0.335,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta Y,-1.182,-1.182,-1.182,0.000,-1.182,-1.182,-1.182,-1.182,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta Y,-1.271,-1.271,-1.271,0.000,-1.271,-1.271,-1.271,-1.271,1,µm,Surface,,Displacement Delta,,,4,
Displacement Delta Y,-1.975,-1.975,-1.975,0.000,-1.975,-1.975,-1.975,-1.975,1,µm,Surface,,Displacement Delta,,,5,
Displacement Delta Y,-1.510,-1.510,-1.510,0.000,-1.510,-1.510,-1.510,-1.510,1,µm,Surface,,Displacement Delta,,,6,
Displacement Delta Y,-0.256,-0.256,-0.256,0.000,-0.256,-0.256,-0.256,-0.256,1,µm,Surface,,Displacement Delta,,,7,
Displacement Delta Y,0.574,0.574,0.574,0.000,0.574,0.574,0.574,0.574,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta Y,1.173,1.173,1.173,0.000,1.173,1.173,1.173,1.173,1,µm,Surface,,Displacement Delta,,,9,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta Z,0.892,0.892,0.892,0.000,0.892,0.892,0.892,0.892,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta Z,-0.232,-0.232,-0.232,0.000,-0.232,-0.232,-0.232,-0.232,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta Z,-0.182,-0.182,-0.182,0.000,-0.182,-0.182,-0.182,-0.182,1,µm,Surface,,Displacement Delta,,,4,
Displacement Delta Z,0.552,0.552,0.552,0.000,0.552,0.552,0.552,0.552,1,µm,Surface,,Displacement Delta,,,5,
Displacement Delta Z,-0.224,-0.224,-0.224,0.000,-0.224,-0.224,-0.224,-0.224,1,µm,Surface,,Displacement Delta,,,6,
Displacement Delta Z,-0.248,-0.248,-0.248,0.000,-0.248,-0.248,-0.248,-0.248,1,µm,Surface,,Displacement Delta,,,7,
Displacement Delta Z,-0.170,-0.170,-0.170,0.000,-0.170,-0.170,-0.170,-0.170,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta Z,-0.650,-0.650,-0.650,0.000,-0.650,-0.650,-0.650,-0.650,1,µm,Surface,,Displacement Delta,,,9,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,1,
Displacement Length,1.872,1.872,1.872,0.000,1.872,1.872,1.872,1.872,1,µm,Surface,,,,,2,
Displacement Length,2.982,2.982,2.982,0.000,2.982,2.982,2.982,2.982,1,µm,Surface,,,,,3,
Displacement Length,4.296,4.296,4.296,0.000,4.296,4.296,4.296,4.296,1,µm,Surface,,,,,4,
Displacement Length,6.022,6.022,6.022,0.000,6.022,6.022,6.022,6.022,1,µm,Surface,,,,,5,
Displacement Length,7.891,7.891,7.891,0.000,7.891,7.891,7.891,7.891,1,µm,Surface,,,,,6,
Displacement Length,8.648,8.648,8.648,0.000,8.648,8.648,8.648,8.648,1,µm,Surface,,,,,7,
Displacement Length,8.618,8.618,8.618,0.000,8.618,8.618,8.618,8.618,1,µm,Surface,,,,,8,
Displacement Length,7.316,7.316,7.316,0.000,7.316,7.316,7.316,7.316,1,µm,Surface,,,,,9,
Distance from Origin,9617.748,9617.748,9617.748,0.000,9617.748,9617.748,9617.748,9617.748,1,µm,Surface,,Distance from Origin,,,1,
Distance from Origin,9618.019,9618.019,9618.019,0.000,9618.019,9618.019,9618.019,9618.019,1,µm,Surface,,Distance from Origin,,,2,
Distance from Origin,9617.690,9617.690,9617.690,0.000,9617.690,9617.690,9617.690,9617.690,1,µm,Surface,,Distance from Origin,,,3,
Distance from Origin,9617.469,9617.469,9617.469,0.000,9617.469,9617.469,9617.469,9617.469,1,µm,Surface,,Distance from Origin,,,4,
Distance from Origin,9618.206,9618.206,9618.206,0.000,9618.206,9618.206,9618.206,9618.206,1,µm,Surface,,Distance from Origin,,,5,
Distance from Origin,9617.829,9617.829,9617.829,0.000,9617.829,9617.829,9617.829,9617.829,1,µm,Surface,,Distance from Origin,,,6,
Distance from Origin,9617.304,9617.304,9617.304,0.000,9617.304,9617.304,9617.304,9617.304,1,µm,Surface,,Distance from Origin,,,7,
