nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 17,Unnamed: 18,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col12,Col13
AB,Intensity Max,290,290,290,0,290,290,290,290,1,,Surface,2,,Image 1,,1,,,,,,,,,,,,,,
AB,Intensity Max,293,293,293,0,293,293,293,293,1,,Surface,2,,Image 1,,2,,,,,,,,,,,,,,
AB,Intensity Max,284,284,284,0,284,284,284,284,1,,Surface,2,,Image 1,,3,,,,,,,,,,,,,,
AB,Intensity Max,307,307,307,0,307,307,307,307,1,,Surface,2,,Image 1,,4,,,,,,,,,,,,,,
AB,Intensity Max,306,306,306,0,306,306,306,306,1,,Surface,2,,Image 1,,5,,,,,,,,,,,,,,
AB,Intensity Max,260,260,260,0,260,260,260,260,1,,Surface,2,,Image 1,,6,,,,,,,,,,,,,,
AB,Intensity Max,119,119,119,0,119,119,119,119,1,,Surface,2,,Image 1,,8,,,,,,,,,,,,,,
AB,Intensity Max,110,110,110,0,110,110,110,110,1,,Surface,2,,Image 1,,11,,,,,,,,,,,,,,
P1,Intensity Max,357,357,357,0,357,357,357,357,1,,Surface,2,,Image 1,,1,,,,,,,,,,,,,,
P1,Intensity Max,304,304,304,0,304,304,304,304,1,,Surface,2,,Image 1,,2,,,,,,,,,,,,,,
P1,Intensity Max,306,306,306,0,306,306,306,306,1,,Surface,2,,Image 1,,3,,,,,,,,,,,,,,
P1,Intensity Max,296,296,296,0,296,296,296,296,1,,Surface,2,,Image 1,,4,,,,,,,,,,,,,,
P1,Intensity Max,313,313,313,0,313,313,313,313,1,,Surface,2,,Image 1,,5,,,,,,,,,,,,,,
P1,Intensity Max,253,253,253,0,253,253,253,253,1,,Surface,2,,Image 1,,6,,,,,,,,,,,,,,
P1,Intensity Max,249,249,249,0,249,249,249,249,1,,Surface,2,,Image 1,,7,,,,,,,,,,,,,,
P1,Intensity Max,229,229,229,0,229,229,229,229,1,,Surface,2,,Image 1,,8,,,,,,,,,,,,,,
P1,Intensity Max,177,177,177,0,177,177,177,177,1,,Surface,2,,Image 1,,9,,,,,,,,,,,,,,
ABa,Intensity Max,245,245,245,0,245,245,245,245,1,,Surface,2,,Image 1,,12,,,,,,,,,,,,,,
ABa,Intensity Max,341,341,341,0,341,341,341,341,1,,Surface,2,,Image 1,,13,,,,,,,,,,,,,,
ABa,Intensity Max,301,301,301,0,301,301,301,301,1,,Surface,2,,Image 1,,14,,,,,,,,,,,,,,
ABa,Intensity Max,285,285,285,0,285,285,285,285,1,,Surface,2,,Image 1,,15,,,,,,,,,,,,,,
ABa,Intensity Max,310,310,310,0,310,310,310,310,1,,Surface,2,,Image 1,,16,,,,,,,,,,,,,,
ABa,Intensity Max,313,313,313,0,313,313,313,313,1,,Surface,2,,Image 1,,17,,,,,,,,,,,,,,
ABa,Intensity Max,343,343,343,0,343,343,343,343,1,,Surface,2,,Image 1,,18,,,,,,,,,,,,,,
ABa,Intensity Max,740,740,740,0,740,740,740,740,1,,Surface,2,,Image 1,,19,,,,,,,,,,,,,,
ABa,Intensity Max,271,271,271,0,271,271,271,271,1,,Surface,2,,Image 1,,20,,,,,,,,,,,,,,
ABp,Intensity Max,216,216,216,0,216,216,216,216,1,,Surface,2,,Image 1,,12,,,,,,,,,,,,,,
ABp,Intensity Max,308,308,308,0,308,308,308,308,1,,Surface,2,,Image 1,,13,,,,,,,,,,,,,,
ABp,Intensity Max,233,233,233,0,233,233,233,233,1,,Surface,2,,Image 1,,14,,,,,,,,,,,,,,
ABp,Intensity Max,259,259,259,0,259,259,259,259,1,,Surface,2,,Image 1,,15,,,,,,,,,,,,,,
ABp,Intensity Max,231,231,231,0,231,231,231,231,1,,Surface,2,,Image 1,,16,,,,,,,,,,,,,,
ABp,Intensity Max,224,224,224,0,224,224,224,224,1,,Surface,2,,Image 1,,17,,,,,,,,,,,,,,
ABp,Intensity Max,298,298,298,0,298,298,298,298,1,,Surface,2,,Image 1,,18,,,,,,,,,,,,,,
ABp,Intensity Max,448,448,448,0,448,448,448,448,1,,Surface,2,,Image 1,,19,,,,,,,,,,,,,,
EMS,Intensity Max,236,236,236,0,236,236,236,236,1,,Surface,2,,Image 1,,16,,,,,,,,,,,,,,
EMS,Intensity Max,269,269,269,0,269,269,269,269,1,,Surface,2,,Image 1,,17,,,,,,,,,,,,,,
EMS,Intensity Max,265,265,265,0,265,265,265,265,1,,Surface,2,,Image 1,,18,,,,,,,,,,,,,,
EMS,Intensity Max,337,337,337,0,337,337,337,337,1,,Surface,2,,Image 1,,19,,,,,,,,,,,,,,
EMS,Intensity Max,1063,1063,1063,0,1063,1063,1063,1063,1,,Surface,2,,Image 1,,20,,,,,,,,,,,,,,
EMS,Intensity Max,1111,1111,1111,0,1111,1111,1111,1111,1,,Surface,2,,Image 1,,21,,,,,,,,,,,,,,
EMS,Intensity Max,1378,1378,1378,0,1378,1378,1378,1378,1,,Surface,2,,Image 1,,22,,,,,,,,,,,,,,
EMS,Intensity Max,1186,1186,1186,0,1186,1186,1186,1186,1,,Surface,2,,Image 1,,23,,,,,,,,,,,,,,
EMS,Intensity Max,1580,1580,1580,0,1580,1580,1580,1580,1,,Surface,2,,Image 1,,24,,,,,,,,,,,,,,
EMS,Intensity Max,1367,1367,1367,0,1367,1367,1367,1367,1,,Surface,2,,Image 1,,25,,,,,,,,,,,,,,
EMS,Intensity Max,1535,1535,1535,0,1535,1535,1535,1535,1,,Surface,2,,Image 1,,26,,,,,,,,,,,,,,
EMS,Intensity Max,764,764,764,0,764,764,764,764,1,,Surface,2,,Image 1,,27,,,,,,,,,,,,,,
P2,Intensity Max,217,217,217,0,217,217,217,217,1,,Surface,2,,Image 1,,16,,,,,,,,,,,,,,
