
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,101.543,101.543,101.543,0.000,101.543,101.543,101.543,101.543,1,µm^2,Surface,,,,,1,
Area,117.770,117.770,117.770,0.000,117.770,117.770,117.770,117.770,1,µm^2,Surface,,,,,2,
Area,138.099,138.099,138.099,0.000,138.099,138.099,138.099,138.099,1,µm^2,Surface,,,,,3,
Area,158.009,158.009,158.009,0.000,158.009,158.009,158.009,158.009,1,µm^2,Surface,,,,,4,
Area,184.631,184.631,184.631,0.000,184.631,184.631,184.631,184.631,1,µm^2,Surface,,,,,5,
Area,178.819,178.819,178.819,0.000,178.819,178.819,178.819,178.819,1,µm^2,Surface,,,,,6,
Area,2.316,2.316,2.316,0.000,2.316,2.316,2.316,2.316,1,µm^2,Surface,,,,,8,
Area,0.392,0.392,0.392,0.000,0.392,0.392,0.392,0.392,1,µm^2,Surface,,,,,11,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,1,
Displacement Delta Length,2.522,2.522,2.522,0.000,2.522,2.522,2.522,2.522,1,µm,Surface,,,,,2,
Displacement Delta Length,0.962,0.962,0.962,0.000,0.962,0.962,0.962,0.962,1,µm,Surface,,,,,3,
Displacement Delta Length,1.492,1.492,1.492,0.000,1.492,1.492,1.492,1.492,1,µm,Surface,,,,,4,
Displacement Delta Length,3.642,3.642,3.642,0.000,3.642,3.642,3.642,3.642,1,µm,Surface,,,,,5,
Displacement Delta Length,1.783,1.783,1.783,0.000,1.783,1.783,1.783,1.783,1,µm,Surface,,,,,6,
Displacement Delta Length,11.428,11.428,11.428,0.000,11.428,11.428,11.428,11.428,1,µm,Surface,,,,,8,
Displacement Delta Length,4.652,4.652,4.652,0.000,4.652,4.652,4.652,4.652,1,µm,Surface,,,,,11,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta X,2.485,2.485,2.485,0.000,2.485,2.485,2.485,2.485,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta X,0.856,0.856,0.856,0.000,0.856,0.856,0.856,0.856,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta X,1.024,1.024,1.024,0.000,1.024,1.024,1.024,1.024,1,µm,Surface,,Displacement Delta,,,4,
Displacement Delta X,2.933,2.933,2.933,0.000,2.933,2.933,2.933,2.933,1,µm,Surface,,Displacement Delta,,,5,
Displacement Delta X,-1.640,-1.640,-1.640,0.000,-1.640,-1.640,-1.640,-1.640,1,µm,Surface,,Displacement Delta,,,6,
Displacement Delta X,-1.027,-1.027,-1.027,0.000,-1.027,-1.027,-1.027,-1.027,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta X,-1.669,-1.669,-1.669,0.000,-1.669,-1.669,-1.669,-1.669,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta Y,0.372,0.372,0.372,0.000,0.372,0.372,0.372,0.372,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta Y,0.415,0.415,0.415,0.000,0.415,0.415,0.415,0.415,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta Y,0.572,0.572,0.572,0.000,0.572,0.572,0.572,0.572,1,µm,Surface,,Displacement Delta,,,4,
Displacement Delta Y,2.091,2.091,2.091,0.000,2.091,2.091,2.091,2.091,1,µm,Surface,,Displacement Delta,,,5,
Displacement Delta Y,-0.196,-0.196,-0.196,0.000,-0.196,-0.196,-0.196,-0.196,1,µm,Surface,,Displacement Delta,,,6,
Displacement Delta Y,-1.429,-1.429,-1.429,0.000,-1.429,-1.429,-1.429,-1.429,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta Y,4.342,4.342,4.342,0.000,4.342,4.342,4.342,4.342,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta Z,0.218,0.218,0.218,0.000,0.218,0.218,0.218,0.218,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta Z,-0.144,-0.144,-0.144,0.000,-0.144,-0.144,-0.144,-0.144,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta Z,-0.923,-0.923,-0.923,0.000,-0.923,-0.923,-0.923,-0.923,1,µm,Surface,,Displacement Delta,,,4,
Displacement Delta Z,-0.534,-0.534,-0.534,0.000,-0.534,-0.534,-0.534,-0.534,1,µm,Surface,,Displacement Delta,,,5,
Displacement Delta Z,0.672,0.672,0.672,0.000,0.672,0.672,0.672,0.672,1,µm,Surface,,Displacement Delta,,,6,
Displacement Delta Z,-11.292,-11.292,-11.292,0.000,-11.292,-11.292,-11.292,-11.292,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,11,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,1,
Displacement Length,2.522,2.522,2.522,0.000,2.522,2.522,2.522,2.522,1,µm,Surface,,,,,2,
Displacement Length,3.433,3.433,3.433,0.000,3.433,3.433,3.433,3.433,1,µm,Surface,,,,,3,
Displacement Length,4.650,4.650,4.650,0.000,4.650,4.650,4.650,4.650,1,µm,Surface,,,,,4,
Displacement Length,8.190,8.190,8.190,0.000,8.190,8.190,8.190,8.190,1,µm,Surface,,,,,5,
Displacement Length,6.566,6.566,6.566,0.000,6.566,6.566,6.566,6.566,1,µm,Surface,,,,,6,
Displacement Length,12.994,12.994,12.994,0.000,12.994,12.994,12.994,12.994,1,µm,Surface,,,,,8,
Displacement Length,13.816,13.816,13.816,0.000,13.816,13.816,13.816,13.816,1,µm,Surface,,,,,11,
Distance from Origin,9615.455,9615.455,9615.455,0.000,9615.455,9615.455,9615.455,9615.455,1,µm,Surface,,Distance from Origin,,,1,
Distance from Origin,9614.662,9614.662,9614.662,0.000,9614.662,9614.662,9614.662,9614.662,1,µm,Surface,,Distance from Origin,,,2,
Distance from Origin,9614.141,9614.141,9614.141,0.000,9614.141,9614.141,9614.141,9614.141,1,µm,Surface,,Distance from Origin,,,3,
Distance from Origin,9612.818,9612.818,9612.818,0.000,9612.818,9612.818,9612.818,9612.818,1,µm,Surface,,Distance from Origin,,,4,
