
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,57.620,57.620,57.620,0.000,57.620,57.620,57.620,57.620,1,µm^2,Surface,,,,,,4,
Area,98.634,98.634,98.634,0.000,98.634,98.634,98.634,98.634,1,µm^2,Surface,,,,,,5,
Area,115.115,115.115,115.115,0.000,115.115,115.115,115.115,115.115,1,µm^2,Surface,,,,,,6,
Area,153.503,153.503,153.503,0.000,153.503,153.503,153.503,153.503,1,µm^2,Surface,,,,,,7,
Area,194.222,194.222,194.222,0.000,194.222,194.222,194.222,194.222,1,µm^2,Surface,,,,,,8,
Area,256.261,256.261,256.261,0.000,256.261,256.261,256.261,256.261,1,µm^2,Surface,,,,,,9,
Area,227.389,227.389,227.389,0.000,227.389,227.389,227.389,227.389,1,µm^2,Surface,,,,,,11,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,4,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,5,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,6,
Class Duration,59.940,59.940,59.940,0.000,59.940,59.940,59.940,59.940,1,s,Surface,,Set 1::Class B,,,,7,
Class Duration,59.940,59.940,59.940,0.000,59.940,59.940,59.940,59.940,1,s,Surface,,Set 1::Class B,,,,8,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,4,
Displacement Delta Length,1.221,1.221,1.221,0.000,1.221,1.221,1.221,1.221,1,µm,Surface,,,,,,5,
Displacement Delta Length,0.668,0.668,0.668,0.000,0.668,0.668,0.668,0.668,1,µm,Surface,,,,,,6,
Displacement Delta Length,0.929,0.929,0.929,0.000,0.929,0.929,0.929,0.929,1,µm,Surface,,,,,,7,
Displacement Delta Length,1.904,1.904,1.904,0.000,1.904,1.904,1.904,1.904,1,µm,Surface,,,,,,8,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,9,
Displacement Delta Length,2.379,2.379,2.379,0.000,2.379,2.379,2.379,2.379,1,µm,Surface,,,,,,11,
