
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,37.544,37.544,37.544,0.000,37.544,37.544,37.544,37.544,1,µm^2,Surface,,,,,,36,
Area,55.551,55.551,55.551,0.000,55.551,55.551,55.551,55.551,1,µm^2,Surface,,,,,,37,
Area,89.180,89.180,89.180,0.000,89.180,89.180,89.180,89.180,1,µm^2,Surface,,,,,,38,
Area,26.985,26.985,26.985,0.000,26.985,26.985,26.985,26.985,1,µm^2,Surface,,,,,,39,
Area,33.083,33.083,33.083,0.000,33.083,33.083,33.083,33.083,1,µm^2,Surface,,,,,,40,
Area,41.038,41.038,41.038,0.000,41.038,41.038,41.038,41.038,1,µm^2,Surface,,,,,,41,
Area,25.504,25.504,25.504,0.000,25.504,25.504,25.504,25.504,1,µm^2,Surface,,,,,,42,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,36,
Class Duration,300.119,300.119,300.119,0.000,300.119,300.119,300.119,300.119,1,s,Surface,,Set 1::Class B,,,,37,
Class Duration,300.119,300.119,300.119,0.000,300.119,300.119,300.119,300.119,1,s,Surface,,Set 1::Class B,,,,38,
Class Duration,300.119,300.119,300.119,0.000,300.119,300.119,300.119,300.119,1,s,Surface,,Set 1::Class B,,,,39,
Class Duration,300.119,300.119,300.119,0.000,300.119,300.119,300.119,300.119,1,s,Surface,,Set 1::Class B,,,,40,
Class Duration,300.119,300.119,300.119,0.000,300.119,300.119,300.119,300.119,1,s,Surface,,Set 1::Class B,,,,41,
Class Duration,300.119,300.119,300.119,0.000,300.119,300.119,300.119,300.119,1,s,Surface,,Set 1::Class B,,,,42,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,36,
Displacement Delta Length,1.208,1.208,1.208,0.000,1.208,1.208,1.208,1.208,1,µm,Surface,,,,,,37,
Displacement Delta Length,1.112,1.112,1.112,0.000,1.112,1.112,1.112,1.112,1,µm,Surface,,,,,,38,
Displacement Delta Length,1.696,1.696,1.696,0.000,1.696,1.696,1.696,1.696,1,µm,Surface,,,,,,39,
Displacement Delta Length,2.148,2.148,2.148,0.000,2.148,2.148,2.148,2.148,1,µm,Surface,,,,,,40,
Displacement Delta Length,1.534,1.534,1.534,0.000,1.534,1.534,1.534,1.534,1,µm,Surface,,,,,,41,
Displacement Delta Length,1.260,1.260,1.260,0.000,1.260,1.260,1.260,1.260,1,µm,Surface,,,,,,42,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,36,
Displacement Delta X,1.149,1.149,1.149,0.000,1.149,1.149,1.149,1.149,1,µm,Surface,,,Displacement Delta,,,37,
Displacement Delta X,1.107,1.107,1.107,0.000,1.107,1.107,1.107,1.107,1,µm,Surface,,,Displacement Delta,,,38,
Displacement Delta X,-0.912,-0.912,-0.912,0.000,-0.912,-0.912,-0.912,-0.912,1,µm,Surface,,,Displacement Delta,,,39,
Displacement Delta X,-1.706,-1.706,-1.706,0.000,-1.706,-1.706,-1.706,-1.706,1,µm,Surface,,,Displacement Delta,,,40,
Displacement Delta X,-1.312,-1.312,-1.312,0.000,-1.312,-1.312,-1.312,-1.312,1,µm,Surface,,,Displacement Delta,,,41,
Displacement Delta X,-0.958,-0.958,-0.958,0.000,-0.958,-0.958,-0.958,-0.958,1,µm,Surface,,,Displacement Delta,,,42,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,36,
