
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,31.688,31.688,31.688,0.000,31.688,31.688,31.688,31.688,1,µm^2,Surface,,,,,,41,
Area,63.107,63.107,63.107,0.000,63.107,63.107,63.107,63.107,1,µm^2,Surface,,,,,,42,
Area,87.665,87.665,87.665,0.000,87.665,87.665,87.665,87.665,1,µm^2,Surface,,,,,,43,
Area,102.987,102.987,102.987,0.000,102.987,102.987,102.987,102.987,1,µm^2,Surface,,,,,,44,
Area,117.071,117.071,117.071,0.000,117.071,117.071,117.071,117.071,1,µm^2,Surface,,,,,,45,
Area,127.317,127.317,127.317,0.000,127.317,127.317,127.317,127.317,1,µm^2,Surface,,,,,,46,
Area,130.889,130.889,130.889,0.000,130.889,130.889,130.889,130.889,1,µm^2,Surface,,,,,,47,
Area,137.572,137.572,137.572,0.000,137.572,137.572,137.572,137.572,1,µm^2,Surface,,,,,,48,
Area,143.495,143.495,143.495,0.000,143.495,143.495,143.495,143.495,1,µm^2,Surface,,,,,,49,
Area,153.961,153.961,153.961,0.000,153.961,153.961,153.961,153.961,1,µm^2,Surface,,,,,,50,
Area,158.092,158.092,158.092,0.000,158.092,158.092,158.092,158.092,1,µm^2,Surface,,,,,,51,
Area,162.420,162.420,162.420,0.000,162.420,162.420,162.420,162.420,1,µm^2,Surface,,,,,,52,
Area,163.700,163.700,163.700,0.000,163.700,163.700,163.700,163.700,1,µm^2,Surface,,,,,,53,
Area,172.453,172.453,172.453,0.000,172.453,172.453,172.453,172.453,1,µm^2,Surface,,,,,,54,
Area,177.389,177.389,177.389,0.000,177.389,177.389,177.389,177.389,1,µm^2,Surface,,,,,,55,
Area,178.350,178.350,178.350,0.000,178.350,178.350,178.350,178.350,1,µm^2,Surface,,,,,,56,
Area,174.289,174.289,174.289,0.000,174.289,174.289,174.289,174.289,1,µm^2,Surface,,,,,,57,
Area,178.250,178.250,178.250,0.000,178.250,178.250,178.250,178.250,1,µm^2,Surface,,,,,,58,
Area,181.326,181.326,181.326,0.000,181.326,181.326,181.326,181.326,1,µm^2,Surface,,,,,,59,
Area,179.814,179.814,179.814,0.000,179.814,179.814,179.814,179.814,1,µm^2,Surface,,,,,,60,
Area,172.288,172.288,172.288,0.000,172.288,172.288,172.288,172.288,1,µm^2,Surface,,,,,,61,
Area,169.226,169.226,169.226,0.000,169.226,169.226,169.226,169.226,1,µm^2,Surface,,,,,,62,
Area,174.506,174.506,174.506,0.000,174.506,174.506,174.506,174.506,1,µm^2,Surface,,,,,,63,
Area,176.832,176.832,176.832,0.000,176.832,176.832,176.832,176.832,1,µm^2,Surface,,,,,,64,
Area,175.773,175.773,175.773,0.000,175.773,175.773,175.773,175.773,1,µm^2,Surface,,,,,,65,
Area,174.826,174.826,174.826,0.000,174.826,174.826,174.826,174.826,1,µm^2,Surface,,,,,,66,
Area,175.009,175.009,175.009,0.000,175.009,175.009,175.009,175.009,1,µm^2,Surface,,,,,,67,
Area,174.012,174.012,174.012,0.000,174.012,174.012,174.012,174.012,1,µm^2,Surface,,,,,,68,
Area,175.499,175.499,175.499,0.000,175.499,175.499,175.499,175.499,1,µm^2,Surface,,,,,,69,
Area,170.837,170.837,170.837,0.000,170.837,170.837,170.837,170.837,1,µm^2,Surface,,,,,,70,
Area,50.598,50.598,50.598,0.000,50.598,50.598,50.598,50.598,1,µm^2,Surface,,,,,,71,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,41,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,42,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,43,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,44,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,45,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,46,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,47,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,48,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,49,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,50,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,51,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,52,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,53,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,54,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,55,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,56,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,57,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,58,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,59,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,60,
Class Duration,1619.986,1619.986,1619.986,0.000,1619.986,1619.986,1619.986,1619.986,1,s,Surface,,Set 1::Class A,,,,61,
