
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,61.416,97.017,79.217,17.801,79.217,70.320,88.117,158.433,2,µm^2,Surface,,,,,,41,
Area,93.756,127.551,110.653,16.898,110.653,102.211,119.102,221.307,2,µm^2,Surface,,,,,,42,
Area,112.240,142.628,127.434,15.194,127.434,119.840,135.035,254.868,2,µm^2,Surface,,,,,,43,
Area,126.423,153.410,139.916,13.494,139.916,133.176,146.668,279.833,2,µm^2,Surface,,,,,,44,
Area,141.370,158.139,149.754,8.385,149.754,145.559,153.941,299.509,2,µm^2,Surface,,,,,,45,
Area,151.369,151.369,151.369,0.000,151.369,151.369,151.369,151.369,1,µm^2,Surface,,,,,,46,
Area,159.751,175.811,167.781,8.030,167.781,163.770,171.793,335.562,2,µm^2,Surface,,,,,,47,
Area,131.960,131.960,131.960,0.000,131.960,131.960,131.960,131.960,1,µm^2,Surface,,,,,,48,
Area,136.103,136.103,136.103,0.000,136.103,136.103,136.103,136.103,1,µm^2,Surface,,,,,,49,
Area,187.295,187.295,187.295,0.000,187.295,187.295,187.295,187.295,1,µm^2,Surface,,,,,,50,
Area,112.688,163.637,138.162,25.474,138.162,125.438,150.906,276.325,2,µm^2,Surface,,,,,,51,
Area,148.018,148.018,148.018,0.000,148.018,148.018,148.018,148.018,1,µm^2,Surface,,,,,,52,
Area,151.265,151.265,151.265,0.000,151.265,151.265,151.265,151.265,1,µm^2,Surface,,,,,,53,
Area,67.498,117.600,92.549,25.051,92.549,80.016,105.078,185.098,2,µm^2,Surface,,,,,,54,
Area,83.071,123.405,103.238,20.167,103.238,93.156,113.312,206.476,2,µm^2,Surface,,,,,,55,
Area,104.268,104.268,104.268,0.000,104.268,104.268,104.268,104.268,1,µm^2,Surface,,,,,,56,
Area,67.656,99.025,83.340,15.685,83.340,75.484,91.172,166.681,2,µm^2,Surface,,,,,,57,
Area,89.624,89.624,89.624,0.000,89.624,89.624,89.624,89.624,1,µm^2,Surface,,,,,,58,
Area,74.124,74.124,74.124,0.000,74.124,74.124,74.124,74.124,1,µm^2,Surface,,,,,,59,
Area,75.054,80.175,77.615,2.561,77.615,76.333,78.894,155.229,2,µm^2,Surface,,,,,,60,
Area,69.140,69.140,69.140,0.000,69.140,69.140,69.140,69.140,1,µm^2,Surface,,,,,,61,
Area,63.423,73.331,68.377,4.954,68.377,65.902,70.855,136.754,2,µm^2,Surface,,,,,,62,
Area,40.363,55.958,48.161,7.798,48.161,44.262,52.059,96.321,2,µm^2,Surface,,,,,,63,
Area,34.284,43.130,38.707,4.423,38.707,36.496,40.918,77.415,2,µm^2,Surface,,,,,,64,
Area,31.178,31.178,31.178,0.000,31.178,31.178,31.178,31.178,1,µm^2,Surface,,,,,,65,
Area,25.689,25.689,25.689,0.000,25.689,25.689,25.689,25.689,1,µm^2,Surface,,,,,,66,
Class Duration,120.020,120.020,120.020,0.000,120.020,120.020,120.020,240.040,2,s,Surface,,Set 1::Class A,,,,41,
Class Duration,120.020,120.020,120.020,0.000,120.020,120.020,120.020,240.040,2,s,Surface,,Set 1::Class A,,,,42,
Class Duration,120.020,120.020,120.020,0.000,120.020,120.020,120.020,240.040,2,s,Surface,,Set 1::Class A,,,,43,
Class Duration,0.000,419.984,209.992,209.992,209.992,105.062,314.938,419.984,2,s,Surface,,Set 1::Class B,,,,44,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,45,
Class Duration,419.984,419.984,419.984,0.000,419.984,419.984,419.984,419.984,1,s,Surface,,Set 1::Class B,,,,45,
Class Duration,119.977,119.977,119.977,0.000,119.977,119.977,119.977,119.977,1,s,Surface,,Set 1::Class B,,,,46,
Class Duration,119.977,419.984,269.980,150.004,269.980,194.875,344.875,539.961,2,s,Surface,,Set 1::Class B,,,,47,
Class Duration,119.977,119.977,119.977,0.000,119.977,119.977,119.977,119.977,1,s,Surface,,Set 1::Class B,,,,48,
Class Duration,59.957,59.957,59.957,0.000,59.957,59.957,59.957,59.957,1,s,Surface,,Set 1::Class A,,,,49,
Class Duration,59.957,59.957,59.957,0.000,59.957,59.957,59.957,59.957,1,s,Surface,,Set 1::Class A,,,,50,
Class Duration,0.000,419.984,209.992,209.992,209.992,105.062,314.938,419.984,2,s,Surface,,Set 1::Class B,,,,51,
Class Duration,120.001,120.001,120.001,0.000,120.001,120.001,120.001,120.001,1,s,Surface,,Set 1::Class A,,,,52,
Class Duration,120.001,120.001,120.001,0.000,120.001,120.001,120.001,120.001,1,s,Surface,,Set 1::Class A,,,,53,
Class Duration,0.000,120.001,60.000,60.000,60.000,30.031,90.031,120.001,2,s,Surface,,Set 1::Class A,,,,54,
Class Duration,60.068,480.102,270.085,210.017,270.085,165.125,375.125,540.170,2,s,Surface,,Set 1::Class B,,,,55,
Class Duration,60.068,60.068,60.068,0.000,60.068,60.068,60.068,60.068,1,s,Surface,,Set 1::Class B,,,,56,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,57,
Class Duration,480.102,480.102,480.102,0.000,480.102,480.102,480.102,480.102,1,s,Surface,,Set 1::Class B,,,,57,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,58,
Class Duration,119.934,119.934,119.934,0.000,119.934,119.934,119.934,119.934,1,s,Surface,,Set 1::Class A,,,,59,
Class Duration,119.934,119.934,119.934,0.000,119.934,119.934,119.934,119.934,1,s,Surface,,Set 1::Class A,,,,60,
Class Duration,480.102,480.102,480.102,0.000,480.102,480.102,480.102,480.102,1,s,Surface,,Set 1::Class B,,,,60,
Class Duration,119.934,119.934,119.934,0.000,119.934,119.934,119.934,119.934,1,s,Surface,,Set 1::Class A,,,,61,
Class Duration,0.000,480.102,240.051,240.051,240.051,120.125,360.125,480.102,2,s,Surface,,Set 1::Class B,,,,62,
Class Duration,59.962,59.962,59.962,0.000,59.962,59.962,59.962,59.962,1,s,Surface,,Set 1::Class A,,,,63,
Class Duration,480.102,480.102,480.102,0.000,480.102,480.102,480.102,480.102,1,s,Surface,,Set 1::Class B,,,,63,
Class Duration,59.962,119.957,89.960,29.997,89.960,74.953,104.953,179.919,2,s,Surface,,Set 1::Class A,,,,64,
Class Duration,119.957,119.957,119.957,0.000,119.957,119.957,119.957,119.957,1,s,Surface,,Set 1::Class A,,,,65,
Class Duration,119.957,119.957,119.957,0.000,119.957,119.957,119.957,119.957,1,s,Surface,,Set 1::Class A,,,,66,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,µm,Surface,,,,,,41,
Displacement Delta Length,0.437,0.574,0.505,0.068,0.505,0.471,0.539,1.010,2,µm,Surface,,,,,,42,
Displacement Delta Length,0.649,0.719,0.684,0.035,0.684,0.666,0.701,1.367,2,µm,Surface,,,,,,43,
Displacement Delta Length,0.972,1.051,1.012,0.039,1.012,0.992,1.031,2.023,2,µm,Surface,,,,,,44,
Displacement Delta Length,0.841,0.882,0.861,0.021,0.861,0.851,0.872,1.723,2,µm,Surface,,,,,,45,
