nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,Unnamed: 18
AB,Intensity Max,247.0,247.0,247.0,0.0,247.0,247.0,247.0,247.0,1,,Surface,2.0,,,Image 1,,4.0,
AB,Intensity Max,265.0,265.0,265.0,0.0,265.0,265.0,265.0,265.0,1,,Surface,2.0,,,Image 1,,5.0,
AB,Intensity Max,290.0,290.0,290.0,0.0,290.0,290.0,290.0,290.0,1,,Surface,2.0,,,Image 1,,6.0,
AB,Intensity Max,277.0,277.0,277.0,0.0,277.0,277.0,277.0,277.0,1,,Surface,2.0,,,Image 1,,7.0,
AB,Intensity Max,341.0,341.0,341.0,0.0,341.0,341.0,341.0,341.0,1,,Surface,2.0,,,Image 1,,8.0,
AB,Intensity Max,365.0,365.0,365.0,0.0,365.0,365.0,365.0,365.0,1,,Surface,2.0,,,Image 1,,9.0,
AB,Intensity Max,252.0,252.0,252.0,0.0,252.0,252.0,252.0,252.0,1,,Surface,2.0,,,Image 1,,11.0,
P1,Intensity Max,287.0,287.0,287.0,0.0,287.0,287.0,287.0,287.0,1,,Surface,2.0,,,Image 1,,4.0,
P1,Intensity Max,271.0,271.0,271.0,0.0,271.0,271.0,271.0,271.0,1,,Surface,2.0,,,Image 1,,5.0,
P1,Intensity Max,266.0,266.0,266.0,0.0,266.0,266.0,266.0,266.0,1,,Surface,2.0,,,Image 1,,6.0,
P1,Intensity Max,290.0,290.0,290.0,0.0,290.0,290.0,290.0,290.0,1,,Surface,2.0,,,Image 1,,7.0,
P1,Intensity Max,389.0,389.0,389.0,0.0,389.0,389.0,389.0,389.0,1,,Surface,2.0,,,Image 1,,8.0,
P1,Intensity Max,297.0,297.0,297.0,0.0,297.0,297.0,297.0,297.0,1,,Surface,2.0,,,Image 1,,9.0,
P1,Intensity Max,268.0,268.0,268.0,0.0,268.0,268.0,268.0,268.0,1,,Surface,2.0,,,Image 1,,10.0,
P1,Intensity Max,248.0,248.0,248.0,0.0,248.0,248.0,248.0,248.0,1,,Surface,2.0,,,Image 1,,11.0,
