
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,210.403,210.403,210.403,0.000,210.403,210.403,210.403,210.403,1,µm^2,Surface,,,,,1,
Area,243.141,243.141,243.141,0.000,243.141,243.141,243.141,243.141,1,µm^2,Surface,,,,,2,
Area,291.003,291.003,291.003,0.000,291.003,291.003,291.003,291.003,1,µm^2,Surface,,,,,3,
Area,312.566,312.566,312.566,0.000,312.566,312.566,312.566,312.566,1,µm^2,Surface,,,,,4,
Area,301.678,301.678,301.678,0.000,301.678,301.678,301.678,301.678,1,µm^2,Surface,,,,,5,
Distance from Origin,12682.972,12682.972,12682.972,0.000,12682.972,12682.972,12682.972,12682.972,1,µm,Surface,,Distance from Origin,,,1,
Distance from Origin,12682.451,12682.451,12682.451,0.000,12682.451,12682.451,12682.451,12682.451,1,µm,Surface,,Distance from Origin,,,2,
Distance from Origin,12681.913,12681.913,12681.913,0.000,12681.913,12681.913,12681.913,12681.913,1,µm,Surface,,Distance from Origin,,,3,
Distance from Origin,12682.604,12682.604,12682.604,0.000,12682.604,12682.604,12682.604,12682.604,1,µm,Surface,,Distance from Origin,,,4,
Distance from Origin,12683.381,12683.381,12683.381,0.000,12683.381,12683.381,12683.381,12683.381,1,µm,Surface,,Distance from Origin,,,5,
Distance to Image Border XY,13.696,13.696,13.696,0.000,13.696,13.696,13.696,13.696,1,µm,Surface,,,Image 1,,1,
Distance to Image Border XY,16.582,16.582,16.582,0.000,16.582,16.582,16.582,16.582,1,µm,Surface,,,Image 1,,2,
Distance to Image Border XY,17.235,17.235,17.235,0.000,17.235,17.235,17.235,17.235,1,µm,Surface,,,Image 1,,3,
Distance to Image Border XY,16.009,16.009,16.009,0.000,16.009,16.009,16.009,16.009,1,µm,Surface,,,Image 1,,4,
Distance to Image Border XY,17.725,17.725,17.725,0.000,17.725,17.725,17.725,17.725,1,µm,Surface,,,Image 1,,5,
Ellipticity (oblate),0.246,0.246,0.246,0.000,0.246,0.246,0.246,0.246,1,,Surface,,,,,1,
Ellipticity (oblate),0.241,0.241,0.241,0.000,0.241,0.241,0.241,0.241,1,,Surface,,,,,2,
Ellipticity (oblate),0.220,0.220,0.220,0.000,0.220,0.220,0.220,0.220,1,,Surface,,,,,3,
Ellipticity (oblate),0.282,0.282,0.282,0.000,0.282,0.282,0.282,0.282,1,,Surface,,,,,4,
Ellipticity (oblate),0.330,0.330,0.330,0.000,0.330,0.330,0.330,0.330,1,,Surface,,,,,5,
Ellipticity (prolate),0.704,0.704,0.704,0.000,0.704,0.704,0.704,0.704,1,,Surface,,,,,1,
Ellipticity (prolate),0.734,0.734,0.734,0.000,0.734,0.734,0.734,0.734,1,,Surface,,,,,2,
Ellipticity (prolate),0.771,0.771,0.771,0.000,0.771,0.771,0.771,0.771,1,,Surface,,,,,3,
Ellipticity (prolate),0.581,0.581,0.581,0.000,0.581,0.581,0.581,0.581,1,,Surface,,,,,4,
Ellipticity (prolate),0.464,0.464,0.464,0.000,0.464,0.464,0.464,0.464,1,,Surface,,,,,5,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,1,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,2,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,3,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,4,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,5,
Intensity Max,376.000,376.000,376.000,0.000,376.000,376.000,376.000,376.000,1,,Surface,2,,Image 1,,1,
Intensity Max,220.000,220.000,220.000,0.000,220.000,220.000,220.000,220.000,1,,Surface,1,,Image 1,,1,
Intensity Max,402.000,402.000,402.000,0.000,402.000,402.000,402.000,402.000,1,,Surface,2,,Image 1,,2,
Intensity Max,230.000,230.000,230.000,0.000,230.000,230.000,230.000,230.000,1,,Surface,1,,Image 1,,2,
Intensity Max,408.000,408.000,408.000,0.000,408.000,408.000,408.000,408.000,1,,Surface,2,,Image 1,,3,
Intensity Max,252.000,252.000,252.000,0.000,252.000,252.000,252.000,252.000,1,,Surface,1,,Image 1,,3,
