
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,122.213,122.213,122.213,0.000,122.213,122.213,122.213,122.213,1,µm^2,Surface,,,,,13,
Area,122.614,122.614,122.614,0.000,122.614,122.614,122.614,122.614,1,µm^2,Surface,,,,,14,
Area,169.440,169.440,169.440,0.000,169.440,169.440,169.440,169.440,1,µm^2,Surface,,,,,15,
Area,162.669,162.669,162.669,0.000,162.669,162.669,162.669,162.669,1,µm^2,Surface,,,,,16,
Area,161.071,161.071,161.071,0.000,161.071,161.071,161.071,161.071,1,µm^2,Surface,,,,,17,
Area,65.037,65.037,65.037,0.000,65.037,65.037,65.037,65.037,1,µm^2,Surface,,,,,18,
Area,80.745,80.745,80.745,0.000,80.745,80.745,80.745,80.745,1,µm^2,Surface,,,,,19,
Area,69.867,69.867,69.867,0.000,69.867,69.867,69.867,69.867,1,µm^2,Surface,,,,,20,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,13,
Displacement Delta Length,0.572,0.572,0.572,0.000,0.572,0.572,0.572,0.572,1,µm,Surface,,,,,14,
Displacement Delta Length,1.191,1.191,1.191,0.000,1.191,1.191,1.191,1.191,1,µm,Surface,,,,,15,
Displacement Delta Length,0.435,0.435,0.435,0.000,0.435,0.435,0.435,0.435,1,µm,Surface,,,,,16,
Displacement Delta Length,1.065,1.065,1.065,0.000,1.065,1.065,1.065,1.065,1,µm,Surface,,,,,17,
Displacement Delta Length,1.663,1.663,1.663,0.000,1.663,1.663,1.663,1.663,1,µm,Surface,,,,,18,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,19,
Displacement Delta Length,1.018,1.018,1.018,0.000,1.018,1.018,1.018,1.018,1,µm,Surface,,,,,20,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta X,0.364,0.364,0.364,0.000,0.364,0.364,0.364,0.364,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta X,-0.779,-0.779,-0.779,0.000,-0.779,-0.779,-0.779,-0.779,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta X,-0.351,-0.351,-0.351,0.000,-0.351,-0.351,-0.351,-0.351,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta X,0.058,0.058,0.058,0.000,0.058,0.058,0.058,0.058,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta X,-0.818,-0.818,-0.818,0.000,-0.818,-0.818,-0.818,-0.818,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta X,0.200,0.200,0.200,0.000,0.200,0.200,0.200,0.200,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta Y,0.057,0.057,0.057,0.000,0.057,0.057,0.057,0.057,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Y,-0.740,-0.740,-0.740,0.000,-0.740,-0.740,-0.740,-0.740,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Y,0.135,0.135,0.135,0.000,0.135,0.135,0.135,0.135,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Y,-1.043,-1.043,-1.043,0.000,-1.043,-1.043,-1.043,-1.043,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Y,-0.997,-0.997,-0.997,0.000,-0.997,-0.997,-0.997,-0.997,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Y,0.995,0.995,0.995,0.000,0.995,0.995,0.995,0.995,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta Z,-0.438,-0.438,-0.438,0.000,-0.438,-0.438,-0.438,-0.438,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Z,0.515,0.515,0.515,0.000,0.515,0.515,0.515,0.515,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Z,-0.219,-0.219,-0.219,0.000,-0.219,-0.219,-0.219,-0.219,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Z,-0.207,-0.207,-0.207,0.000,-0.207,-0.207,-0.207,-0.207,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Z,-1.051,-1.051,-1.051,0.000,-1.051,-1.051,-1.051,-1.051,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Z,0.074,0.074,0.074,0.000,0.074,0.074,0.074,0.074,1,µm,Surface,,Displacement Delta,,,20,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,13,
Displacement Length,0.572,0.572,0.572,0.000,0.572,0.572,0.572,0.572,1,µm,Surface,,,,,14,
