
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,84.903,84.903,84.903,0.000,84.903,84.903,84.903,84.903,1,µm^2,Surface,,,,,29,
Area,131.615,131.615,131.615,0.000,131.615,131.615,131.615,131.615,1,µm^2,Surface,,,,,30,
Area,187.903,187.903,187.903,0.000,187.903,187.903,187.903,187.903,1,µm^2,Surface,,,,,31,
Area,215.821,215.821,215.821,0.000,215.821,215.821,215.821,215.821,1,µm^2,Surface,,,,,32,
Area,208.062,208.062,208.062,0.000,208.062,208.062,208.062,208.062,1,µm^2,Surface,,,,,33,
Area,177.390,177.390,177.390,0.000,177.390,177.390,177.390,177.390,1,µm^2,Surface,,,,,34,
Area,156.525,156.525,156.525,0.000,156.525,156.525,156.525,156.525,1,µm^2,Surface,,,,,35,
Area,130.785,130.785,130.785,0.000,130.785,130.785,130.785,130.785,1,µm^2,Surface,,,,,36,
Area,127.880,127.880,127.880,0.000,127.880,127.880,127.880,127.880,1,µm^2,Surface,,,,,37,
Area,127.283,127.283,127.283,0.000,127.283,127.283,127.283,127.283,1,µm^2,Surface,,,,,38,
Area,135.716,135.716,135.716,0.000,135.716,135.716,135.716,135.716,1,µm^2,Surface,,,,,39,
Area,139.796,139.796,139.796,0.000,139.796,139.796,139.796,139.796,1,µm^2,Surface,,,,,40,
Area,116.517,116.517,116.517,0.000,116.517,116.517,116.517,116.517,1,µm^2,Surface,,,,,41,
Area,93.143,93.143,93.143,0.000,93.143,93.143,93.143,93.143,1,µm^2,Surface,,,,,42,
Area,99.147,99.147,99.147,0.000,99.147,99.147,99.147,99.147,1,µm^2,Surface,,,,,43,
Area,69.413,69.413,69.413,0.000,69.413,69.413,69.413,69.413,1,µm^2,Surface,,,,,44,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,29,
Displacement Delta Length,0.957,0.957,0.957,0.000,0.957,0.957,0.957,0.957,1,µm,Surface,,,,,30,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,31,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,32,
Displacement Delta Length,1.146,1.146,1.146,0.000,1.146,1.146,1.146,1.146,1,µm,Surface,,,,,33,
Displacement Delta Length,1.129,1.129,1.129,0.000,1.129,1.129,1.129,1.129,1,µm,Surface,,,,,34,
Displacement Delta Length,1.069,1.069,1.069,0.000,1.069,1.069,1.069,1.069,1,µm,Surface,,,,,35,
Displacement Delta Length,0.820,0.820,0.820,0.000,0.820,0.820,0.820,0.820,1,µm,Surface,,,,,36,
Displacement Delta Length,1.420,1.420,1.420,0.000,1.420,1.420,1.420,1.420,1,µm,Surface,,,,,37,
Displacement Delta Length,0.803,0.803,0.803,0.000,0.803,0.803,0.803,0.803,1,µm,Surface,,,,,38,
Displacement Delta Length,0.152,0.152,0.152,0.000,0.152,0.152,0.152,0.152,1,µm,Surface,,,,,39,
Displacement Delta Length,1.862,1.862,1.862,0.000,1.862,1.862,1.862,1.862,1,µm,Surface,,,,,40,
Displacement Delta Length,0.933,0.933,0.933,0.000,0.933,0.933,0.933,0.933,1,µm,Surface,,,,,41,
Displacement Delta Length,1.002,1.002,1.002,0.000,1.002,1.002,1.002,1.002,1,µm,Surface,,,,,42,
Displacement Delta Length,1.919,1.919,1.919,0.000,1.919,1.919,1.919,1.919,1,µm,Surface,,,,,43,
Displacement Delta Length,0.591,0.591,0.591,0.000,0.591,0.591,0.591,0.591,1,µm,Surface,,,,,44,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,-0.906,-0.906,-0.906,0.000,-0.906,-0.906,-0.906,-0.906,1,µm,Surface,,Displacement Delta,,,30,
