
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,120.842,120.842,120.842,0.000,120.842,120.842,120.842,120.842,1,µm^2,Surface,,,,,29,
Area,146.884,146.884,146.884,0.000,146.884,146.884,146.884,146.884,1,µm^2,Surface,,,,,30,
Area,159.889,159.889,159.889,0.000,159.889,159.889,159.889,159.889,1,µm^2,Surface,,,,,31,
Area,199.306,199.306,199.306,0.000,199.306,199.306,199.306,199.306,1,µm^2,Surface,,,,,32,
Area,186.006,186.006,186.006,0.000,186.006,186.006,186.006,186.006,1,µm^2,Surface,,,,,33,
Area,187.507,187.507,187.507,0.000,187.507,187.507,187.507,187.507,1,µm^2,Surface,,,,,34,
Area,176.595,176.595,176.595,0.000,176.595,176.595,176.595,176.595,1,µm^2,Surface,,,,,35,
Area,139.573,139.573,139.573,0.000,139.573,139.573,139.573,139.573,1,µm^2,Surface,,,,,36,
Area,113.781,113.781,113.781,0.000,113.781,113.781,113.781,113.781,1,µm^2,Surface,,,,,37,
Area,98.427,98.427,98.427,0.000,98.427,98.427,98.427,98.427,1,µm^2,Surface,,,,,38,
Area,95.566,95.566,95.566,0.000,95.566,95.566,95.566,95.566,1,µm^2,Surface,,,,,39,
Area,91.004,91.004,91.004,0.000,91.004,91.004,91.004,91.004,1,µm^2,Surface,,,,,40,
Area,117.546,117.546,117.546,0.000,117.546,117.546,117.546,117.546,1,µm^2,Surface,,,,,41,
Area,94.510,94.510,94.510,0.000,94.510,94.510,94.510,94.510,1,µm^2,Surface,,,,,42,
Area,92.500,92.500,92.500,0.000,92.500,92.500,92.500,92.500,1,µm^2,Surface,,,,,43,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,29,
Displacement Delta Length,1.321,1.321,1.321,0.000,1.321,1.321,1.321,1.321,1,µm,Surface,,,,,30,
Displacement Delta Length,1.100,1.100,1.100,0.000,1.100,1.100,1.100,1.100,1,µm,Surface,,,,,31,
Displacement Delta Length,1.445,1.445,1.445,0.000,1.445,1.445,1.445,1.445,1,µm,Surface,,,,,32,
Displacement Delta Length,0.444,0.444,0.444,0.000,0.444,0.444,0.444,0.444,1,µm,Surface,,,,,33,
Displacement Delta Length,0.463,0.463,0.463,0.000,0.463,0.463,0.463,0.463,1,µm,Surface,,,,,34,
Displacement Delta Length,0.707,0.707,0.707,0.000,0.707,0.707,0.707,0.707,1,µm,Surface,,,,,35,
Displacement Delta Length,1.243,1.243,1.243,0.000,1.243,1.243,1.243,1.243,1,µm,Surface,,,,,36,
Displacement Delta Length,1.265,1.265,1.265,0.000,1.265,1.265,1.265,1.265,1,µm,Surface,,,,,37,
Displacement Delta Length,0.676,0.676,0.676,0.000,0.676,0.676,0.676,0.676,1,µm,Surface,,,,,38,
Displacement Delta Length,1.018,1.018,1.018,0.000,1.018,1.018,1.018,1.018,1,µm,Surface,,,,,39,
Displacement Delta Length,1.575,1.575,1.575,0.000,1.575,1.575,1.575,1.575,1,µm,Surface,,,,,40,
Displacement Delta Length,0.813,0.813,0.813,0.000,0.813,0.813,0.813,0.813,1,µm,Surface,,,,,41,
Displacement Delta Length,1.089,1.089,1.089,0.000,1.089,1.089,1.089,1.089,1,µm,Surface,,,,,42,
Displacement Delta Length,1.093,1.093,1.093,0.000,1.093,1.093,1.093,1.093,1,µm,Surface,,,,,43,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,-0.579,-0.579,-0.579,0.000,-0.579,-0.579,-0.579,-0.579,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta X,-0.839,-0.839,-0.839,0.000,-0.839,-0.839,-0.839,-0.839,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta X,-1.286,-1.286,-1.286,0.000,-1.286,-1.286,-1.286,-1.286,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta X,-0.194,-0.194,-0.194,0.000,-0.194,-0.194,-0.194,-0.194,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta X,0.240,0.240,0.240,0.000,0.240,0.240,0.240,0.240,1,µm,Surface,,Displacement Delta,,,34,
