
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,119.106,119.106,119.106,0.000,119.106,119.106,119.106,119.106,1,µm^2,Surface,,,,,13,
Area,166.657,166.657,166.657,0.000,166.657,166.657,166.657,166.657,1,µm^2,Surface,,,,,14,
Area,193.035,193.035,193.035,0.000,193.035,193.035,193.035,193.035,1,µm^2,Surface,,,,,15,
Area,198.929,198.929,198.929,0.000,198.929,198.929,198.929,198.929,1,µm^2,Surface,,,,,16,
Area,187.548,187.548,187.548,0.000,187.548,187.548,187.548,187.548,1,µm^2,Surface,,,,,17,
Area,106.218,106.218,106.218,0.000,106.218,106.218,106.218,106.218,1,µm^2,Surface,,,,,18,
Area,61.397,61.397,61.397,0.000,61.397,61.397,61.397,61.397,1,µm^2,Surface,,,,,19,
Area,84.150,84.150,84.150,0.000,84.150,84.150,84.150,84.150,1,µm^2,Surface,,,,,20,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,14,
Displacement Delta Length,0.537,0.537,0.537,0.000,0.537,0.537,0.537,0.537,1,µm,Surface,,,,,15,
Displacement Delta Length,0.696,0.696,0.696,0.000,0.696,0.696,0.696,0.696,1,µm,Surface,,,,,16,
Displacement Delta Length,1.034,1.034,1.034,0.000,1.034,1.034,1.034,1.034,1,µm,Surface,,,,,17,
Displacement Delta Length,1.629,1.629,1.629,0.000,1.629,1.629,1.629,1.629,1,µm,Surface,,,,,18,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,19,
Displacement Delta Length,1.187,1.187,1.187,0.000,1.187,1.187,1.187,1.187,1,µm,Surface,,,,,20,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta X,-0.309,-0.309,-0.309,0.000,-0.309,-0.309,-0.309,-0.309,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta X,-0.458,-0.458,-0.458,0.000,-0.458,-0.458,-0.458,-0.458,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta X,-0.417,-0.417,-0.417,0.000,-0.417,-0.417,-0.417,-0.417,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta X,0.126,0.126,0.126,0.000,0.126,0.126,0.126,0.126,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta X,0.754,0.754,0.754,0.000,0.754,0.754,0.754,0.754,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Y,-0.409,-0.409,-0.409,0.000,-0.409,-0.409,-0.409,-0.409,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Y,-0.481,-0.481,-0.481,0.000,-0.481,-0.481,-0.481,-0.481,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Y,-0.012,-0.012,-0.012,0.000,-0.012,-0.012,-0.012,-0.012,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Y,0.397,0.397,0.397,0.000,0.397,0.397,0.397,0.397,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,19,
