
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,2.331,2.331,2.331,0.000,2.331,2.331,2.331,2.331,1,µm^2,Surface,,,,,,28,
Area,70.181,70.181,70.181,0.000,70.181,70.181,70.181,70.181,1,µm^2,Surface,,,,,,29,
Area,118.414,118.414,118.414,0.000,118.414,118.414,118.414,118.414,1,µm^2,Surface,,,,,,32,
Area,126.884,126.884,126.884,0.000,126.884,126.884,126.884,126.884,1,µm^2,Surface,,,,,,33,
Area,163.367,163.367,163.367,0.000,163.367,163.367,163.367,163.367,1,µm^2,Surface,,,,,,35,
Area,148.338,148.338,148.338,0.000,148.338,148.338,148.338,148.338,1,µm^2,Surface,,,,,,36,
Area,127.885,127.885,127.885,0.000,127.885,127.885,127.885,127.885,1,µm^2,Surface,,,,,,37,
Area,108.740,108.740,108.740,0.000,108.740,108.740,108.740,108.740,1,µm^2,Surface,,,,,,38,
Area,85.295,85.295,85.295,0.000,85.295,85.295,85.295,85.295,1,µm^2,Surface,,,,,,39,
Area,82.816,82.816,82.816,0.000,82.816,82.816,82.816,82.816,1,µm^2,Surface,,,,,,40,
Area,56.276,56.276,56.276,0.000,56.276,56.276,56.276,56.276,1,µm^2,Surface,,,,,,41,
Class Duration,60.048,60.048,60.048,0.000,60.048,60.048,60.048,60.048,1,s,Surface,,Set 1::Class A,,,,28,
Class Duration,60.048,60.048,60.048,0.000,60.048,60.048,60.048,60.048,1,s,Surface,,Set 1::Class A,,,,29,
Class Duration,179.971,179.971,179.971,0.000,179.971,179.971,179.971,179.971,1,s,Surface,,Set 1::Class B,,,,32,
Class Duration,179.971,179.971,179.971,0.000,179.971,179.971,179.971,179.971,1,s,Surface,,Set 1::Class B,,,,33,
Class Duration,179.971,179.971,179.971,0.000,179.971,179.971,179.971,179.971,1,s,Surface,,Set 1::Class B,,,,35,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,36,
Class Duration,59.942,59.942,59.942,0.000,59.942,59.942,59.942,59.942,1,s,Surface,,Set 1::Class B,,,,37,
Class Duration,59.942,59.942,59.942,0.000,59.942,59.942,59.942,59.942,1,s,Surface,,Set 1::Class B,,,,38,
Class Duration,60.038,60.038,60.038,0.000,60.038,60.038,60.038,60.038,1,s,Surface,,Set 1::Class A,,,,39,
Class Duration,60.038,60.038,60.038,0.000,60.038,60.038,60.038,60.038,1,s,Surface,,Set 1::Class A,,,,40,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,41,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,28,
Displacement Delta Length,1.342,1.342,1.342,0.000,1.342,1.342,1.342,1.342,1,µm,Surface,,,,,,29,
Displacement Delta Length,3.533,3.533,3.533,0.000,3.533,3.533,3.533,3.533,1,µm,Surface,,,,,,32,
Displacement Delta Length,1.840,1.840,1.840,0.000,1.840,1.840,1.840,1.840,1,µm,Surface,,,,,,33,
Displacement Delta Length,2.131,2.131,2.131,0.000,2.131,2.131,2.131,2.131,1,µm,Surface,,,,,,35,
