
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,72.241,147.040,109.640,37.399,109.640,90.922,128.328,219.281,2,µm^2,Surface,,,,,,29,
Area,124.440,172.188,148.314,23.874,148.314,136.391,160.266,296.628,2,µm^2,Surface,,,,,,30,
Area,162.872,199.446,181.159,18.287,181.159,172.008,190.305,362.318,2,µm^2,Surface,,,,,,31,
Area,139.270,183.939,161.604,22.335,161.604,150.438,172.781,323.209,2,µm^2,Surface,,,,,,32,
Area,136.337,177.939,157.138,20.801,157.138,146.734,167.547,314.277,2,µm^2,Surface,,,,,,33,
Area,156.941,176.941,166.941,10.000,166.941,161.945,171.945,333.882,2,µm^2,Surface,,,,,,34,
Area,136.976,150.291,143.633,6.657,143.633,140.303,146.963,287.266,2,µm^2,Surface,,,,,,35,
Area,132.840,135.693,134.266,1.427,134.266,133.552,134.979,268.533,2,µm^2,Surface,,,,,,36,
Area,110.269,110.269,110.269,0.000,110.269,110.269,110.269,110.269,1,µm^2,Surface,,,,,,37,
Area,107.839,107.839,107.839,0.000,107.839,107.839,107.839,107.839,1,µm^2,Surface,,,,,,38,
Area,77.976,77.976,77.976,0.000,77.976,77.976,77.976,77.976,1,µm^2,Surface,,,,,,39,
Area,60.013,60.013,60.013,0.000,60.013,60.013,60.013,60.013,1,µm^2,Surface,,,,,,40,
Area,24.780,24.780,24.780,0.000,24.780,24.780,24.780,24.780,1,µm^2,Surface,,,,,,41,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,29,
Class Duration,539.966,539.966,539.966,0.000,539.966,539.966,539.966,539.966,1,s,Surface,,Set 1::Class B,,,,30,
Class Duration,539.966,539.966,539.966,0.000,539.966,539.966,539.966,539.966,1,s,Surface,,Set 1::Class B,,,,31,
Class Duration,539.966,539.966,539.966,0.000,539.966,539.966,539.966,539.966,1,s,Surface,,Set 1::Class B,,,,32,
Class Duration,539.966,539.966,539.966,0.000,539.966,539.966,539.966,539.966,1,s,Surface,,Set 1::Class B,,,,33,
Class Duration,539.966,539.966,539.966,0.000,539.966,539.966,539.966,539.966,1,s,Surface,,Set 1::Class B,,,,34,
Class Duration,539.966,539.966,539.966,0.000,539.966,539.966,539.966,539.966,1,s,Surface,,Set 1::Class B,,,,35,
Class Duration,539.966,539.966,539.966,0.000,539.966,539.966,539.966,539.966,1,s,Surface,,Set 1::Class B,,,,36,
Class Duration,539.966,539.966,539.966,0.000,539.966,539.966,539.966,539.966,1,s,Surface,,Set 1::Class B,,,,37,
Class Duration,539.966,539.966,539.966,0.000,539.966,539.966,539.966,539.966,1,s,Surface,,Set 1::Class B,,,,38,
Class Duration,539.966,539.966,539.966,0.000,539.966,539.966,539.966,539.966,1,s,Surface,,Set 1::Class B,,,,39,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,40,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,41,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,µm,Surface,,,,,,29,
Displacement Delta Length,0.711,1.037,0.874,0.163,0.874,0.792,0.956,1.748,2,µm,Surface,,,,,,30,
Displacement Delta Length,1.145,1.168,1.157,0.011,1.157,1.151,1.163,2.314,2,µm,Surface,,,,,,31,
Displacement Delta Length,1.695,1.767,1.731,0.036,1.731,1.713,1.749,3.462,2,µm,Surface,,,,,,32,
Displacement Delta Length,1.067,1.100,1.084,0.017,1.084,1.075,1.092,2.167,2,µm,Surface,,,,,,33,
Displacement Delta Length,1.057,1.373,1.215,0.158,1.215,1.136,1.294,2.430,2,µm,Surface,,,,,,34,
Displacement Delta Length,1.250,1.331,1.290,0.041,1.290,1.270,1.311,2.581,2,µm,Surface,,,,,,35,
Displacement Delta Length,1.021,1.119,1.070,0.049,1.070,1.045,1.094,2.140,2,µm,Surface,,,,,,36,
Displacement Delta Length,2.045,2.045,2.045,0.000,2.045,2.045,2.045,2.045,1,µm,Surface,,,,,,37,
Displacement Delta Length,2.152,2.152,2.152,0.000,2.152,2.152,2.152,2.152,1,µm,Surface,,,,,,38,
Displacement Delta Length,0.788,0.788,0.788,0.000,0.788,0.788,0.788,0.788,1,µm,Surface,,,,,,39,
Displacement Delta Length,0.410,0.410,0.410,0.000,0.410,0.410,0.410,0.410,1,µm,Surface,,,,,,40,
Displacement Delta Length,1.051,1.051,1.051,0.000,1.051,1.051,1.051,1.051,1,µm,Surface,,,,,,41,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta X,-0.461,-0.324,-0.393,0.069,-0.393,-0.427,-0.358,-0.785,2,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta X,0.282,0.394,0.338,0.056,0.338,0.310,0.366,0.676,2,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta X,0.641,0.688,0.664,0.023,0.664,0.652,0.676,1.328,2,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta X,0.932,0.941,0.937,0.005,0.937,0.934,0.939,1.874,2,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta X,0.555,0.789,0.672,0.117,0.672,0.614,0.731,1.344,2,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta X,0.798,0.820,0.809,0.011,0.809,0.804,0.815,1.619,2,µm,Surface,,,Displacement Delta,,,35,
Displacement Delta X,0.438,0.561,0.499,0.061,0.499,0.469,0.530,0.999,2,µm,Surface,,,Displacement Delta,,,36,
Displacement Delta X,-1.569,-1.569,-1.569,0.000,-1.569,-1.569,-1.569,-1.569,1,µm,Surface,,,Displacement Delta,,,37,
Displacement Delta X,-1.060,-1.060,-1.060,0.000,-1.060,-1.060,-1.060,-1.060,1,µm,Surface,,,Displacement Delta,,,38,
Displacement Delta X,-0.481,-0.481,-0.481,0.000,-0.481,-0.481,-0.481,-0.481,1,µm,Surface,,,Displacement Delta,,,39,
Displacement Delta X,-0.154,-0.154,-0.154,0.000,-0.154,-0.154,-0.154,-0.154,1,µm,Surface,,,Displacement Delta,,,40,
Displacement Delta X,-0.666,-0.666,-0.666,0.000,-0.666,-0.666,-0.666,-0.666,1,µm,Surface,,,Displacement Delta,,,41,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta Y,-0.148,0.138,-0.005,0.143,-0.005,-0.076,0.067,-0.010,2,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta Y,0.912,0.978,0.945,0.033,0.945,0.928,0.961,1.890,2,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta Y,1.564,1.616,1.590,0.026,1.590,1.577,1.603,3.180,2,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta Y,0.463,0.511,0.487,0.024,0.487,0.475,0.499,0.974,2,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta Y,-0.678,-0.572,-0.625,0.053,-0.625,-0.652,-0.599,-1.250,2,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta Y,-0.362,-0.357,-0.360,0.002,-0.360,-0.361,-0.359,-0.719,2,µm,Surface,,,Displacement Delta,,,35,
Displacement Delta Y,-0.834,-0.740,-0.787,0.047,-0.787,-0.811,-0.764,-1.575,2,µm,Surface,,,Displacement Delta,,,36,
Displacement Delta Y,-1.282,-1.282,-1.282,0.000,-1.282,-1.282,-1.282,-1.282,1,µm,Surface,,,Displacement Delta,,,37,
Displacement Delta Y,-1.783,-1.783,-1.783,0.000,-1.783,-1.783,-1.783,-1.783,1,µm,Surface,,,Displacement Delta,,,38,
Displacement Delta Y,-0.624,-0.624,-0.624,0.000,-0.624,-0.624,-0.624,-0.624,1,µm,Surface,,,Displacement Delta,,,39,
Displacement Delta Y,-0.248,-0.248,-0.248,0.000,-0.248,-0.248,-0.248,-0.248,1,µm,Surface,,,Displacement Delta,,,40,
Displacement Delta Y,0.087,0.087,0.087,0.000,0.087,0.087,0.087,0.087,1,µm,Surface,,,Displacement Delta,,,41,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta Z,0.617,0.917,0.767,0.150,0.767,0.692,0.842,1.534,2,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta Z,0.503,0.634,0.568,0.065,0.568,0.536,0.601,1.137,2,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta Z,-0.194,-0.125,-0.160,0.035,-0.160,-0.177,-0.142,-0.319,2,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta Z,-0.251,-0.234,-0.243,0.008,-0.243,-0.247,-0.239,-0.485,2,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta Z,-0.967,-0.591,-0.779,0.188,-0.779,-0.873,-0.685,-1.558,2,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta Z,-0.985,-0.891,-0.938,0.047,-0.938,-0.962,-0.914,-1.876,2,µm,Surface,,,Displacement Delta,,,35,
Displacement Delta Z,-0.624,-0.393,-0.508,0.116,-0.508,-0.566,-0.450,-1.017,2,µm,Surface,,,Displacement Delta,,,36,
Displacement Delta Z,-0.274,-0.274,-0.274,0.000,-0.274,-0.274,-0.274,-0.274,1,µm,Surface,,,Displacement Delta,,,37,
Displacement Delta Z,0.574,0.574,0.574,0.000,0.574,0.574,0.574,0.574,1,µm,Surface,,,Displacement Delta,,,38,
