
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,87.969,87.969,87.969,0.000,87.969,87.969,87.969,87.969,1,µm^2,Surface,,,,,39,
Area,122.543,122.543,122.543,0.000,122.543,122.543,122.543,122.543,1,µm^2,Surface,,,,,40,
Area,131.570,131.570,131.570,0.000,131.570,131.570,131.570,131.570,1,µm^2,Surface,,,,,41,
Area,133.415,133.415,133.415,0.000,133.415,133.415,133.415,133.415,1,µm^2,Surface,,,,,42,
Area,109.990,109.990,109.990,0.000,109.990,109.990,109.990,109.990,1,µm^2,Surface,,,,,43,
Area,95.295,95.295,95.295,0.000,95.295,95.295,95.295,95.295,1,µm^2,Surface,,,,,44,
Area,90.449,90.449,90.449,0.000,90.449,90.449,90.449,90.449,1,µm^2,Surface,,,,,45,
Area,73.801,73.801,73.801,0.000,73.801,73.801,73.801,73.801,1,µm^2,Surface,,,,,46,
Area,69.931,69.931,69.931,0.000,69.931,69.931,69.931,69.931,1,µm^2,Surface,,,,,47,
Area,63.027,63.027,63.027,0.000,63.027,63.027,63.027,63.027,1,µm^2,Surface,,,,,48,
Area,67.844,67.844,67.844,0.000,67.844,67.844,67.844,67.844,1,µm^2,Surface,,,,,49,
Area,78.917,78.917,78.917,0.000,78.917,78.917,78.917,78.917,1,µm^2,Surface,,,,,50,
Area,68.551,68.551,68.551,0.000,68.551,68.551,68.551,68.551,1,µm^2,Surface,,,,,51,
Area,77.462,77.462,77.462,0.000,77.462,77.462,77.462,77.462,1,µm^2,Surface,,,,,52,
Area,79.063,79.063,79.063,0.000,79.063,79.063,79.063,79.063,1,µm^2,Surface,,,,,53,
Area,69.340,69.340,69.340,0.000,69.340,69.340,69.340,69.340,1,µm^2,Surface,,,,,54,
Area,60.309,60.309,60.309,0.000,60.309,60.309,60.309,60.309,1,µm^2,Surface,,,,,55,
Area,59.657,59.657,59.657,0.000,59.657,59.657,59.657,59.657,1,µm^2,Surface,,,,,56,
Area,60.497,60.497,60.497,0.000,60.497,60.497,60.497,60.497,1,µm^2,Surface,,,,,57,
Area,66.733,66.733,66.733,0.000,66.733,66.733,66.733,66.733,1,µm^2,Surface,,,,,58,
Area,66.136,66.136,66.136,0.000,66.136,66.136,66.136,66.136,1,µm^2,Surface,,,,,59,
Area,76.545,76.545,76.545,0.000,76.545,76.545,76.545,76.545,1,µm^2,Surface,,,,,60,
Area,75.709,75.709,75.709,0.000,75.709,75.709,75.709,75.709,1,µm^2,Surface,,,,,61,
Area,78.183,78.183,78.183,0.000,78.183,78.183,78.183,78.183,1,µm^2,Surface,,,,,62,
Area,80.423,80.423,80.423,0.000,80.423,80.423,80.423,80.423,1,µm^2,Surface,,,,,63,
Area,75.205,75.205,75.205,0.000,75.205,75.205,75.205,75.205,1,µm^2,Surface,,,,,64,
Area,79.525,79.525,79.525,0.000,79.525,79.525,79.525,79.525,1,µm^2,Surface,,,,,65,
Area,87.960,87.960,87.960,0.000,87.960,87.960,87.960,87.960,1,µm^2,Surface,,,,,66,
Area,93.478,93.478,93.478,0.000,93.478,93.478,93.478,93.478,1,µm^2,Surface,,,,,67,
Area,97.929,97.929,97.929,0.000,97.929,97.929,97.929,97.929,1,µm^2,Surface,,,,,68,
Area,97.020,97.020,97.020,0.000,97.020,97.020,97.020,97.020,1,µm^2,Surface,,,,,69,
Area,101.179,101.179,101.179,0.000,101.179,101.179,101.179,101.179,1,µm^2,Surface,,,,,70,
Area,106.843,106.843,106.843,0.000,106.843,106.843,106.843,106.843,1,µm^2,Surface,,,,,71,
Area,115.193,115.193,115.193,0.000,115.193,115.193,115.193,115.193,1,µm^2,Surface,,,,,72,
Area,117.823,117.823,117.823,0.000,117.823,117.823,117.823,117.823,1,µm^2,Surface,,,,,73,
Area,124.125,124.125,124.125,0.000,124.125,124.125,124.125,124.125,1,µm^2,Surface,,,,,74,
Area,128.625,128.625,128.625,0.000,128.625,128.625,128.625,128.625,1,µm^2,Surface,,,,,75,
Area,127.246,127.246,127.246,0.000,127.246,127.246,127.246,127.246,1,µm^2,Surface,,,,,76,
Area,133.785,133.785,133.785,0.000,133.785,133.785,133.785,133.785,1,µm^2,Surface,,,,,77,
Area,131.835,131.835,131.835,0.000,131.835,131.835,131.835,131.835,1,µm^2,Surface,,,,,78,
Area,133.946,133.946,133.946,0.000,133.946,133.946,133.946,133.946,1,µm^2,Surface,,,,,79,
Area,132.282,132.282,132.282,0.000,132.282,132.282,132.282,132.282,1,µm^2,Surface,,,,,80,
Area,139.167,139.167,139.167,0.000,139.167,139.167,139.167,139.167,1,µm^2,Surface,,,,,81,
Area,144.484,144.484,144.484,0.000,144.484,144.484,144.484,144.484,1,µm^2,Surface,,,,,82,
Area,142.489,142.489,142.489,0.000,142.489,142.489,142.489,142.489,1,µm^2,Surface,,,,,83,
Area,144.740,144.740,144.740,0.000,144.740,144.740,144.740,144.740,1,µm^2,Surface,,,,,84,
Area,149.353,149.353,149.353,0.000,149.353,149.353,149.353,149.353,1,µm^2,Surface,,,,,85,
Area,147.854,147.854,147.854,0.000,147.854,147.854,147.854,147.854,1,µm^2,Surface,,,,,86,
Area,150.290,150.290,150.290,0.000,150.290,150.290,150.290,150.290,1,µm^2,Surface,,,,,87,
Area,151.460,151.460,151.460,0.000,151.460,151.460,151.460,151.460,1,µm^2,Surface,,,,,88,
Area,150.204,150.204,150.204,0.000,150.204,150.204,150.204,150.204,1,µm^2,Surface,,,,,89,
Area,147.952,147.952,147.952,0.000,147.952,147.952,147.952,147.952,1,µm^2,Surface,,,,,90,
Area,140.824,140.824,140.824,0.000,140.824,140.824,140.824,140.824,1,µm^2,Surface,,,,,91,
Area,134.872,134.872,134.872,0.000,134.872,134.872,134.872,134.872,1,µm^2,Surface,,,,,92,
Area,123.880,123.880,123.880,0.000,123.880,123.880,123.880,123.880,1,µm^2,Surface,,,,,93,
Area,122.103,122.103,122.103,0.000,122.103,122.103,122.103,122.103,1,µm^2,Surface,,,,,94,
Area,124.509,124.509,124.509,0.000,124.509,124.509,124.509,124.509,1,µm^2,Surface,,,,,95,
Area,126.809,126.809,126.809,0.000,126.809,126.809,126.809,126.809,1,µm^2,Surface,,,,,96,
Area,133.264,133.264,133.264,0.000,133.264,133.264,133.264,133.264,1,µm^2,Surface,,,,,97,
Area,135.029,135.029,135.029,0.000,135.029,135.029,135.029,135.029,1,µm^2,Surface,,,,,98,
Area,103.955,103.955,103.955,0.000,103.955,103.955,103.955,103.955,1,µm^2,Surface,,,,,99,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,39,
Displacement Delta Length,0.877,0.877,0.877,0.000,0.877,0.877,0.877,0.877,1,µm,Surface,,,,,40,
Displacement Delta Length,0.917,0.917,0.917,0.000,0.917,0.917,0.917,0.917,1,µm,Surface,,,,,41,
Displacement Delta Length,0.514,0.514,0.514,0.000,0.514,0.514,0.514,0.514,1,µm,Surface,,,,,42,
Displacement Delta Length,0.582,0.582,0.582,0.000,0.582,0.582,0.582,0.582,1,µm,Surface,,,,,43,
Displacement Delta Length,0.622,0.622,0.622,0.000,0.622,0.622,0.622,0.622,1,µm,Surface,,,,,44,
Displacement Delta Length,0.486,0.486,0.486,0.000,0.486,0.486,0.486,0.486,1,µm,Surface,,,,,45,
Displacement Delta Length,0.905,0.905,0.905,0.000,0.905,0.905,0.905,0.905,1,µm,Surface,,,,,46,
Displacement Delta Length,0.282,0.282,0.282,0.000,0.282,0.282,0.282,0.282,1,µm,Surface,,,,,47,
Displacement Delta Length,0.249,0.249,0.249,0.000,0.249,0.249,0.249,0.249,1,µm,Surface,,,,,48,
Displacement Delta Length,0.089,0.089,0.089,0.000,0.089,0.089,0.089,0.089,1,µm,Surface,,,,,49,
Displacement Delta Length,0.195,0.195,0.195,0.000,0.195,0.195,0.195,0.195,1,µm,Surface,,,,,50,
Displacement Delta Length,0.603,0.603,0.603,0.000,0.603,0.603,0.603,0.603,1,µm,Surface,,,,,51,
Displacement Delta Length,0.558,0.558,0.558,0.000,0.558,0.558,0.558,0.558,1,µm,Surface,,,,,52,
Displacement Delta Length,0.227,0.227,0.227,0.000,0.227,0.227,0.227,0.227,1,µm,Surface,,,,,53,
Displacement Delta Length,0.385,0.385,0.385,0.000,0.385,0.385,0.385,0.385,1,µm,Surface,,,,,54,
Displacement Delta Length,0.469,0.469,0.469,0.000,0.469,0.469,0.469,0.469,1,µm,Surface,,,,,55,
Displacement Delta Length,0.198,0.198,0.198,0.000,0.198,0.198,0.198,0.198,1,µm,Surface,,,,,56,
Displacement Delta Length,0.110,0.110,0.110,0.000,0.110,0.110,0.110,0.110,1,µm,Surface,,,,,57,
Displacement Delta Length,0.874,0.874,0.874,0.000,0.874,0.874,0.874,0.874,1,µm,Surface,,,,,58,
Displacement Delta Length,0.401,0.401,0.401,0.000,0.401,0.401,0.401,0.401,1,µm,Surface,,,,,59,
Displacement Delta Length,0.279,0.279,0.279,0.000,0.279,0.279,0.279,0.279,1,µm,Surface,,,,,60,
Displacement Delta Length,0.318,0.318,0.318,0.000,0.318,0.318,0.318,0.318,1,µm,Surface,,,,,61,
Displacement Delta Length,0.473,0.473,0.473,0.000,0.473,0.473,0.473,0.473,1,µm,Surface,,,,,62,
Displacement Delta Length,0.148,0.148,0.148,0.000,0.148,0.148,0.148,0.148,1,µm,Surface,,,,,63,
Displacement Delta Length,0.585,0.585,0.585,0.000,0.585,0.585,0.585,0.585,1,µm,Surface,,,,,64,
Displacement Delta Length,0.635,0.635,0.635,0.000,0.635,0.635,0.635,0.635,1,µm,Surface,,,,,65,
Displacement Delta Length,0.614,0.614,0.614,0.000,0.614,0.614,0.614,0.614,1,µm,Surface,,,,,66,
Displacement Delta Length,0.271,0.271,0.271,0.000,0.271,0.271,0.271,0.271,1,µm,Surface,,,,,67,
Displacement Delta Length,0.136,0.136,0.136,0.000,0.136,0.136,0.136,0.136,1,µm,Surface,,,,,68,
Displacement Delta Length,0.349,0.349,0.349,0.000,0.349,0.349,0.349,0.349,1,µm,Surface,,,,,69,
Displacement Delta Length,0.254,0.254,0.254,0.000,0.254,0.254,0.254,0.254,1,µm,Surface,,,,,70,
Displacement Delta Length,0.205,0.205,0.205,0.000,0.205,0.205,0.205,0.205,1,µm,Surface,,,,,71,
Displacement Delta Length,0.296,0.296,0.296,0.000,0.296,0.296,0.296,0.296,1,µm,Surface,,,,,72,
Displacement Delta Length,0.092,0.092,0.092,0.000,0.092,0.092,0.092,0.092,1,µm,Surface,,,,,73,
Displacement Delta Length,0.316,0.316,0.316,0.000,0.316,0.316,0.316,0.316,1,µm,Surface,,,,,74,
Displacement Delta Length,0.444,0.444,0.444,0.000,0.444,0.444,0.444,0.444,1,µm,Surface,,,,,75,
Displacement Delta Length,0.300,0.300,0.300,0.000,0.300,0.300,0.300,0.300,1,µm,Surface,,,,,76,
Displacement Delta Length,0.247,0.247,0.247,0.000,0.247,0.247,0.247,0.247,1,µm,Surface,,,,,77,
Displacement Delta Length,0.302,0.302,0.302,0.000,0.302,0.302,0.302,0.302,1,µm,Surface,,,,,78,
Displacement Delta Length,0.141,0.141,0.141,0.000,0.141,0.141,0.141,0.141,1,µm,Surface,,,,,79,
Displacement Delta Length,0.126,0.126,0.126,0.000,0.126,0.126,0.126,0.126,1,µm,Surface,,,,,80,
Displacement Delta Length,0.215,0.215,0.215,0.000,0.215,0.215,0.215,0.215,1,µm,Surface,,,,,81,
Displacement Delta Length,0.228,0.228,0.228,0.000,0.228,0.228,0.228,0.228,1,µm,Surface,,,,,82,
Displacement Delta Length,0.149,0.149,0.149,0.000,0.149,0.149,0.149,0.149,1,µm,Surface,,,,,83,
Displacement Delta Length,0.360,0.360,0.360,0.000,0.360,0.360,0.360,0.360,1,µm,Surface,,,,,84,
Displacement Delta Length,0.157,0.157,0.157,0.000,0.157,0.157,0.157,0.157,1,µm,Surface,,,,,85,
Displacement Delta Length,0.116,0.116,0.116,0.000,0.116,0.116,0.116,0.116,1,µm,Surface,,,,,86,
Displacement Delta Length,0.172,0.172,0.172,0.000,0.172,0.172,0.172,0.172,1,µm,Surface,,,,,87,
Displacement Delta Length,0.080,0.080,0.080,0.000,0.080,0.080,0.080,0.080,1,µm,Surface,,,,,88,
Displacement Delta Length,0.138,0.138,0.138,0.000,0.138,0.138,0.138,0.138,1,µm,Surface,,,,,89,
Displacement Delta Length,0.066,0.066,0.066,0.000,0.066,0.066,0.066,0.066,1,µm,Surface,,,,,90,
Displacement Delta Length,0.241,0.241,0.241,0.000,0.241,0.241,0.241,0.241,1,µm,Surface,,,,,91,
Displacement Delta Length,0.081,0.081,0.081,0.000,0.081,0.081,0.081,0.081,1,µm,Surface,,,,,92,
Displacement Delta Length,0.167,0.167,0.167,0.000,0.167,0.167,0.167,0.167,1,µm,Surface,,,,,93,
Displacement Delta Length,0.094,0.094,0.094,0.000,0.094,0.094,0.094,0.094,1,µm,Surface,,,,,94,
Displacement Delta Length,0.041,0.041,0.041,0.000,0.041,0.041,0.041,0.041,1,µm,Surface,,,,,95,
Displacement Delta Length,0.256,0.256,0.256,0.000,0.256,0.256,0.256,0.256,1,µm,Surface,,,,,96,
Displacement Delta Length,0.116,0.116,0.116,0.000,0.116,0.116,0.116,0.116,1,µm,Surface,,,,,97,
Displacement Delta Length,0.255,0.255,0.255,0.000,0.255,0.255,0.255,0.255,1,µm,Surface,,,,,98,
Displacement Delta Length,0.650,0.650,0.650,0.000,0.650,0.650,0.650,0.650,1,µm,Surface,,,,,99,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,39,
Displacement Delta X,-0.328,-0.328,-0.328,0.000,-0.328,-0.328,-0.328,-0.328,1,µm,Surface,,Displacement Delta,,,40,
Displacement Delta X,-0.880,-0.880,-0.880,0.000,-0.880,-0.880,-0.880,-0.880,1,µm,Surface,,Displacement Delta,,,41,
Displacement Delta X,-0.174,-0.174,-0.174,0.000,-0.174,-0.174,-0.174,-0.174,1,µm,Surface,,Displacement Delta,,,42,
Displacement Delta X,0.400,0.400,0.400,0.000,0.400,0.400,0.400,0.400,1,µm,Surface,,Displacement Delta,,,43,
Displacement Delta X,0.204,0.204,0.204,0.000,0.204,0.204,0.204,0.204,1,µm,Surface,,Displacement Delta,,,44,
Displacement Delta X,0.249,0.249,0.249,0.000,0.249,0.249,0.249,0.249,1,µm,Surface,,Displacement Delta,,,45,
Displacement Delta X,0.665,0.665,0.665,0.000,0.665,0.665,0.665,0.665,1,µm,Surface,,Displacement Delta,,,46,
Displacement Delta X,0.168,0.168,0.168,0.000,0.168,0.168,0.168,0.168,1,µm,Surface,,Displacement Delta,,,47,
Displacement Delta X,-0.037,-0.037,-0.037,0.000,-0.037,-0.037,-0.037,-0.037,1,µm,Surface,,Displacement Delta,,,48,
Displacement Delta X,-0.042,-0.042,-0.042,0.000,-0.042,-0.042,-0.042,-0.042,1,µm,Surface,,Displacement Delta,,,49,
Displacement Delta X,-0.092,-0.092,-0.092,0.000,-0.092,-0.092,-0.092,-0.092,1,µm,Surface,,Displacement Delta,,,50,
Displacement Delta X,0.570,0.570,0.570,0.000,0.570,0.570,0.570,0.570,1,µm,Surface,,Displacement Delta,,,51,
Displacement Delta X,-0.543,-0.543,-0.543,0.000,-0.543,-0.543,-0.543,-0.543,1,µm,Surface,,Displacement Delta,,,52,
Displacement Delta X,0.109,0.109,0.109,0.000,0.109,0.109,0.109,0.109,1,µm,Surface,,Displacement Delta,,,53,
Displacement Delta X,0.086,0.086,0.086,0.000,0.086,0.086,0.086,0.086,1,µm,Surface,,Displacement Delta,,,54,
Displacement Delta X,-0.041,-0.041,-0.041,0.000,-0.041,-0.041,-0.041,-0.041,1,µm,Surface,,Displacement Delta,,,55,
Displacement Delta X,-0.056,-0.056,-0.056,0.000,-0.056,-0.056,-0.056,-0.056,1,µm,Surface,,Displacement Delta,,,56,
Displacement Delta X,-0.022,-0.022,-0.022,0.000,-0.022,-0.022,-0.022,-0.022,1,µm,Surface,,Displacement Delta,,,57,
