
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,138.345,138.345,138.345,0.000,138.345,138.345,138.345,138.345,1,µm^2,Surface,,,,,18,
Area,149.365,149.365,149.365,0.000,149.365,149.365,149.365,149.365,1,µm^2,Surface,,,,,19,
Area,138.382,138.382,138.382,0.000,138.382,138.382,138.382,138.382,1,µm^2,Surface,,,,,20,
Area,173.949,173.949,173.949,0.000,173.949,173.949,173.949,173.949,1,µm^2,Surface,,,,,21,
Area,191.959,191.959,191.959,0.000,191.959,191.959,191.959,191.959,1,µm^2,Surface,,,,,22,
Area,215.031,215.031,215.031,0.000,215.031,215.031,215.031,215.031,1,µm^2,Surface,,,,,23,
Area,212.418,212.418,212.418,0.000,212.418,212.418,212.418,212.418,1,µm^2,Surface,,,,,24,
Area,210.524,210.524,210.524,0.000,210.524,210.524,210.524,210.524,1,µm^2,Surface,,,,,25,
Area,195.360,195.360,195.360,0.000,195.360,195.360,195.360,195.360,1,µm^2,Surface,,,,,26,
Area,180.149,180.149,180.149,0.000,180.149,180.149,180.149,180.149,1,µm^2,Surface,,,,,27,
Area,115.653,115.653,115.653,0.000,115.653,115.653,115.653,115.653,1,µm^2,Surface,,,,,28,
Area,118.772,118.772,118.772,0.000,118.772,118.772,118.772,118.772,1,µm^2,Surface,,,,,29,
Area,92.809,92.809,92.809,0.000,92.809,92.809,92.809,92.809,1,µm^2,Surface,,,,,30,
Area,95.130,95.130,95.130,0.000,95.130,95.130,95.130,95.130,1,µm^2,Surface,,,,,31,
Area,104.070,104.070,104.070,0.000,104.070,104.070,104.070,104.070,1,µm^2,Surface,,,,,32,
Area,63.374,63.374,63.374,0.000,63.374,63.374,63.374,63.374,1,µm^2,Surface,,,,,33,
Area,39.774,39.774,39.774,0.000,39.774,39.774,39.774,39.774,1,µm^2,Surface,,,,,34,
Area,32.101,32.101,32.101,0.000,32.101,32.101,32.101,32.101,1,µm^2,Surface,,,,,35,
Area,8.124,8.124,8.124,0.000,8.124,8.124,8.124,8.124,1,µm^2,Surface,,,,,38,
Area,17.600,17.600,17.600,0.000,17.600,17.600,17.600,17.600,1,µm^2,Surface,,,,,39,
Area,15.681,15.681,15.681,0.000,15.681,15.681,15.681,15.681,1,µm^2,Surface,,,,,40,
Area,7.901,7.901,7.901,0.000,7.901,7.901,7.901,7.901,1,µm^2,Surface,,,,,41,
Area,22.380,22.380,22.380,0.000,22.380,22.380,22.380,22.380,1,µm^2,Surface,,,,,42,
Area,35.721,35.721,35.721,0.000,35.721,35.721,35.721,35.721,1,µm^2,Surface,,,,,43,
Area,33.709,33.709,33.709,0.000,33.709,33.709,33.709,33.709,1,µm^2,Surface,,,,,44,
Area,25.306,25.306,25.306,0.000,25.306,25.306,25.306,25.306,1,µm^2,Surface,,,,,45,
Area,5.353,5.353,5.353,0.000,5.353,5.353,5.353,5.353,1,µm^2,Surface,,,,,46,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,18,
Displacement Delta Length,1.656,1.656,1.656,0.000,1.656,1.656,1.656,1.656,1,µm,Surface,,,,,19,
Displacement Delta Length,1.518,1.518,1.518,0.000,1.518,1.518,1.518,1.518,1,µm,Surface,,,,,20,
Displacement Delta Length,0.762,0.762,0.762,0.000,0.762,0.762,0.762,0.762,1,µm,Surface,,,,,21,
Displacement Delta Length,1.209,1.209,1.209,0.000,1.209,1.209,1.209,1.209,1,µm,Surface,,,,,22,
Displacement Delta Length,0.595,0.595,0.595,0.000,0.595,0.595,0.595,0.595,1,µm,Surface,,,,,23,
Displacement Delta Length,0.811,0.811,0.811,0.000,0.811,0.811,0.811,0.811,1,µm,Surface,,,,,24,
Displacement Delta Length,1.813,1.813,1.813,0.000,1.813,1.813,1.813,1.813,1,µm,Surface,,,,,25,
Displacement Delta Length,1.216,1.216,1.216,0.000,1.216,1.216,1.216,1.216,1,µm,Surface,,,,,26,
Displacement Delta Length,1.428,1.428,1.428,0.000,1.428,1.428,1.428,1.428,1,µm,Surface,,,,,27,
Displacement Delta Length,0.688,0.688,0.688,0.000,0.688,0.688,0.688,0.688,1,µm,Surface,,,,,28,
Displacement Delta Length,1.351,1.351,1.351,0.000,1.351,1.351,1.351,1.351,1,µm,Surface,,,,,29,
Displacement Delta Length,1.604,1.604,1.604,0.000,1.604,1.604,1.604,1.604,1,µm,Surface,,,,,30,
