nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 17,Class,Unnamed: 18
AB,Intensity Max,376.0,376.0,376.0,0.0,376.0,376.0,376.0,376.0,1,,Surface,2.0,,Image 1,,1.0,,,
AB,Intensity Max,402.0,402.0,402.0,0.0,402.0,402.0,402.0,402.0,1,,Surface,2.0,,Image 1,,2.0,,,
AB,Intensity Max,408.0,408.0,408.0,0.0,408.0,408.0,408.0,408.0,1,,Surface,2.0,,Image 1,,3.0,,,
AB,Intensity Max,410.0,410.0,410.0,0.0,410.0,410.0,410.0,410.0,1,,Surface,2.0,,Image 1,,4.0,,,
AB,Intensity Max,430.0,430.0,430.0,0.0,430.0,430.0,430.0,430.0,1,,Surface,2.0,,Image 1,,5.0,,,
P1,Intensity Max,590.0,590.0,590.0,0.0,590.0,590.0,590.0,590.0,1,,Surface,2.0,,Image 1,,1.0,,,
P1,Intensity Max,610.0,610.0,610.0,0.0,610.0,610.0,610.0,610.0,1,,Surface,2.0,,Image 1,,2.0,,,
P1,Intensity Max,1479.0,1479.0,1479.0,0.0,1479.0,1479.0,1479.0,1479.0,1,,Surface,2.0,,Image 1,,3.0,,,
P1,Intensity Max,1387.0,1387.0,1387.0,0.0,1387.0,1387.0,1387.0,1387.0,1,,Surface,2.0,,Image 1,,4.0,,,
P1,Intensity Max,1199.0,1199.0,1199.0,0.0,1199.0,1199.0,1199.0,1199.0,1,,Surface,2.0,,Image 1,,5.0,,,
P1,Intensity Max,1360.0,1360.0,1360.0,0.0,1360.0,1360.0,1360.0,1360.0,1,,Surface,2.0,,Image 1,,6.0,,,
P1,Intensity Max,1442.0,1442.0,1442.0,0.0,1442.0,1442.0,1442.0,1442.0,1,,Surface,2.0,,Image 1,,7.0,,,
P1,Intensity Max,1251.0,1251.0,1251.0,0.0,1251.0,1251.0,1251.0,1251.0,1,,Surface,2.0,,Image 1,,8.0,,,
P1,Intensity Max,959.0,959.0,959.0,0.0,959.0,959.0,959.0,959.0,1,,Surface,2.0,,Image 1,,9.0,,,
P1,Intensity Max,687.0,687.0,687.0,0.0,687.0,687.0,687.0,687.0,1,,Surface,2.0,,Image 1,,10.0,,,
ABa,Intensity Max,430.0,430.0,430.0,0.0,430.0,430.0,430.0,430.0,1,,Surface,2.0,,Image 1,,13.0,,,
ABa,Intensity Max,464.0,464.0,464.0,0.0,464.0,464.0,464.0,464.0,1,,Surface,2.0,,Image 1,,14.0,,,
ABa,Intensity Max,410.0,410.0,410.0,0.0,410.0,410.0,410.0,410.0,1,,Surface,2.0,,Image 1,,15.0,,,
ABa,Intensity Max,435.0,435.0,435.0,0.0,435.0,435.0,435.0,435.0,1,,Surface,2.0,,Image 1,,16.0,,,
ABa,Intensity Max,616.0,616.0,616.0,0.0,616.0,616.0,616.0,616.0,1,,Surface,2.0,,Image 1,,17.0,,,
ABa,Intensity Max,273.0,273.0,273.0,0.0,273.0,273.0,273.0,273.0,1,,Surface,2.0,,Image 1,,18.0,,,
ABa,Intensity Max,319.0,319.0,319.0,0.0,319.0,319.0,319.0,319.0,1,,Surface,2.0,,Image 1,,19.0,,,
ABa,Intensity Max,321.0,321.0,321.0,0.0,321.0,321.0,321.0,321.0,1,,Surface,2.0,,Image 1,,20.0,,,
ABp,Intensity Max,376.0,376.0,376.0,0.0,376.0,376.0,376.0,376.0,1,,Surface,2.0,,Image 1,,13.0,,,
ABp,Intensity Max,424.0,424.0,424.0,0.0,424.0,424.0,424.0,424.0,1,,Surface,2.0,,Image 1,,14.0,,,
ABp,Intensity Max,457.0,457.0,457.0,0.0,457.0,457.0,457.0,457.0,1,,Surface,2.0,,Image 1,,15.0,,,
ABp,Intensity Max,375.0,375.0,375.0,0.0,375.0,375.0,375.0,375.0,1,,Surface,2.0,,Image 1,,16.0,,,
ABp,Intensity Max,406.0,406.0,406.0,0.0,406.0,406.0,406.0,406.0,1,,Surface,2.0,,Image 1,,17.0,,,
