
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,7.530,7.530,7.530,0.000,7.530,7.530,7.530,7.530,1,µm^2,Surface,,,,,,25,
Area,66.270,66.270,66.270,0.000,66.270,66.270,66.270,66.270,1,µm^2,Surface,,,,,,26,
Area,98.322,98.322,98.322,0.000,98.322,98.322,98.322,98.322,1,µm^2,Surface,,,,,,27,
Area,128.891,128.891,128.891,0.000,128.891,128.891,128.891,128.891,1,µm^2,Surface,,,,,,28,
Area,129.701,129.701,129.701,0.000,129.701,129.701,129.701,129.701,1,µm^2,Surface,,,,,,29,
Area,129.882,129.882,129.882,0.000,129.882,129.882,129.882,129.882,1,µm^2,Surface,,,,,,30,
Area,146.579,146.579,146.579,0.000,146.579,146.579,146.579,146.579,1,µm^2,Surface,,,,,,31,
Area,138.351,138.351,138.351,0.000,138.351,138.351,138.351,138.351,1,µm^2,Surface,,,,,,32,
Area,120.291,120.291,120.291,0.000,120.291,120.291,120.291,120.291,1,µm^2,Surface,,,,,,33,
Area,113.166,113.166,113.166,0.000,113.166,113.166,113.166,113.166,1,µm^2,Surface,,,,,,34,
Area,88.383,88.383,88.383,0.000,88.383,88.383,88.383,88.383,1,µm^2,Surface,,,,,,35,
Area,92.178,92.178,92.178,0.000,92.178,92.178,92.178,92.178,1,µm^2,Surface,,,,,,36,
Area,50.301,50.301,50.301,0.000,50.301,50.301,50.301,50.301,1,µm^2,Surface,,,,,,37,
Class Duration,60.051,60.051,60.051,0.000,60.051,60.051,60.051,60.051,1,s,Surface,,Set 1::Class A,,,,25,
Class Duration,60.051,60.051,60.051,0.000,60.051,60.051,60.051,60.051,1,s,Surface,,Set 1::Class A,,,,26,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,27,
Class Duration,60.049,60.049,60.049,0.000,60.049,60.049,60.049,60.049,1,s,Surface,,Set 1::Class A,,,,28,
Class Duration,60.049,60.049,60.049,0.000,60.049,60.049,60.049,60.049,1,s,Surface,,Set 1::Class A,,,,29,
Class Duration,180.000,180.000,180.000,0.000,180.000,180.000,180.000,180.000,1,s,Surface,,Set 1::Class B,,,,30,
Class Duration,180.000,180.000,180.000,0.000,180.000,180.000,180.000,180.000,1,s,Surface,,Set 1::Class B,,,,31,
Class Duration,180.000,180.000,180.000,0.000,180.000,180.000,180.000,180.000,1,s,Surface,,Set 1::Class B,,,,32,
Class Duration,180.000,180.000,180.000,0.000,180.000,180.000,180.000,180.000,1,s,Surface,,Set 1::Class B,,,,33,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,34,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,35,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,25,
Displacement Delta Length,0.263,0.263,0.263,0.000,0.263,0.263,0.263,0.263,1,µm,Surface,,,,,,26,
Displacement Delta Length,1.355,1.355,1.355,0.000,1.355,1.355,1.355,1.355,1,µm,Surface,,,,,,27,
Displacement Delta Length,0.576,0.576,0.576,0.000,0.576,0.576,0.576,0.576,1,µm,Surface,,,,,,28,
