
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,51.717,51.717,51.717,0.000,51.717,51.717,51.717,51.717,1,µm^2,Surface,,,,,,24,
Area,115.660,115.660,115.660,0.000,115.660,115.660,115.660,115.660,1,µm^2,Surface,,,,,,25,
Area,147.505,147.505,147.505,0.000,147.505,147.505,147.505,147.505,1,µm^2,Surface,,,,,,26,
Area,169.058,169.058,169.058,0.000,169.058,169.058,169.058,169.058,1,µm^2,Surface,,,,,,27,
Area,135.821,135.821,135.821,0.000,135.821,135.821,135.821,135.821,1,µm^2,Surface,,,,,,28,
Area,138.086,148.810,143.448,5.362,143.448,140.764,146.127,286.896,2,µm^2,Surface,,,,,,29,
Area,114.775,114.775,114.775,0.000,114.775,114.775,114.775,114.775,1,µm^2,Surface,,,,,,30,
Area,89.283,98.740,94.012,4.728,94.012,91.648,96.375,188.023,2,µm^2,Surface,,,,,,31,
Area,87.722,100.180,93.951,6.229,93.951,90.836,97.062,187.901,2,µm^2,Surface,,,,,,32,
Area,85.920,90.134,88.027,2.107,88.027,86.974,89.081,176.055,2,µm^2,Surface,,,,,,33,
Area,69.656,72.306,70.981,1.325,70.981,70.318,71.643,141.962,2,µm^2,Surface,,,,,,34,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,29,
Class Duration,180.048,180.048,180.048,0.000,180.048,180.048,180.048,180.048,1,s,Surface,,Set 1::Class B,,,,31,
Class Duration,180.048,180.048,180.048,0.000,180.048,180.048,180.048,180.048,1,s,Surface,,Set 1::Class B,,,,32,
Class Duration,180.048,180.048,180.048,0.000,180.048,180.048,180.048,180.048,1,s,Surface,,Set 1::Class B,,,,33,
Class Duration,180.048,180.048,180.048,0.000,180.048,180.048,180.048,180.048,1,s,Surface,,Set 1::Class B,,,,34,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,24,
Displacement Delta Length,1.244,1.244,1.244,0.000,1.244,1.244,1.244,1.244,1,µm,Surface,,,,,,25,
Displacement Delta Length,2.121,2.121,2.121,0.000,2.121,2.121,2.121,2.121,1,µm,Surface,,,,,,26,
Displacement Delta Length,1.973,1.973,1.973,0.000,1.973,1.973,1.973,1.973,1,µm,Surface,,,,,,27,
Displacement Delta Length,2.126,2.126,2.126,0.000,2.126,2.126,2.126,2.126,1,µm,Surface,,,,,,28,
Displacement Delta Length,0.000,1.321,0.660,0.660,0.660,0.331,0.991,1.321,2,µm,Surface,,,,,,29,
Displacement Delta Length,1.553,1.553,1.553,0.000,1.553,1.553,1.553,1.553,1,µm,Surface,,,,,,30,
Displacement Delta Length,1.927,2.205,2.066,0.139,2.066,1.996,2.135,4.132,2,µm,Surface,,,,,,31,
Displacement Delta Length,1.928,1.931,1.930,0.002,1.930,1.929,1.931,3.859,2,µm,Surface,,,,,,32,
Displacement Delta Length,2.069,2.086,2.078,0.009,2.078,2.073,2.082,4.155,2,µm,Surface,,,,,,33,
Displacement Delta Length,1.329,1.397,1.363,0.034,1.363,1.346,1.380,2.726,2,µm,Surface,,,,,,34,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta X,0.161,0.161,0.161,0.000,0.161,0.161,0.161,0.161,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta X,0.116,0.116,0.116,0.000,0.116,0.116,0.116,0.116,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta X,1.092,1.092,1.092,0.000,1.092,1.092,1.092,1.092,1,µm,Surface,,,Displacement Delta,,,27,
Displacement Delta X,-0.671,-0.671,-0.671,0.000,-0.671,-0.671,-0.671,-0.671,1,µm,Surface,,,Displacement Delta,,,28,
Displacement Delta X,-0.559,0.000,-0.279,0.279,-0.279,-0.419,-0.139,-0.559,2,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta X,-1.477,-1.477,-1.477,0.000,-1.477,-1.477,-1.477,-1.477,1,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta X,-1.291,0.252,-0.520,0.771,-0.520,-0.905,-0.133,-1.039,2,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta X,0.779,0.812,0.796,0.017,0.796,0.788,0.804,1.592,2,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta X,-0.756,-0.728,-0.742,0.014,-0.742,-0.749,-0.735,-1.483,2,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta X,0.749,0.886,0.817,0.068,0.817,0.783,0.852,1.635,2,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta Y,-0.617,-0.617,-0.617,0.000,-0.617,-0.617,-0.617,-0.617,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta Y,0.233,0.233,0.233,0.000,0.233,0.233,0.233,0.233,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta Y,0.475,0.475,0.475,0.000,0.475,0.475,0.475,0.475,1,µm,Surface,,,Displacement Delta,,,27,
Displacement Delta Y,-0.919,-0.919,-0.919,0.000,-0.919,-0.919,-0.919,-0.919,1,µm,Surface,,,Displacement Delta,,,28,
Displacement Delta Y,-1.061,0.000,-0.531,0.531,-0.531,-0.796,-0.265,-1.061,2,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta Y,-0.312,-0.312,-0.312,0.000,-0.312,-0.312,-0.312,-0.312,1,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta Y,1.431,1.710,1.571,0.140,1.571,1.501,1.641,3.141,2,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta Y,1.082,1.100,1.091,0.009,1.091,1.087,1.096,2.183,2,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta Y,1.884,1.907,1.896,0.011,1.896,1.890,1.901,3.792,2,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta Y,1.077,1.098,1.088,0.010,1.088,1.083,1.093,2.176,2,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta Z,1.068,1.068,1.068,0.000,1.068,1.068,1.068,1.068,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta Z,2.105,2.105,2.105,0.000,2.105,2.105,2.105,2.105,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta Z,1.573,1.573,1.573,0.000,1.573,1.573,1.573,1.573,1,µm,Surface,,,Displacement Delta,,,27,
Displacement Delta Z,1.796,1.796,1.796,0.000,1.796,1.796,1.796,1.796,1,µm,Surface,,,Displacement Delta,,,28,
Displacement Delta Z,0.000,0.554,0.277,0.277,0.277,0.139,0.416,0.554,2,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta Z,0.365,0.365,0.365,0.000,0.365,0.365,0.365,0.365,1,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta Z,0.851,1.071,0.961,0.110,0.961,0.906,1.016,1.922,2,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta Z,1.373,1.383,1.378,0.005,1.378,1.375,1.380,2.756,2,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta Z,0.336,0.480,0.408,0.072,0.408,0.372,0.444,0.816,2,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta Z,-0.021,0.073,0.026,0.047,0.026,0.003,0.050,0.053,2,µm,Surface,,,Displacement Delta,,,34,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,24,
Displacement Length,1.244,1.244,1.244,0.000,1.244,1.244,1.244,1.244,1,µm,Surface,,,,,,25,
Displacement Length,3.209,3.209,3.209,0.000,3.209,3.209,3.209,3.209,1,µm,Surface,,,,,,26,
Displacement Length,4.941,4.941,4.941,0.000,4.941,4.941,4.941,4.941,1,µm,Surface,,,,,,27,
Displacement Length,6.632,6.632,6.632,0.000,6.632,6.632,6.632,6.632,1,µm,Surface,,,,,,28,
Displacement Length,0.000,7.345,3.673,3.673,3.673,1.838,5.510,7.345,2,µm,Surface,,,,,,29,
Displacement Length,7.894,7.894,7.894,0.000,7.894,7.894,7.894,7.894,1,µm,Surface,,,,,,30,
Displacement Length,2.205,8.397,5.301,3.096,5.301,3.753,6.849,10.602,2,µm,Surface,,,,,,31,
Displacement Length,3.563,9.707,6.635,3.072,6.635,5.101,8.173,13.270,2,µm,Surface,,,,,,32,
Displacement Length,5.451,10.377,7.914,2.463,7.914,6.683,9.146,15.828,2,µm,Surface,,,,,,33,
