
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,51.136,51.136,51.136,0.000,51.136,51.136,51.136,51.136,1,µm^2,Surface,,,,,,25,
Area,77.945,77.945,77.945,0.000,77.945,77.945,77.945,77.945,1,µm^2,Surface,,,,,,26,
Area,64.913,64.913,64.913,0.000,64.913,64.913,64.913,64.913,1,µm^2,Surface,,,,,,27,
Area,76.273,76.273,76.273,0.000,76.273,76.273,76.273,76.273,1,µm^2,Surface,,,,,,28,
Area,70.917,70.917,70.917,0.000,70.917,70.917,70.917,70.917,1,µm^2,Surface,,,,,,29,
Area,0.305,87.866,44.085,43.780,44.085,22.172,65.953,88.171,2,µm^2,Surface,,,,,,30,
Area,4.211,64.891,34.551,30.340,34.551,19.375,49.719,69.102,2,µm^2,Surface,,,,,,31,
Area,8.663,56.955,32.809,24.146,32.809,20.742,44.883,65.619,2,µm^2,Surface,,,,,,32,
Area,10.231,43.988,27.109,16.879,27.109,18.672,35.547,54.219,2,µm^2,Surface,,,,,,33,
Area,6.045,100.820,53.433,47.388,53.433,29.734,77.141,106.866,2,µm^2,Surface,,,,,,34,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,25,
Class Duration,119.957,119.957,119.957,0.000,119.957,119.957,119.957,119.957,1,s,Surface,,Set 1::Class B,,,,26,
Class Duration,119.957,119.957,119.957,0.000,119.957,119.957,119.957,119.957,1,s,Surface,,Set 1::Class B,,,,27,
Class Duration,119.957,119.957,119.957,0.000,119.957,119.957,119.957,119.957,1,s,Surface,,Set 1::Class B,,,,28,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,29,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,30,
Class Duration,240.069,240.069,240.069,0.000,240.069,240.069,240.069,240.069,1,s,Surface,,Set 1::Class B,,,,30,
Class Duration,119.979,240.069,180.024,60.045,180.024,150.000,210.062,360.048,2,s,Surface,,Set 1::Class B,,,,31,
Class Duration,119.979,240.069,180.024,60.045,180.024,150.000,210.062,360.048,2,s,Surface,,Set 1::Class B,,,,32,
Class Duration,119.979,240.069,180.024,60.045,180.024,150.000,210.062,360.048,2,s,Surface,,Set 1::Class B,,,,33,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,34,
Class Duration,240.069,240.069,240.069,0.000,240.069,240.069,240.069,240.069,1,s,Surface,,Set 1::Class B,,,,34,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,25,
Displacement Delta Length,2.157,2.157,2.157,0.000,2.157,2.157,2.157,2.157,1,µm,Surface,,,,,,26,
Displacement Delta Length,1.811,1.811,1.811,0.000,1.811,1.811,1.811,1.811,1,µm,Surface,,,,,,27,
Displacement Delta Length,0.789,0.789,0.789,0.000,0.789,0.789,0.789,0.789,1,µm,Surface,,,,,,28,
Displacement Delta Length,0.756,0.756,0.756,0.000,0.756,0.756,0.756,0.756,1,µm,Surface,,,,,,29,
Displacement Delta Length,0.000,1.351,0.676,0.676,0.676,0.338,1.013,1.351,2,µm,Surface,,,,,,30,
Displacement Delta Length,1.383,1.751,1.567,0.184,1.567,1.475,1.660,3.135,2,µm,Surface,,,,,,31,
Displacement Delta Length,1.214,1.234,1.224,0.010,1.224,1.219,1.229,2.448,2,µm,Surface,,,,,,32,
Displacement Delta Length,2.369,2.402,2.386,0.016,2.386,2.377,2.394,4.771,2,µm,Surface,,,,,,33,
Displacement Delta Length,0.865,2.404,1.634,0.769,1.634,1.250,2.019,3.269,2,µm,Surface,,,,,,34,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta X,-2.053,-2.053,-2.053,0.000,-2.053,-2.053,-2.053,-2.053,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta X,-0.951,-0.951,-0.951,0.000,-0.951,-0.951,-0.951,-0.951,1,µm,Surface,,,Displacement Delta,,,27,
Displacement Delta X,-0.605,-0.605,-0.605,0.000,-0.605,-0.605,-0.605,-0.605,1,µm,Surface,,,Displacement Delta,,,28,
Displacement Delta X,0.752,0.752,0.752,0.000,0.752,0.752,0.752,0.752,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta X,-1.304,0.000,-0.652,0.652,-0.652,-0.977,-0.325,-1.304,2,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta X,-1.603,-1.247,-1.425,0.178,-1.425,-1.514,-1.336,-2.850,2,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta X,0.256,0.935,0.595,0.339,0.595,0.426,0.765,1.190,2,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta X,-1.613,-1.561,-1.587,0.026,-1.587,-1.600,-1.574,-3.174,2,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta X,0.288,2.197,1.243,0.955,1.243,0.766,1.720,2.485,2,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta Y,0.122,0.122,0.122,0.000,0.122,0.122,0.122,0.122,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta Y,1.201,1.201,1.201,0.000,1.201,1.201,1.201,1.201,1,µm,Surface,,,Displacement Delta,,,27,
Displacement Delta Y,0.024,0.024,0.024,0.000,0.024,0.024,0.024,0.024,1,µm,Surface,,,Displacement Delta,,,28,
Displacement Delta Y,-0.072,-0.072,-0.072,0.000,-0.072,-0.072,-0.072,-0.072,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta Y,-0.351,0.000,-0.176,0.176,-0.176,-0.263,-0.088,-0.351,2,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta Y,-0.677,0.599,-0.039,0.638,-0.039,-0.358,0.280,-0.078,2,µm,Surface,,,Displacement Delta,,,31,
