
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,57.666,57.666,57.666,0.000,57.666,57.666,57.666,57.666,1,µm^2,Surface,,,,,,9,
Area,103.488,103.488,103.488,0.000,103.488,103.488,103.488,103.488,1,µm^2,Surface,,,,,,10,
Area,110.746,110.746,110.746,0.000,110.746,110.746,110.746,110.746,1,µm^2,Surface,,,,,,11,
Area,136.066,136.066,136.066,0.000,136.066,136.066,136.066,136.066,1,µm^2,Surface,,,,,,12,
Area,156.255,156.255,156.255,0.000,156.255,156.255,156.255,156.255,1,µm^2,Surface,,,,,,13,
Area,178.466,178.466,178.466,0.000,178.466,178.466,178.466,178.466,1,µm^2,Surface,,,,,,14,
Area,161.433,161.433,161.433,0.000,161.433,161.433,161.433,161.433,1,µm^2,Surface,,,,,,15,
Area,112.239,112.239,112.239,0.000,112.239,112.239,112.239,112.239,1,µm^2,Surface,,,,,,16,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,9,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,10,
Class Duration,59.984,59.984,59.984,0.000,59.984,59.984,59.984,59.984,1,s,Surface,,Set 1::Class A,,,,11,
Class Duration,59.984,59.984,59.984,0.000,59.984,59.984,59.984,59.984,1,s,Surface,,Set 1::Class A,,,,12,
Class Duration,60.001,60.001,60.001,0.000,60.001,60.001,60.001,60.001,1,s,Surface,,Set 1::Class B,,,,13,
Class Duration,60.001,60.001,60.001,0.000,60.001,60.001,60.001,60.001,1,s,Surface,,Set 1::Class B,,,,14,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,9,
Displacement Delta Length,2.202,2.202,2.202,0.000,2.202,2.202,2.202,2.202,1,µm,Surface,,,,,,10,
Displacement Delta Length,0.528,0.528,0.528,0.000,0.528,0.528,0.528,0.528,1,µm,Surface,,,,,,11,
Displacement Delta Length,0.859,0.859,0.859,0.000,0.859,0.859,0.859,0.859,1,µm,Surface,,,,,,12,
Displacement Delta Length,1.925,1.925,1.925,0.000,1.925,1.925,1.925,1.925,1,µm,Surface,,,,,,13,
Displacement Delta Length,1.235,1.235,1.235,0.000,1.235,1.235,1.235,1.235,1,µm,Surface,,,,,,14,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,15,
Displacement Delta Length,0.497,0.497,0.497,0.000,0.497,0.497,0.497,0.497,1,µm,Surface,,,,,,16,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Delta X,-1.187,-1.187,-1.187,0.000,-1.187,-1.187,-1.187,-1.187,1,µm,Surface,,,Displacement Delta,,,10,
Displacement Delta X,0.087,0.087,0.087,0.000,0.087,0.087,0.087,0.087,1,µm,Surface,,,Displacement Delta,,,11,
Displacement Delta X,-0.243,-0.243,-0.243,0.000,-0.243,-0.243,-0.243,-0.243,1,µm,Surface,,,Displacement Delta,,,12,
Displacement Delta X,-1.498,-1.498,-1.498,0.000,-1.498,-1.498,-1.498,-1.498,1,µm,Surface,,,Displacement Delta,,,13,
Displacement Delta X,-1.196,-1.196,-1.196,0.000,-1.196,-1.196,-1.196,-1.196,1,µm,Surface,,,Displacement Delta,,,14,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta X,-0.335,-0.335,-0.335,0.000,-0.335,-0.335,-0.335,-0.335,1,µm,Surface,,,Displacement Delta,,,16,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Delta Y,-1.838,-1.838,-1.838,0.000,-1.838,-1.838,-1.838,-1.838,1,µm,Surface,,,Displacement Delta,,,10,
Displacement Delta Y,0.175,0.175,0.175,0.000,0.175,0.175,0.175,0.175,1,µm,Surface,,,Displacement Delta,,,11,
Displacement Delta Y,0.681,0.681,0.681,0.000,0.681,0.681,0.681,0.681,1,µm,Surface,,,Displacement Delta,,,12,
Displacement Delta Y,0.172,0.172,0.172,0.000,0.172,0.172,0.172,0.172,1,µm,Surface,,,Displacement Delta,,,13,
Displacement Delta Y,0.108,0.108,0.108,0.000,0.108,0.108,0.108,0.108,1,µm,Surface,,,Displacement Delta,,,14,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta Y,-0.360,-0.360,-0.360,0.000,-0.360,-0.360,-0.360,-0.360,1,µm,Surface,,,Displacement Delta,,,16,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Delta Z,-0.249,-0.249,-0.249,0.000,-0.249,-0.249,-0.249,-0.249,1,µm,Surface,,,Displacement Delta,,,10,
Displacement Delta Z,-0.490,-0.490,-0.490,0.000,-0.490,-0.490,-0.490,-0.490,1,µm,Surface,,,Displacement Delta,,,11,
Displacement Delta Z,-0.463,-0.463,-0.463,0.000,-0.463,-0.463,-0.463,-0.463,1,µm,Surface,,,Displacement Delta,,,12,
Displacement Delta Z,-1.196,-1.196,-1.196,0.000,-1.196,-1.196,-1.196,-1.196,1,µm,Surface,,,Displacement Delta,,,13,
Displacement Delta Z,-0.286,-0.286,-0.286,0.000,-0.286,-0.286,-0.286,-0.286,1,µm,Surface,,,Displacement Delta,,,14,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta Z,-0.071,-0.071,-0.071,0.000,-0.071,-0.071,-0.071,-0.071,1,µm,Surface,,,Displacement Delta,,,16,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,9,
Displacement Length,2.202,2.202,2.202,0.000,2.202,2.202,2.202,2.202,1,µm,Surface,,,,,,10,
Displacement Length,2.126,2.126,2.126,0.000,2.126,2.126,2.126,2.126,1,µm,Surface,,,,,,11,
Displacement Length,2.052,2.052,2.052,0.000,2.052,2.052,2.052,2.052,1,µm,Surface,,,,,,12,
Displacement Length,3.805,3.805,3.805,0.000,3.805,3.805,3.805,3.805,1,µm,Surface,,,,,,13,
Displacement Length,4.899,4.899,4.899,0.000,4.899,4.899,4.899,4.899,1,µm,Surface,,,,,,14,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,15,
Displacement Length,0.497,0.497,0.497,0.000,0.497,0.497,0.497,0.497,1,µm,Surface,,,,,,16,
Distance from Origin,12624.998,12624.998,12624.998,0.000,12624.998,12624.998,12624.998,12624.998,1,µm,Surface,,,Distance from Origin,,,9,
Distance from Origin,12625.280,12625.280,12625.280,0.000,12625.280,12625.280,12625.280,12625.280,1,µm,Surface,,,Distance from Origin,,,10,
Distance from Origin,12624.911,12624.911,12624.911,0.000,12624.911,12624.911,12624.911,12624.911,1,µm,Surface,,,Distance from Origin,,,11,
Distance from Origin,12624.889,12624.889,12624.889,0.000,12624.889,12624.889,12624.889,12624.889,1,µm,Surface,,,Distance from Origin,,,12,
Distance from Origin,12625.115,12625.115,12625.115,0.000,12625.115,12625.115,12625.115,12625.115,1,µm,Surface,,,Distance from Origin,,,13,
Distance from Origin,12625.759,12625.759,12625.759,0.000,12625.759,12625.759,12625.759,12625.759,1,µm,Surface,,,Distance from Origin,,,14,
Distance from Origin,12629.568,12629.568,12629.568,0.000,12629.568,12629.568,12629.568,12629.568,1,µm,Surface,,,Distance from Origin,,,15,
Distance from Origin,12629.679,12629.679,12629.679,0.000,12629.679,12629.679,12629.679,12629.679,1,µm,Surface,,,Distance from Origin,,,16,
Distance to Image Border XY,14.889,14.889,14.889,0.000,14.889,14.889,14.889,14.889,1,µm,Surface,,,,Image 1,,9,
Distance to Image Border XY,15.892,15.892,15.892,0.000,15.892,15.892,15.892,15.892,1,µm,Surface,,,,Image 1,,10,
Distance to Image Border XY,15.612,15.612,15.612,0.000,15.612,15.612,15.612,15.612,1,µm,Surface,,,,Image 1,,11,
Distance to Image Border XY,14.619,14.619,14.619,0.000,14.619,14.619,14.619,14.619,1,µm,Surface,,,,Image 1,,12,
Distance to Image Border XY,14.342,14.342,14.342,0.000,14.342,14.342,14.342,14.342,1,µm,Surface,,,,Image 1,,13,
Distance to Image Border XY,14.025,14.025,14.025,0.000,14.025,14.025,14.025,14.025,1,µm,Surface,,,,Image 1,,14,
Distance to Image Border XY,12.526,12.526,12.526,0.000,12.526,12.526,12.526,12.526,1,µm,Surface,,,,Image 1,,15,
Distance to Image Border XY,14.034,14.034,14.034,0.000,14.034,14.034,14.034,14.034,1,µm,Surface,,,,Image 1,,16,
Ellipticity (oblate),0.547,0.547,0.547,0.000,0.547,0.547,0.547,0.547,1,,Surface,,,,,,9,
Ellipticity (oblate),0.196,0.196,0.196,0.000,0.196,0.196,0.196,0.196,1,,Surface,,,,,,10,
Ellipticity (oblate),0.203,0.203,0.203,0.000,0.203,0.203,0.203,0.203,1,,Surface,,,,,,11,
Ellipticity (oblate),0.189,0.189,0.189,0.000,0.189,0.189,0.189,0.189,1,,Surface,,,,,,12,
Ellipticity (oblate),0.188,0.188,0.188,0.000,0.188,0.188,0.188,0.188,1,,Surface,,,,,,13,
Ellipticity (oblate),0.130,0.130,0.130,0.000,0.130,0.130,0.130,0.130,1,,Surface,,,,,,14,
Ellipticity (oblate),0.291,0.291,0.291,0.000,0.291,0.291,0.291,0.291,1,,Surface,,,,,,15,
Ellipticity (oblate),0.262,0.262,0.262,0.000,0.262,0.262,0.262,0.262,1,,Surface,,,,,,16,
Ellipticity (prolate),0.314,0.314,0.314,0.000,0.314,0.314,0.314,0.314,1,,Surface,,,,,,9,
Ellipticity (prolate),0.115,0.115,0.115,0.000,0.115,0.115,0.115,0.115,1,,Surface,,,,,,10,
Ellipticity (prolate),0.151,0.151,0.151,0.000,0.151,0.151,0.151,0.151,1,,Surface,,,,,,11,
Ellipticity (prolate),0.229,0.229,0.229,0.000,0.229,0.229,0.229,0.229,1,,Surface,,,,,,12,
Ellipticity (prolate),0.127,0.127,0.127,0.000,0.127,0.127,0.127,0.127,1,,Surface,,,,,,13,
Ellipticity (prolate),0.110,0.110,0.110,0.000,0.110,0.110,0.110,0.110,1,,Surface,,,,,,14,
Ellipticity (prolate),0.287,0.287,0.287,0.000,0.287,0.287,0.287,0.287,1,,Surface,,,,,,15,
Ellipticity (prolate),0.686,0.686,0.686,0.000,0.686,0.686,0.686,0.686,1,,Surface,,,,,,16,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,9,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,10,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,11,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,12,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,13,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,14,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,15,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,16,
Intensity Max,258.000,258.000,258.000,0.000,258.000,258.000,258.000,258.000,1,,Surface,1,,,Image 1,,9,
Intensity Max,303.000,303.000,303.000,0.000,303.000,303.000,303.000,303.000,1,,Surface,1,,,Image 1,,10,
Intensity Max,273.000,273.000,273.000,0.000,273.000,273.000,273.000,273.000,1,,Surface,1,,,Image 1,,11,
Intensity Max,416.000,416.000,416.000,0.000,416.000,416.000,416.000,416.000,1,,Surface,1,,,Image 1,,12,
Intensity Max,980.000,980.000,980.000,0.000,980.000,980.000,980.000,980.000,1,,Surface,1,,,Image 1,,13,
Intensity Max,1437.000,1437.000,1437.000,0.000,1437.000,1437.000,1437.000,1437.000,1,,Surface,1,,,Image 1,,14,
Intensity Max,1414.000,1414.000,1414.000,0.000,1414.000,1414.000,1414.000,1414.000,1,,Surface,1,,,Image 1,,15,
Intensity Max,926.000,926.000,926.000,0.000,926.000,926.000,926.000,926.000,1,,Surface,1,,,Image 1,,16,
Intensity Mean,140.931,140.931,140.931,0.000,140.931,140.931,140.931,140.931,1,,Surface,1,,,Image 1,,9,
Intensity Mean,144.296,144.296,144.296,0.000,144.296,144.296,144.296,144.296,1,,Surface,1,,,Image 1,,10,
Intensity Mean,139.353,139.353,139.353,0.000,139.353,139.353,139.353,139.353,1,,Surface,1,,,Image 1,,11,
Intensity Mean,142.450,142.450,142.450,0.000,142.450,142.450,142.450,142.450,1,,Surface,1,,,Image 1,,12,
Intensity Mean,145.258,145.258,145.258,0.000,145.258,145.258,145.258,145.258,1,,Surface,1,,,Image 1,,13,
Intensity Mean,148.775,148.775,148.775,0.000,148.775,148.775,148.775,148.775,1,,Surface,1,,,Image 1,,14,
Intensity Mean,139.701,139.701,139.701,0.000,139.701,139.701,139.701,139.701,1,,Surface,1,,,Image 1,,15,
Intensity Mean,127.001,127.001,127.001,0.000,127.001,127.001,127.001,127.001,1,,Surface,1,,,Image 1,,16,
Intensity Median,138.062,138.062,138.062,0.000,138.062,138.062,138.062,138.062,1,,Surface,1,,,Image 1,,9,
Intensity Median,141.062,141.062,141.062,0.000,141.062,141.062,141.062,141.062,1,,Surface,1,,,Image 1,,10,
Intensity Median,136.062,136.062,136.062,0.000,136.062,136.062,136.062,136.062,1,,Surface,1,,,Image 1,,11,
Intensity Median,139.125,139.125,139.125,0.000,139.125,139.125,139.125,139.125,1,,Surface,1,,,Image 1,,12,
Intensity Median,140.250,140.250,140.250,0.000,140.250,140.250,140.250,140.250,1,,Surface,1,,,Image 1,,13,
Intensity Median,142.500,142.500,142.500,0.000,142.500,142.500,142.500,142.500,1,,Surface,1,,,Image 1,,14,
Intensity Median,131.500,131.500,131.500,0.000,131.500,131.500,131.500,131.500,1,,Surface,1,,,Image 1,,15,
Intensity Median,118.250,118.250,118.250,0.000,118.250,118.250,118.250,118.250,1,,Surface,1,,,Image 1,,16,
Intensity Min,79.000,79.000,79.000,0.000,79.000,79.000,79.000,79.000,1,,Surface,1,,,Image 1,,9,
Intensity Min,85.000,85.000,85.000,0.000,85.000,85.000,85.000,85.000,1,,Surface,1,,,Image 1,,10,
Intensity Min,82.000,82.000,82.000,0.000,82.000,82.000,82.000,82.000,1,,Surface,1,,,Image 1,,11,
Intensity Min,77.000,77.000,77.000,0.000,77.000,77.000,77.000,77.000,1,,Surface,1,,,Image 1,,12,
Intensity Min,79.000,79.000,79.000,0.000,79.000,79.000,79.000,79.000,1,,Surface,1,,,Image 1,,13,
Intensity Min,59.000,59.000,59.000,0.000,59.000,59.000,59.000,59.000,1,,Surface,1,,,Image 1,,14,
