
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,60.324,60.324,60.324,0.000,60.324,60.324,60.324,60.324,1,µm^2,Surface,,,,,,26,
Area,56.402,56.402,56.402,0.000,56.402,56.402,56.402,56.402,1,µm^2,Surface,,,,,,27,
Area,61.181,61.181,61.181,0.000,61.181,61.181,61.181,61.181,1,µm^2,Surface,,,,,,29,
Area,96.667,96.667,96.667,0.000,96.667,96.667,96.667,96.667,1,µm^2,Surface,,,,,,30,
Area,2.718,2.718,2.718,0.000,2.718,2.718,2.718,2.718,1,µm^2,Surface,,,,,,31,
Area,4.223,4.223,4.223,0.000,4.223,4.223,4.223,4.223,1,µm^2,Surface,,,,,,32,
Area,4.911,4.911,4.911,0.000,4.911,4.911,4.911,4.911,1,µm^2,Surface,,,,,,33,
Area,10.225,10.225,10.225,0.000,10.225,10.225,10.225,10.225,1,µm^2,Surface,,,,,,34,
Area,12.594,12.594,12.594,0.000,12.594,12.594,12.594,12.594,1,µm^2,Surface,,,,,,35,
Class Duration,59.972,59.972,59.972,0.000,59.972,59.972,59.972,59.972,1,s,Surface,,Set 1::Class A,,,,26,
Class Duration,59.972,59.972,59.972,0.000,59.972,59.972,59.972,59.972,1,s,Surface,,Set 1::Class A,,,,27,
Class Duration,59.908,59.908,59.908,0.000,59.908,59.908,59.908,59.908,1,s,Surface,,Set 1::Class B,,,,29,
Class Duration,59.908,59.908,59.908,0.000,59.908,59.908,59.908,59.908,1,s,Surface,,Set 1::Class B,,,,30,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,31,
Class Duration,59.969,59.969,59.969,0.000,59.969,59.969,59.969,59.969,1,s,Surface,,Set 1::Class B,,,,32,
Class Duration,59.969,59.969,59.969,0.000,59.969,59.969,59.969,59.969,1,s,Surface,,Set 1::Class B,,,,33,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,34,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,35,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,26,
Displacement Delta Length,0.720,0.720,0.720,0.000,0.720,0.720,0.720,0.720,1,µm,Surface,,,,,,27,
Displacement Delta Length,1.583,1.583,1.583,0.000,1.583,1.583,1.583,1.583,1,µm,Surface,,,,,,29,
Displacement Delta Length,1.063,1.063,1.063,0.000,1.063,1.063,1.063,1.063,1,µm,Surface,,,,,,30,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,31,
Displacement Delta Length,1.451,1.451,1.451,0.000,1.451,1.451,1.451,1.451,1,µm,Surface,,,,,,32,
Displacement Delta Length,2.129,2.129,2.129,0.000,2.129,2.129,2.129,2.129,1,µm,Surface,,,,,,33,
Displacement Delta Length,0.683,0.683,0.683,0.000,0.683,0.683,0.683,0.683,1,µm,Surface,,,,,,34,
Displacement Delta Length,2.136,2.136,2.136,0.000,2.136,2.136,2.136,2.136,1,µm,Surface,,,,,,35,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta X,-0.426,-0.426,-0.426,0.000,-0.426,-0.426,-0.426,-0.426,1,µm,Surface,,,Displacement Delta,,,27,
Displacement Delta X,-1.122,-1.122,-1.122,0.000,-1.122,-1.122,-1.122,-1.122,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta X,0.878,0.878,0.878,0.000,0.878,0.878,0.878,0.878,1,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta X,-0.182,-0.182,-0.182,0.000,-0.182,-0.182,-0.182,-0.182,1,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta X,0.856,0.856,0.856,0.000,0.856,0.856,0.856,0.856,1,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta X,0.397,0.397,0.397,0.000,0.397,0.397,0.397,0.397,1,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta X,1.043,1.043,1.043,0.000,1.043,1.043,1.043,1.043,1,µm,Surface,,,Displacement Delta,,,35,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta Y,0.531,0.531,0.531,0.000,0.531,0.531,0.531,0.531,1,µm,Surface,,,Displacement Delta,,,27,
Displacement Delta Y,0.686,0.686,0.686,0.000,0.686,0.686,0.686,0.686,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta Y,-0.030,-0.030,-0.030,0.000,-0.030,-0.030,-0.030,-0.030,1,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta Y,-1.025,-1.025,-1.025,0.000,-1.025,-1.025,-1.025,-1.025,1,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta Y,-1.715,-1.715,-1.715,0.000,-1.715,-1.715,-1.715,-1.715,1,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta Y,0.249,0.249,0.249,0.000,0.249,0.249,0.249,0.249,1,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta Y,0.295,0.295,0.295,0.000,0.295,0.295,0.295,0.295,1,µm,Surface,,,Displacement Delta,,,35,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta Z,-0.234,-0.234,-0.234,0.000,-0.234,-0.234,-0.234,-0.234,1,µm,Surface,,,Displacement Delta,,,27,
Displacement Delta Z,0.881,0.881,0.881,0.000,0.881,0.881,0.881,0.881,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta Z,-0.599,-0.599,-0.599,0.000,-0.599,-0.599,-0.599,-0.599,1,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta Z,1.010,1.010,1.010,0.000,1.010,1.010,1.010,1.010,1,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta Z,0.926,0.926,0.926,0.000,0.926,0.926,0.926,0.926,1,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta Z,-0.496,-0.496,-0.496,0.000,-0.496,-0.496,-0.496,-0.496,1,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta Z,-1.841,-1.841,-1.841,0.000,-1.841,-1.841,-1.841,-1.841,1,µm,Surface,,,Displacement Delta,,,35,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,26,
Displacement Length,0.720,0.720,0.720,0.000,0.720,0.720,0.720,0.720,1,µm,Surface,,,,,,27,
Displacement Length,2.073,2.073,2.073,0.000,2.073,2.073,2.073,2.073,1,µm,Surface,,,,,,29,
Displacement Length,1.365,1.365,1.365,0.000,1.365,1.365,1.365,1.365,1,µm,Surface,,,,,,30,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,31,
Displacement Length,1.451,1.451,1.451,0.000,1.451,1.451,1.451,1.451,1,µm,Surface,,,,,,32,
Displacement Length,3.422,3.422,3.422,0.000,3.422,3.422,3.422,3.422,1,µm,Surface,,,,,,33,
Displacement Length,3.070,3.070,3.070,0.000,3.070,3.070,3.070,3.070,1,µm,Surface,,,,,,34,
Displacement Length,3.075,3.075,3.075,0.000,3.075,3.075,3.075,3.075,1,µm,Surface,,,,,,35,
Distance from Origin,12635.812,12635.812,12635.812,0.000,12635.812,12635.812,12635.812,12635.812,1,µm,Surface,,,Distance from Origin,,,26,
Distance from Origin,12636.045,12636.045,12636.045,0.000,12636.045,12636.045,12636.045,12636.045,1,µm,Surface,,,Distance from Origin,,,27,
Distance from Origin,12637.566,12637.566,12637.566,0.000,12637.566,12637.566,12637.566,12637.566,1,µm,Surface,,,Distance from Origin,,,29,
Distance from Origin,12636.539,12636.539,12636.539,0.000,12636.539,12636.539,12636.539,12636.539,1,µm,Surface,,,Distance from Origin,,,30,
Distance from Origin,12637.970,12637.970,12637.970,0.000,12637.970,12637.970,12637.970,12637.970,1,µm,Surface,,,Distance from Origin,,,31,
Distance from Origin,12638.601,12638.601,12638.601,0.000,12638.601,12638.601,12638.601,12638.601,1,µm,Surface,,,Distance from Origin,,,32,
Distance from Origin,12638.324,12638.324,12638.324,0.000,12638.324,12638.324,12638.324,12638.324,1,µm,Surface,,,Distance from Origin,,,33,
Distance from Origin,12637.752,12637.752,12637.752,0.000,12637.752,12637.752,12637.752,12637.752,1,µm,Surface,,,Distance from Origin,,,34,
Distance from Origin,12635.806,12635.806,12635.806,0.000,12635.806,12635.806,12635.806,12635.806,1,µm,Surface,,,Distance from Origin,,,35,
Distance to Image Border XY,18.218,18.218,18.218,0.000,18.218,18.218,18.218,18.218,1,µm,Surface,,,,Image 1,,26,
Distance to Image Border XY,17.895,17.895,17.895,0.000,17.895,17.895,17.895,17.895,1,µm,Surface,,,,Image 1,,27,
Distance to Image Border XY,17.208,17.208,17.208,0.000,17.208,17.208,17.208,17.208,1,µm,Surface,,,,Image 1,,29,
Distance to Image Border XY,16.508,16.508,16.508,0.000,16.508,16.508,16.508,16.508,1,µm,Surface,,,,Image 1,,30,
Distance to Image Border XY,21.179,21.179,21.179,0.000,21.179,21.179,21.179,21.179,1,µm,Surface,,,,Image 1,,31,
Distance to Image Border XY,21.834,21.834,21.834,0.000,21.834,21.834,21.834,21.834,1,µm,Surface,,,,Image 1,,32,
Distance to Image Border XY,22.586,22.586,22.586,0.000,22.586,22.586,22.586,22.586,1,µm,Surface,,,,Image 1,,33,
Distance to Image Border XY,22.775,22.775,22.775,0.000,22.775,22.775,22.775,22.775,1,µm,Surface,,,,Image 1,,34,
Distance to Image Border XY,22.958,22.958,22.958,0.000,22.958,22.958,22.958,22.958,1,µm,Surface,,,,Image 1,,35,
Ellipticity (oblate),0.351,0.351,0.351,0.000,0.351,0.351,0.351,0.351,1,,Surface,,,,,,26,
Ellipticity (oblate),0.186,0.186,0.186,0.000,0.186,0.186,0.186,0.186,1,,Surface,,,,,,27,
Ellipticity (oblate),0.293,0.293,0.293,0.000,0.293,0.293,0.293,0.293,1,,Surface,,,,,,29,
Ellipticity (oblate),0.379,0.379,0.379,0.000,0.379,0.379,0.379,0.379,1,,Surface,,,,,,30,
Ellipticity (oblate),0.204,0.204,0.204,0.000,0.204,0.204,0.204,0.204,1,,Surface,,,,,,31,
Ellipticity (oblate),0.233,0.233,0.233,0.000,0.233,0.233,0.233,0.233,1,,Surface,,,,,,32,
Ellipticity (oblate),0.415,0.415,0.415,0.000,0.415,0.415,0.415,0.415,1,,Surface,,,,,,33,
