
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,26.388,83.070,54.729,28.341,54.729,40.562,68.906,109.458,2,µm^2,Surface,,,,,,13,
Area,85.791,124.161,104.976,19.185,104.976,95.391,114.578,209.951,2,µm^2,Surface,,,,,,14,
Area,103.659,112.004,107.831,4.172,107.831,105.746,109.918,215.663,2,µm^2,Surface,,,,,,15,
Area,105.361,147.706,126.533,21.172,126.533,115.945,137.117,253.066,2,µm^2,Surface,,,,,,16,
Area,128.985,188.230,158.607,29.622,158.607,143.797,173.422,317.214,2,µm^2,Surface,,,,,,17,
Area,127.287,179.922,153.604,26.318,153.604,140.453,166.766,307.208,2,µm^2,Surface,,,,,,18,
Area,141.800,197.751,169.775,27.975,169.775,155.789,183.773,339.550,2,µm^2,Surface,,,,,,19,
Area,131.714,180.600,156.157,24.443,156.157,143.930,168.383,312.314,2,µm^2,Surface,,,,,,20,
Area,120.108,173.524,146.816,26.708,146.816,133.461,160.164,293.632,2,µm^2,Surface,,,,,,21,
Area,116.262,116.262,116.262,0.000,116.262,116.262,116.262,116.262,1,µm^2,Surface,,,,,,22,
Area,71.347,71.347,71.347,0.000,71.347,71.347,71.347,71.347,1,µm^2,Surface,,,,,,23,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,13,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,14,
Class Duration,59.964,59.964,59.964,0.000,59.964,59.964,59.964,59.964,1,s,Surface,,Set 1::Class A,,,,15,
Class Duration,59.964,59.964,59.964,0.000,59.964,59.964,59.964,59.964,1,s,Surface,,Set 1::Class A,,,,16,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,17,
Class Duration,59.972,59.972,59.972,0.000,59.972,59.972,59.972,59.972,1,s,Surface,,Set 1::Class A,,,,18,
Class Duration,59.972,59.972,59.972,0.000,59.972,59.972,59.972,59.972,1,s,Surface,,Set 1::Class A,,,,19,
