
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,0.010,0.010,0.010,0.000,0.010,0.010,0.010,0.010,1,µm^2,Surface,,,,,,13,
Area,52.271,52.271,52.271,0.000,52.271,52.271,52.271,52.271,1,µm^2,Surface,,,,,,14,
Area,79.597,79.597,79.597,0.000,79.597,79.597,79.597,79.597,1,µm^2,Surface,,,,,,15,
Area,80.385,80.385,80.385,0.000,80.385,80.385,80.385,80.385,1,µm^2,Surface,,,,,,16,
Area,84.248,84.248,84.248,0.000,84.248,84.248,84.248,84.248,1,µm^2,Surface,,,,,,17,
Area,105.121,105.121,105.121,0.000,105.121,105.121,105.121,105.121,1,µm^2,Surface,,,,,,18,
Area,93.197,93.197,93.197,0.000,93.197,93.197,93.197,93.197,1,µm^2,Surface,,,,,,19,
Area,110.635,110.635,110.635,0.000,110.635,110.635,110.635,110.635,1,µm^2,Surface,,,,,,20,
Area,128.701,128.701,128.701,0.000,128.701,128.701,128.701,128.701,1,µm^2,Surface,,,,,,21,
Area,39.848,39.848,39.848,0.000,39.848,39.848,39.848,39.848,1,µm^2,Surface,,,,,,22,
Area,37.313,37.313,37.313,0.000,37.313,37.313,37.313,37.313,1,µm^2,Surface,,,,,,23,
Area,41.158,41.158,41.158,0.000,41.158,41.158,41.158,41.158,1,µm^2,Surface,,,,,,24,
Area,71.181,71.181,71.181,0.000,71.181,71.181,71.181,71.181,1,µm^2,Surface,,,,,,25,
Area,89.686,89.686,89.686,0.000,89.686,89.686,89.686,89.686,1,µm^2,Surface,,,,,,26,
Area,68.165,68.165,68.165,0.000,68.165,68.165,68.165,68.165,1,µm^2,Surface,,,,,,27,
Area,68.753,68.753,68.753,0.000,68.753,68.753,68.753,68.753,1,µm^2,Surface,,,,,,28,
Area,62.721,62.721,62.721,0.000,62.721,62.721,62.721,62.721,1,µm^2,Surface,,,,,,29,
Area,54.428,54.428,54.428,0.000,54.428,54.428,54.428,54.428,1,µm^2,Surface,,,,,,30,
Area,33.482,33.482,33.482,0.000,33.482,33.482,33.482,33.482,1,µm^2,Surface,,,,,,31,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,13,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,14,
Class Duration,59.964,59.964,59.964,0.000,59.964,59.964,59.964,59.964,1,s,Surface,,Set 1::Class A,,,,15,
Class Duration,59.964,59.964,59.964,0.000,59.964,59.964,59.964,59.964,1,s,Surface,,Set 1::Class A,,,,16,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,17,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,18,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,19,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,20,
Class Duration,179.997,179.997,179.997,0.000,179.997,179.997,179.997,179.997,1,s,Surface,,Set 1::Class B,,,,21,
Class Duration,179.997,179.997,179.997,0.000,179.997,179.997,179.997,179.997,1,s,Surface,,Set 1::Class B,,,,22,
Class Duration,179.997,179.997,179.997,0.000,179.997,179.997,179.997,179.997,1,s,Surface,,Set 1::Class B,,,,23,
Class Duration,179.997,179.997,179.997,0.000,179.997,179.997,179.997,179.997,1,s,Surface,,Set 1::Class B,,,,24,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,13,
Displacement Delta Length,1.488,1.488,1.488,0.000,1.488,1.488,1.488,1.488,1,µm,Surface,,,,,,14,
Displacement Delta Length,0.788,0.788,0.788,0.000,0.788,0.788,0.788,0.788,1,µm,Surface,,,,,,15,
Displacement Delta Length,0.343,0.343,0.343,0.000,0.343,0.343,0.343,0.343,1,µm,Surface,,,,,,16,
Displacement Delta Length,2.251,2.251,2.251,0.000,2.251,2.251,2.251,2.251,1,µm,Surface,,,,,,17,
Displacement Delta Length,0.836,0.836,0.836,0.000,0.836,0.836,0.836,0.836,1,µm,Surface,,,,,,18,
Displacement Delta Length,1.398,1.398,1.398,0.000,1.398,1.398,1.398,1.398,1,µm,Surface,,,,,,19,
Displacement Delta Length,0.625,0.625,0.625,0.000,0.625,0.625,0.625,0.625,1,µm,Surface,,,,,,20,
Displacement Delta Length,1.217,1.217,1.217,0.000,1.217,1.217,1.217,1.217,1,µm,Surface,,,,,,21,
Displacement Delta Length,1.848,1.848,1.848,0.000,1.848,1.848,1.848,1.848,1,µm,Surface,,,,,,22,
Displacement Delta Length,1.555,1.555,1.555,0.000,1.555,1.555,1.555,1.555,1,µm,Surface,,,,,,23,
Displacement Delta Length,1.952,1.952,1.952,0.000,1.952,1.952,1.952,1.952,1,µm,Surface,,,,,,24,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,25,
Displacement Delta Length,1.570,1.570,1.570,0.000,1.570,1.570,1.570,1.570,1,µm,Surface,,,,,,26,
Displacement Delta Length,0.805,0.805,0.805,0.000,0.805,0.805,0.805,0.805,1,µm,Surface,,,,,,27,
Displacement Delta Length,1.401,1.401,1.401,0.000,1.401,1.401,1.401,1.401,1,µm,Surface,,,,,,28,
Displacement Delta Length,1.052,1.052,1.052,0.000,1.052,1.052,1.052,1.052,1,µm,Surface,,,,,,29,
Displacement Delta Length,1.872,1.872,1.872,0.000,1.872,1.872,1.872,1.872,1,µm,Surface,,,,,,30,
Displacement Delta Length,1.696,1.696,1.696,0.000,1.696,1.696,1.696,1.696,1,µm,Surface,,,,,,31,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,13,
Displacement Delta X,-1.261,-1.261,-1.261,0.000,-1.261,-1.261,-1.261,-1.261,1,µm,Surface,,,Displacement Delta,,,14,
Displacement Delta X,-0.554,-0.554,-0.554,0.000,-0.554,-0.554,-0.554,-0.554,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta X,-0.066,-0.066,-0.066,0.000,-0.066,-0.066,-0.066,-0.066,1,µm,Surface,,,Displacement Delta,,,16,
Displacement Delta X,0.169,0.169,0.169,0.000,0.169,0.169,0.169,0.169,1,µm,Surface,,,Displacement Delta,,,17,
Displacement Delta X,0.017,0.017,0.017,0.000,0.017,0.017,0.017,0.017,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta X,0.052,0.052,0.052,0.000,0.052,0.052,0.052,0.052,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta X,0.238,0.238,0.238,0.000,0.238,0.238,0.238,0.238,1,µm,Surface,,,Displacement Delta,,,20,
Displacement Delta X,-0.302,-0.302,-0.302,0.000,-0.302,-0.302,-0.302,-0.302,1,µm,Surface,,,Displacement Delta,,,21,
Displacement Delta X,1.758,1.758,1.758,0.000,1.758,1.758,1.758,1.758,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta X,0.179,0.179,0.179,0.000,0.179,0.179,0.179,0.179,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta X,-1.621,-1.621,-1.621,0.000,-1.621,-1.621,-1.621,-1.621,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta X,-1.113,-1.113,-1.113,0.000,-1.113,-1.113,-1.113,-1.113,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta X,0.138,0.138,0.138,0.000,0.138,0.138,0.138,0.138,1,µm,Surface,,,Displacement Delta,,,27,
Displacement Delta X,-0.096,-0.096,-0.096,0.000,-0.096,-0.096,-0.096,-0.096,1,µm,Surface,,,Displacement Delta,,,28,
Displacement Delta X,0.404,0.404,0.404,0.000,0.404,0.404,0.404,0.404,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta X,1.157,1.157,1.157,0.000,1.157,1.157,1.157,1.157,1,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta X,1.458,1.458,1.458,0.000,1.458,1.458,1.458,1.458,1,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,13,
Displacement Delta Y,-0.785,-0.785,-0.785,0.000,-0.785,-0.785,-0.785,-0.785,1,µm,Surface,,,Displacement Delta,,,14,
Displacement Delta Y,0.239,0.239,0.239,0.000,0.239,0.239,0.239,0.239,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta Y,0.076,0.076,0.076,0.000,0.076,0.076,0.076,0.076,1,µm,Surface,,,Displacement Delta,,,16,
Displacement Delta Y,2.245,2.245,2.245,0.000,2.245,2.245,2.245,2.245,1,µm,Surface,,,Displacement Delta,,,17,
Displacement Delta Y,0.835,0.835,0.835,0.000,0.835,0.835,0.835,0.835,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta Y,1.320,1.320,1.320,0.000,1.320,1.320,1.320,1.320,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta Y,-0.164,-0.164,-0.164,0.000,-0.164,-0.164,-0.164,-0.164,1,µm,Surface,,,Displacement Delta,,,20,
Displacement Delta Y,1.175,1.175,1.175,0.000,1.175,1.175,1.175,1.175,1,µm,Surface,,,Displacement Delta,,,21,
Displacement Delta Y,-0.289,-0.289,-0.289,0.000,-0.289,-0.289,-0.289,-0.289,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta Y,1.328,1.328,1.328,0.000,1.328,1.328,1.328,1.328,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta Y,-1.083,-1.083,-1.083,0.000,-1.083,-1.083,-1.083,-1.083,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta Y,0.179,0.179,0.179,0.000,0.179,0.179,0.179,0.179,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta Y,0.788,0.788,0.788,0.000,0.788,0.788,0.788,0.788,1,µm,Surface,,,Displacement Delta,,,27,
Displacement Delta Y,0.695,0.695,0.695,0.000,0.695,0.695,0.695,0.695,1,µm,Surface,,,Displacement Delta,,,28,
Displacement Delta Y,0.889,0.889,0.889,0.000,0.889,0.889,0.889,0.889,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta Y,1.447,1.447,1.447,0.000,1.447,1.447,1.447,1.447,1,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta Y,0.766,0.766,0.766,0.000,0.766,0.766,0.766,0.766,1,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,13,
Displacement Delta Z,0.086,0.086,0.086,0.000,0.086,0.086,0.086,0.086,1,µm,Surface,,,Displacement Delta,,,14,
Displacement Delta Z,0.507,0.507,0.507,0.000,0.507,0.507,0.507,0.507,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta Z,-0.328,-0.328,-0.328,0.000,-0.328,-0.328,-0.328,-0.328,1,µm,Surface,,,Displacement Delta,,,16,
Displacement Delta Z,0.012,0.012,0.012,0.000,0.012,0.012,0.012,0.012,1,µm,Surface,,,Displacement Delta,,,17,
Displacement Delta Z,-0.003,-0.003,-0.003,0.000,-0.003,-0.003,-0.003,-0.003,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta Z,-0.458,-0.458,-0.458,0.000,-0.458,-0.458,-0.458,-0.458,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta Z,0.554,0.554,0.554,0.000,0.554,0.554,0.554,0.554,1,µm,Surface,,,Displacement Delta,,,20,
Displacement Delta Z,0.091,0.091,0.091,0.000,0.091,0.091,0.091,0.091,1,µm,Surface,,,Displacement Delta,,,21,
Displacement Delta Z,-0.491,-0.491,-0.491,0.000,-0.491,-0.491,-0.491,-0.491,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta Z,-0.788,-0.788,-0.788,0.000,-0.788,-0.788,-0.788,-0.788,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta Z,0.094,0.094,0.094,0.000,0.094,0.094,0.094,0.094,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,25,
