
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,42.216,42.216,42.216,0.000,42.216,42.216,42.216,42.216,1,µm^2,Surface,,,,,5,
Area,97.854,97.854,97.854,0.000,97.854,97.854,97.854,97.854,1,µm^2,Surface,,,,,6,
Area,105.646,105.646,105.646,0.000,105.646,105.646,105.646,105.646,1,µm^2,Surface,,,,,7,
Area,97.908,97.908,97.908,0.000,97.908,97.908,97.908,97.908,1,µm^2,Surface,,,,,8,
Area,118.452,118.452,118.452,0.000,118.452,118.452,118.452,118.452,1,µm^2,Surface,,,,,9,
Area,109.390,109.390,109.390,0.000,109.390,109.390,109.390,109.390,1,µm^2,Surface,,,,,10,
Area,69.855,69.855,69.855,0.000,69.855,69.855,69.855,69.855,1,µm^2,Surface,,,,,11,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,5,
Displacement Delta Length,2.656,2.656,2.656,0.000,2.656,2.656,2.656,2.656,1,µm,Surface,,,,,6,
Displacement Delta Length,0.911,0.911,0.911,0.000,0.911,0.911,0.911,0.911,1,µm,Surface,,,,,7,
Displacement Delta Length,0.586,0.586,0.586,0.000,0.586,0.586,0.586,0.586,1,µm,Surface,,,,,8,
Displacement Delta Length,1.069,1.069,1.069,0.000,1.069,1.069,1.069,1.069,1,µm,Surface,,,,,9,
Displacement Delta Length,0.953,0.953,0.953,0.000,0.953,0.953,0.953,0.953,1,µm,Surface,,,,,10,
Displacement Delta Length,1.195,1.195,1.195,0.000,1.195,1.195,1.195,1.195,1,µm,Surface,,,,,11,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,5,
Displacement Delta X,-2.651,-2.651,-2.651,0.000,-2.651,-2.651,-2.651,-2.651,1,µm,Surface,,Displacement Delta,,,6,
Displacement Delta X,0.334,0.334,0.334,0.000,0.334,0.334,0.334,0.334,1,µm,Surface,,Displacement Delta,,,7,
Displacement Delta X,-0.156,-0.156,-0.156,0.000,-0.156,-0.156,-0.156,-0.156,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta X,-0.618,-0.618,-0.618,0.000,-0.618,-0.618,-0.618,-0.618,1,µm,Surface,,Displacement Delta,,,9,
Displacement Delta X,-0.760,-0.760,-0.760,0.000,-0.760,-0.760,-0.760,-0.760,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta X,0.998,0.998,0.998,0.000,0.998,0.998,0.998,0.998,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,5,
Displacement Delta Y,-0.115,-0.115,-0.115,0.000,-0.115,-0.115,-0.115,-0.115,1,µm,Surface,,Displacement Delta,,,6,
Displacement Delta Y,-0.080,-0.080,-0.080,0.000,-0.080,-0.080,-0.080,-0.080,1,µm,Surface,,Displacement Delta,,,7,
Displacement Delta Y,-0.542,-0.542,-0.542,0.000,-0.542,-0.542,-0.542,-0.542,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta Y,-0.737,-0.737,-0.737,0.000,-0.737,-0.737,-0.737,-0.737,1,µm,Surface,,Displacement Delta,,,9,
Displacement Delta Y,-0.396,-0.396,-0.396,0.000,-0.396,-0.396,-0.396,-0.396,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta Y,0.199,0.199,0.199,0.000,0.199,0.199,0.199,0.199,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,5,
Displacement Delta Z,-0.116,-0.116,-0.116,0.000,-0.116,-0.116,-0.116,-0.116,1,µm,Surface,,Displacement Delta,,,6,
Displacement Delta Z,0.844,0.844,0.844,0.000,0.844,0.844,0.844,0.844,1,µm,Surface,,Displacement Delta,,,7,
Displacement Delta Z,0.160,0.160,0.160,0.000,0.160,0.160,0.160,0.160,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta Z,-0.467,-0.467,-0.467,0.000,-0.467,-0.467,-0.467,-0.467,1,µm,Surface,,Displacement Delta,,,9,
Displacement Delta Z,0.416,0.416,0.416,0.000,0.416,0.416,0.416,0.416,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta Z,-0.626,-0.626,-0.626,0.000,-0.626,-0.626,-0.626,-0.626,1,µm,Surface,,Displacement Delta,,,11,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,5,
Displacement Length,2.656,2.656,2.656,0.000,2.656,2.656,2.656,2.656,1,µm,Surface,,,,,6,
Displacement Length,2.436,2.436,2.436,0.000,2.436,2.436,2.436,2.436,1,µm,Surface,,,,,7,
Displacement Length,2.728,2.728,2.728,0.000,2.728,2.728,2.728,2.728,1,µm,Surface,,,,,8,
Displacement Length,3.449,3.449,3.449,0.000,3.449,3.449,3.449,3.449,1,µm,Surface,,,,,9,
Displacement Length,4.362,4.362,4.362,0.000,4.362,4.362,4.362,4.362,1,µm,Surface,,,,,10,
Displacement Length,3.313,3.313,3.313,0.000,3.313,3.313,3.313,3.313,1,µm,Surface,,,,,11,
Distance from Origin,10659.719,10659.719,10659.719,0.000,10659.719,10659.719,10659.719,10659.719,1,µm,Surface,,Distance from Origin,,,5,
Distance from Origin,10660.567,10660.567,10660.567,0.000,10660.567,10660.567,10660.567,10660.567,1,µm,Surface,,Distance from Origin,,,6,
Distance from Origin,10661.108,10661.108,10661.108,0.000,10661.108,10661.108,10661.108,10661.108,1,µm,Surface,,Distance from Origin,,,7,
Distance from Origin,10661.074,10661.074,10661.074,0.000,10661.074,10661.074,10661.074,10661.074,1,µm,Surface,,Distance from Origin,,,8,
Distance from Origin,10660.613,10660.613,10660.613,0.000,10660.613,10660.613,10660.613,10660.613,1,µm,Surface,,Distance from Origin,,,9,
Distance from Origin,10661.078,10661.078,10661.078,0.000,10661.078,10661.078,10661.078,10661.078,1,µm,Surface,,Distance from Origin,,,10,
Distance from Origin,10660.269,10660.269,10660.269,0.000,10660.269,10660.269,10660.269,10660.269,1,µm,Surface,,Distance from Origin,,,11,
Distance to Image Border XY,18.000,18.000,18.000,0.000,18.000,18.000,18.000,18.000,1,µm,Surface,,,Image 1,,5,
Distance to Image Border XY,17.176,17.176,17.176,0.000,17.176,17.176,17.176,17.176,1,µm,Surface,,,Image 1,,6,
Distance to Image Border XY,17.152,17.152,17.152,0.000,17.152,17.152,17.152,17.152,1,µm,Surface,,,Image 1,,7,
Distance to Image Border XY,17.694,17.694,17.694,0.000,17.694,17.694,17.694,17.694,1,µm,Surface,,,Image 1,,8,
Distance to Image Border XY,18.327,18.327,18.327,0.000,18.327,18.327,18.327,18.327,1,µm,Surface,,,Image 1,,9,
Distance to Image Border XY,18.723,18.723,18.723,0.000,18.723,18.723,18.723,18.723,1,µm,Surface,,,Image 1,,10,
Distance to Image Border XY,18.941,18.941,18.941,0.000,18.941,18.941,18.941,18.941,1,µm,Surface,,,Image 1,,11,
Ellipticity (oblate),0.177,0.177,0.177,0.000,0.177,0.177,0.177,0.177,1,,Surface,,,,,5,
Ellipticity (oblate),0.224,0.224,0.224,0.000,0.224,0.224,0.224,0.224,1,,Surface,,,,,6,
Ellipticity (oblate),0.193,0.193,0.193,0.000,0.193,0.193,0.193,0.193,1,,Surface,,,,,7,
Ellipticity (oblate),0.257,0.257,0.257,0.000,0.257,0.257,0.257,0.257,1,,Surface,,,,,8,
Ellipticity (oblate),0.278,0.278,0.278,0.000,0.278,0.278,0.278,0.278,1,,Surface,,,,,9,
Ellipticity (oblate),0.247,0.247,0.247,0.000,0.247,0.247,0.247,0.247,1,,Surface,,,,,10,
Ellipticity (oblate),0.381,0.381,0.381,0.000,0.381,0.381,0.381,0.381,1,,Surface,,,,,11,
Ellipticity (prolate),0.277,0.277,0.277,0.000,0.277,0.277,0.277,0.277,1,,Surface,,,,,5,
Ellipticity (prolate),0.346,0.346,0.346,0.000,0.346,0.346,0.346,0.346,1,,Surface,,,,,6,
Ellipticity (prolate),0.206,0.206,0.206,0.000,0.206,0.206,0.206,0.206,1,,Surface,,,,,7,
Ellipticity (prolate),0.251,0.251,0.251,0.000,0.251,0.251,0.251,0.251,1,,Surface,,,,,8,
Ellipticity (prolate),0.251,0.251,0.251,0.000,0.251,0.251,0.251,0.251,1,,Surface,,,,,9,
Ellipticity (prolate),0.157,0.157,0.157,0.000,0.157,0.157,0.157,0.157,1,,Surface,,,,,10,
Ellipticity (prolate),0.389,0.389,0.389,0.000,0.389,0.389,0.389,0.389,1,,Surface,,,,,11,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,5,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,6,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,7,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,8,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,9,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,10,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,11,
Intensity Max,223.000,223.000,223.000,0.000,223.000,223.000,223.000,223.000,1,,Surface,1,,Image 1,,5,
Intensity Max,289.000,289.000,289.000,0.000,289.000,289.000,289.000,289.000,1,,Surface,1,,Image 1,,6,
Intensity Max,256.000,256.000,256.000,0.000,256.000,256.000,256.000,256.000,1,,Surface,1,,Image 1,,7,
Intensity Max,232.000,232.000,232.000,0.000,232.000,232.000,232.000,232.000,1,,Surface,1,,Image 1,,8,
Intensity Max,388.000,388.000,388.000,0.000,388.000,388.000,388.000,388.000,1,,Surface,1,,Image 1,,9,
Intensity Max,344.000,344.000,344.000,0.000,344.000,344.000,344.000,344.000,1,,Surface,1,,Image 1,,10,
Intensity Max,317.000,317.000,317.000,0.000,317.000,317.000,317.000,317.000,1,,Surface,1,,Image 1,,11,
Intensity Mean,129.662,129.662,129.662,0.000,129.662,129.662,129.662,129.662,1,,Surface,1,,Image 1,,5,
Intensity Mean,138.096,138.096,138.096,0.000,138.096,138.096,138.096,138.096,1,,Surface,1,,Image 1,,6,
Intensity Mean,130.354,130.354,130.354,0.000,130.354,130.354,130.354,130.354,1,,Surface,1,,Image 1,,7,
Intensity Mean,123.647,123.647,123.647,0.000,123.647,123.647,123.647,123.647,1,,Surface,1,,Image 1,,8,
Intensity Mean,128.660,128.660,128.660,0.000,128.660,128.660,128.660,128.660,1,,Surface,1,,Image 1,,9,
Intensity Mean,127.139,127.139,127.139,0.000,127.139,127.139,127.139,127.139,1,,Surface,1,,Image 1,,10,
Intensity Mean,122.740,122.740,122.740,0.000,122.740,122.740,122.740,122.740,1,,Surface,1,,Image 1,,11,
Intensity Median,127.062,127.062,127.062,0.000,127.062,127.062,127.062,127.062,1,,Surface,1,,Image 1,,5,
Intensity Median,134.062,134.062,134.062,0.000,134.062,134.062,134.062,134.062,1,,Surface,1,,Image 1,,6,
Intensity Median,127.062,127.062,127.062,0.000,127.062,127.062,127.062,127.062,1,,Surface,1,,Image 1,,7,
Intensity Median,121.062,121.062,121.062,0.000,121.062,121.062,121.062,121.062,1,,Surface,1,,Image 1,,8,
Intensity Median,126.125,126.125,126.125,0.000,126.125,126.125,126.125,126.125,1,,Surface,1,,Image 1,,9,
Intensity Median,124.125,124.125,124.125,0.000,124.125,124.125,124.125,124.125,1,,Surface,1,,Image 1,,10,
Intensity Median,119.062,119.062,119.062,0.000,119.062,119.062,119.062,119.062,1,,Surface,1,,Image 1,,11,
Intensity Min,75.000,75.000,75.000,0.000,75.000,75.000,75.000,75.000,1,,Surface,1,,Image 1,,5,
Intensity Min,76.000,76.000,76.000,0.000,76.000,76.000,76.000,76.000,1,,Surface,1,,Image 1,,6,
Intensity Min,77.000,77.000,77.000,0.000,77.000,77.000,77.000,77.000,1,,Surface,1,,Image 1,,7,
Intensity Min,77.000,77.000,77.000,0.000,77.000,77.000,77.000,77.000,1,,Surface,1,,Image 1,,8,
Intensity Min,75.000,75.000,75.000,0.000,75.000,75.000,75.000,75.000,1,,Surface,1,,Image 1,,9,
Intensity Min,78.000,78.000,78.000,0.000,78.000,78.000,78.000,78.000,1,,Surface,1,,Image 1,,10,
Intensity Min,74.000,74.000,74.000,0.000,74.000,74.000,74.000,74.000,1,,Surface,1,,Image 1,,11,
Intensity StdDev,20.825,20.825,20.825,0.000,20.825,20.825,20.825,20.825,1,,Surface,1,,Image 1,,5,
Intensity StdDev,26.614,26.614,26.614,0.000,26.614,26.614,26.614,26.614,1,,Surface,1,,Image 1,,6,
Intensity StdDev,20.493,20.493,20.493,0.000,20.493,20.493,20.493,20.493,1,,Surface,1,,Image 1,,7,
Intensity StdDev,17.809,17.809,17.809,0.000,17.809,17.809,17.809,17.809,1,,Surface,1,,Image 1,,8,
Intensity StdDev,20.890,20.890,20.890,0.000,20.890,20.890,20.890,20.890,1,,Surface,1,,Image 1,,9,
Intensity StdDev,20.918,20.918,20.918,0.000,20.918,20.918,20.918,20.918,1,,Surface,1,,Image 1,,10,
Intensity StdDev,19.722,19.722,19.722,0.000,19.722,19.722,19.722,19.722,1,,Surface,1,,Image 1,,11,
Intensity Sum,309633.000,309633.000,309633.000,0.000,309633.000,309633.000,309633.000,309633.000,1,,Surface,1,,Image 1,,5,
Intensity Sum,1152277.000,1152277.000,1152277.000,0.000,1152277.000,1152277.000,1152277.000,1152277.000,1,,Surface,1,,Image 1,,6,
Intensity Sum,1243576.000,1243576.000,1243576.000,0.000,1243576.000,1243576.000,1243576.000,1243576.000,1,,Surface,1,,Image 1,,7,
Intensity Sum,1038137.000,1038137.000,1038137.000,0.000,1038137.000,1038137.000,1038137.000,1038137.000,1,,Surface,1,,Image 1,,8,
Intensity Sum,1453341.000,1453341.000,1453341.000,0.000,1453341.000,1453341.000,1453341.000,1453341.000,1,,Surface,1,,Image 1,,9,
Intensity Sum,1272912.000,1272912.000,1272912.000,0.000,1272912.000,1272912.000,1272912.000,1272912.000,1,,Surface,1,,Image 1,,10,
Intensity Sum,580317.000,580317.000,580317.000,0.000,580317.000,580317.000,580317.000,580317.000,1,,Surface,1,,Image 1,,11,
Intensity Sum of Square,41183280.000,41183280.000,41183280.000,0.000,41183280.000,41183280.000,41183280.000,41183280.000,1,,Surface,1,,Image 1,,5,
Intensity Sum of Square,165035632.000,165035632.000,165035632.000,0.000,165035632.000,165035632.000,165035632.000,165035632.000,1,,Surface,1,,Image 1,,6,
Intensity Sum of Square,166111520.000,166111520.000,166111520.000,0.000,166111520.000,166111520.000,166111520.000,166111520.000,1,,Surface,1,,Image 1,,7,
Intensity Sum of Square,131025112.000,131025112.000,131025112.000,0.000,131025112.000,131025112.000,131025112.000,131025112.000,1,,Surface,1,,Image 1,,8,
Intensity Sum of Square,191915952.000,191915952.000,191915952.000,0.000,191915952.000,191915952.000,191915952.000,191915952.000,1,,Surface,1,,Image 1,,9,
Intensity Sum of Square,166217024.000,166217024.000,166217024.000,0.000,166217024.000,166217024.000,166217024.000,166217024.000,1,,Surface,1,,Image 1,,10,
Intensity Sum of Square,73067336.000,73067336.000,73067336.000,0.000,73067336.000,73067336.000,73067336.000,73067336.000,1,,Surface,1,,Image 1,,11,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,,5,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,,6,
