
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,31.402,31.402,31.402,0.000,31.402,31.402,31.402,31.402,1,µm^2,Surface,,,,,21,
Area,65.783,65.783,65.783,0.000,65.783,65.783,65.783,65.783,1,µm^2,Surface,,,,,22,
Area,94.905,94.905,94.905,0.000,94.905,94.905,94.905,94.905,1,µm^2,Surface,,,,,23,
Area,99.404,99.404,99.404,0.000,99.404,99.404,99.404,99.404,1,µm^2,Surface,,,,,24,
Area,115.892,115.892,115.892,0.000,115.892,115.892,115.892,115.892,1,µm^2,Surface,,,,,25,
Area,115.379,115.379,115.379,0.000,115.379,115.379,115.379,115.379,1,µm^2,Surface,,,,,26,
Area,106.082,106.082,106.082,0.000,106.082,106.082,106.082,106.082,1,µm^2,Surface,,,,,27,
Area,96.331,96.331,96.331,0.000,96.331,96.331,96.331,96.331,1,µm^2,Surface,,,,,28,
Area,91.524,91.524,91.524,0.000,91.524,91.524,91.524,91.524,1,µm^2,Surface,,,,,29,
Area,92.023,92.023,92.023,0.000,92.023,92.023,92.023,92.023,1,µm^2,Surface,,,,,30,
Area,73.315,73.315,73.315,0.000,73.315,73.315,73.315,73.315,1,µm^2,Surface,,,,,31,
Area,33.154,33.154,33.154,0.000,33.154,33.154,33.154,33.154,1,µm^2,Surface,,,,,32,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,21,
Displacement Delta Length,0.555,0.555,0.555,0.000,0.555,0.555,0.555,0.555,1,µm,Surface,,,,,22,
Displacement Delta Length,0.373,0.373,0.373,0.000,0.373,0.373,0.373,0.373,1,µm,Surface,,,,,23,
Displacement Delta Length,1.123,1.123,1.123,0.000,1.123,1.123,1.123,1.123,1,µm,Surface,,,,,24,
Displacement Delta Length,0.880,0.880,0.880,0.000,0.880,0.880,0.880,0.880,1,µm,Surface,,,,,25,
Displacement Delta Length,1.186,1.186,1.186,0.000,1.186,1.186,1.186,1.186,1,µm,Surface,,,,,26,
Displacement Delta Length,1.358,1.358,1.358,0.000,1.358,1.358,1.358,1.358,1,µm,Surface,,,,,27,
Displacement Delta Length,0.205,0.205,0.205,0.000,0.205,0.205,0.205,0.205,1,µm,Surface,,,,,28,
Displacement Delta Length,0.726,0.726,0.726,0.000,0.726,0.726,0.726,0.726,1,µm,Surface,,,,,29,
Displacement Delta Length,1.614,1.614,1.614,0.000,1.614,1.614,1.614,1.614,1,µm,Surface,,,,,30,
Displacement Delta Length,2.706,2.706,2.706,0.000,2.706,2.706,2.706,2.706,1,µm,Surface,,,,,31,
Displacement Delta Length,1.670,1.670,1.670,0.000,1.670,1.670,1.670,1.670,1,µm,Surface,,,,,32,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta X,0.160,0.160,0.160,0.000,0.160,0.160,0.160,0.160,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta X,-0.348,-0.348,-0.348,0.000,-0.348,-0.348,-0.348,-0.348,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta X,-0.429,-0.429,-0.429,0.000,-0.429,-0.429,-0.429,-0.429,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta X,0.877,0.877,0.877,0.000,0.877,0.877,0.877,0.877,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta X,1.112,1.112,1.112,0.000,1.112,1.112,1.112,1.112,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta X,1.301,1.301,1.301,0.000,1.301,1.301,1.301,1.301,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta X,-0.203,-0.203,-0.203,0.000,-0.203,-0.203,-0.203,-0.203,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta X,0.299,0.299,0.299,0.000,0.299,0.299,0.299,0.299,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,0.593,0.593,0.593,0.000,0.593,0.593,0.593,0.593,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta X,-2.100,-2.100,-2.100,0.000,-2.100,-2.100,-2.100,-2.100,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta X,-0.499,-0.499,-0.499,0.000,-0.499,-0.499,-0.499,-0.499,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta Y,-0.523,-0.523,-0.523,0.000,-0.523,-0.523,-0.523,-0.523,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta Y,0.028,0.028,0.028,0.000,0.028,0.028,0.028,0.028,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Y,0.964,0.964,0.964,0.000,0.964,0.964,0.964,0.964,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta Y,-0.076,-0.076,-0.076,0.000,-0.076,-0.076,-0.076,-0.076,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta Y,-0.040,-0.040,-0.040,0.000,-0.040,-0.040,-0.040,-0.040,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta Y,-0.311,-0.311,-0.311,0.000,-0.311,-0.311,-0.311,-0.311,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Y,-0.014,-0.014,-0.014,0.000,-0.014,-0.014,-0.014,-0.014,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Y,-0.523,-0.523,-0.523,0.000,-0.523,-0.523,-0.523,-0.523,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Y,-1.342,-1.342,-1.342,0.000,-1.342,-1.342,-1.342,-1.342,1,µm,Surface,,Displacement Delta,,,30,
