
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,69.885,69.885,69.885,0.000,69.885,69.885,69.885,69.885,1,µm^2,Surface,,,,,21,
Area,85.672,85.672,85.672,0.000,85.672,85.672,85.672,85.672,1,µm^2,Surface,,,,,22,
Area,119.978,119.978,119.978,0.000,119.978,119.978,119.978,119.978,1,µm^2,Surface,,,,,23,
Area,113.119,113.119,113.119,0.000,113.119,113.119,113.119,113.119,1,µm^2,Surface,,,,,24,
Area,105.667,105.667,105.667,0.000,105.667,105.667,105.667,105.667,1,µm^2,Surface,,,,,25,
Area,102.346,102.346,102.346,0.000,102.346,102.346,102.346,102.346,1,µm^2,Surface,,,,,26,
Area,95.994,95.994,95.994,0.000,95.994,95.994,95.994,95.994,1,µm^2,Surface,,,,,27,
Area,100.345,100.345,100.345,0.000,100.345,100.345,100.345,100.345,1,µm^2,Surface,,,,,28,
Area,90.074,90.074,90.074,0.000,90.074,90.074,90.074,90.074,1,µm^2,Surface,,,,,29,
Area,40.816,40.816,40.816,0.000,40.816,40.816,40.816,40.816,1,µm^2,Surface,,,,,30,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,21,
Displacement Delta Length,0.362,0.362,0.362,0.000,0.362,0.362,0.362,0.362,1,µm,Surface,,,,,22,
Displacement Delta Length,1.002,1.002,1.002,0.000,1.002,1.002,1.002,1.002,1,µm,Surface,,,,,23,
Displacement Delta Length,1.983,1.983,1.983,0.000,1.983,1.983,1.983,1.983,1,µm,Surface,,,,,24,
Displacement Delta Length,1.031,1.031,1.031,0.000,1.031,1.031,1.031,1.031,1,µm,Surface,,,,,25,
Displacement Delta Length,0.989,0.989,0.989,0.000,0.989,0.989,0.989,0.989,1,µm,Surface,,,,,26,
Displacement Delta Length,1.103,1.103,1.103,0.000,1.103,1.103,1.103,1.103,1,µm,Surface,,,,,27,
Displacement Delta Length,1.535,1.535,1.535,0.000,1.535,1.535,1.535,1.535,1,µm,Surface,,,,,28,
Displacement Delta Length,0.842,0.842,0.842,0.000,0.842,0.842,0.842,0.842,1,µm,Surface,,,,,29,
Displacement Delta Length,0.864,0.864,0.864,0.000,0.864,0.864,0.864,0.864,1,µm,Surface,,,,,30,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta X,-0.033,-0.033,-0.033,0.000,-0.033,-0.033,-0.033,-0.033,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta X,-0.179,-0.179,-0.179,0.000,-0.179,-0.179,-0.179,-0.179,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta X,-0.615,-0.615,-0.615,0.000,-0.615,-0.615,-0.615,-0.615,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta X,0.924,0.924,0.924,0.000,0.924,0.924,0.924,0.924,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta X,0.850,0.850,0.850,0.000,0.850,0.850,0.850,0.850,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta X,-0.069,-0.069,-0.069,0.000,-0.069,-0.069,-0.069,-0.069,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta X,1.369,1.369,1.369,0.000,1.369,1.369,1.369,1.369,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta X,0.396,0.396,0.396,0.000,0.396,0.396,0.396,0.396,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,0.007,0.007,0.007,0.000,0.007,0.007,0.007,0.007,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta Y,-0.324,-0.324,-0.324,0.000,-0.324,-0.324,-0.324,-0.324,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta Y,0.651,0.651,0.651,0.000,0.651,0.651,0.651,0.651,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Y,1.831,1.831,1.831,0.000,1.831,1.831,1.831,1.831,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta Y,-0.161,-0.161,-0.161,0.000,-0.161,-0.161,-0.161,-0.161,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta Y,-0.490,-0.490,-0.490,0.000,-0.490,-0.490,-0.490,-0.490,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta Y,-1.039,-1.039,-1.039,0.000,-1.039,-1.039,-1.039,-1.039,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Y,-0.415,-0.415,-0.415,0.000,-0.415,-0.415,-0.415,-0.415,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Y,-0.708,-0.708,-0.708,0.000,-0.708,-0.708,-0.708,-0.708,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Y,-0.749,-0.749,-0.749,0.000,-0.749,-0.749,-0.749,-0.749,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta Z,-0.157,-0.157,-0.157,0.000,-0.157,-0.157,-0.157,-0.157,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta Z,-0.740,-0.740,-0.740,0.000,-0.740,-0.740,-0.740,-0.740,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Z,-0.450,-0.450,-0.450,0.000,-0.450,-0.450,-0.450,-0.450,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta Z,0.428,0.428,0.428,0.000,0.428,0.428,0.428,0.428,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta Z,0.122,0.122,0.122,0.000,0.122,0.122,0.122,0.122,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta Z,0.364,0.364,0.364,0.000,0.364,0.364,0.364,0.364,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Z,0.556,0.556,0.556,0.000,0.556,0.556,0.556,0.556,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Z,-0.224,-0.224,-0.224,0.000,-0.224,-0.224,-0.224,-0.224,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Z,0.430,0.430,0.430,0.000,0.430,0.430,0.430,0.430,1,µm,Surface,,Displacement Delta,,,30,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,21,
Displacement Length,0.362,0.362,0.362,0.000,0.362,0.362,0.362,0.362,1,µm,Surface,,,,,22,
Displacement Length,0.978,0.978,0.978,0.000,0.978,0.978,0.978,0.978,1,µm,Surface,,,,,23,
Displacement Length,2.675,2.675,2.675,0.000,2.675,2.675,2.675,2.675,1,µm,Surface,,,,,24,
Displacement Length,2.201,2.201,2.201,0.000,2.201,2.201,2.201,2.201,1,µm,Surface,,,,,25,
Displacement Length,1.951,1.951,1.951,0.000,1.951,1.951,1.951,1.951,1,µm,Surface,,,,,26,
Displacement Length,1.087,1.087,1.087,0.000,1.087,1.087,1.087,1.087,1,µm,Surface,,,,,27,
Displacement Length,2.252,2.252,2.252,0.000,2.252,2.252,2.252,2.252,1,µm,Surface,,,,,28,
Displacement Length,2.726,2.726,2.726,0.000,2.726,2.726,2.726,2.726,1,µm,Surface,,,,,29,
Displacement Length,3.018,3.018,3.018,0.000,3.018,3.018,3.018,3.018,1,µm,Surface,,,,,30,
Distance from Origin,10655.601,10655.601,10655.601,0.000,10655.601,10655.601,10655.601,10655.601,1,µm,Surface,,Distance from Origin,,,21,
Distance from Origin,10655.348,10655.348,10655.348,0.000,10655.348,10655.348,10655.348,10655.348,1,µm,Surface,,Distance from Origin,,,22,
Distance from Origin,10655.071,10655.071,10655.071,0.000,10655.071,10655.071,10655.071,10655.071,1,µm,Surface,,Distance from Origin,,,23,
Distance from Origin,10655.688,10655.688,10655.688,0.000,10655.688,10655.688,10655.688,10655.688,1,µm,Surface,,Distance from Origin,,,24,
Distance from Origin,10655.630,10655.630,10655.630,0.000,10655.630,10655.630,10655.630,10655.630,1,µm,Surface,,Distance from Origin,,,25,
Distance from Origin,10655.209,10655.209,10655.209,0.000,10655.209,10655.209,10655.209,10655.209,1,µm,Surface,,Distance from Origin,,,26,
Distance from Origin,10655.105,10655.105,10655.105,0.000,10655.105,10655.105,10655.105,10655.105,1,µm,Surface,,Distance from Origin,,,27,
Distance from Origin,10654.882,10654.882,10654.882,0.000,10654.882,10654.882,10654.882,10654.882,1,µm,Surface,,Distance from Origin,,,28,
Distance from Origin,10654.254,10654.254,10654.254,0.000,10654.254,10654.254,10654.254,10654.254,1,µm,Surface,,Distance from Origin,,,29,
Distance from Origin,10654.297,10654.297,10654.297,0.000,10654.297,10654.297,10654.297,10654.297,1,µm,Surface,,Distance from Origin,,,30,
Distance to Image Border XY,22.979,22.979,22.979,0.000,22.979,22.979,22.979,22.979,1,µm,Surface,,,Image 1,,21,
Distance to Image Border XY,22.990,22.990,22.990,0.000,22.990,22.990,22.990,22.990,1,µm,Surface,,,Image 1,,22,
