
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,73.800,73.800,73.800,0.000,73.800,73.800,73.800,73.800,1,µm^2,Surface,,,,,5,
Area,97.053,97.053,97.053,0.000,97.053,97.053,97.053,97.053,1,µm^2,Surface,,,,,6,
Area,118.355,118.355,118.355,0.000,118.355,118.355,118.355,118.355,1,µm^2,Surface,,,,,7,
Area,129.108,129.108,129.108,0.000,129.108,129.108,129.108,129.108,1,µm^2,Surface,,,,,8,
Area,144.210,144.210,144.210,0.000,144.210,144.210,144.210,144.210,1,µm^2,Surface,,,,,9,
Area,157.303,157.303,157.303,0.000,157.303,157.303,157.303,157.303,1,µm^2,Surface,,,,,10,
Area,155.096,155.096,155.096,0.000,155.096,155.096,155.096,155.096,1,µm^2,Surface,,,,,11,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,6,
Displacement Delta Length,0.531,0.531,0.531,0.000,0.531,0.531,0.531,0.531,1,µm,Surface,,,,,7,
Displacement Delta Length,1.375,1.375,1.375,0.000,1.375,1.375,1.375,1.375,1,µm,Surface,,,,,8,
Displacement Delta Length,1.578,1.578,1.578,0.000,1.578,1.578,1.578,1.578,1,µm,Surface,,,,,9,
Displacement Delta Length,1.315,1.315,1.315,0.000,1.315,1.315,1.315,1.315,1,µm,Surface,,,,,10,
Displacement Delta Length,2.387,2.387,2.387,0.000,2.387,2.387,2.387,2.387,1,µm,Surface,,,,,11,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,6,
Displacement Delta X,-0.164,-0.164,-0.164,0.000,-0.164,-0.164,-0.164,-0.164,1,µm,Surface,,Displacement Delta,,,7,
Displacement Delta X,-1.001,-1.001,-1.001,0.000,-1.001,-1.001,-1.001,-1.001,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta X,-1.425,-1.425,-1.425,0.000,-1.425,-1.425,-1.425,-1.425,1,µm,Surface,,Displacement Delta,,,9,
Displacement Delta X,-1.032,-1.032,-1.032,0.000,-1.032,-1.032,-1.032,-1.032,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta X,0.760,0.760,0.760,0.000,0.760,0.760,0.760,0.760,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,6,
Displacement Delta Y,-0.185,-0.185,-0.185,0.000,-0.185,-0.185,-0.185,-0.185,1,µm,Surface,,Displacement Delta,,,7,
Displacement Delta Y,-0.380,-0.380,-0.380,0.000,-0.380,-0.380,-0.380,-0.380,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta Y,-0.519,-0.519,-0.519,0.000,-0.519,-0.519,-0.519,-0.519,1,µm,Surface,,Displacement Delta,,,9,
Displacement Delta Y,0.402,0.402,0.402,0.000,0.402,0.402,0.402,0.402,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta Y,-1.076,-1.076,-1.076,0.000,-1.076,-1.076,-1.076,-1.076,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,6,
Displacement Delta Z,0.470,0.470,0.470,0.000,0.470,0.470,0.470,0.470,1,µm,Surface,,Displacement Delta,,,7,
Displacement Delta Z,-0.862,-0.862,-0.862,0.000,-0.862,-0.862,-0.862,-0.862,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta Z,-0.438,-0.438,-0.438,0.000,-0.438,-0.438,-0.438,-0.438,1,µm,Surface,,Displacement Delta,,,9,
Displacement Delta Z,-0.710,-0.710,-0.710,0.000,-0.710,-0.710,-0.710,-0.710,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta Z,-1.990,-1.990,-1.990,0.000,-1.990,-1.990,-1.990,-1.990,1,µm,Surface,,Displacement Delta,,,11,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,6,
Displacement Length,0.531,0.531,0.531,0.000,0.531,0.531,0.531,0.531,1,µm,Surface,,,,,7,
Displacement Length,1.353,1.353,1.353,0.000,1.353,1.353,1.353,1.353,1,µm,Surface,,,,,8,
Displacement Length,2.927,2.927,2.927,0.000,2.927,2.927,2.927,2.927,1,µm,Surface,,,,,9,
