
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,35.694,35.694,35.694,0.000,35.694,35.694,35.694,35.694,1,µm^2,Surface,,,,,20,
Area,57.369,57.369,57.369,0.000,57.369,57.369,57.369,57.369,1,µm^2,Surface,,,,,21,
Area,97.940,97.940,97.940,0.000,97.940,97.940,97.940,97.940,1,µm^2,Surface,,,,,22,
Area,83.365,83.365,83.365,0.000,83.365,83.365,83.365,83.365,1,µm^2,Surface,,,,,23,
Area,105.922,105.922,105.922,0.000,105.922,105.922,105.922,105.922,1,µm^2,Surface,,,,,24,
Area,121.546,121.546,121.546,0.000,121.546,121.546,121.546,121.546,1,µm^2,Surface,,,,,25,
Area,90.001,90.001,90.001,0.000,90.001,90.001,90.001,90.001,1,µm^2,Surface,,,,,26,
Area,93.873,93.873,93.873,0.000,93.873,93.873,93.873,93.873,1,µm^2,Surface,,,,,27,
Area,91.079,91.079,91.079,0.000,91.079,91.079,91.079,91.079,1,µm^2,Surface,,,,,28,
Area,94.235,94.235,94.235,0.000,94.235,94.235,94.235,94.235,1,µm^2,Surface,,,,,29,
Area,61.070,61.070,61.070,0.000,61.070,61.070,61.070,61.070,1,µm^2,Surface,,,,,30,
Area,11.132,11.132,11.132,0.000,11.132,11.132,11.132,11.132,1,µm^2,Surface,,,,,31,
Class Duration,60.016,60.016,60.016,0.000,60.016,60.016,60.016,60.016,1,s,Surface,,Set 1::Class A,,,20,
Class Duration,60.016,60.016,60.016,0.000,60.016,60.016,60.016,60.016,1,s,Surface,,Set 1::Class A,,,21,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,22,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,23,
Class Duration,299.997,299.997,299.997,0.000,299.997,299.997,299.997,299.997,1,s,Surface,,Set 1::Class B,,,24,
Class Duration,299.997,299.997,299.997,0.000,299.997,299.997,299.997,299.997,1,s,Surface,,Set 1::Class B,,,25,
Class Duration,299.997,299.997,299.997,0.000,299.997,299.997,299.997,299.997,1,s,Surface,,Set 1::Class B,,,26,
Class Duration,299.997,299.997,299.997,0.000,299.997,299.997,299.997,299.997,1,s,Surface,,Set 1::Class B,,,27,
Class Duration,299.997,299.997,299.997,0.000,299.997,299.997,299.997,299.997,1,s,Surface,,Set 1::Class B,,,28,
Class Duration,299.997,299.997,299.997,0.000,299.997,299.997,299.997,299.997,1,s,Surface,,Set 1::Class B,,,29,
