
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,52.553,52.553,52.553,0.000,52.553,52.553,52.553,52.553,1,µm^2,Surface,,,,,8,
Area,72.743,72.743,72.743,0.000,72.743,72.743,72.743,72.743,1,µm^2,Surface,,,,,9,
Area,115.765,115.765,115.765,0.000,115.765,115.765,115.765,115.765,1,µm^2,Surface,,,,,10,
Area,141.530,141.530,141.530,0.000,141.530,141.530,141.530,141.530,1,µm^2,Surface,,,,,11,
Area,167.627,167.627,167.627,0.000,167.627,167.627,167.627,167.627,1,µm^2,Surface,,,,,12,
Area,144.492,144.492,144.492,0.000,144.492,144.492,144.492,144.492,1,µm^2,Surface,,,,,13,
Area,156.786,156.786,156.786,0.000,156.786,156.786,156.786,156.786,1,µm^2,Surface,,,,,14,
Area,139.004,139.004,139.004,0.000,139.004,139.004,139.004,139.004,1,µm^2,Surface,,,,,15,
Area,155.254,155.254,155.254,0.000,155.254,155.254,155.254,155.254,1,µm^2,Surface,,,,,16,
Area,133.211,133.211,133.211,0.000,133.211,133.211,133.211,133.211,1,µm^2,Surface,,,,,17,
Area,86.830,86.830,86.830,0.000,86.830,86.830,86.830,86.830,1,µm^2,Surface,,,,,18,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,8,
Displacement Delta Length,0.905,0.905,0.905,0.000,0.905,0.905,0.905,0.905,1,µm,Surface,,,,,9,
Displacement Delta Length,1.058,1.058,1.058,0.000,1.058,1.058,1.058,1.058,1,µm,Surface,,,,,10,
Displacement Delta Length,0.786,0.786,0.786,0.000,0.786,0.786,0.786,0.786,1,µm,Surface,,,,,11,
Displacement Delta Length,1.592,1.592,1.592,0.000,1.592,1.592,1.592,1.592,1,µm,Surface,,,,,12,
Displacement Delta Length,0.521,0.521,0.521,0.000,0.521,0.521,0.521,0.521,1,µm,Surface,,,,,13,
Displacement Delta Length,1.384,1.384,1.384,0.000,1.384,1.384,1.384,1.384,1,µm,Surface,,,,,14,
Displacement Delta Length,2.141,2.141,2.141,0.000,2.141,2.141,2.141,2.141,1,µm,Surface,,,,,15,
Displacement Delta Length,2.041,2.041,2.041,0.000,2.041,2.041,2.041,2.041,1,µm,Surface,,,,,16,
Displacement Delta Length,0.513,0.513,0.513,0.000,0.513,0.513,0.513,0.513,1,µm,Surface,,,,,17,
Displacement Delta Length,1.969,1.969,1.969,0.000,1.969,1.969,1.969,1.969,1,µm,Surface,,,,,18,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta X,0.186,0.186,0.186,0.000,0.186,0.186,0.186,0.186,1,µm,Surface,,Displacement Delta,,,9,
Displacement Delta X,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,-1.000,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta X,-0.770,-0.770,-0.770,0.000,-0.770,-0.770,-0.770,-0.770,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta X,-1.591,-1.591,-1.591,0.000,-1.591,-1.591,-1.591,-1.591,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta X,-0.407,-0.407,-0.407,0.000,-0.407,-0.407,-0.407,-0.407,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta X,-1.274,-1.274,-1.274,0.000,-1.274,-1.274,-1.274,-1.274,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta X,-0.722,-0.722,-0.722,0.000,-0.722,-0.722,-0.722,-0.722,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta X,-1.594,-1.594,-1.594,0.000,-1.594,-1.594,-1.594,-1.594,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta X,0.224,0.224,0.224,0.000,0.224,0.224,0.224,0.224,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta X,1.117,1.117,1.117,0.000,1.117,1.117,1.117,1.117,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta Y,0.468,0.468,0.468,0.000,0.468,0.468,0.468,0.468,1,µm,Surface,,Displacement Delta,,,9,
Displacement Delta Y,0.025,0.025,0.025,0.000,0.025,0.025,0.025,0.025,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta Y,-0.099,-0.099,-0.099,0.000,-0.099,-0.099,-0.099,-0.099,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta Y,-0.025,-0.025,-0.025,0.000,-0.025,-0.025,-0.025,-0.025,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta Y,0.321,0.321,0.321,0.000,0.321,0.321,0.321,0.321,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta Y,-0.387,-0.387,-0.387,0.000,-0.387,-0.387,-0.387,-0.387,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Y,1.640,1.640,1.640,0.000,1.640,1.640,1.640,1.640,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Y,0.933,0.933,0.933,0.000,0.933,0.933,0.933,0.933,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Y,0.401,0.401,0.401,0.000,0.401,0.401,0.401,0.401,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Y,0.461,0.461,0.461,0.000,0.461,0.461,0.461,0.461,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta Z,0.752,0.752,0.752,0.000,0.752,0.752,0.752,0.752,1,µm,Surface,,Displacement Delta,,,9,
Displacement Delta Z,0.342,0.342,0.342,0.000,0.342,0.342,0.342,0.342,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta Z,0.121,0.121,0.121,0.000,0.121,0.121,0.121,0.121,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta Z,-0.047,-0.047,-0.047,0.000,-0.047,-0.047,-0.047,-0.047,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta Z,0.046,0.046,0.046,0.000,0.046,0.046,0.046,0.046,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta Z,-0.378,-0.378,-0.378,0.000,-0.378,-0.378,-0.378,-0.378,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Z,-1.173,-1.173,-1.173,0.000,-1.173,-1.173,-1.173,-1.173,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Z,-0.867,-0.867,-0.867,0.000,-0.867,-0.867,-0.867,-0.867,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Z,-0.228,-0.228,-0.228,0.000,-0.228,-0.228,-0.228,-0.228,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Z,-1.555,-1.555,-1.555,0.000,-1.555,-1.555,-1.555,-1.555,1,µm,Surface,,Displacement Delta,,,18,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,8,
Displacement Length,0.905,0.905,0.905,0.000,0.905,0.905,0.905,0.905,1,µm,Surface,,,,,9,
Displacement Length,1.450,1.450,1.450,0.000,1.450,1.450,1.450,1.450,1,µm,Surface,,,,,10,
Displacement Length,2.036,2.036,2.036,0.000,2.036,2.036,2.036,2.036,1,µm,Surface,,,,,11,
Displacement Length,3.404,3.404,3.404,0.000,3.404,3.404,3.404,3.404,1,µm,Surface,,,,,12,
Displacement Length,3.846,3.846,3.846,0.000,3.846,3.846,3.846,3.846,1,µm,Surface,,,,,13,
Displacement Length,4.938,4.938,4.938,0.000,4.938,4.938,4.938,4.938,1,µm,Surface,,,,,14,
Displacement Length,5.918,5.918,5.918,0.000,5.918,5.918,5.918,5.918,1,µm,Surface,,,,,15,
Displacement Length,7.822,7.822,7.822,0.000,7.822,7.822,7.822,7.822,1,µm,Surface,,,,,16,
Displacement Length,7.816,7.816,7.816,0.000,7.816,7.816,7.816,7.816,1,µm,Surface,,,,,17,
Displacement Length,7.544,7.544,7.544,0.000,7.544,7.544,7.544,7.544,1,µm,Surface,,,,,18,
Distance from Origin,10661.977,10661.977,10661.977,0.000,10661.977,10661.977,10661.977,10661.977,1,µm,Surface,,Distance from Origin,,,8,
Distance from Origin,10662.725,10662.725,10662.725,0.000,10662.725,10662.725,10662.725,10662.725,1,µm,Surface,,Distance from Origin,,,9,
Distance from Origin,10663.395,10663.395,10663.395,0.000,10663.395,10663.395,10663.395,10663.395,1,µm,Surface,,Distance from Origin,,,10,
Distance from Origin,10663.743,10663.743,10663.743,0.000,10663.743,10663.743,10663.743,10663.743,1,µm,Surface,,Distance from Origin,,,11,
Distance from Origin,10664.293,10664.293,10664.293,0.000,10664.293,10664.293,10664.293,10664.293,1,µm,Surface,,Distance from Origin,,,12,
Distance from Origin,10664.617,10664.617,10664.617,0.000,10664.617,10664.617,10664.617,10664.617,1,µm,Surface,,Distance from Origin,,,13,
Distance from Origin,10664.623,10664.623,10664.623,0.000,10664.623,10664.623,10664.623,10664.623,1,µm,Surface,,Distance from Origin,,,14,
Distance from Origin,10664.603,10664.603,10664.603,0.000,10664.603,10664.603,10664.603,10664.603,1,µm,Surface,,Distance from Origin,,,15,
Distance from Origin,10664.871,10664.871,10664.871,0.000,10664.871,10664.871,10664.871,10664.871,1,µm,Surface,,Distance from Origin,,,16,
Distance from Origin,10664.765,10664.765,10664.765,0.000,10664.765,10664.765,10664.765,10664.765,1,µm,Surface,,Distance from Origin,,,17,
Distance from Origin,10663.247,10663.247,10663.247,0.000,10663.247,10663.247,10663.247,10663.247,1,µm,Surface,,Distance from Origin,,,18,
Distance to Image Border XY,20.929,20.929,20.929,0.000,20.929,20.929,20.929,20.929,1,µm,Surface,,,Image 1,,8,
Distance to Image Border XY,20.771,20.771,20.771,0.000,20.771,20.771,20.771,20.771,1,µm,Surface,,,Image 1,,9,
Distance to Image Border XY,20.048,20.048,20.048,0.000,20.048,20.048,20.048,20.048,1,µm,Surface,,,Image 1,,10,
Distance to Image Border XY,19.070,19.070,19.070,0.000,19.070,19.070,19.070,19.070,1,µm,Surface,,,Image 1,,11,
Distance to Image Border XY,17.062,17.062,17.062,0.000,17.062,17.062,17.062,17.062,1,µm,Surface,,,Image 1,,12,
Distance to Image Border XY,17.176,17.176,17.176,0.000,17.176,17.176,17.176,17.176,1,µm,Surface,,,Image 1,,13,
Distance to Image Border XY,15.588,15.588,15.588,0.000,15.588,15.588,15.588,15.588,1,µm,Surface,,,Image 1,,14,
