
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,62.782,62.782,62.782,0.000,62.782,62.782,62.782,62.782,1,µm^2,Surface,,,,,26,
Area,82.657,82.657,82.657,0.000,82.657,82.657,82.657,82.657,1,µm^2,Surface,,,,,27,
Area,100.015,100.015,100.015,0.000,100.015,100.015,100.015,100.015,1,µm^2,Surface,,,,,28,
Area,137.630,137.630,137.630,0.000,137.630,137.630,137.630,137.630,1,µm^2,Surface,,,,,29,
Area,100.779,100.779,100.779,0.000,100.779,100.779,100.779,100.779,1,µm^2,Surface,,,,,30,
Area,126.468,126.468,126.468,0.000,126.468,126.468,126.468,126.468,1,µm^2,Surface,,,,,31,
Area,128.899,128.899,128.899,0.000,128.899,128.899,128.899,128.899,1,µm^2,Surface,,,,,32,
Area,94.226,94.226,94.226,0.000,94.226,94.226,94.226,94.226,1,µm^2,Surface,,,,,33,
Area,119.641,119.641,119.641,0.000,119.641,119.641,119.641,119.641,1,µm^2,Surface,,,,,34,
Area,82.437,82.437,82.437,0.000,82.437,82.437,82.437,82.437,1,µm^2,Surface,,,,,35,
Area,67.506,67.506,67.506,0.000,67.506,67.506,67.506,67.506,1,µm^2,Surface,,,,,36,
Area,69.021,69.021,69.021,0.000,69.021,69.021,69.021,69.021,1,µm^2,Surface,,,,,37,
Area,72.817,72.817,72.817,0.000,72.817,72.817,72.817,72.817,1,µm^2,Surface,,,,,38,
Area,60.287,60.287,60.287,0.000,60.287,60.287,60.287,60.287,1,µm^2,Surface,,,,,39,
Area,62.668,62.668,62.668,0.000,62.668,62.668,62.668,62.668,1,µm^2,Surface,,,,,40,
Area,49.850,49.850,49.850,0.000,49.850,49.850,49.850,49.850,1,µm^2,Surface,,,,,41,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,26,
Displacement Delta Length,1.193,1.193,1.193,0.000,1.193,1.193,1.193,1.193,1,µm,Surface,,,,,27,
Displacement Delta Length,0.975,0.975,0.975,0.000,0.975,0.975,0.975,0.975,1,µm,Surface,,,,,28,
Displacement Delta Length,1.479,1.479,1.479,0.000,1.479,1.479,1.479,1.479,1,µm,Surface,,,,,29,
Displacement Delta Length,1.139,1.139,1.139,0.000,1.139,1.139,1.139,1.139,1,µm,Surface,,,,,30,
Displacement Delta Length,1.481,1.481,1.481,0.000,1.481,1.481,1.481,1.481,1,µm,Surface,,,,,31,
Displacement Delta Length,0.496,0.496,0.496,0.000,0.496,0.496,0.496,0.496,1,µm,Surface,,,,,32,
