
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,48.870,48.870,48.870,0.000,48.870,48.870,48.870,48.870,1,µm^2,Surface,,,,,25,
Area,80.207,80.207,80.207,0.000,80.207,80.207,80.207,80.207,1,µm^2,Surface,,,,,26,
Area,97.152,97.152,97.152,0.000,97.152,97.152,97.152,97.152,1,µm^2,Surface,,,,,27,
Area,119.567,119.567,119.567,0.000,119.567,119.567,119.567,119.567,1,µm^2,Surface,,,,,28,
Area,128.251,128.251,128.251,0.000,128.251,128.251,128.251,128.251,1,µm^2,Surface,,,,,29,
Area,136.781,136.781,136.781,0.000,136.781,136.781,136.781,136.781,1,µm^2,Surface,,,,,30,
Area,148.244,148.244,148.244,0.000,148.244,148.244,148.244,148.244,1,µm^2,Surface,,,,,31,
Area,154.493,154.493,154.493,0.000,154.493,154.493,154.493,154.493,1,µm^2,Surface,,,,,32,
Area,157.933,157.933,157.933,0.000,157.933,157.933,157.933,157.933,1,µm^2,Surface,,,,,33,
Area,175.742,175.742,175.742,0.000,175.742,175.742,175.742,175.742,1,µm^2,Surface,,,,,34,
Area,171.902,171.902,171.902,0.000,171.902,171.902,171.902,171.902,1,µm^2,Surface,,,,,35,
Area,177.895,177.895,177.895,0.000,177.895,177.895,177.895,177.895,1,µm^2,Surface,,,,,36,
Area,181.414,181.414,181.414,0.000,181.414,181.414,181.414,181.414,1,µm^2,Surface,,,,,37,
Area,177.590,177.590,177.590,0.000,177.590,177.590,177.590,177.590,1,µm^2,Surface,,,,,38,
Area,184.644,184.644,184.644,0.000,184.644,184.644,184.644,184.644,1,µm^2,Surface,,,,,39,
Area,189.583,189.583,189.583,0.000,189.583,189.583,189.583,189.583,1,µm^2,Surface,,,,,40,
Area,197.665,197.665,197.665,0.000,197.665,197.665,197.665,197.665,1,µm^2,Surface,,,,,41,
Area,200.721,200.721,200.721,0.000,200.721,200.721,200.721,200.721,1,µm^2,Surface,,,,,42,
Area,197.733,197.733,197.733,0.000,197.733,197.733,197.733,197.733,1,µm^2,Surface,,,,,43,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,25,
Displacement Delta Length,1.207,1.207,1.207,0.000,1.207,1.207,1.207,1.207,1,µm,Surface,,,,,26,
Displacement Delta Length,1.408,1.408,1.408,0.000,1.408,1.408,1.408,1.408,1,µm,Surface,,,,,27,
